serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300GYS7,2018-01-02,ST4000DM000,0,0.0,39171.0,0.0,0.0,190709.0,26.0,8.0,8.0,30354474660.0,169966266460.0
Z300GYS7,2018-01-03,ST4000DM000,0,0.0,39195.0,0.0,0.0,190712.0,27.0,8.0,8.0,30356733886.0,169997899394.0
Z300GYS7,2018-01-04,ST4000DM000,0,0.0,39219.0,0.0,0.0,190712.0,28.0,8.0,8.0,30359067498.0,170035845853.0
Z300GYS7,2018-01-05,ST4000DM000,0,0.0,39243.0,0.0,0.0,190712.0,28.0,8.0,8.0,30361265952.0,170071016240.0
Z300GYS7,2018-01-06,ST4000DM000,0,0.0,39267.0,0.0,0.0,190712.0,27.0,8.0,8.0,30363599630.0,170105728613.0
Z300GYS7,2018-01-07,ST4000DM000,0,0.0,39292.0,0.0,0.0,190712.0,27.0,8.0,8.0,30365916382.0,170141196285.0
Z300GYS7,2018-01-08,ST4000DM000,0,0.0,39315.0,0.0,0.0,190712.0,28.0,8.0,8.0,30368125622.0,170175256461.0
Z300GYS7,2018-01-09,ST4000DM000,0,0.0,39339.0,0.0,0.0,190712.0,28.0,8.0,8.0,30370333662.0,170207326652.0
Z300GYS7,2018-01-10,ST4000DM000,0,0.0,39361.0,0.0,0.0,190712.0,27.0,8.0,8.0,30372527210.0,170240323597.0
Z300GYS7,2018-01-11,ST4000DM000,0,0.0,39382.0,0.0,0.0,190712.0,28.0,8.0,8.0,30374807404.0,170277207113.0
Z300GYS7,2018-01-12,ST4000DM000,0,0.0,39406.0,0.0,0.0,190713.0,26.0,8.0,8.0,30377696332.0,170316047749.0
Z300GYS7,2018-01-13,ST4000DM000,0,0.0,39431.0,0.0,0.0,190713.0,27.0,8.0,8.0,30380240102.0,170351047095.0
Z300GYS7,2018-01-14,ST4000DM000,0,0.0,39455.0,0.0,0.0,190713.0,27.0,8.0,8.0,30383517440.0,170396414471.0
Z300GYS7,2018-01-15,ST4000DM000,0,0.0,39479.0,0.0,0.0,190713.0,26.0,8.0,8.0,30385909004.0,170436210509.0
Z300GYS7,2018-01-16,ST4000DM000,0,0.0,39503.0,0.0,0.0,190713.0,29.0,8.0,8.0,30388234278.0,170468399405.0
Z300GYS7,2018-01-17,ST4000DM000,0,0.0,39527.0,0.0,0.0,190713.0,27.0,8.0,8.0,30390587868.0,170507263997.0
Z300GYS7,2018-01-18,ST4000DM000,0,0.0,39548.0,0.0,0.0,190713.0,26.0,8.0,8.0,30392815496.0,170537286852.0
Z300GYS7,2018-01-19,ST4000DM000,0,0.0,39573.0,0.0,0.0,190713.0,27.0,8.0,8.0,30395900084.0,170576158967.0
Z300GYS7,2018-01-20,ST4000DM000,0,0.0,39596.0,0.0,0.0,190731.0,27.0,8.0,8.0,30398296866.0,170612096235.0
Z300GYS7,2018-01-21,ST4000DM000,0,0.0,39620.0,0.0,0.0,190731.0,28.0,8.0,8.0,30400479478.0,170646779139.0
Z300GYS7,2018-01-22,ST4000DM000,0,0.0,39644.0,0.0,0.0,190731.0,28.0,8.0,8.0,30402739246.0,170680219938.0
Z300GYS7,2018-01-23,ST4000DM000,0,0.0,39668.0,0.0,0.0,190731.0,28.0,8.0,8.0,30404969764.0,170714862383.0
Z300GYS7,2018-01-24,ST4000DM000,0,0.0,39700.0,0.0,0.0,190731.0,29.0,8.0,8.0,30407884982.0,170758066510.0
Z300GYS7,2018-01-25,ST4000DM000,0,0.0,39724.0,0.0,0.0,190731.0,29.0,8.0,8.0,30410329736.0,170791500872.0
Z300GYS7,2018-01-26,ST4000DM000,0,0.0,39748.0,0.0,0.0,190731.0,29.0,8.0,8.0,30412698042.0,170825143659.0
Z300GYS7,2018-01-27,ST4000DM000,0,0.0,39772.0,0.0,0.0,190731.0,29.0,8.0,8.0,30414894858.0,170859923140.0
Z300GYS7,2018-01-28,ST4000DM000,0,0.0,39796.0,0.0,0.0,190731.0,28.0,8.0,8.0,30417298934.0,170894532039.0
Z300GYS7,2018-01-29,ST4000DM000,0,0.0,39820.0,0.0,0.0,190731.0,29.0,8.0,8.0,30419483774.0,170929371377.0
Z300GYS7,2018-01-30,ST4000DM000,0,0.0,39838.0,0.0,0.0,190731.0,29.0,8.0,8.0,30421201872.0,170952100181.0
Z300GYS7,2018-01-31,ST4000DM000,0,0.0,39862.0,0.0,0.0,190731.0,28.0,8.0,8.0,30424084066.0,170992121375.0
Z300GYS7,2018-02-01,ST4000DM000,0,0.0,39886.0,0.0,0.0,190731.0,27.0,8.0,8.0,30426360616.0,171028399773.0
Z300GYS7,2018-02-02,ST4000DM000,0,0.0,39910.0,0.0,0.0,190731.0,28.0,8.0,8.0,30428823288.0,171068075334.0
Z300GYS7,2018-02-03,ST4000DM000,0,0.0,39934.0,0.0,0.0,190735.0,29.0,8.0,8.0,30431150560.0,171103405881.0
Z300GYS7,2018-02-04,ST4000DM000,0,0.0,39962.0,0.0,0.0,190735.0,29.0,8.0,8.0,30433849548.0,171144139857.0
Z300GYS7,2018-02-05,ST4000DM000,0,0.0,39986.0,0.0,0.0,190735.0,29.0,8.0,8.0,30436104360.0,171177557015.0
Z300GYS7,2018-02-06,ST4000DM000,0,0.0,40010.0,0.0,0.0,190735.0,29.0,8.0,8.0,30438394904.0,171210987058.0
Z300GYS7,2018-02-07,ST4000DM000,0,0.0,40034.0,0.0,0.0,190735.0,28.0,8.0,8.0,30440573468.0,171244709663.0
Z300GYS7,2018-02-08,ST4000DM000,0,0.0,40058.0,0.0,0.0,190735.0,29.0,8.0,8.0,30442863942.0,171277281958.0
Z300GYS7,2018-02-09,ST4000DM000,0,0.0,40082.0,0.0,0.0,190735.0,29.0,8.0,8.0,30445070932.0,171314390846.0
Z300GYS7,2018-02-10,ST4000DM000,0,0.0,40106.0,0.0,0.0,190735.0,29.0,8.0,8.0,30447285068.0,171346281437.0
Z300GYS7,2018-02-11,ST4000DM000,0,0.0,40130.0,0.0,0.0,190735.0,28.0,8.0,8.0,30449468280.0,171383880435.0
Z300GYS7,2018-02-12,ST4000DM000,0,0.0,40154.0,0.0,0.0,190735.0,28.0,8.0,8.0,30451857768.0,171421169398.0
Z300GYS7,2018-02-13,ST4000DM000,0,0.0,40178.0,0.0,0.0,190735.0,29.0,8.0,8.0,30454073234.0,171455108341.0
Z300GYS7,2018-02-14,ST4000DM000,0,0.0,40202.0,0.0,0.0,190735.0,28.0,8.0,8.0,30456446634.0,171488681660.0
Z300GYS7,2018-02-15,ST4000DM000,0,0.0,40226.0,0.0,0.0,190735.0,28.0,8.0,8.0,30458632842.0,171526523948.0
Z300GYS7,2018-02-16,ST4000DM000,0,0.0,40250.0,0.0,0.0,190769.0,28.0,8.0,8.0,30460916376.0,171562337128.0
Z300GYS7,2018-02-17,ST4000DM000,0,0.0,40274.0,0.0,0.0,190769.0,27.0,8.0,8.0,30463388746.0,171595511688.0
Z300GYS7,2018-02-18,ST4000DM000,0,0.0,40298.0,0.0,0.0,190769.0,28.0,8.0,8.0,30465562426.0,171626720949.0
Z300GYS7,2018-02-19,ST4000DM000,0,0.0,40322.0,0.0,0.0,190769.0,27.0,8.0,8.0,30467808904.0,171661099431.0
Z300GYS7,2018-02-20,ST4000DM000,0,0.0,40346.0,0.0,0.0,190787.0,27.0,8.0,8.0,30469952092.0,171698697567.0
Z300GYS7,2018-02-21,ST4000DM000,0,0.0,40370.0,0.0,0.0,190787.0,28.0,8.0,8.0,30472204448.0,171732521909.0
Z300GYS7,2018-02-22,ST4000DM000,0,0.0,40394.0,0.0,0.0,190787.0,28.0,8.0,8.0,30474444656.0,171765563079.0
Z300GYS7,2018-02-23,ST4000DM000,0,0.0,40418.0,0.0,0.0,190787.0,28.0,8.0,8.0,30476659032.0,171799340101.0
Z300GYS7,2018-02-24,ST4000DM000,0,0.0,40442.0,0.0,0.0,190787.0,28.0,8.0,8.0,30479350332.0,171832964095.0
Z300GYS7,2018-02-25,ST4000DM000,0,0.0,40466.0,0.0,0.0,190787.0,29.0,8.0,8.0,30481638198.0,171866135081.0
Z300GYS7,2018-02-26,ST4000DM000,0,0.0,40490.0,0.0,0.0,190787.0,28.0,8.0,8.0,30483939594.0,171900102885.0
Z300GYS7,2018-02-27,ST4000DM000,0,0.0,40514.0,0.0,0.0,190787.0,29.0,8.0,8.0,30486335890.0,171933107413.0
Z300GYS7,2018-02-28,ST4000DM000,0,0.0,40538.0,0.0,0.0,190787.0,28.0,8.0,8.0,30488570710.0,171965145554.0
Z300GYS7,2018-03-01,ST4000DM000,0,0.0,40565.0,0.0,0.0,190787.0,28.0,8.0,8.0,30491847248.0,172004335304.0
Z300GYS7,2018-03-02,ST4000DM000,0,0.0,40588.0,0.0,0.0,190787.0,28.0,8.0,8.0,30494772570.0,172042695720.0
Z300GYS7,2018-03-03,ST4000DM000,0,0.0,40612.0,0.0,0.0,190787.0,28.0,8.0,8.0,30497281092.0,172078155561.0
Z300GYS7,2018-03-04,ST4000DM000,0,0.0,40637.0,0.0,0.0,190787.0,27.0,8.0,8.0,30499922572.0,172113675688.0
Z300GYS7,2018-03-05,ST4000DM000,0,0.0,40661.0,0.0,0.0,190787.0,27.0,8.0,8.0,30502183358.0,172149121411.0
Z300GYS7,2018-03-06,ST4000DM000,0,0.0,40686.0,0.0,0.0,190787.0,28.0,8.0,8.0,30504937934.0,172185532281.0
Z300GYS7,2018-03-07,ST4000DM000,0,0.0,40710.0,0.0,0.0,190787.0,29.0,8.0,8.0,30507574894.0,172218915580.0
Z300GYS7,2018-03-08,ST4000DM000,0,0.0,40731.0,0.0,0.0,190787.0,29.0,8.0,8.0,30509872996.0,172251365332.0
Z300GYS7,2018-03-09,ST4000DM000,0,0.0,40755.0,0.0,0.0,190787.0,29.0,8.0,8.0,30512372100.0,172285193318.0
Z300GYS7,2018-03-10,ST4000DM000,0,0.0,40780.0,0.0,0.0,190800.0,29.0,8.0,8.0,30513876064.0,172405667360.0
Z300GYS7,2018-03-11,ST4000DM000,0,0.0,40803.0,0.0,0.0,190800.0,29.0,8.0,8.0,30513992354.0,172736704843.0
Z300GYS7,2018-03-12,ST4000DM000,0,0.0,40827.0,0.0,0.0,190802.0,29.0,0.0,0.0,30514108414.0,173065601327.0
Z300GYS7,2018-03-13,ST4000DM000,0,0.0,40852.0,0.0,0.0,190802.0,29.0,0.0,0.0,30514228334.0,173440879331.0
Z300GYS7,2018-03-14,ST4000DM000,0,0.0,40875.0,0.0,0.0,190802.0,29.0,0.0,0.0,30514344714.0,173777753007.0
Z300GYS7,2018-03-15,ST4000DM000,0,0.0,40899.0,0.0,0.0,190810.0,27.0,0.0,0.0,30514460974.0,174128388013.0
Z300GYS7,2018-03-16,ST4000DM000,0,0.0,40924.0,0.0,0.0,190947.0,29.0,0.0,0.0,30514581174.0,174362351190.0
