serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300NPLS,2018-01-02,ST4000DM000,0,0.0,36818.0,0.0,0.0,42478.0,25.0,0.0,0.0,30727546064.0,310877998688.0
Z300NPLS,2018-01-03,ST4000DM000,0,0.0,36841.0,0.0,0.0,42478.0,25.0,0.0,0.0,30734238662.0,310909024612.0
Z300NPLS,2018-01-04,ST4000DM000,0,0.0,36853.0,0.0,0.0,42478.0,25.0,0.0,0.0,30737774396.0,310924948390.0
Z300NPLS,2018-01-05,ST4000DM000,0,0.0,36889.0,0.0,0.0,42478.0,24.0,0.0,0.0,30747129154.0,310975266065.0
Z300NPLS,2018-01-06,ST4000DM000,0,0.0,36913.0,0.0,0.0,42478.0,21.0,0.0,0.0,30752904806.0,311013378384.0
Z300NPLS,2018-01-07,ST4000DM000,0,0.0,36937.0,0.0,0.0,42478.0,22.0,0.0,0.0,30760072544.0,311047075412.0
Z300NPLS,2018-01-08,ST4000DM000,0,0.0,36961.0,0.0,0.0,42478.0,21.0,0.0,0.0,30766660646.0,311082733865.0
Z300NPLS,2018-01-09,ST4000DM000,0,0.0,36973.0,0.0,0.0,42478.0,21.0,0.0,0.0,30769357900.0,311098973519.0
Z300NPLS,2018-01-10,ST4000DM000,0,0.0,37007.0,0.0,0.0,42478.0,21.0,0.0,0.0,30779736352.0,311149336053.0
Z300NPLS,2018-01-11,ST4000DM000,0,0.0,37028.0,0.0,0.0,42479.0,21.0,0.0,0.0,30782500096.0,311185987889.0
Z300NPLS,2018-01-12,ST4000DM000,0,0.0,37052.0,0.0,0.0,42483.0,21.0,0.0,0.0,30788135926.0,311223480338.0
Z300NPLS,2018-01-13,ST4000DM000,0,0.0,37077.0,0.0,0.0,42489.0,21.0,0.0,0.0,30792734030.0,311263163781.0
Z300NPLS,2018-01-14,ST4000DM000,0,0.0,37101.0,0.0,0.0,42495.0,21.0,0.0,0.0,30795477852.0,311302153182.0
Z300NPLS,2018-01-15,ST4000DM000,0,0.0,37125.0,0.0,0.0,42495.0,21.0,0.0,0.0,30798173328.0,311341922497.0
Z300NPLS,2018-01-16,ST4000DM000,0,0.0,37149.0,0.0,0.0,42495.0,21.0,0.0,0.0,30800195082.0,311374930857.0
Z300NPLS,2018-01-17,ST4000DM000,0,0.0,37173.0,0.0,0.0,42499.0,20.0,0.0,0.0,30802201560.0,311413461432.0
Z300NPLS,2018-01-18,ST4000DM000,0,0.0,37193.0,0.0,0.0,42506.0,21.0,0.0,0.0,30804467008.0,311445099572.0
Z300NPLS,2018-01-19,ST4000DM000,0,0.0,37218.0,0.0,0.0,42523.0,21.0,0.0,0.0,30807203772.0,311488017308.0
Z300NPLS,2018-01-20,ST4000DM000,0,0.0,37242.0,0.0,0.0,42523.0,21.0,0.0,0.0,30809694258.0,311523475217.0
Z300NPLS,2018-01-21,ST4000DM000,0,0.0,37266.0,0.0,0.0,42530.0,21.0,0.0,0.0,30812096390.0,311561452597.0
Z300NPLS,2018-01-22,ST4000DM000,0,0.0,37290.0,0.0,0.0,42530.0,21.0,0.0,0.0,30814852744.0,311601023909.0
Z300NPLS,2018-01-23,ST4000DM000,0,0.0,37314.0,0.0,0.0,42533.0,20.0,0.0,0.0,30818334970.0,311634321481.0
Z300NPLS,2018-01-24,ST4000DM000,0,0.0,37346.0,0.0,0.0,42533.0,20.0,0.0,0.0,30821870466.0,311680531676.0
Z300NPLS,2018-01-25,ST4000DM000,0,0.0,37370.0,0.0,0.0,42533.0,20.0,0.0,0.0,30824260680.0,311712597413.0
Z300NPLS,2018-01-26,ST4000DM000,0,0.0,37394.0,0.0,0.0,42565.0,21.0,0.0,0.0,30826434004.0,311746213766.0
Z300NPLS,2018-01-27,ST4000DM000,0,0.0,37418.0,0.0,0.0,42565.0,20.0,0.0,0.0,30829250916.0,311784792828.0
Z300NPLS,2018-01-28,ST4000DM000,0,0.0,37442.0,0.0,0.0,42565.0,20.0,0.0,0.0,30831539696.0,311818103422.0
Z300NPLS,2018-01-29,ST4000DM000,0,0.0,37466.0,0.0,0.0,42565.0,20.0,0.0,0.0,30833681222.0,311849985122.0
Z300NPLS,2018-01-30,ST4000DM000,0,0.0,37484.0,0.0,0.0,42565.0,20.0,0.0,0.0,30835831946.0,311883993395.0
Z300NPLS,2018-01-31,ST4000DM000,0,0.0,37508.0,0.0,0.0,42565.0,21.0,0.0,0.0,30838702762.0,311929329970.0
Z300NPLS,2018-02-01,ST4000DM000,0,0.0,37532.0,0.0,0.0,42565.0,21.0,0.0,0.0,30841153362.0,311964898851.0
Z300NPLS,2018-02-02,ST4000DM000,0,0.0,37556.0,0.0,0.0,42565.0,21.0,0.0,0.0,30843270574.0,312000101643.0
Z300NPLS,2018-02-03,ST4000DM000,0,0.0,37580.0,0.0,0.0,42565.0,20.0,0.0,0.0,30845843856.0,312039308178.0
Z300NPLS,2018-02-04,ST4000DM000,0,0.0,37609.0,0.0,0.0,42565.0,21.0,0.0,0.0,30849029852.0,312078518774.0
Z300NPLS,2018-02-05,ST4000DM000,0,0.0,37632.0,0.0,0.0,42565.0,20.0,0.0,0.0,30851216694.0,312110632282.0
Z300NPLS,2018-02-06,ST4000DM000,0,0.0,37656.0,0.0,0.0,42565.0,20.0,0.0,0.0,30853266772.0,312156450681.0
Z300NPLS,2018-02-07,ST4000DM000,0,0.0,37681.0,0.0,0.0,42565.0,20.0,0.0,0.0,30855606684.0,312189570183.0
Z300NPLS,2018-02-08,ST4000DM000,0,0.0,37704.0,0.0,0.0,42565.0,20.0,0.0,0.0,30857851010.0,312223174551.0
