serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300NSA7,2018-01-02,ST4000DM000,0,0.0,36815.0,0.0,0.0,41967.0,25.0,0.0,0.0,31147390674.0,310697551502.0
Z300NSA7,2018-01-03,ST4000DM000,0,0.0,36839.0,0.0,0.0,41967.0,26.0,0.0,0.0,31153110830.0,310729135602.0
Z300NSA7,2018-01-04,ST4000DM000,0,0.0,36851.0,0.0,0.0,41967.0,26.0,0.0,0.0,31155445996.0,310744461228.0
Z300NSA7,2018-01-05,ST4000DM000,0,0.0,36887.0,0.0,0.0,41967.0,26.0,0.0,0.0,31165811606.0,310792303806.0
Z300NSA7,2018-01-06,ST4000DM000,0,0.0,36911.0,0.0,0.0,41967.0,22.0,0.0,0.0,31170829778.0,310822570506.0
Z300NSA7,2018-01-07,ST4000DM000,0,0.0,36935.0,0.0,0.0,41967.0,22.0,0.0,0.0,31179341224.0,310856540764.0
Z300NSA7,2018-01-08,ST4000DM000,0,0.0,36959.0,0.0,0.0,41967.0,22.0,0.0,0.0,31184531904.0,310885587026.0
Z300NSA7,2018-01-09,ST4000DM000,0,0.0,36971.0,0.0,0.0,41967.0,22.0,0.0,0.0,31188896934.0,310901455803.0
Z300NSA7,2018-01-10,ST4000DM000,0,0.0,37005.0,0.0,0.0,41967.0,22.0,0.0,0.0,31199182142.0,310950624210.0
Z300NSA7,2018-01-11,ST4000DM000,0,0.0,37025.0,0.0,0.0,41968.0,22.0,0.0,0.0,31202079878.0,310987282006.0
Z300NSA7,2018-01-12,ST4000DM000,0,0.0,37050.0,0.0,0.0,41972.0,22.0,0.0,0.0,31206880814.0,311028770903.0
Z300NSA7,2018-01-13,ST4000DM000,0,0.0,37075.0,0.0,0.0,41975.0,22.0,0.0,0.0,31211472770.0,311066917635.0
Z300NSA7,2018-01-14,ST4000DM000,0,0.0,37098.0,0.0,0.0,41985.0,22.0,0.0,0.0,31214311792.0,311103261135.0
Z300NSA7,2018-01-15,ST4000DM000,0,0.0,37123.0,0.0,0.0,41985.0,22.0,0.0,0.0,31217262538.0,311138548043.0
Z300NSA7,2018-01-16,ST4000DM000,0,0.0,37147.0,0.0,0.0,41985.0,22.0,0.0,0.0,31219268618.0,311172570543.0
Z300NSA7,2018-01-17,ST4000DM000,0,0.0,37171.0,0.0,0.0,41989.0,21.0,0.0,0.0,31221305202.0,311209267088.0
Z300NSA7,2018-01-18,ST4000DM000,0,0.0,37191.0,0.0,0.0,41997.0,21.0,0.0,0.0,31223531548.0,311240070149.0
Z300NSA7,2018-01-19,ST4000DM000,0,0.0,37216.0,0.0,0.0,42009.0,21.0,0.0,0.0,31226382388.0,311282525617.0
Z300NSA7,2018-01-20,ST4000DM000,0,0.0,37240.0,0.0,0.0,42011.0,21.0,0.0,0.0,31229507032.0,311335353870.0
Z300NSA7,2018-01-21,ST4000DM000,0,0.0,37263.0,0.0,0.0,42020.0,22.0,0.0,0.0,31232019888.0,311369268562.0
Z300NSA7,2018-01-22,ST4000DM000,0,0.0,37288.0,0.0,0.0,42020.0,21.0,0.0,0.0,31235882744.0,311403553380.0
Z300NSA7,2018-01-23,ST4000DM000,0,0.0,37312.0,0.0,0.0,42020.0,21.0,0.0,0.0,31240195890.0,311439936471.0
Z300NSA7,2018-01-24,ST4000DM000,0,0.0,37344.0,0.0,0.0,42020.0,21.0,0.0,0.0,31244363468.0,311488715331.0
Z300NSA7,2018-01-25,ST4000DM000,0,0.0,37368.0,0.0,0.0,42020.0,21.0,0.0,0.0,31247064584.0,311523919191.0
Z300NSA7,2018-01-26,ST4000DM000,0,0.0,37392.0,0.0,0.0,42057.0,22.0,0.0,0.0,31249359314.0,311558099721.0
Z300NSA7,2018-01-27,ST4000DM000,0,0.0,37416.0,0.0,0.0,42057.0,21.0,0.0,0.0,31252158290.0,311593206146.0
Z300NSA7,2018-01-28,ST4000DM000,0,0.0,37440.0,0.0,0.0,42057.0,21.0,0.0,0.0,31254887588.0,311624699521.0
Z300NSA7,2018-01-29,ST4000DM000,0,0.0,37464.0,0.0,0.0,42057.0,21.0,0.0,0.0,31257074580.0,311655059971.0
Z300NSA7,2018-01-30,ST4000DM000,0,0.0,37482.0,0.0,0.0,42057.0,21.0,0.0,0.0,31258935514.0,311678216417.0
Z300NSA7,2018-01-31,ST4000DM000,0,0.0,37506.0,0.0,0.0,42057.0,22.0,0.0,0.0,31262463122.0,311719356426.0
Z300NSA7,2018-02-01,ST4000DM000,0,0.0,37530.0,0.0,0.0,42057.0,22.0,0.0,0.0,31265105166.0,311756666250.0
Z300NSA7,2018-02-02,ST4000DM000,0,0.0,37554.0,0.0,0.0,42057.0,22.0,0.0,0.0,31267221158.0,311792430656.0
Z300NSA7,2018-02-03,ST4000DM000,0,0.0,37578.0,0.0,0.0,42057.0,21.0,0.0,0.0,31269661606.0,311826411238.0
Z300NSA7,2018-02-04,ST4000DM000,0,0.0,37606.0,0.0,0.0,42057.0,22.0,0.0,0.0,31272691710.0,311865817307.0
Z300NSA7,2018-02-05,ST4000DM000,0,0.0,37630.0,0.0,0.0,42057.0,21.0,0.0,0.0,31274974700.0,311901279581.0
Z300NSA7,2018-02-06,ST4000DM000,0,0.0,37654.0,0.0,0.0,42057.0,21.0,0.0,0.0,31277015070.0,311932734929.0
Z300NSA7,2018-02-07,ST4000DM000,0,0.0,37678.0,0.0,0.0,42057.0,21.0,0.0,0.0,31279202100.0,311969281014.0
Z300NSA7,2018-02-08,ST4000DM000,0,0.0,37702.0,0.0,0.0,42057.0,21.0,0.0,0.0,31281632714.0,312010070038.0
Z300NSA7,2018-02-09,ST4000DM000,0,0.0,37726.0,0.0,0.0,42058.0,21.0,0.0,0.0,31283655076.0,312042067379.0
Z300NSA7,2018-02-10,ST4000DM000,0,0.0,37750.0,0.0,0.0,42058.0,22.0,0.0,0.0,31286024678.0,312074892437.0
Z300NSA7,2018-02-11,ST4000DM000,0,0.0,37773.0,0.0,0.0,42684.0,21.0,0.0,0.0,31286455916.0,312105352754.0
Z300NSA7,2018-02-12,ST4000DM000,0,0.0,37797.0,0.0,0.0,43822.0,22.0,0.0,0.0,31286618300.0,312129107253.0
Z300NSA7,2018-02-13,ST4000DM000,0,0.0,37821.0,0.0,0.0,44196.0,22.0,0.0,0.0,31287056844.0,312161508278.0
Z300NSA7,2018-02-14,ST4000DM000,0,0.0,37845.0,0.0,0.0,44969.0,21.0,0.0,0.0,31287405430.0,312193410114.0
Z300NSA7,2018-02-15,ST4000DM000,0,0.0,37869.0,0.0,0.0,45741.0,21.0,0.0,0.0,31287739824.0,312225285662.0
Z300NSA7,2018-02-16,ST4000DM000,0,0.0,37893.0,0.0,0.0,46335.0,22.0,0.0,0.0,31288134898.0,312258140618.0
Z300NSA7,2018-02-17,ST4000DM000,0,0.0,37917.0,0.0,0.0,46756.0,22.0,0.0,0.0,31288583454.0,312291178448.0
Z300NSA7,2018-02-18,ST4000DM000,0,0.0,37941.0,0.0,0.0,47174.0,21.0,0.0,0.0,31289005994.0,312322206387.0
Z300NSA7,2018-02-19,ST4000DM000,0,0.0,37965.0,0.0,0.0,47597.0,22.0,0.0,0.0,31289429288.0,312354152983.0
Z300NSA7,2018-02-20,ST4000DM000,0,0.0,37989.0,0.0,0.0,48033.0,22.0,0.0,0.0,31289867906.0,312386459489.0
Z300NSA7,2018-02-21,ST4000DM000,0,0.0,38013.0,0.0,0.0,48427.0,22.0,0.0,0.0,31290297340.0,312419411257.0
Z300NSA7,2018-02-22,ST4000DM000,0,0.0,38037.0,0.0,0.0,48862.0,22.0,0.0,0.0,31290726724.0,312449844123.0
Z300NSA7,2018-02-23,ST4000DM000,0,0.0,38061.0,0.0,0.0,49305.0,23.0,0.0,0.0,31291154188.0,312482830341.0
Z300NSA7,2018-02-24,ST4000DM000,0,0.0,38085.0,0.0,0.0,49764.0,22.0,0.0,0.0,31291590086.0,312514747529.0
Z300NSA7,2018-02-25,ST4000DM000,0,0.0,38109.0,0.0,0.0,50163.0,22.0,0.0,0.0,31292026786.0,312546082318.0
Z300NSA7,2018-02-26,ST4000DM000,0,0.0,38133.0,0.0,0.0,50542.0,22.0,0.0,0.0,31292477730.0,312576409763.0
Z300NSA7,2018-02-27,ST4000DM000,0,0.0,38157.0,0.0,0.0,50916.0,23.0,0.0,0.0,31292951030.0,312608258795.0
Z300NSA7,2018-02-28,ST4000DM000,0,0.0,38181.0,0.0,0.0,51254.0,23.0,0.0,0.0,31293417438.0,312638517725.0
