serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300W2CM,2018-01-02,ST4000DM000,0,0.0,35476.0,0.0,0.0,18835.0,23.0,0.0,0.0,29723997402.0,245401828173.0
Z300W2CM,2018-01-03,ST4000DM000,0,0.0,35499.0,0.0,0.0,18835.0,23.0,0.0,0.0,29732490692.0,245428499879.0
Z300W2CM,2018-01-04,ST4000DM000,0,0.0,35523.0,0.0,0.0,18835.0,23.0,0.0,0.0,29740106364.0,245455143834.0
Z300W2CM,2018-01-05,ST4000DM000,0,0.0,35548.0,0.0,0.0,18835.0,23.0,0.0,0.0,29748522454.0,245482924705.0
Z300W2CM,2018-01-06,ST4000DM000,0,0.0,35571.0,0.0,0.0,18835.0,22.0,0.0,0.0,29755781678.0,245509686919.0
Z300W2CM,2018-01-07,ST4000DM000,0,0.0,35595.0,0.0,0.0,18835.0,23.0,0.0,0.0,29762634232.0,245534554635.0
Z300W2CM,2018-01-08,ST4000DM000,0,0.0,35620.0,0.0,0.0,18835.0,24.0,0.0,0.0,29767659990.0,245560494869.0
Z300W2CM,2018-01-09,ST4000DM000,0,0.0,35631.0,0.0,0.0,18835.0,23.0,0.0,0.0,29771572452.0,245573576100.0
Z300W2CM,2018-01-10,ST4000DM000,0,0.0,35667.0,0.0,0.0,18835.0,23.0,0.0,0.0,29780646986.0,245618726273.0
Z300W2CM,2018-01-11,ST4000DM000,0,0.0,35681.0,0.0,0.0,18835.0,23.0,0.0,0.0,29781959940.0,245633098366.0
Z300W2CM,2018-01-12,ST4000DM000,0,0.0,35705.0,0.0,0.0,18835.0,23.0,0.0,0.0,29785430670.0,245667681402.0
Z300W2CM,2018-01-13,ST4000DM000,0,0.0,35732.0,0.0,0.0,18835.0,23.0,0.0,0.0,29788888000.0,245697316120.0
Z300W2CM,2018-01-14,ST4000DM000,0,0.0,35756.0,0.0,0.0,18835.0,23.0,0.0,0.0,29792760060.0,245732570067.0
Z300W2CM,2018-01-15,ST4000DM000,0,0.0,35781.0,0.0,0.0,18835.0,23.0,0.0,0.0,29795279646.0,245759667362.0
