serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3016P46,2018-01-02,ST4000DM000,0,0.0,33532.0,0.0,0.0,7906.0,21.0,0.0,0.0,27020811808.0,153890665929.0
Z3016P46,2018-01-03,ST4000DM000,0,0.0,33556.0,0.0,0.0,7906.0,22.0,0.0,0.0,27022939508.0,153930704668.0
Z3016P46,2018-01-04,ST4000DM000,0,0.0,33580.0,0.0,0.0,7906.0,21.0,0.0,0.0,27025300574.0,153971584327.0
Z3016P46,2018-01-05,ST4000DM000,0,0.0,33604.0,0.0,0.0,7906.0,22.0,0.0,0.0,27027566810.0,154007353912.0
Z3016P46,2018-01-06,ST4000DM000,0,0.0,33628.0,0.0,0.0,7906.0,21.0,0.0,0.0,27029835004.0,154042970586.0
Z3016P46,2018-01-07,ST4000DM000,0,0.0,33652.0,0.0,0.0,7906.0,21.0,0.0,0.0,27032141574.0,154080425743.0
Z3016P46,2018-01-08,ST4000DM000,0,0.0,33676.0,0.0,0.0,7906.0,21.0,0.0,0.0,27034510878.0,154116293279.0
Z3016P46,2018-01-09,ST4000DM000,0,0.0,33700.0,0.0,0.0,7906.0,21.0,0.0,0.0,27036710532.0,154151487014.0
Z3016P46,2018-01-10,ST4000DM000,0,0.0,33722.0,0.0,0.0,7906.0,21.0,0.0,0.0,27038741198.0,154187950480.0
Z3016P46,2018-01-11,ST4000DM000,0,0.0,33743.0,0.0,0.0,7906.0,21.0,0.0,0.0,27041113906.0,154224389287.0
Z3016P46,2018-01-12,ST4000DM000,0,0.0,33767.0,0.0,0.0,7906.0,21.0,0.0,0.0,27043675998.0,154260894825.0
Z3016P46,2018-01-13,ST4000DM000,0,0.0,33792.0,0.0,0.0,7906.0,21.0,0.0,0.0,27045989994.0,154296507799.0
Z3016P46,2018-01-14,ST4000DM000,0,0.0,33816.0,0.0,0.0,7906.0,21.0,0.0,0.0,27048349090.0,154326086287.0
Z3016P46,2018-01-15,ST4000DM000,0,0.0,33840.0,0.0,0.0,7906.0,22.0,0.0,0.0,27050619164.0,154356837058.0
Z3016P46,2018-01-16,ST4000DM000,0,0.0,33864.0,0.0,0.0,7913.0,21.0,0.0,0.0,27052927950.0,154388584698.0
Z3016P46,2018-01-17,ST4000DM000,0,0.0,33888.0,0.0,0.0,7913.0,21.0,0.0,0.0,27055187526.0,154421206547.0
Z3016P46,2018-01-18,ST4000DM000,0,0.0,33921.0,0.0,0.0,7913.0,21.0,0.0,0.0,27058298936.0,154469013920.0
Z3016P46,2018-01-19,ST4000DM000,0,0.0,33945.0,0.0,0.0,7924.0,21.0,0.0,0.0,27060445130.0,154519566625.0
Z3016P46,2018-01-20,ST4000DM000,0,0.0,33969.0,0.0,0.0,7924.0,22.0,0.0,0.0,27062603458.0,154574343926.0
Z3016P46,2018-01-21,ST4000DM000,0,0.0,33993.0,0.0,0.0,7924.0,22.0,0.0,0.0,27064952788.0,154610591543.0
Z3016P46,2018-01-22,ST4000DM000,0,0.0,34017.0,0.0,0.0,8022.0,21.0,0.0,0.0,27066996852.0,154643537847.0
