serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z30251JM,2018-01-02,ST4000DM000,0,0.0,28202.0,0.0,0.0,28429.0,18.0,0.0,0.0,23416003375.0,177001365021.0
Z30251JM,2018-01-03,ST4000DM000,0,0.0,28226.0,0.0,0.0,28429.0,18.0,0.0,0.0,23425815668.0,177035251495.0
Z30251JM,2018-01-04,ST4000DM000,0,0.0,28249.0,0.0,0.0,29134.0,17.0,0.0,0.0,23430568732.0,177063962878.0
Z30251JM,2018-01-05,ST4000DM000,0,0.0,28273.0,0.0,0.0,29719.0,18.0,0.0,0.0,23438207726.0,177103780716.0
Z30251JM,2018-01-06,ST4000DM000,0,0.0,28297.0,0.0,0.0,29719.0,17.0,0.0,0.0,23449883419.0,177134652878.0
Z30251JM,2018-01-07,ST4000DM000,0,0.0,28321.0,0.0,0.0,29719.0,17.0,0.0,0.0,23463345233.0,177168860533.0
Z30251JM,2018-01-08,ST4000DM000,0,0.0,28345.0,0.0,0.0,29719.0,18.0,0.0,0.0,23478332061.0,177203808373.0
Z30251JM,2018-01-09,ST4000DM000,0,0.0,28369.0,0.0,0.0,29719.0,18.0,0.0,0.0,23489648538.0,177240254378.0
Z30251JM,2018-01-10,ST4000DM000,0,0.0,28381.0,0.0,0.0,29719.0,18.0,0.0,0.0,23494079150.0,177257904081.0
Z30251JM,2018-01-11,ST4000DM000,0,0.0,28407.0,0.0,0.0,29719.0,18.0,0.0,0.0,23498638701.0,177296095590.0
Z30251JM,2018-01-12,ST4000DM000,0,0.0,28432.0,0.0,0.0,29719.0,18.0,0.0,0.0,23501942719.0,177331444947.0
Z30251JM,2018-01-13,ST4000DM000,0,0.0,28459.0,0.0,0.0,29719.0,17.0,0.0,0.0,23504577880.0,177364528895.0
Z30251JM,2018-01-14,ST4000DM000,0,0.0,28483.0,0.0,0.0,29719.0,19.0,0.0,0.0,23506293050.0,177395072563.0
Z30251JM,2018-01-15,ST4000DM000,0,0.0,28507.0,0.0,0.0,29719.0,17.0,0.0,0.0,23507468444.0,177428311352.0
Z30251JM,2018-01-16,ST4000DM000,0,0.0,28532.0,0.0,0.0,29724.0,17.0,0.0,0.0,23508867282.0,177464653454.0
Z30251JM,2018-01-17,ST4000DM000,0,0.0,28555.0,0.0,0.0,29724.0,17.0,0.0,0.0,23510035167.0,177496734383.0
Z30251JM,2018-01-18,ST4000DM000,0,0.0,28580.0,0.0,0.0,29724.0,17.0,0.0,0.0,23511213210.0,177531801034.0
Z30251JM,2018-01-19,ST4000DM000,0,0.0,28604.0,0.0,0.0,29729.0,17.0,0.0,0.0,23512962528.0,177570377247.0
Z30251JM,2018-01-20,ST4000DM000,0,0.0,28628.0,0.0,0.0,29729.0,18.0,0.0,0.0,23514147398.0,177605730870.0
Z30251JM,2018-01-21,ST4000DM000,0,0.0,28652.0,0.0,0.0,29729.0,17.0,0.0,0.0,23515263028.0,177638010677.0
Z30251JM,2018-01-22,ST4000DM000,0,0.0,28676.0,0.0,0.0,29729.0,16.0,0.0,0.0,23516387331.0,177670935553.0
