serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3025ZS3,2018-01-02,ST4000DM000,0,0.0,27650.0,0.0,1.0,64379.0,24.0,0.0,0.0,25398855144.0,216289117125.0
Z3025ZS3,2018-01-03,ST4000DM000,0,0.0,27674.0,0.0,1.0,64379.0,24.0,0.0,0.0,25407207984.0,216325733900.0
Z3025ZS3,2018-01-04,ST4000DM000,0,0.0,27698.0,0.0,1.0,64379.0,23.0,0.0,0.0,25415555689.0,216362954547.0
Z3025ZS3,2018-01-05,ST4000DM000,0,0.0,27722.0,0.0,1.0,64380.0,24.0,0.0,0.0,25422727767.0,216399650394.0
Z3025ZS3,2018-01-06,ST4000DM000,0,0.0,27746.0,0.0,1.0,64380.0,23.0,0.0,0.0,25435156091.0,216433559673.0
Z3025ZS3,2018-01-07,ST4000DM000,0,0.0,27769.0,0.0,1.0,64380.0,23.0,0.0,0.0,25446400875.0,216468101101.0
Z3025ZS3,2018-01-08,ST4000DM000,0,0.0,27794.0,0.0,1.0,64380.0,23.0,0.0,0.0,25465020223.0,216506540123.0
Z3025ZS3,2018-01-09,ST4000DM000,0,0.0,27818.0,0.0,1.0,64380.0,23.0,0.0,0.0,25483093720.0,216555363861.0
Z3025ZS3,2018-01-10,ST4000DM000,0,0.0,27839.0,0.0,1.0,64380.0,23.0,0.0,0.0,25488160948.0,216587744423.0
Z3025ZS3,2018-01-11,ST4000DM000,0,0.0,27860.0,0.0,1.0,64380.0,22.0,0.0,0.0,25490333703.0,216620059948.0
Z3025ZS3,2018-01-12,ST4000DM000,0,0.0,27884.0,0.0,1.0,64382.0,23.0,0.0,0.0,25495676014.0,216658662468.0
Z3025ZS3,2018-01-13,ST4000DM000,0,0.0,27909.0,0.0,1.0,64386.0,23.0,0.0,0.0,25498100536.0,216691941045.0
Z3025ZS3,2018-01-14,ST4000DM000,0,0.0,27934.0,0.0,1.0,64386.0,23.0,0.0,0.0,25500283541.0,216727427935.0
Z3025ZS3,2018-01-15,ST4000DM000,0,0.0,27957.0,0.0,1.0,64386.0,24.0,0.0,0.0,25501746166.0,216758149383.0
Z3025ZS3,2018-01-16,ST4000DM000,0,0.0,27981.0,0.0,1.0,64386.0,25.0,0.0,0.0,25502982923.0,216791794988.0
Z3025ZS3,2018-01-17,ST4000DM000,0,0.0,27993.0,0.0,1.0,64386.0,25.0,0.0,0.0,25503597182.0,216807798118.0
Z3025ZS3,2018-01-18,ST4000DM000,0,0.0,28026.0,0.0,1.0,64392.0,25.0,0.0,0.0,25505449876.0,216854152671.0
Z3025ZS3,2018-01-19,ST4000DM000,0,0.0,28050.0,0.0,1.0,64392.0,25.0,0.0,0.0,25508196569.0,216905069597.0
Z3025ZS3,2018-01-20,ST4000DM000,0,0.0,28075.0,0.0,1.0,64392.0,28.0,0.0,0.0,25510059460.0,216945591310.0
Z3025ZS3,2018-01-21,ST4000DM000,0,0.0,28099.0,0.0,1.0,64392.0,24.0,0.0,0.0,25511273692.0,216977677182.0
Z3025ZS3,2018-01-22,ST4000DM000,0,0.0,28122.0,0.0,1.0,64392.0,24.0,0.0,0.0,25512539476.0,217010659289.0
Z3025ZS3,2018-01-23,ST4000DM000,0,0.0,28146.0,0.0,1.0,64392.0,24.0,0.0,0.0,25513812705.0,217043286005.0
Z3025ZS3,2018-01-24,ST4000DM000,0,0.0,28178.0,0.0,1.0,64395.0,25.0,0.0,0.0,25515601156.0,217089430820.0
Z3025ZS3,2018-01-25,ST4000DM000,0,0.0,28203.0,0.0,1.0,64395.0,25.0,0.0,0.0,25516813421.0,217121645006.0
Z3025ZS3,2018-01-26,ST4000DM000,0,0.0,28227.0,0.0,1.0,64408.0,26.0,0.0,0.0,25518036691.0,217154260188.0
Z3025ZS3,2018-01-27,ST4000DM000,0,0.0,28250.0,0.0,1.0,64408.0,26.0,0.0,0.0,25519485589.0,217188298598.0
Z3025ZS3,2018-01-28,ST4000DM000,0,0.0,28274.0,0.0,1.0,64408.0,26.0,0.0,0.0,25520822315.0,217222855576.0
Z3025ZS3,2018-01-29,ST4000DM000,0,0.0,28299.0,0.0,1.0,64408.0,26.0,0.0,0.0,25522126176.0,217256553694.0
Z3025ZS3,2018-01-30,ST4000DM000,0,0.0,28316.0,0.0,1.0,64408.0,26.0,0.0,0.0,25523120505.0,217280224059.0
Z3025ZS3,2018-01-31,ST4000DM000,0,0.0,28340.0,0.0,1.0,64408.0,26.0,0.0,0.0,25525138385.0,217315752516.0
Z3025ZS3,2018-02-01,ST4000DM000,0,0.0,28365.0,0.0,1.0,64408.0,26.0,0.0,0.0,25526657163.0,217356742595.0
Z3025ZS3,2018-02-02,ST4000DM000,0,0.0,28388.0,0.0,1.0,64408.0,26.0,0.0,0.0,25527993425.0,217391874642.0
Z3025ZS3,2018-02-03,ST4000DM000,0,0.0,28412.0,0.0,1.0,64408.0,26.0,0.0,0.0,25529313770.0,217425515808.0
Z3025ZS3,2018-02-04,ST4000DM000,0,0.0,28441.0,0.0,1.0,64408.0,26.0,0.0,0.0,25531000526.0,217464992513.0
Z3025ZS3,2018-02-05,ST4000DM000,0,0.0,28464.0,0.0,1.0,64408.0,26.0,0.0,0.0,25532307239.0,217495446052.0
Z3025ZS3,2018-02-06,ST4000DM000,0,0.0,28488.0,0.0,1.0,64408.0,26.0,0.0,0.0,25533562808.0,217526846544.0
Z3025ZS3,2018-02-07,ST4000DM000,0,0.0,28513.0,0.0,1.0,64408.0,25.0,0.0,0.0,25534873352.0,217559241927.0
Z3025ZS3,2018-02-08,ST4000DM000,0,0.0,28536.0,0.0,1.0,64408.0,26.0,0.0,0.0,25536203564.0,217591880369.0
Z3025ZS3,2018-02-09,ST4000DM000,0,0.0,28560.0,0.0,1.0,64408.0,27.0,0.0,0.0,25537462530.0,217623804648.0
Z3025ZS3,2018-02-10,ST4000DM000,0,0.0,28585.0,0.0,1.0,64408.0,26.0,0.0,0.0,25538745151.0,217657079436.0
Z3025ZS3,2018-02-11,ST4000DM000,0,0.0,28608.0,0.0,1.0,64408.0,27.0,0.0,0.0,25540019695.0,217687976103.0
Z3025ZS3,2018-02-12,ST4000DM000,0,0.0,28632.0,0.0,1.0,64408.0,28.0,0.0,0.0,25541313435.0,217718797614.0
Z3025ZS3,2018-02-13,ST4000DM000,0,0.0,28657.0,0.0,1.0,64408.0,27.0,0.0,0.0,25542656356.0,217753054717.0
Z3025ZS3,2018-02-14,ST4000DM000,0,0.0,28681.0,0.0,1.0,64408.0,27.0,0.0,0.0,25543984343.0,217783937948.0
Z3025ZS3,2018-02-15,ST4000DM000,0,0.0,28704.0,0.0,1.0,64408.0,27.0,0.0,0.0,25545332304.0,217814983614.0
Z3025ZS3,2018-02-16,ST4000DM000,0,0.0,28729.0,0.0,1.0,64408.0,27.0,0.0,0.0,25547889935.0,217851355683.0
Z3025ZS3,2018-02-17,ST4000DM000,0,0.0,28753.0,0.0,1.0,64408.0,28.0,0.0,0.0,25549183296.0,217882508150.0
Z3025ZS3,2018-02-18,ST4000DM000,0,0.0,28776.0,0.0,1.0,64408.0,27.0,0.0,0.0,25550513675.0,217914219956.0
Z3025ZS3,2018-02-19,ST4000DM000,0,0.0,28800.0,0.0,1.0,64408.0,28.0,0.0,0.0,25551789910.0,217945994771.0
Z3025ZS3,2018-02-20,ST4000DM000,0,0.0,28825.0,0.0,1.0,64408.0,28.0,0.0,0.0,25553711776.0,217980083385.0
Z3025ZS3,2018-02-21,ST4000DM000,0,0.0,28848.0,0.0,1.0,64408.0,28.0,0.0,0.0,25555080108.0,218013129384.0
Z3025ZS3,2018-02-22,ST4000DM000,0,0.0,28872.0,0.0,1.0,64408.0,29.0,0.0,0.0,25556326781.0,218047119633.0
Z3025ZS3,2018-02-23,ST4000DM000,0,0.0,28897.0,0.0,1.0,64408.0,30.0,0.0,0.0,25557613694.0,218077994508.0
Z3025ZS3,2018-02-24,ST4000DM000,0,0.0,28921.0,0.0,1.0,64408.0,30.0,0.0,0.0,25558972641.0,218115866702.0
Z3025ZS3,2018-02-25,ST4000DM000,0,0.0,28944.0,0.0,1.0,64408.0,29.0,0.0,0.0,25560271422.0,218150677725.0
Z3025ZS3,2018-02-26,ST4000DM000,0,0.0,28969.0,0.0,1.0,64408.0,29.0,0.0,0.0,25561623417.0,218182227840.0
Z3025ZS3,2018-02-27,ST4000DM000,0,0.0,28993.0,0.0,1.0,64408.0,30.0,0.0,0.0,25562909585.0,218213458844.0
Z3025ZS3,2018-02-28,ST4000DM000,0,0.0,29016.0,0.0,1.0,64408.0,29.0,0.0,0.0,25564256712.0,218245809014.0
Z3025ZS3,2018-03-01,ST4000DM000,0,0.0,29043.0,0.0,1.0,64408.0,29.0,0.0,0.0,25566107653.0,218281387248.0
Z3025ZS3,2018-03-02,ST4000DM000,0,0.0,29067.0,0.0,1.0,64408.0,28.0,0.0,0.0,25568353836.0,218315579690.0
Z3025ZS3,2018-03-03,ST4000DM000,0,0.0,29091.0,0.0,1.0,64408.0,29.0,0.0,0.0,25569681489.0,218347071315.0
Z3025ZS3,2018-03-04,ST4000DM000,0,0.0,29115.0,0.0,1.0,64408.0,29.0,0.0,0.0,25570974597.0,218380168979.0
Z3025ZS3,2018-03-05,ST4000DM000,0,0.0,29139.0,0.0,1.0,64408.0,29.0,0.0,0.0,25572266970.0,218412609742.0
Z3025ZS3,2018-03-06,ST4000DM000,0,0.0,29164.0,0.0,1.0,64408.0,29.0,0.0,0.0,25574443924.0,218445753463.0
Z3025ZS3,2018-03-07,ST4000DM000,0,0.0,29188.0,0.0,1.0,64408.0,29.0,0.0,0.0,25575657978.0,218480571869.0
Z3025ZS3,2018-03-08,ST4000DM000,0,0.0,29210.0,0.0,1.0,64408.0,28.0,0.0,0.0,25577254643.0,218510305859.0
Z3025ZS3,2018-03-09,ST4000DM000,0,0.0,29234.0,0.0,1.0,64408.0,28.0,0.0,0.0,25578691414.0,218543910072.0
Z3025ZS3,2018-03-10,ST4000DM000,0,0.0,29257.0,0.0,1.0,64408.0,28.0,0.0,0.0,25580136817.0,218579432189.0
Z3025ZS3,2018-03-11,ST4000DM000,0,0.0,29282.0,0.0,1.0,64408.0,28.0,0.0,0.0,25581434658.0,218614205600.0
Z3025ZS3,2018-03-12,ST4000DM000,0,0.0,29306.0,0.0,1.0,64408.0,29.0,0.0,0.0,25582650598.0,218646701682.0
Z3025ZS3,2018-03-13,ST4000DM000,0,0.0,29329.0,0.0,1.0,64408.0,28.0,0.0,0.0,25583916000.0,218679451802.0
Z3025ZS3,2018-03-14,ST4000DM000,0,0.0,29354.0,0.0,1.0,64408.0,28.0,0.0,0.0,25585222684.0,218712997705.0
Z3025ZS3,2018-03-15,ST4000DM000,0,0.0,29378.0,0.0,1.0,64408.0,29.0,0.0,0.0,25586744778.0,218743571973.0
Z3025ZS3,2018-03-16,ST4000DM000,0,0.0,29402.0,0.0,1.0,64408.0,28.0,0.0,0.0,25587992638.0,218775035424.0
Z3025ZS3,2018-03-17,ST4000DM000,0,0.0,29426.0,0.0,1.0,64408.0,29.0,0.0,0.0,25589522965.0,218809717605.0
Z3025ZS3,2018-03-18,ST4000DM000,0,0.0,29450.0,0.0,1.0,64408.0,29.0,0.0,0.0,25590822453.0,218847524385.0
Z3025ZS3,2018-03-19,ST4000DM000,0,0.0,29474.0,0.0,1.0,64408.0,29.0,0.0,0.0,25592043439.0,218880369577.0
Z3025ZS3,2018-03-20,ST4000DM000,0,0.0,29498.0,0.0,1.0,64408.0,28.0,0.0,0.0,25593431429.0,218914306953.0
Z3025ZS3,2018-03-21,ST4000DM000,0,0.0,29522.0,0.0,1.0,64408.0,28.0,0.0,0.0,25594654799.0,218950407011.0
Z3025ZS3,2018-03-22,ST4000DM000,0,0.0,29546.0,0.0,1.0,64408.0,29.0,0.0,0.0,25597872083.0,219035050418.0
Z3025ZS3,2018-03-23,ST4000DM000,0,0.0,29573.0,0.0,1.0,64846.0,27.0,0.0,0.0,25598613467.0,219070274865.0
Z3025ZS3,2018-03-24,ST4000DM000,0,0.0,29596.0,0.0,1.0,65584.0,29.0,0.0,0.0,25598994431.0,219104090694.0
Z3025ZS3,2018-03-25,ST4000DM000,0,0.0,29621.0,0.0,1.0,65584.0,27.0,0.0,0.0,25600860712.0,219140821607.0
Z3025ZS3,2018-03-26,ST4000DM000,0,0.0,29645.0,0.0,1.0,65584.0,27.0,0.0,0.0,25602316533.0,219174836308.0
Z3025ZS3,2018-03-27,ST4000DM000,0,0.0,29668.0,0.0,1.0,65584.0,27.0,0.0,0.0,25603746432.0,219208292419.0
Z3025ZS3,2018-03-28,ST4000DM000,0,0.0,29693.0,0.0,1.0,65584.0,27.0,0.0,0.0,25605214269.0,219245201326.0
Z3025ZS3,2018-03-29,ST4000DM000,0,0.0,29714.0,0.0,1.0,65584.0,26.0,0.0,0.0,25606625774.0,219272789736.0
Z3025ZS3,2018-03-30,ST4000DM000,0,0.0,29738.0,0.0,1.0,65584.0,27.0,0.0,0.0,25608211832.0,219306693144.0
Z3025ZS3,2018-03-31,ST4000DM000,0,0.0,29761.0,0.0,1.0,65584.0,27.0,0.0,0.0,25609630106.0,219337697478.0
Z3025ZS3,2018-04-01,ST4000DM000,0,0.0,29785.0,0.0,1.0,65584.0,27.0,0.0,0.0,25612835947.0,219370515686.0
Z3025ZS3,2018-04-02,ST4000DM000,0,0.0,29810.0,0.0,1.0,65584.0,27.0,0.0,0.0,25614155503.0,219404327570.0
Z3025ZS3,2018-04-03,ST4000DM000,0,0.0,29833.0,0.0,1.0,65584.0,28.0,0.0,0.0,25615432197.0,219436569794.0
Z3025ZS3,2018-04-04,ST4000DM000,0,0.0,29857.0,0.0,1.0,65584.0,28.0,0.0,0.0,25616670024.0,219471301695.0
Z3025ZS3,2018-04-05,ST4000DM000,0,0.0,29882.0,0.0,1.0,65584.0,28.0,0.0,0.0,25617978294.0,219503409345.0
Z3025ZS3,2018-04-06,ST4000DM000,0,0.0,29905.0,0.0,1.0,65584.0,28.0,0.0,0.0,25619309255.0,219536661317.0
Z3025ZS3,2018-04-07,ST4000DM000,0,0.0,29929.0,0.0,1.0,65584.0,28.0,0.0,0.0,25620575223.0,219569863645.0
Z3025ZS3,2018-04-08,ST4000DM000,0,0.0,29954.0,0.0,1.0,65584.0,27.0,0.0,0.0,25621877794.0,219605058959.0
Z3025ZS3,2018-04-09,ST4000DM000,0,0.0,29978.0,0.0,1.0,65584.0,26.0,0.0,0.0,25623165374.0,219642617242.0
Z3025ZS3,2018-04-10,ST4000DM000,0,0.0,30001.0,0.0,1.0,65584.0,27.0,0.0,0.0,25624442548.0,219675661047.0
Z3025ZS3,2018-04-11,ST4000DM000,0,0.0,30026.0,0.0,1.0,65584.0,27.0,0.0,0.0,25625741494.0,219712388360.0
Z3025ZS3,2018-04-12,ST4000DM000,0,0.0,30049.0,0.0,1.0,65584.0,26.0,0.0,0.0,25627023978.0,219742097381.0
Z3025ZS3,2018-04-13,ST4000DM000,0,0.0,30073.0,0.0,1.0,65584.0,28.0,0.0,0.0,25628327412.0,219774704198.0
Z3025ZS3,2018-04-14,ST4000DM000,0,0.0,30097.0,0.0,1.0,65584.0,28.0,0.0,0.0,25629613047.0,219806145420.0
Z3025ZS3,2018-04-15,ST4000DM000,0,0.0,30121.0,0.0,1.0,65584.0,28.0,0.0,0.0,25630891340.0,219837538979.0
Z3025ZS3,2018-04-16,ST4000DM000,0,0.0,30145.0,0.0,1.0,65584.0,28.0,0.0,0.0,25632133239.0,219869594268.0
Z3025ZS3,2018-04-17,ST4000DM000,0,0.0,30169.0,0.0,1.0,65584.0,28.0,0.0,0.0,25633377946.0,219901902487.0
Z3025ZS3,2018-04-18,ST4000DM000,0,0.0,30193.0,0.0,1.0,65584.0,28.0,0.0,0.0,25634659857.0,219933359700.0
Z3025ZS3,2018-04-19,ST4000DM000,0,0.0,30217.0,0.0,1.0,65584.0,27.0,0.0,0.0,25635917400.0,219964830046.0
Z3025ZS3,2018-04-20,ST4000DM000,0,0.0,30241.0,0.0,1.0,65584.0,28.0,0.0,0.0,25637201877.0,220007049314.0
Z3025ZS3,2018-04-21,ST4000DM000,0,0.0,30265.0,0.0,1.0,65584.0,27.0,0.0,0.0,25638422683.0,220037426596.0
Z3025ZS3,2018-04-22,ST4000DM000,0,0.0,30289.0,0.0,1.0,65584.0,27.0,0.0,0.0,25639766553.0,220071816152.0
Z3025ZS3,2018-04-23,ST4000DM000,0,0.0,30313.0,0.0,1.0,65584.0,27.0,0.0,0.0,25641043213.0,220104987660.0
Z3025ZS3,2018-04-24,ST4000DM000,0,0.0,30337.0,0.0,1.0,65584.0,27.0,0.0,0.0,25642318412.0,220136047145.0
Z3025ZS3,2018-04-25,ST4000DM000,0,0.0,30361.0,0.0,1.0,65584.0,27.0,0.0,0.0,25643670759.0,220168554405.0
Z3025ZS3,2018-04-26,ST4000DM000,0,0.0,30387.0,0.0,1.0,65584.0,27.0,0.0,0.0,25645480932.0,220205720320.0
Z3025ZS3,2018-04-27,ST4000DM000,0,0.0,30411.0,0.0,1.0,65584.0,27.0,0.0,0.0,25646901932.0,220238386437.0
Z3025ZS3,2018-04-28,ST4000DM000,0,0.0,30435.0,0.0,1.0,65584.0,27.0,0.0,0.0,25648214314.0,220269078419.0
Z3025ZS3,2018-04-29,ST4000DM000,0,0.0,30459.0,0.0,1.0,65584.0,27.0,0.0,0.0,25649483568.0,220306003040.0
Z3025ZS3,2018-04-30,ST4000DM000,0,0.0,30483.0,0.0,1.0,65584.0,27.0,0.0,0.0,25650842834.0,220341163966.0
Z3025ZS3,2018-05-01,ST4000DM000,0,0.0,30507.0,0.0,1.0,65584.0,27.0,0.0,0.0,25652122162.0,220372476195.0
Z3025ZS3,2018-05-02,ST4000DM000,0,0.0,30531.0,0.0,1.0,65584.0,27.0,0.0,0.0,25653324962.0,220408726433.0
Z3025ZS3,2018-05-03,ST4000DM000,0,0.0,30553.0,0.0,1.0,65584.0,27.0,0.0,0.0,25654870023.0,220439040810.0
Z3025ZS3,2018-05-04,ST4000DM000,0,0.0,30577.0,0.0,1.0,65584.0,27.0,0.0,0.0,25656297379.0,220474590023.0
Z3025ZS3,2018-05-05,ST4000DM000,0,0.0,30601.0,0.0,1.0,65584.0,27.0,0.0,0.0,25657575968.0,220511138602.0
Z3025ZS3,2018-05-06,ST4000DM000,0,0.0,30625.0,0.0,1.0,65584.0,27.0,0.0,0.0,25658875749.0,220547851661.0
Z3025ZS3,2018-05-07,ST4000DM000,0,0.0,30649.0,0.0,1.0,65584.0,27.0,0.0,0.0,25660110913.0,220578176144.0
Z3025ZS3,2018-05-08,ST4000DM000,0,0.0,30673.0,0.0,1.0,65584.0,27.0,0.0,0.0,25661405645.0,220610174096.0
Z3025ZS3,2018-05-09,ST4000DM000,0,0.0,30697.0,0.0,1.0,65584.0,27.0,0.0,0.0,25662674108.0,220642044923.0
