serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z302SY1F,2018-01-02,ST4000DM000,0,0.0,20027.0,0.0,0.0,12230.0,33.0,0.0,0.0,44104509304.0,73436037816.0
Z302SY1F,2018-01-03,ST4000DM000,0,0.0,20052.0,0.0,0.0,12230.0,33.0,0.0,0.0,44145662936.0,73575692418.0
Z302SY1F,2018-01-04,ST4000DM000,0,0.0,20067.0,0.0,0.0,12230.0,32.0,0.0,0.0,44161740096.0,73695590514.0
Z302SY1F,2018-01-05,ST4000DM000,0,0.0,20080.0,0.0,0.0,12230.0,33.0,0.0,0.0,44180054208.0,73773518395.0
Z302SY1F,2018-01-06,ST4000DM000,0,0.0,20116.0,0.0,0.0,12230.0,23.0,0.0,0.0,44227535760.0,73969030076.0
Z302SY1F,2018-01-07,ST4000DM000,0,0.0,20139.0,0.0,0.0,12230.0,23.0,0.0,0.0,44256774024.0,74032761426.0
Z302SY1F,2018-01-08,ST4000DM000,0,0.0,20163.0,0.0,0.0,12230.0,24.0,0.0,0.0,44303415456.0,74144464657.0
Z302SY1F,2018-01-09,ST4000DM000,0,0.0,20187.0,0.0,0.0,12230.0,24.0,0.0,0.0,44330647152.0,74300139990.0
Z302SY1F,2018-01-10,ST4000DM000,0,0.0,20215.0,0.0,0.0,12230.0,24.0,0.0,0.0,44349258744.0,74463028574.0
Z302SY1F,2018-01-11,ST4000DM000,0,0.0,20233.0,0.0,0.0,12231.0,25.0,0.0,0.0,44354001736.0,74530558709.0
Z302SY1F,2018-01-12,ST4000DM000,0,0.0,20269.0,0.0,0.0,12233.0,25.0,0.0,0.0,44366589984.0,74730978232.0
Z302SY1F,2018-01-13,ST4000DM000,0,0.0,20293.0,0.0,0.0,12233.0,25.0,0.0,0.0,44372190328.0,74832969611.0
Z302SY1F,2018-01-14,ST4000DM000,0,0.0,20317.0,0.0,0.0,12233.0,24.0,0.0,0.0,44377035152.0,74971054947.0
Z302SY1F,2018-01-15,ST4000DM000,0,0.0,20341.0,0.0,0.0,12233.0,24.0,0.0,0.0,44380429000.0,75086573210.0
Z302SY1F,2018-01-16,ST4000DM000,0,0.0,20353.0,0.0,0.0,12233.0,25.0,0.0,0.0,44385685240.0,75135097930.0
