serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z302SYLX,2018-01-02,ST4000DM000,0,0.0,20695.0,0.0,0.0,20671.0,28.0,0.0,0.0,45871712920.0,66943584339.0
Z302SYLX,2018-01-03,ST4000DM000,0,0.0,20719.0,0.0,0.0,20671.0,28.0,0.0,0.0,45910879744.0,67034728397.0
Z302SYLX,2018-01-04,ST4000DM000,0,0.0,20747.0,0.0,0.0,20674.0,28.0,0.0,0.0,45952646968.0,67183141147.0
Z302SYLX,2018-01-05,ST4000DM000,0,0.0,20772.0,0.0,0.0,20674.0,28.0,0.0,0.0,45983168864.0,67300241703.0
Z302SYLX,2018-01-06,ST4000DM000,0,0.0,20795.0,0.0,0.0,20674.0,23.0,0.0,0.0,46014105152.0,67448518913.0
Z302SYLX,2018-01-07,ST4000DM000,0,0.0,20807.0,0.0,0.0,20674.0,23.0,0.0,0.0,46023527192.0,67505041414.0
Z302SYLX,2018-01-08,ST4000DM000,0,0.0,20843.0,0.0,0.0,20674.0,24.0,0.0,0.0,46071908928.0,67659643264.0
Z302SYLX,2018-01-09,ST4000DM000,0,0.0,20868.0,0.0,0.0,20674.0,24.0,0.0,0.0,46091457072.0,67785613105.0
Z302SYLX,2018-01-10,ST4000DM000,0,0.0,20883.0,0.0,0.0,20674.0,24.0,0.0,0.0,46106461568.0,67905123184.0
Z302SYLX,2018-01-11,ST4000DM000,0,0.0,20912.0,0.0,0.0,20677.0,25.0,0.0,0.0,46115032856.0,68067197748.0
Z302SYLX,2018-01-12,ST4000DM000,0,0.0,20937.0,0.0,0.0,20677.0,25.0,0.0,0.0,46125283008.0,68196878785.0
Z302SYLX,2018-01-13,ST4000DM000,0,0.0,20961.0,0.0,0.0,20677.0,24.0,0.0,0.0,46130150584.0,68335674951.0
Z302SYLX,2018-01-14,ST4000DM000,0,0.0,20985.0,0.0,0.0,20677.0,24.0,0.0,0.0,46135223416.0,68480838473.0
Z302SYLX,2018-01-15,ST4000DM000,0,0.0,21008.0,0.0,0.0,20681.0,25.0,0.0,0.0,46142112200.0,68636034117.0
Z302SYLX,2018-01-16,ST4000DM000,0,0.0,21033.0,0.0,0.0,20681.0,25.0,0.0,0.0,46148863272.0,68822284828.0
Z302SYLX,2018-01-17,ST4000DM000,0,0.0,21057.0,0.0,0.0,20681.0,24.0,0.0,0.0,46154804216.0,69023980037.0
Z302SYLX,2018-01-18,ST4000DM000,0,0.0,21072.0,0.0,0.0,20681.0,24.0,0.0,0.0,46159669064.0,69141523541.0
Z302SYLX,2018-01-19,ST4000DM000,0,0.0,21095.0,0.0,0.0,20684.0,26.0,0.0,0.0,46165676984.0,69289214365.0
Z302SYLX,2018-01-20,ST4000DM000,0,0.0,21119.0,0.0,0.0,20684.0,24.0,0.0,0.0,46175271768.0,69427763240.0
Z302SYLX,2018-01-21,ST4000DM000,0,0.0,21144.0,0.0,0.0,20684.0,24.0,0.0,0.0,46184519264.0,69591585356.0
Z302SYLX,2018-01-22,ST4000DM000,0,0.0,21168.0,0.0,0.0,20684.0,23.0,0.0,0.0,46190344568.0,69783395543.0
Z302SYLX,2018-01-23,ST4000DM000,0,0.0,21192.0,0.0,0.0,20684.0,23.0,0.0,0.0,46200656064.0,69969111517.0
Z302SYLX,2018-01-24,ST4000DM000,0,0.0,21223.0,0.0,0.0,20684.0,23.0,0.0,0.0,46211646792.0,70211846265.0
Z302SYLX,2018-01-25,ST4000DM000,0,0.0,21240.0,0.0,0.0,20684.0,23.0,0.0,0.0,46220011448.0,70333033735.0
