serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z303Q227,2018-01-02,ST4000DM000,0,0.0,19680.0,0.0,0.0,6354.0,23.0,0.0,0.0,44972143296.0,63009104047.0
Z303Q227,2018-01-03,ST4000DM000,0,0.0,19704.0,0.0,0.0,6354.0,22.0,0.0,0.0,44984291840.0,63157337893.0
Z303Q227,2018-01-04,ST4000DM000,0,0.0,19716.0,0.0,0.0,6354.0,23.0,0.0,0.0,44988841128.0,63237935017.0
Z303Q227,2018-01-05,ST4000DM000,0,0.0,19744.0,0.0,0.0,6358.0,22.0,0.0,0.0,45005100744.0,63432740804.0
Z303Q227,2018-01-06,ST4000DM000,0,0.0,19780.0,0.0,0.0,6358.0,23.0,0.0,0.0,45037613864.0,63669963782.0
Z303Q227,2018-01-07,ST4000DM000,0,0.0,19804.0,0.0,0.0,6358.0,23.0,0.0,0.0,45054751544.0,63856839335.0
Z303Q227,2018-01-08,ST4000DM000,0,0.0,19828.0,0.0,0.0,6358.0,22.0,0.0,0.0,45065745176.0,64033771206.0
Z303Q227,2018-01-09,ST4000DM000,0,0.0,19840.0,0.0,0.0,6358.0,22.0,0.0,0.0,45071685296.0,64134209310.0
Z303Q227,2018-01-10,ST4000DM000,0,0.0,19864.0,0.0,0.0,6358.0,22.0,0.0,0.0,45086900224.0,64302000354.0
Z303Q227,2018-01-11,ST4000DM000,0,0.0,19898.0,0.0,0.0,6360.0,23.0,0.0,0.0,45112196064.0,64534694244.0
Z303Q227,2018-01-12,ST4000DM000,0,0.0,19922.0,0.0,0.0,6360.0,24.0,0.0,0.0,45132218696.0,64708183487.0
Z303Q227,2018-01-13,ST4000DM000,0,0.0,19945.0,0.0,0.0,6360.0,24.0,0.0,0.0,45146066032.0,64872166411.0
Z303Q227,2018-01-14,ST4000DM000,0,0.0,19970.0,0.0,0.0,6360.0,24.0,0.0,0.0,45165618216.0,65065465114.0
Z303Q227,2018-01-15,ST4000DM000,0,0.0,19994.0,0.0,0.0,6360.0,24.0,0.0,0.0,45181675744.0,65252342464.0
Z303Q227,2018-01-16,ST4000DM000,0,0.0,20018.0,0.0,0.0,6360.0,24.0,0.0,0.0,45203965744.0,65380751069.0
Z303Q227,2018-01-17,ST4000DM000,0,0.0,20042.0,0.0,0.0,6360.0,22.0,0.0,0.0,45224164024.0,65553064247.0
Z303Q227,2018-01-18,ST4000DM000,0,0.0,20057.0,0.0,0.0,6360.0,23.0,0.0,0.0,45232884144.0,65684912228.0
Z303Q227,2018-01-19,ST4000DM000,0,0.0,20081.0,0.0,0.0,6364.0,22.0,0.0,0.0,45259598680.0,65835169024.0
Z303Q227,2018-01-20,ST4000DM000,0,0.0,20105.0,0.0,0.0,6364.0,23.0,0.0,0.0,45273258928.0,66022309971.0
Z303Q227,2018-01-21,ST4000DM000,0,0.0,20129.0,0.0,0.0,6364.0,23.0,0.0,0.0,45287407408.0,66200883323.0
Z303Q227,2018-01-22,ST4000DM000,0,0.0,20153.0,0.0,0.0,6364.0,22.0,0.0,0.0,45298074224.0,66362991084.0
Z303Q227,2018-01-23,ST4000DM000,0,0.0,20177.0,0.0,0.0,6364.0,21.0,0.0,0.0,45311994496.0,66547185454.0
Z303Q227,2018-01-24,ST4000DM000,0,0.0,20209.0,0.0,0.0,6364.0,22.0,0.0,0.0,45344840632.0,66763711803.0
Z303Q227,2018-01-25,ST4000DM000,0,0.0,20226.0,0.0,0.0,6364.0,21.0,0.0,0.0,45353239864.0,66879965250.0
Z303Q227,2018-01-26,ST4000DM000,0,0.0,20237.0,0.0,0.0,6367.0,21.0,0.0,0.0,45360393712.0,66953404359.0
Z303Q227,2018-01-27,ST4000DM000,0,0.0,20273.0,0.0,0.0,6367.0,22.0,0.0,0.0,45383873112.0,67230508463.0
Z303Q227,2018-01-28,ST4000DM000,0,0.0,20298.0,0.0,0.0,6367.0,22.0,0.0,0.0,45401514408.0,67399639063.0
