serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3041RXH,2018-01-02,ST4000DM000,0,0.0,20238.0,0.0,3.0,21661.0,30.0,0.0,0.0,23452698146.0,170542983811.0
Z3041RXH,2018-01-03,ST4000DM000,0,0.0,20263.0,0.0,3.0,21661.0,31.0,0.0,0.0,23461359668.0,170577676359.0
Z3041RXH,2018-01-04,ST4000DM000,0,0.0,20287.0,0.0,3.0,21661.0,31.0,0.0,0.0,23472048224.0,170609375047.0
Z3041RXH,2018-01-05,ST4000DM000,0,0.0,20310.0,0.0,3.0,21661.0,31.0,0.0,0.0,23482183938.0,170644417348.0
Z3041RXH,2018-01-06,ST4000DM000,0,0.0,20334.0,0.0,3.0,21661.0,28.0,0.0,0.0,23491698698.0,170676984364.0
Z3041RXH,2018-01-07,ST4000DM000,0,0.0,20359.0,0.0,3.0,21661.0,28.0,0.0,0.0,23502095229.0,170710477740.0
Z3041RXH,2018-01-08,ST4000DM000,0,0.0,20382.0,0.0,3.0,21661.0,29.0,0.0,0.0,23512565905.0,170745113929.0
Z3041RXH,2018-01-09,ST4000DM000,0,0.0,20406.0,0.0,3.0,21661.0,29.0,0.0,0.0,23524324046.0,170780625426.0
Z3041RXH,2018-01-10,ST4000DM000,0,0.0,20431.0,0.0,3.0,21664.0,26.0,0.0,0.0,23535797009.0,170828452941.0
Z3041RXH,2018-01-11,ST4000DM000,0,0.0,20445.0,0.0,3.0,21664.0,27.0,0.0,0.0,23537297439.0,170853396489.0
Z3041RXH,2018-01-12,ST4000DM000,0,0.0,20468.0,0.0,3.0,21666.0,26.0,0.0,0.0,23543077461.0,170902801202.0
Z3041RXH,2018-01-13,ST4000DM000,0,0.0,20496.0,0.0,3.0,21666.0,27.0,0.0,0.0,23548253331.0,170952213267.0
Z3041RXH,2018-01-14,ST4000DM000,0,0.0,20521.0,0.0,3.0,21666.0,28.0,0.0,0.0,23550890646.0,170993847499.0
Z3041RXH,2018-01-15,ST4000DM000,0,0.0,20544.0,0.0,3.0,21667.0,26.0,0.0,0.0,23553695455.0,171044364226.0
Z3041RXH,2018-01-16,ST4000DM000,0,0.0,20568.0,0.0,3.0,21667.0,27.0,0.0,0.0,23557636862.0,171084022857.0
Z3041RXH,2018-01-17,ST4000DM000,0,0.0,20593.0,0.0,3.0,21670.0,26.0,0.0,0.0,23561897913.0,171122168974.0
Z3041RXH,2018-01-18,ST4000DM000,0,0.0,20616.0,0.0,3.0,21675.0,27.0,0.0,0.0,23566340442.0,171171473897.0
Z3041RXH,2018-01-19,ST4000DM000,0,0.0,20640.0,0.0,3.0,21675.0,26.0,0.0,0.0,23569364326.0,171220510694.0
Z3041RXH,2018-01-20,ST4000DM000,0,0.0,20663.0,0.0,3.0,21685.0,26.0,0.0,0.0,23572980030.0,171267263875.0
Z3041RXH,2018-01-21,ST4000DM000,0,0.0,20687.0,0.0,3.0,21686.0,27.0,0.0,0.0,23578050977.0,171304438499.0
Z3041RXH,2018-01-22,ST4000DM000,0,0.0,20712.0,0.0,3.0,21686.0,27.0,0.0,0.0,23583056681.0,171355195127.0
Z3041RXH,2018-01-23,ST4000DM000,0,0.0,20736.0,0.0,3.0,21690.0,26.0,0.0,0.0,23588279654.0,171396052078.0
Z3041RXH,2018-01-24,ST4000DM000,0,0.0,20768.0,0.0,3.0,21695.0,26.0,0.0,0.0,23595552380.0,175743760682.0
Z3041RXH,2018-01-25,ST4000DM000,0,0.0,20792.0,0.0,3.0,21695.0,26.0,0.0,0.0,23601561293.0,175791482201.0
Z3041RXH,2018-01-26,ST4000DM000,0,0.0,20815.0,0.0,3.0,21698.0,26.0,0.0,0.0,23605256949.0,175826592434.0
Z3041RXH,2018-01-27,ST4000DM000,0,0.0,20840.0,0.0,3.0,21698.0,26.0,0.0,0.0,23608465295.0,175870052035.0
Z3041RXH,2018-01-28,ST4000DM000,0,0.0,20864.0,0.0,3.0,21698.0,25.0,0.0,0.0,23613076750.0,175913316265.0
Z3041RXH,2018-01-29,ST4000DM000,0,0.0,20887.0,0.0,3.0,21698.0,25.0,0.0,0.0,23618231062.0,175953795188.0
Z3041RXH,2018-01-30,ST4000DM000,0,0.0,20904.0,0.0,3.0,21698.0,25.0,0.0,0.0,23622573466.0,175976891945.0
Z3041RXH,2018-01-31,ST4000DM000,0,0.0,20927.0,0.0,3.0,21698.0,26.0,0.0,0.0,23628759904.0,176026239738.0
Z3041RXH,2018-02-01,ST4000DM000,0,0.0,20951.0,0.0,3.0,21698.0,26.0,0.0,0.0,23632848888.0,176059474934.0
Z3041RXH,2018-02-02,ST4000DM000,0,0.0,20976.0,0.0,3.0,21698.0,26.0,0.0,0.0,23637458114.0,176098923184.0
