serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304HQTH,2018-01-02,ST4000DM000,0,0.0,18578.0,0.0,0.0,11718.0,23.0,0.0,0.0,38774886720.0,61525738016.0
Z304HQTH,2018-01-03,ST4000DM000,0,0.0,18602.0,0.0,0.0,11718.0,23.0,0.0,0.0,38816649616.0,61639879170.0
Z304HQTH,2018-01-04,ST4000DM000,0,0.0,18629.0,0.0,0.0,11718.0,23.0,0.0,0.0,38869083112.0,61810579492.0
Z304HQTH,2018-01-05,ST4000DM000,0,0.0,18653.0,0.0,0.0,11718.0,23.0,0.0,0.0,38897170320.0,61920401715.0
Z304HQTH,2018-01-06,ST4000DM000,0,0.0,18676.0,0.0,0.0,11718.0,24.0,0.0,0.0,38917840616.0,62036042427.0
Z304HQTH,2018-01-07,ST4000DM000,0,0.0,18701.0,0.0,0.0,11718.0,24.0,0.0,0.0,38943333000.0,62171460571.0
Z304HQTH,2018-01-08,ST4000DM000,0,0.0,18725.0,0.0,0.0,11718.0,23.0,0.0,0.0,38969637216.0,62335557660.0
Z304HQTH,2018-01-09,ST4000DM000,0,0.0,18749.0,0.0,0.0,11718.0,23.0,0.0,0.0,39000352528.0,62538224192.0
Z304HQTH,2018-01-10,ST4000DM000,0,0.0,18775.0,0.0,0.0,11718.0,23.0,0.0,0.0,39026441008.0,62735592598.0
Z304HQTH,2018-01-11,ST4000DM000,0,0.0,18795.0,0.0,0.0,11718.0,22.0,0.0,0.0,39031055352.0,62844279128.0
Z304HQTH,2018-01-12,ST4000DM000,0,0.0,18819.0,0.0,0.0,11721.0,23.0,0.0,0.0,39042323928.0,63014674129.0
Z304HQTH,2018-01-13,ST4000DM000,0,0.0,18843.0,0.0,0.0,11721.0,23.0,0.0,0.0,39057354248.0,63200024503.0
Z304HQTH,2018-01-14,ST4000DM000,0,0.0,18867.0,0.0,0.0,11721.0,23.0,0.0,0.0,39062725272.0,63370776194.0
Z304HQTH,2018-01-15,ST4000DM000,0,0.0,18891.0,0.0,0.0,11721.0,23.0,0.0,0.0,39066557360.0,63525645834.0
Z304HQTH,2018-01-16,ST4000DM000,0,0.0,18915.0,0.0,0.0,11721.0,24.0,0.0,0.0,39071532512.0,63723897521.0
Z304HQTH,2018-01-17,ST4000DM000,0,0.0,18939.0,0.0,0.0,11721.0,23.0,0.0,0.0,39082374056.0,63925858289.0
Z304HQTH,2018-01-18,ST4000DM000,0,0.0,18963.0,0.0,0.0,11721.0,23.0,0.0,0.0,39091439720.0,64093395267.0
