serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304HTET,2018-01-02,ST4000DM000,0,0.0,18299.0,0.0,0.0,8954.0,24.0,0.0,0.0,41251031304.0,58274187277.0
Z304HTET,2018-01-03,ST4000DM000,0,0.0,18324.0,0.0,0.0,8954.0,24.0,0.0,0.0,41292215608.0,58416269815.0
Z304HTET,2018-01-04,ST4000DM000,0,0.0,18339.0,0.0,0.0,8954.0,23.0,0.0,0.0,41314635760.0,58456531436.0
Z304HTET,2018-01-05,ST4000DM000,0,0.0,18363.0,0.0,0.0,8958.0,23.0,0.0,0.0,41362318600.0,58534540528.0
Z304HTET,2018-01-06,ST4000DM000,0,0.0,18387.0,0.0,0.0,8958.0,22.0,0.0,0.0,41393645960.0,58668391171.0
Z304HTET,2018-01-07,ST4000DM000,0,0.0,18411.0,0.0,0.0,8958.0,22.0,0.0,0.0,41435978840.0,58812924503.0
Z304HTET,2018-01-08,ST4000DM000,0,0.0,18423.0,0.0,0.0,8958.0,23.0,0.0,0.0,41459339176.0,58872371612.0
Z304HTET,2018-01-09,ST4000DM000,0,0.0,18459.0,0.0,0.0,8958.0,23.0,0.0,0.0,41495707032.0,59083171277.0
Z304HTET,2018-01-10,ST4000DM000,0,0.0,18485.0,0.0,0.0,8958.0,23.0,0.0,0.0,41528363960.0,59214340287.0
Z304HTET,2018-01-11,ST4000DM000,0,0.0,18497.0,0.0,0.0,8960.0,23.0,0.0,0.0,41531943504.0,59272620260.0
Z304HTET,2018-01-12,ST4000DM000,0,0.0,18529.0,0.0,0.0,8963.0,22.0,0.0,0.0,41546603152.0,59436637825.0
Z304HTET,2018-01-13,ST4000DM000,0,0.0,18553.0,0.0,0.0,8963.0,23.0,0.0,0.0,41553037272.0,59563673829.0
Z304HTET,2018-01-14,ST4000DM000,0,0.0,18577.0,0.0,0.0,8963.0,22.0,0.0,0.0,41555933920.0,59615278509.0
Z304HTET,2018-01-15,ST4000DM000,0,0.0,18590.0,0.0,0.0,8963.0,23.0,0.0,0.0,41558448040.0,59677498761.0
Z304HTET,2018-01-16,ST4000DM000,0,0.0,18625.0,0.0,0.0,8963.0,23.0,0.0,0.0,41572918264.0,59819531603.0
Z304HTET,2018-01-17,ST4000DM000,0,0.0,18637.0,0.0,0.0,8963.0,24.0,0.0,0.0,41580349440.0,59885970456.0
Z304HTET,2018-01-18,ST4000DM000,0,0.0,18674.0,0.0,0.0,8963.0,23.0,0.0,0.0,41588075472.0,60078913522.0
Z304HTET,2018-01-19,ST4000DM000,0,0.0,18702.0,0.0,0.0,8966.0,23.0,0.0,0.0,41593929896.0,60238135124.0
