serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304JG95,2018-01-02,ST4000DM000,0,0.0,18621.0,0.0,0.0,5296.0,24.0,0.0,0.0,41621697232.0,63098207202.0
Z304JG95,2018-01-03,ST4000DM000,0,0.0,18645.0,0.0,0.0,5296.0,24.0,0.0,0.0,41630586840.0,63268892034.0
Z304JG95,2018-01-04,ST4000DM000,0,0.0,18670.0,0.0,0.0,5296.0,24.0,0.0,0.0,41644503880.0,63481940245.0
Z304JG95,2018-01-05,ST4000DM000,0,0.0,18695.0,0.0,0.0,5299.0,24.0,0.0,0.0,41655139344.0,63642888623.0
Z304JG95,2018-01-06,ST4000DM000,0,0.0,18719.0,0.0,0.0,5299.0,24.0,0.0,0.0,41666154416.0,63826118211.0
Z304JG95,2018-01-07,ST4000DM000,0,0.0,18731.0,0.0,0.0,5299.0,24.0,0.0,0.0,41673833200.0,63879519901.0
Z304JG95,2018-01-08,ST4000DM000,0,0.0,18767.0,0.0,0.0,5299.0,24.0,0.0,0.0,41692543120.0,64134959852.0
Z304JG95,2018-01-09,ST4000DM000,0,0.0,18791.0,0.0,0.0,5299.0,24.0,0.0,0.0,41706901792.0,64313226384.0
Z304JG95,2018-01-10,ST4000DM000,0,0.0,18815.0,0.0,0.0,5299.0,24.0,0.0,0.0,41717183488.0,64350982055.0
Z304JG95,2018-01-11,ST4000DM000,0,0.0,18837.0,0.0,0.0,5299.0,24.0,0.0,0.0,41734017640.0,64524140414.0
Z304JG95,2018-01-12,ST4000DM000,0,0.0,18861.0,0.0,0.0,5301.0,24.0,0.0,0.0,41744980984.0,64594272250.0
Z304JG95,2018-01-13,ST4000DM000,0,0.0,18885.0,0.0,0.0,5301.0,25.0,0.0,0.0,41759480520.0,64712808811.0
Z304JG95,2018-01-14,ST4000DM000,0,0.0,18910.0,0.0,0.0,5301.0,24.0,0.0,0.0,41773417328.0,64857637317.0
Z304JG95,2018-01-15,ST4000DM000,0,0.0,18933.0,0.0,0.0,5301.0,25.0,0.0,0.0,41792500288.0,65035593103.0
Z304JG95,2018-01-16,ST4000DM000,0,0.0,18957.0,0.0,0.0,5301.0,25.0,0.0,0.0,41815077320.0,65175893516.0
Z304JG95,2018-01-17,ST4000DM000,0,0.0,18981.0,0.0,0.0,5301.0,24.0,0.0,0.0,41839417904.0,65303632955.0
Z304JG95,2018-01-18,ST4000DM000,0,0.0,19009.0,0.0,0.0,5301.0,24.0,0.0,0.0,41856420488.0,65480740705.0
Z304JG95,2018-01-19,ST4000DM000,0,0.0,19032.0,0.0,0.0,5303.0,24.0,0.0,0.0,41866345376.0,65637338998.0
Z304JG95,2018-01-20,ST4000DM000,0,0.0,19057.0,0.0,0.0,5303.0,24.0,0.0,0.0,41875552312.0,65788518707.0
Z304JG95,2018-01-21,ST4000DM000,0,0.0,19080.0,0.0,0.0,5303.0,24.0,0.0,0.0,41887048480.0,65890225608.0
Z304JG95,2018-01-22,ST4000DM000,0,0.0,19104.0,0.0,0.0,5303.0,24.0,0.0,0.0,41908110552.0,66061766876.0
Z304JG95,2018-01-23,ST4000DM000,0,0.0,19128.0,0.0,0.0,5303.0,23.0,0.0,0.0,41938944736.0,66235816441.0
Z304JG95,2018-01-24,ST4000DM000,0,0.0,19160.0,0.0,0.0,5303.0,24.0,0.0,0.0,41982786720.0,66440003956.0
Z304JG95,2018-01-25,ST4000DM000,0,0.0,19176.0,0.0,0.0,5303.0,24.0,0.0,0.0,42003474784.0,66548516537.0
Z304JG95,2018-01-26,ST4000DM000,0,0.0,19200.0,0.0,0.0,5305.0,23.0,0.0,0.0,42022788968.0,66664297702.0
Z304JG95,2018-01-27,ST4000DM000,0,0.0,19224.0,0.0,0.0,5305.0,23.0,0.0,0.0,42037151904.0,66841946555.0
Z304JG95,2018-01-28,ST4000DM000,0,0.0,19248.0,0.0,0.0,5305.0,23.0,0.0,0.0,42051773976.0,66968325473.0
Z304JG95,2018-01-29,ST4000DM000,0,0.0,19273.0,0.0,0.0,5305.0,23.0,0.0,0.0,42060760096.0,67110058531.0
Z304JG95,2018-01-30,ST4000DM000,0,0.0,19295.0,0.0,0.0,5305.0,23.0,0.0,0.0,42071765824.0,67247659115.0
Z304JG95,2018-01-31,ST4000DM000,0,0.0,19319.0,0.0,0.0,5308.0,24.0,0.0,0.0,42082761456.0,67388409019.0
Z304JG95,2018-02-01,ST4000DM000,0,0.0,19343.0,0.0,0.0,5308.0,24.0,0.0,0.0,42103880688.0,67549322088.0
Z304JG95,2018-02-02,ST4000DM000,0,0.0,19366.0,0.0,0.0,5308.0,24.0,0.0,0.0,42126300584.0,67669427404.0
Z304JG95,2018-02-03,ST4000DM000,0,0.0,19390.0,0.0,0.0,5308.0,24.0,0.0,0.0,42135278264.0,67787674912.0
Z304JG95,2018-02-04,ST4000DM000,0,0.0,19423.0,0.0,0.0,5308.0,24.0,0.0,0.0,42151434856.0,67964774541.0
Z304JG95,2018-02-05,ST4000DM000,0,0.0,19446.0,0.0,0.0,5308.0,24.0,0.0,0.0,42172681792.0,68136585621.0
Z304JG95,2018-02-06,ST4000DM000,0,0.0,19470.0,0.0,0.0,5308.0,24.0,0.0,0.0,42207528648.0,68305657063.0
Z304JG95,2018-02-07,ST4000DM000,0,0.0,19494.0,0.0,0.0,5308.0,23.0,0.0,0.0,42224159296.0,68450474041.0
Z304JG95,2018-02-08,ST4000DM000,0,0.0,19519.0,0.0,0.0,5311.0,24.0,0.0,0.0,42237916240.0,68636712997.0
Z304JG95,2018-02-09,ST4000DM000,0,0.0,19543.0,0.0,0.0,5311.0,24.0,0.0,0.0,42249143424.0,68802260725.0
Z304JG95,2018-02-10,ST4000DM000,0,0.0,19567.0,0.0,0.0,5313.0,24.0,0.0,0.0,42257328240.0,68941908712.0
Z304JG95,2018-02-11,ST4000DM000,0,0.0,19591.0,0.0,0.0,5313.0,27.0,0.0,0.0,42266670424.0,69069724297.0
Z304JG95,2018-02-12,ST4000DM000,0,0.0,19615.0,0.0,0.0,5313.0,23.0,0.0,0.0,42292611904.0,69225682636.0
Z304JG95,2018-02-13,ST4000DM000,0,0.0,19639.0,0.0,0.0,5313.0,24.0,0.0,0.0,42306455800.0,69399108495.0
Z304JG95,2018-02-14,ST4000DM000,0,0.0,19663.0,0.0,0.0,5313.0,24.0,0.0,0.0,42313954456.0,69555063709.0
Z304JG95,2018-02-15,ST4000DM000,0,0.0,19687.0,0.0,0.0,5313.0,24.0,0.0,0.0,42336348488.0,69718000890.0
Z304JG95,2018-02-16,ST4000DM000,0,0.0,19711.0,0.0,0.0,5313.0,24.0,0.0,0.0,42347917944.0,69881905344.0
Z304JG95,2018-02-17,ST4000DM000,0,0.0,19735.0,0.0,0.0,5313.0,24.0,0.0,0.0,42366287056.0,70052328959.0
Z304JG95,2018-02-18,ST4000DM000,0,0.0,19759.0,0.0,0.0,5313.0,24.0,0.0,0.0,42383949224.0,70204577683.0
Z304JG95,2018-02-19,ST4000DM000,0,0.0,19783.0,0.0,0.0,5313.0,24.0,0.0,0.0,42400565944.0,70351280223.0
Z304JG95,2018-02-20,ST4000DM000,0,0.0,19807.0,0.0,0.0,5313.0,24.0,0.0,0.0,42412345944.0,70535199993.0
Z304JG95,2018-02-21,ST4000DM000,0,0.0,19831.0,0.0,0.0,5313.0,24.0,0.0,0.0,42431708880.0,70699851945.0
Z304JG95,2018-02-22,ST4000DM000,0,0.0,19854.0,0.0,0.0,5313.0,24.0,0.0,0.0,42450263688.0,70864945671.0
Z304JG95,2018-02-23,ST4000DM000,0,0.0,19878.0,0.0,0.0,5313.0,24.0,0.0,0.0,42461942992.0,71028027877.0
Z304JG95,2018-02-24,ST4000DM000,0,0.0,19902.0,0.0,0.0,5313.0,25.0,0.0,0.0,42487661872.0,71164394299.0
Z304JG95,2018-02-25,ST4000DM000,0,0.0,19925.0,0.0,0.0,5313.0,23.0,0.0,0.0,42498209216.0,71319921711.0
Z304JG95,2018-02-26,ST4000DM000,0,0.0,19950.0,0.0,0.0,5313.0,23.0,0.0,0.0,42508589440.0,71522945283.0
Z304JG95,2018-02-27,ST4000DM000,0,0.0,19974.0,0.0,0.0,5313.0,23.0,0.0,0.0,42525376120.0,71688192800.0
Z304JG95,2018-02-28,ST4000DM000,0,0.0,19997.0,0.0,0.0,5313.0,23.0,0.0,0.0,42537477464.0,71847475661.0
Z304JG95,2018-03-01,ST4000DM000,0,0.0,20024.0,0.0,0.0,5315.0,23.0,0.0,0.0,42555238704.0,72037734565.0
Z304JG95,2018-03-02,ST4000DM000,0,0.0,20049.0,0.0,0.0,5315.0,24.0,0.0,0.0,42567327624.0,72214316499.0
Z304JG95,2018-03-03,ST4000DM000,0,0.0,20073.0,0.0,0.0,5318.0,24.0,0.0,0.0,42574806632.0,72291429890.0
Z304JG95,2018-03-04,ST4000DM000,0,0.0,20097.0,0.0,0.0,5337.0,24.0,0.0,0.0,42578683184.0,72377139586.0
Z304JG95,2018-03-05,ST4000DM000,0,0.0,20120.0,0.0,0.0,5337.0,24.0,0.0,0.0,42582213376.0,72510924687.0
Z304JG95,2018-03-06,ST4000DM000,0,0.0,20140.0,0.0,0.0,5337.0,24.0,0.0,0.0,42584609256.0,72555554208.0
Z304JG95,2018-03-07,ST4000DM000,0,0.0,20164.0,0.0,0.0,5338.0,24.0,0.0,0.0,42586547288.0,72720697757.0
Z304JG95,2018-03-08,ST4000DM000,0,0.0,20192.0,0.0,0.0,5341.0,23.0,0.0,0.0,42592100176.0,72947216668.0
Z304JG95,2018-03-09,ST4000DM000,0,0.0,20217.0,0.0,0.0,5341.0,23.0,0.0,0.0,42594304080.0,73050446580.0
Z304JG95,2018-03-10,ST4000DM000,0,0.0,20241.0,0.0,0.0,5347.0,23.0,0.0,0.0,42598633376.0,73192869162.0
Z304JG95,2018-03-11,ST4000DM000,0,0.0,20265.0,0.0,0.0,5347.0,24.0,0.0,0.0,42601180256.0,73340020038.0
Z304JG95,2018-03-12,ST4000DM000,0,0.0,20289.0,0.0,0.0,5347.0,23.0,0.0,0.0,42605601704.0,73508146029.0
Z304JG95,2018-03-13,ST4000DM000,0,0.0,20312.0,0.0,0.0,5347.0,23.0,0.0,0.0,42608697728.0,73600214708.0
Z304JG95,2018-03-14,ST4000DM000,0,0.0,20337.0,0.0,0.0,5347.0,23.0,0.0,0.0,42612058936.0,73787164208.0
Z304JG95,2018-03-15,ST4000DM000,0,0.0,20360.0,0.0,0.0,5351.0,23.0,0.0,0.0,42619068952.0,73954941987.0
Z304JG95,2018-03-16,ST4000DM000,0,0.0,20384.0,0.0,0.0,5351.0,24.0,0.0,0.0,42623639528.0,74084598849.0
Z304JG95,2018-03-17,ST4000DM000,0,0.0,20408.0,0.0,0.0,5353.0,24.0,0.0,0.0,42629097600.0,74203749146.0
Z304JG95,2018-03-18,ST4000DM000,0,0.0,20432.0,0.0,0.0,5353.0,24.0,0.0,0.0,42635366360.0,74350191573.0
Z304JG95,2018-03-19,ST4000DM000,0,0.0,20456.0,0.0,0.0,5353.0,24.0,0.0,0.0,42638878128.0,74498858591.0
Z304JG95,2018-03-20,ST4000DM000,0,0.0,20480.0,0.0,0.0,5353.0,23.0,0.0,0.0,42642259744.0,74652500224.0
Z304JG95,2018-03-21,ST4000DM000,0,0.0,20504.0,0.0,0.0,5353.0,23.0,0.0,0.0,42663695808.0,74818816500.0
Z304JG95,2018-03-22,ST4000DM000,0,0.0,20528.0,0.0,0.0,5353.0,24.0,0.0,0.0,42679190432.0,74966984746.0
Z304JG95,2018-03-23,ST4000DM000,0,0.0,20552.0,0.0,0.0,5353.0,23.0,0.0,0.0,42686622448.0,75076169378.0
Z304JG95,2018-03-24,ST4000DM000,0,0.0,20576.0,0.0,0.0,5354.0,24.0,0.0,0.0,42694712640.0,75207485814.0
Z304JG95,2018-03-25,ST4000DM000,0,0.0,20600.0,0.0,0.0,5354.0,24.0,0.0,0.0,42704620680.0,75368045916.0
Z304JG95,2018-03-26,ST4000DM000,0,0.0,20623.0,0.0,0.0,5354.0,24.0,0.0,0.0,42720800512.0,75505582613.0
Z304JG95,2018-03-27,ST4000DM000,0,0.0,20647.0,0.0,0.0,5354.0,24.0,0.0,0.0,42730015144.0,75669571396.0
Z304JG95,2018-03-28,ST4000DM000,0,0.0,20671.0,0.0,0.0,5354.0,24.0,0.0,0.0,42739740896.0,75828454867.0
Z304JG95,2018-03-29,ST4000DM000,0,0.0,20696.0,0.0,0.0,5357.0,23.0,0.0,0.0,42750394520.0,75989679717.0
Z304JG95,2018-03-30,ST4000DM000,0,0.0,20719.0,0.0,0.0,5357.0,23.0,0.0,0.0,42757334832.0,76173190243.0
Z304JG95,2018-03-31,ST4000DM000,0,0.0,20742.0,0.0,0.0,5357.0,23.0,0.0,0.0,42767569200.0,76302389404.0
Z304JG95,2018-04-01,ST4000DM000,0,0.0,20767.0,0.0,0.0,5357.0,23.0,0.0,0.0,42787525912.0,76419358149.0
Z304JG95,2018-04-02,ST4000DM000,0,0.0,20791.0,0.0,0.0,5357.0,23.0,0.0,0.0,42807855936.0,76590044360.0
Z304JG95,2018-04-03,ST4000DM000,0,0.0,20815.0,0.0,0.0,5357.0,23.0,0.0,0.0,42836551368.0,76759714881.0
Z304JG95,2018-04-04,ST4000DM000,0,0.0,20839.0,0.0,0.0,5357.0,23.0,0.0,0.0,42860181672.0,76925720776.0
Z304JG95,2018-04-05,ST4000DM000,0,0.0,20864.0,0.0,0.0,5357.0,22.0,0.0,0.0,42875330160.0,77095323408.0
Z304JG95,2018-04-06,ST4000DM000,0,0.0,20888.0,0.0,0.0,5357.0,22.0,0.0,0.0,42885002208.0,77250577335.0
Z304JG95,2018-04-07,ST4000DM000,0,0.0,20911.0,0.0,0.0,5361.0,22.0,0.0,0.0,42893772440.0,77408127875.0
Z304JG95,2018-04-08,ST4000DM000,0,0.0,20935.0,0.0,0.0,5361.0,22.0,0.0,0.0,42897304456.0,77571494764.0
Z304JG95,2018-04-09,ST4000DM000,0,0.0,20959.0,0.0,0.0,5361.0,22.0,0.0,0.0,42900099264.0,77726843852.0
Z304JG95,2018-04-10,ST4000DM000,0,0.0,20984.0,0.0,0.0,5361.0,22.0,0.0,0.0,42901954248.0,77899588438.0
Z304JG95,2018-04-11,ST4000DM000,0,0.0,21007.0,0.0,0.0,5361.0,22.0,0.0,0.0,42904695992.0,78054348387.0
Z304JG95,2018-04-12,ST4000DM000,0,0.0,21032.0,0.0,0.0,5366.0,22.0,0.0,0.0,42909316792.0,78218083785.0
Z304JG95,2018-04-13,ST4000DM000,0,0.0,21055.0,0.0,0.0,5366.0,22.0,0.0,0.0,42912759848.0,78332908249.0
Z304JG95,2018-04-14,ST4000DM000,0,0.0,21079.0,0.0,0.0,5389.0,22.0,0.0,0.0,42916012968.0,78469891910.0
Z304JG95,2018-04-15,ST4000DM000,0,0.0,21104.0,0.0,0.0,5406.0,22.0,0.0,0.0,42921675336.0,78598143227.0
Z304JG95,2018-04-16,ST4000DM000,0,0.0,21127.0,0.0,0.0,5406.0,22.0,0.0,0.0,42926696968.0,78773810073.0
Z304JG95,2018-04-17,ST4000DM000,0,0.0,21151.0,0.0,0.0,5406.0,22.0,0.0,0.0,42933715896.0,78951045256.0
Z304JG95,2018-04-18,ST4000DM000,0,0.0,21176.0,0.0,0.0,5406.0,22.0,0.0,0.0,42936171392.0,79112252936.0
Z304JG95,2018-04-19,ST4000DM000,0,0.0,21200.0,0.0,0.0,5406.0,22.0,0.0,0.0,42941835952.0,79278711934.0
Z304JG95,2018-04-20,ST4000DM000,0,0.0,21224.0,0.0,0.0,5406.0,22.0,0.0,0.0,42943794688.0,79375307999.0
Z304JG95,2018-04-21,ST4000DM000,0,0.0,21248.0,0.0,0.0,5407.0,22.0,0.0,0.0,42949150936.0,79460051107.0
Z304JG95,2018-04-22,ST4000DM000,0,0.0,21272.0,0.0,0.0,5407.0,21.0,0.0,0.0,42951428368.0,79555200157.0
Z304JG95,2018-04-23,ST4000DM000,0,0.0,21296.0,0.0,0.0,5407.0,21.0,0.0,0.0,42953551560.0,79657228296.0
Z304JG95,2018-04-24,ST4000DM000,0,0.0,21320.0,0.0,0.0,5407.0,21.0,0.0,0.0,42956246064.0,79830821176.0
Z304JG95,2018-04-25,ST4000DM000,0,0.0,21344.0,0.0,0.0,5407.0,22.0,0.0,0.0,42959148536.0,79994803793.0
Z304JG95,2018-04-26,ST4000DM000,0,0.0,21368.0,0.0,0.0,5407.0,22.0,0.0,0.0,42964622832.0,80117680649.0
Z304JG95,2018-04-27,ST4000DM000,0,0.0,21391.0,0.0,0.0,5410.0,22.0,0.0,0.0,42966162568.0,80246210231.0
Z304JG95,2018-04-28,ST4000DM000,0,0.0,21415.0,0.0,0.0,5410.0,22.0,0.0,0.0,42974274136.0,80419188688.0
Z304JG95,2018-04-29,ST4000DM000,0,0.0,21438.0,0.0,0.0,5410.0,22.0,0.0,0.0,42978417040.0,80527861482.0
