serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304JKXK,2018-01-02,ST4000DM000,0,0.0,19642.0,0.0,0.0,5667.0,23.0,0.0,0.0,44276231264.0,70625786574.0
Z304JKXK,2018-01-03,ST4000DM000,0,0.0,19666.0,0.0,0.0,5667.0,23.0,0.0,0.0,44289139152.0,70686942464.0
Z304JKXK,2018-01-04,ST4000DM000,0,0.0,19679.0,0.0,0.0,5667.0,24.0,0.0,0.0,44298006624.0,70759200210.0
Z304JKXK,2018-01-05,ST4000DM000,0,0.0,19707.0,0.0,0.0,5669.0,24.0,0.0,0.0,44316454848.0,70936883258.0
Z304JKXK,2018-01-06,ST4000DM000,0,0.0,19730.0,0.0,0.0,5669.0,23.0,0.0,0.0,44326543768.0,71100236721.0
Z304JKXK,2018-01-07,ST4000DM000,0,0.0,19754.0,0.0,0.0,5669.0,22.0,0.0,0.0,44335056048.0,71292125326.0
Z304JKXK,2018-01-08,ST4000DM000,0,0.0,19778.0,0.0,0.0,5669.0,23.0,0.0,0.0,44343315912.0,71421929483.0
Z304JKXK,2018-01-09,ST4000DM000,0,0.0,19803.0,0.0,0.0,5669.0,23.0,0.0,0.0,44359561392.0,71615893790.0
Z304JKXK,2018-01-10,ST4000DM000,0,0.0,19826.0,0.0,0.0,5669.0,23.0,0.0,0.0,44387938632.0,71784471075.0
Z304JKXK,2018-01-11,ST4000DM000,0,0.0,19860.0,0.0,0.0,5672.0,24.0,0.0,0.0,44415438440.0,72024878428.0
Z304JKXK,2018-01-12,ST4000DM000,0,0.0,19884.0,0.0,0.0,5672.0,23.0,0.0,0.0,44428568080.0,72170112535.0
Z304JKXK,2018-01-13,ST4000DM000,0,0.0,19909.0,0.0,0.0,5672.0,24.0,0.0,0.0,44448311888.0,72339160313.0
