serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304KC17,2018-01-02,ST4000DM000,0,0.0,18923.0,0.0,0.0,14521.0,21.0,0.0,0.0,40833119544.0,61709988129.0
Z304KC17,2018-01-03,ST4000DM000,0,0.0,18947.0,0.0,0.0,14521.0,20.0,0.0,0.0,40867636200.0,61896463925.0
Z304KC17,2018-01-04,ST4000DM000,0,0.0,18964.0,0.0,0.0,14521.0,20.0,0.0,0.0,40895709312.0,62034169405.0
Z304KC17,2018-01-05,ST4000DM000,0,0.0,18987.0,0.0,0.0,14521.0,20.0,0.0,0.0,40933434208.0,62206952117.0
Z304KC17,2018-01-06,ST4000DM000,0,0.0,19011.0,0.0,0.0,14521.0,21.0,0.0,0.0,40974236720.0,62308994136.0
Z304KC17,2018-01-07,ST4000DM000,0,0.0,19035.0,0.0,0.0,14521.0,21.0,0.0,0.0,40999789224.0,62474120167.0
Z304KC17,2018-01-08,ST4000DM000,0,0.0,19059.0,0.0,0.0,14521.0,21.0,0.0,0.0,41039257032.0,62677885357.0
Z304KC17,2018-01-09,ST4000DM000,0,0.0,19083.0,0.0,0.0,14521.0,20.0,0.0,0.0,41060807736.0,62857792834.0
Z304KC17,2018-01-10,ST4000DM000,0,0.0,19110.0,0.0,0.0,14521.0,22.0,0.0,0.0,41086408160.0,63070718492.0
Z304KC17,2018-01-11,ST4000DM000,0,0.0,19130.0,0.0,0.0,14521.0,21.0,0.0,0.0,41089995224.0,63200951968.0
Z304KC17,2018-01-12,ST4000DM000,0,0.0,19142.0,0.0,0.0,14524.0,21.0,0.0,0.0,41092503744.0,63272400004.0
Z304KC17,2018-01-13,ST4000DM000,0,0.0,19177.0,0.0,0.0,14524.0,21.0,0.0,0.0,41105184112.0,63496146985.0
Z304KC17,2018-01-14,ST4000DM000,0,0.0,19190.0,0.0,0.0,14524.0,21.0,0.0,0.0,41107528280.0,63536869184.0
Z304KC17,2018-01-15,ST4000DM000,0,0.0,19226.0,0.0,0.0,14524.0,21.0,0.0,0.0,41113234752.0,63765992396.0
Z304KC17,2018-01-16,ST4000DM000,0,0.0,19250.0,0.0,0.0,14524.0,21.0,0.0,0.0,41118719856.0,63935602391.0
Z304KC17,2018-01-17,ST4000DM000,0,0.0,19274.0,0.0,0.0,14524.0,21.0,0.0,0.0,41127087104.0,64074505996.0
Z304KC17,2018-01-18,ST4000DM000,0,0.0,19300.0,0.0,0.0,14524.0,21.0,0.0,0.0,41140816464.0,64256873642.0
Z304KC17,2018-01-19,ST4000DM000,0,0.0,19325.0,0.0,0.0,14528.0,21.0,0.0,0.0,41151816680.0,64407660115.0
Z304KC17,2018-01-20,ST4000DM000,0,0.0,19349.0,0.0,0.0,14528.0,20.0,0.0,0.0,41163163832.0,64532432665.0
Z304KC17,2018-01-21,ST4000DM000,0,0.0,19372.0,0.0,0.0,14528.0,21.0,0.0,0.0,41174875216.0,64641663461.0
Z304KC17,2018-01-22,ST4000DM000,0,0.0,19397.0,0.0,0.0,14528.0,20.0,0.0,0.0,41192952296.0,64744186600.0
Z304KC17,2018-01-23,ST4000DM000,0,0.0,19409.0,0.0,0.0,14528.0,20.0,0.0,0.0,41199672440.0,64802344174.0
Z304KC17,2018-01-24,ST4000DM000,0,0.0,19452.0,0.0,0.0,14528.0,20.0,0.0,0.0,41230263536.0,65080684893.0
Z304KC17,2018-01-25,ST4000DM000,0,0.0,19469.0,0.0,0.0,14528.0,20.0,0.0,0.0,41242375512.0,65200158884.0
Z304KC17,2018-01-26,ST4000DM000,0,0.0,19493.0,0.0,0.0,14531.0,20.0,0.0,0.0,41249451152.0,65305880802.0
Z304KC17,2018-01-27,ST4000DM000,0,0.0,19516.0,0.0,0.0,14531.0,20.0,0.0,0.0,41257044328.0,65427195688.0
Z304KC17,2018-01-28,ST4000DM000,0,0.0,19540.0,0.0,0.0,14531.0,20.0,0.0,0.0,41260966160.0,65604340618.0
Z304KC17,2018-01-29,ST4000DM000,0,0.0,19565.0,0.0,0.0,14531.0,20.0,0.0,0.0,41268521816.0,65718712056.0
Z304KC17,2018-01-30,ST4000DM000,0,0.0,19597.0,0.0,0.0,14535.0,20.0,0.0,0.0,41284520464.0,65926201190.0
Z304KC17,2018-01-31,ST4000DM000,0,0.0,19622.0,0.0,0.0,14535.0,20.0,0.0,0.0,41292264168.0,66074605920.0
Z304KC17,2018-02-01,ST4000DM000,0,0.0,19646.0,0.0,0.0,14535.0,20.0,0.0,0.0,41350321160.0,66152061466.0
Z304KC17,2018-02-02,ST4000DM000,0,0.0,19669.0,0.0,0.0,14535.0,20.0,0.0,0.0,41353445664.0,66266320333.0
Z304KC17,2018-02-03,ST4000DM000,0,0.0,19693.0,0.0,0.0,14535.0,20.0,0.0,0.0,41359510440.0,66345844065.0
Z304KC17,2018-02-04,ST4000DM000,0,0.0,19713.0,0.0,0.0,14535.0,20.0,0.0,0.0,41361906456.0,66468229593.0
Z304KC17,2018-02-05,ST4000DM000,0,0.0,19737.0,0.0,0.0,14535.0,20.0,0.0,0.0,41365277256.0,66589545482.0
Z304KC17,2018-02-06,ST4000DM000,0,0.0,19761.0,0.0,0.0,14535.0,21.0,0.0,0.0,41369006440.0,66735995609.0
Z304KC17,2018-02-07,ST4000DM000,0,0.0,19785.0,0.0,0.0,14535.0,20.0,0.0,0.0,41374475576.0,66886959000.0
Z304KC17,2018-02-08,ST4000DM000,0,0.0,19811.0,0.0,0.0,14537.0,20.0,0.0,0.0,41382586312.0,67039477471.0
Z304KC17,2018-02-09,ST4000DM000,0,0.0,19835.0,0.0,0.0,14537.0,20.0,0.0,0.0,41387292632.0,67126045535.0
Z304KC17,2018-02-10,ST4000DM000,0,0.0,19860.0,0.0,0.0,14540.0,20.0,0.0,0.0,41396304320.0,67243906086.0
Z304KC17,2018-02-11,ST4000DM000,0,0.0,19883.0,0.0,0.0,14540.0,24.0,0.0,0.0,41399234984.0,67385120678.0
Z304KC17,2018-02-12,ST4000DM000,0,0.0,19907.0,0.0,0.0,14540.0,20.0,0.0,0.0,41401820144.0,67477433583.0
Z304KC17,2018-02-13,ST4000DM000,0,0.0,19931.0,0.0,0.0,14540.0,21.0,0.0,0.0,41403413112.0,67560730906.0
Z304KC17,2018-02-14,ST4000DM000,0,0.0,19955.0,0.0,0.0,14540.0,21.0,0.0,0.0,41408611440.0,67644578481.0
Z304KC17,2018-02-15,ST4000DM000,0,0.0,19980.0,0.0,0.0,14540.0,20.0,0.0,0.0,41412270880.0,67735476657.0
Z304KC17,2018-02-16,ST4000DM000,0,0.0,20003.0,0.0,0.0,14540.0,20.0,0.0,0.0,41416906928.0,67817721302.0
Z304KC17,2018-02-17,ST4000DM000,0,0.0,20027.0,0.0,0.0,14542.0,20.0,0.0,0.0,41424230872.0,67884288494.0
Z304KC17,2018-02-18,ST4000DM000,0,0.0,20051.0,0.0,0.0,14542.0,20.0,0.0,0.0,41427774192.0,67923061685.0
Z304KC17,2018-02-19,ST4000DM000,0,0.0,20076.0,0.0,0.0,14542.0,20.0,0.0,0.0,41430125448.0,68027292963.0
Z304KC17,2018-02-20,ST4000DM000,0,0.0,20099.0,0.0,0.0,14542.0,20.0,0.0,0.0,41432978536.0,68136511150.0
Z304KC17,2018-02-21,ST4000DM000,0,0.0,20123.0,0.0,0.0,14542.0,21.0,0.0,0.0,41442432976.0,68280510802.0
Z304KC17,2018-02-22,ST4000DM000,0,0.0,20146.0,0.0,0.0,14545.0,21.0,0.0,0.0,41445391488.0,68417007290.0
Z304KC17,2018-02-23,ST4000DM000,0,0.0,20170.0,0.0,0.0,14545.0,21.0,0.0,0.0,41450356936.0,68555354469.0
Z304KC17,2018-02-24,ST4000DM000,0,0.0,20194.0,0.0,0.0,14555.0,20.0,0.0,0.0,41458224568.0,68680465255.0
Z304KC17,2018-02-25,ST4000DM000,0,0.0,20218.0,0.0,0.0,14555.0,21.0,0.0,0.0,41461114944.0,68768641841.0
Z304KC17,2018-02-26,ST4000DM000,0,0.0,20242.0,0.0,0.0,14555.0,21.0,0.0,0.0,41463015184.0,68898906740.0
Z304KC17,2018-02-27,ST4000DM000,0,0.0,20266.0,0.0,0.0,14555.0,21.0,0.0,0.0,41465502672.0,69050178358.0
Z304KC17,2018-02-28,ST4000DM000,0,0.0,20290.0,0.0,0.0,14555.0,20.0,0.0,0.0,41469937712.0,69204449130.0
Z304KC17,2018-03-01,ST4000DM000,0,0.0,20317.0,0.0,0.0,14558.0,20.0,0.0,0.0,41474724920.0,69397272627.0
Z304KC17,2018-03-02,ST4000DM000,0,0.0,20341.0,0.0,0.0,14558.0,20.0,0.0,0.0,41476928848.0,69535727406.0
Z304KC17,2018-03-03,ST4000DM000,0,0.0,20365.0,0.0,0.0,14558.0,21.0,0.0,0.0,41487974760.0,69710294393.0
Z304KC17,2018-03-04,ST4000DM000,0,0.0,20389.0,0.0,0.0,14558.0,21.0,0.0,0.0,41501546968.0,74186689257.0
Z304KC17,2018-03-05,ST4000DM000,0,0.0,20413.0,0.0,0.0,14558.0,20.0,0.0,0.0,41517089928.0,74353989325.0
Z304KC17,2018-03-06,ST4000DM000,0,0.0,20432.0,0.0,0.0,14558.0,21.0,0.0,0.0,41523307984.0,74484170233.0
Z304KC17,2018-03-07,ST4000DM000,0,0.0,20456.0,0.0,0.0,14559.0,20.0,0.0,0.0,41537370848.0,74667431969.0
Z304KC17,2018-03-08,ST4000DM000,0,0.0,20485.0,0.0,0.0,14563.0,20.0,0.0,0.0,41556193384.0,74897925376.0
Z304KC17,2018-03-09,ST4000DM000,0,0.0,20509.0,0.0,0.0,14563.0,20.0,0.0,0.0,41568255960.0,75045054233.0
Z304KC17,2018-03-10,ST4000DM000,0,0.0,20533.0,0.0,0.0,14563.0,21.0,0.0,0.0,41581351824.0,75175516395.0
Z304KC17,2018-03-11,ST4000DM000,0,0.0,20557.0,0.0,0.0,14563.0,20.0,0.0,0.0,41592582464.0,75367472790.0
Z304KC17,2018-03-12,ST4000DM000,0,0.0,20581.0,0.0,0.0,14563.0,20.0,0.0,0.0,41605827160.0,75564010796.0
Z304KC17,2018-03-13,ST4000DM000,0,0.0,20605.0,0.0,0.0,14563.0,21.0,0.0,0.0,41617885296.0,75729941756.0
Z304KC17,2018-03-14,ST4000DM000,0,0.0,20629.0,0.0,0.0,14563.0,20.0,0.0,0.0,41636744968.0,75898118676.0
Z304KC17,2018-03-15,ST4000DM000,0,0.0,20653.0,0.0,0.0,14564.0,20.0,0.0,0.0,41649332808.0,76052244048.0
Z304KC17,2018-03-16,ST4000DM000,0,0.0,20676.0,0.0,0.0,14564.0,21.0,0.0,0.0,41659386728.0,76184143540.0
Z304KC17,2018-03-17,ST4000DM000,0,0.0,20700.0,0.0,0.0,14564.0,20.0,0.0,0.0,41677193728.0,76299918380.0
Z304KC17,2018-03-18,ST4000DM000,0,0.0,20724.0,0.0,0.0,14564.0,20.0,0.0,0.0,41697538536.0,76449116264.0
Z304KC17,2018-03-19,ST4000DM000,0,0.0,20748.0,0.0,0.0,14564.0,21.0,0.0,0.0,41713475752.0,76622362126.0
Z304KC17,2018-03-20,ST4000DM000,0,0.0,20773.0,0.0,0.0,14564.0,20.0,0.0,0.0,41729006584.0,76751611907.0
Z304KC17,2018-03-21,ST4000DM000,0,0.0,20797.0,0.0,0.0,14564.0,21.0,0.0,0.0,41744755904.0,76927207360.0
Z304KC17,2018-03-22,ST4000DM000,0,0.0,20821.0,0.0,0.0,14564.0,20.0,0.0,0.0,41762296048.0,77070883507.0
Z304KC17,2018-03-23,ST4000DM000,0,0.0,20844.0,0.0,0.0,14564.0,20.0,0.0,0.0,41777247592.0,77187083366.0
Z304KC17,2018-03-24,ST4000DM000,0,0.0,20868.0,0.0,0.0,14564.0,20.0,0.0,0.0,41796239912.0,77276707539.0
Z304KC17,2018-03-25,ST4000DM000,0,0.0,20892.0,0.0,0.0,14564.0,21.0,0.0,0.0,41812846896.0,77398561290.0
Z304KC17,2018-03-26,ST4000DM000,0,0.0,20916.0,0.0,0.0,14564.0,21.0,0.0,0.0,41826161352.0,77551013640.0
Z304KC17,2018-03-27,ST4000DM000,0,0.0,20941.0,0.0,0.0,14564.0,20.0,0.0,0.0,41843995136.0,77687033255.0
Z304KC17,2018-03-28,ST4000DM000,0,0.0,20965.0,0.0,0.0,14564.0,20.0,0.0,0.0,41863824728.0,77802887817.0
Z304KC17,2018-03-29,ST4000DM000,0,0.0,20988.0,0.0,0.0,14568.0,20.0,0.0,0.0,41875602432.0,77905545530.0
Z304KC17,2018-03-30,ST4000DM000,0,0.0,21012.0,0.0,0.0,14568.0,20.0,0.0,0.0,41890172992.0,77985582627.0
Z304KC17,2018-03-31,ST4000DM000,0,0.0,21036.0,0.0,0.0,14568.0,20.0,0.0,0.0,41906395336.0,78078702880.0
Z304KC17,2018-04-01,ST4000DM000,0,0.0,21060.0,0.0,0.0,14568.0,20.0,0.0,0.0,41917639792.0,78241470173.0
Z304KC17,2018-04-02,ST4000DM000,0,0.0,21084.0,0.0,0.0,14568.0,20.0,0.0,0.0,41935821592.0,78339263973.0
Z304KC17,2018-04-03,ST4000DM000,0,0.0,21108.0,0.0,0.0,14568.0,20.0,0.0,0.0,41958775168.0,78504656140.0
Z304KC17,2018-04-04,ST4000DM000,0,0.0,21132.0,0.0,0.0,14568.0,21.0,0.0,0.0,41979869064.0,78647328768.0
Z304KC17,2018-04-05,ST4000DM000,0,0.0,21156.0,0.0,0.0,14568.0,18.0,0.0,0.0,42002397456.0,78714330140.0
