serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304RLFE,2018-01-02,ST4000DM000,0,0.0,17251.0,0.0,0.0,6168.0,29.0,0.0,0.0,40352762864.0,73948600934.0
Z304RLFE,2018-01-03,ST4000DM000,0,0.0,17275.0,0.0,0.0,6168.0,28.0,0.0,0.0,40382068000.0,74065059185.0
Z304RLFE,2018-01-04,ST4000DM000,0,0.0,17299.0,0.0,0.0,6168.0,28.0,0.0,0.0,40406916960.0,74201733432.0
Z304RLFE,2018-01-05,ST4000DM000,0,0.0,17323.0,0.0,0.0,6171.0,29.0,0.0,0.0,40436652808.0,74328325999.0
Z304RLFE,2018-01-06,ST4000DM000,0,0.0,17336.0,0.0,0.0,6171.0,29.0,0.0,0.0,40450626160.0,74388889532.0
Z304RLFE,2018-01-07,ST4000DM000,0,0.0,17360.0,0.0,0.0,6171.0,23.0,0.0,0.0,40476000624.0,74481350160.0
Z304RLFE,2018-01-08,ST4000DM000,0,0.0,17396.0,0.0,0.0,6171.0,23.0,0.0,0.0,40518866904.0,74640716156.0
Z304RLFE,2018-01-09,ST4000DM000,0,0.0,17420.0,0.0,0.0,6171.0,23.0,0.0,0.0,40547911640.0,74772810764.0
Z304RLFE,2018-01-10,ST4000DM000,0,0.0,17447.0,0.0,0.0,6171.0,23.0,0.0,0.0,40568902320.0,74947888229.0
Z304RLFE,2018-01-11,ST4000DM000,0,0.0,17477.0,0.0,0.0,6175.0,24.0,0.0,0.0,40583136376.0,75134555120.0
Z304RLFE,2018-01-12,ST4000DM000,0,0.0,17501.0,0.0,0.0,6175.0,23.0,0.0,0.0,40598658712.0,75275855759.0
Z304RLFE,2018-01-13,ST4000DM000,0,0.0,17525.0,0.0,0.0,6175.0,24.0,0.0,0.0,40608821560.0,75403882995.0
Z304RLFE,2018-01-14,ST4000DM000,0,0.0,17550.0,0.0,0.0,6175.0,23.0,0.0,0.0,40612569168.0,75511799937.0
Z304RLFE,2018-01-15,ST4000DM000,0,0.0,17573.0,0.0,0.0,6175.0,24.0,0.0,0.0,40620538096.0,75652244248.0
Z304RLFE,2018-01-16,ST4000DM000,0,0.0,17598.0,0.0,0.0,6175.0,23.0,0.0,0.0,40625870840.0,75749673439.0
Z304RLFE,2018-01-17,ST4000DM000,0,0.0,17621.0,0.0,0.0,6175.0,23.0,0.0,0.0,40632105512.0,75824656479.0
Z304RLFE,2018-01-18,ST4000DM000,0,0.0,17621.0,0.0,0.0,6175.0,23.0,0.0,0.0,40632105512.0,75824656479.0
Z304RLFE,2018-01-19,ST4000DM000,0,0.0,17648.0,0.0,0.0,6178.0,23.0,0.0,0.0,40640791488.0,75945780926.0
Z304RLFE,2018-01-20,ST4000DM000,0,0.0,17685.0,0.0,0.0,6178.0,23.0,0.0,0.0,40655068576.0,76050887059.0
Z304RLFE,2018-01-21,ST4000DM000,0,0.0,17709.0,0.0,0.0,6178.0,23.0,0.0,0.0,40675263952.0,76106719019.0
Z304RLFE,2018-01-22,ST4000DM000,0,0.0,17732.0,0.0,0.0,6178.0,23.0,0.0,0.0,40692489328.0,76195989671.0
Z304RLFE,2018-01-23,ST4000DM000,0,0.0,17757.0,0.0,0.0,6178.0,22.0,0.0,0.0,40702003176.0,76289262206.0
Z304RLFE,2018-01-24,ST4000DM000,0,0.0,17788.0,0.0,0.0,6178.0,22.0,0.0,0.0,40716293776.0,76486921260.0
Z304RLFE,2018-01-25,ST4000DM000,0,0.0,17800.0,0.0,0.0,6178.0,22.0,0.0,0.0,40731243968.0,76572207372.0
Z304RLFE,2018-01-27,ST4000DM000,0,0.0,17853.0,0.0,0.0,6183.0,22.0,0.0,0.0,40753844280.0,76816979827.0
Z304RLFE,2018-01-28,ST4000DM000,0,0.0,17877.0,0.0,0.0,6183.0,23.0,0.0,0.0,40758996112.0,76928835034.0
Z304RLFE,2018-01-29,ST4000DM000,0,0.0,17901.0,0.0,0.0,6183.0,22.0,0.0,0.0,40766698376.0,77054857542.0
Z304RLFE,2018-01-30,ST4000DM000,0,0.0,17933.0,0.0,0.0,6184.0,22.0,0.0,0.0,40776439048.0,77202728079.0
Z304RLFE,2018-01-31,ST4000DM000,0,0.0,17957.0,0.0,0.0,6184.0,23.0,0.0,0.0,40782461696.0,77370861474.0
Z304RLFE,2018-02-01,ST4000DM000,0,0.0,17982.0,0.0,0.0,6184.0,23.0,0.0,0.0,40792960488.0,77540958849.0
Z304RLFE,2018-02-02,ST4000DM000,0,0.0,18005.0,0.0,0.0,6184.0,23.0,0.0,0.0,40799874880.0,77710571282.0
Z304RLFE,2018-02-03,ST4000DM000,0,0.0,18029.0,0.0,0.0,6185.0,23.0,0.0,0.0,40805531048.0,77872112502.0
Z304RLFE,2018-02-04,ST4000DM000,0,0.0,18050.0,0.0,0.0,6185.0,23.0,0.0,0.0,40808142616.0,78034598823.0
Z304RLFE,2018-02-05,ST4000DM000,0,0.0,18073.0,0.0,0.0,6185.0,23.0,0.0,0.0,40816478856.0,78221318552.0
Z304RLFE,2018-02-06,ST4000DM000,0,0.0,18098.0,0.0,0.0,6185.0,23.0,0.0,0.0,40820476248.0,78411895695.0
Z304RLFE,2018-02-07,ST4000DM000,0,0.0,18121.0,0.0,0.0,6185.0,22.0,0.0,0.0,40825466136.0,78585507462.0
Z304RLFE,2018-02-08,ST4000DM000,0,0.0,18147.0,0.0,0.0,6188.0,23.0,0.0,0.0,40831760208.0,78784683905.0
Z304RLFE,2018-02-09,ST4000DM000,0,0.0,18171.0,0.0,0.0,6188.0,23.0,0.0,0.0,40835861576.0,78945396208.0
Z304RLFE,2018-02-10,ST4000DM000,0,0.0,18195.0,0.0,0.0,6190.0,23.0,0.0,0.0,40842030984.0,79087156683.0
Z304RLFE,2018-02-11,ST4000DM000,0,0.0,18219.0,0.0,0.0,6190.0,22.0,0.0,0.0,40844569072.0,79278289675.0
Z304RLFE,2018-02-12,ST4000DM000,0,0.0,18243.0,0.0,0.0,6190.0,23.0,0.0,0.0,40847287160.0,79442068568.0
Z304RLFE,2018-02-13,ST4000DM000,0,0.0,18267.0,0.0,0.0,6190.0,23.0,0.0,0.0,40852456376.0,79632574107.0
Z304RLFE,2018-02-14,ST4000DM000,0,0.0,18291.0,0.0,0.0,6190.0,23.0,0.0,0.0,40855305112.0,79820174978.0
Z304RLFE,2018-02-15,ST4000DM000,0,0.0,18315.0,0.0,0.0,6190.0,23.0,0.0,0.0,40862965256.0,80038462885.0
Z304RLFE,2018-02-16,ST4000DM000,0,0.0,18339.0,0.0,0.0,6190.0,22.0,0.0,0.0,40867589624.0,80218563098.0
Z304RLFE,2018-02-17,ST4000DM000,0,0.0,18363.0,0.0,0.0,6190.0,23.0,0.0,0.0,40875038800.0,80364564660.0
Z304RLFE,2018-02-18,ST4000DM000,0,0.0,18387.0,0.0,0.0,6190.0,23.0,0.0,0.0,40881102592.0,80526612161.0
Z304RLFE,2018-02-19,ST4000DM000,0,0.0,18411.0,0.0,0.0,6190.0,22.0,0.0,0.0,40889069080.0,80663310912.0
Z304RLFE,2018-02-20,ST4000DM000,0,0.0,18435.0,0.0,0.0,6190.0,23.0,0.0,0.0,40892749304.0,80793338906.0
Z304RLFE,2018-02-21,ST4000DM000,0,0.0,18459.0,0.0,0.0,6190.0,23.0,0.0,0.0,40898160696.0,80944058245.0
Z304RLFE,2018-02-22,ST4000DM000,0,0.0,18482.0,0.0,0.0,6194.0,23.0,0.0,0.0,40903195944.0,81107081626.0
Z304RLFE,2018-02-23,ST4000DM000,0,0.0,18506.0,0.0,0.0,6194.0,23.0,0.0,0.0,40905123416.0,81254554136.0
Z304RLFE,2018-02-24,ST4000DM000,0,0.0,18530.0,0.0,0.0,6194.0,23.0,0.0,0.0,40910185280.0,81349674399.0
Z304RLFE,2018-02-25,ST4000DM000,0,0.0,18554.0,0.0,0.0,6194.0,23.0,0.0,0.0,40912509640.0,81484563753.0
Z304RLFE,2018-02-26,ST4000DM000,0,0.0,18578.0,0.0,0.0,6194.0,23.0,0.0,0.0,40914885608.0,81606403301.0
Z304RLFE,2018-02-27,ST4000DM000,0,0.0,18602.0,0.0,0.0,6194.0,23.0,0.0,0.0,40917996624.0,81774194437.0
Z304RLFE,2018-02-28,ST4000DM000,0,0.0,18626.0,0.0,0.0,6194.0,23.0,0.0,0.0,40922727872.0,81911722159.0
Z304RLFE,2018-03-01,ST4000DM000,0,0.0,18653.0,0.0,0.0,6197.0,23.0,0.0,0.0,40930544480.0,82086702745.0
Z304RLFE,2018-03-02,ST4000DM000,0,0.0,18677.0,0.0,0.0,6197.0,23.0,0.0,0.0,40935101832.0,82269053505.0
Z304RLFE,2018-03-03,ST4000DM000,0,0.0,18701.0,0.0,0.0,6199.0,22.0,0.0,0.0,40945119112.0,82371507323.0
Z304RLFE,2018-03-04,ST4000DM000,0,0.0,18725.0,0.0,0.0,6199.0,22.0,0.0,0.0,40955059800.0,82531176550.0
Z304RLFE,2018-03-05,ST4000DM000,0,0.0,18748.0,0.0,0.0,6199.0,23.0,0.0,0.0,40962395336.0,82675446837.0
Z304RLFE,2018-03-06,ST4000DM000,0,0.0,18768.0,0.0,0.0,6199.0,23.0,0.0,0.0,40971239016.0,82766310938.0
Z304RLFE,2018-03-07,ST4000DM000,0,0.0,18791.0,0.0,0.0,6200.0,23.0,0.0,0.0,40979649824.0,82841544061.0
