serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3053MG3,2018-01-02,ST4000DM000,0,0.0,16637.0,0.0,0.0,7368.0,25.0,0.0,0.0,36759890304.0,80839366634.0
Z3053MG3,2018-01-03,ST4000DM000,0,0.0,16661.0,0.0,0.0,7368.0,24.0,0.0,0.0,36791765008.0,80976076077.0
Z3053MG3,2018-01-04,ST4000DM000,0,0.0,16676.0,0.0,0.0,7368.0,24.0,0.0,0.0,36814598560.0,81053464257.0
Z3053MG3,2018-01-05,ST4000DM000,0,0.0,16701.0,0.0,0.0,7368.0,24.0,0.0,0.0,36842276584.0,81204327077.0
Z3053MG3,2018-01-06,ST4000DM000,0,0.0,16713.0,0.0,0.0,7368.0,24.0,0.0,0.0,36872074296.0,81286056517.0
Z3053MG3,2018-01-07,ST4000DM000,0,0.0,16749.0,0.0,0.0,7368.0,27.0,0.0,0.0,36915526920.0,81459151900.0
Z3053MG3,2018-01-08,ST4000DM000,0,0.0,16773.0,0.0,0.0,7368.0,27.0,0.0,0.0,36939279760.0,81589615299.0
Z3053MG3,2018-01-09,ST4000DM000,0,0.0,16796.0,0.0,0.0,7368.0,28.0,0.0,0.0,36961421720.0,81728519479.0
Z3053MG3,2018-01-10,ST4000DM000,0,0.0,16823.0,0.0,0.0,7368.0,27.0,0.0,0.0,36978445472.0,81925395303.0
Z3053MG3,2018-01-11,ST4000DM000,0,0.0,16835.0,0.0,0.0,7368.0,28.0,0.0,0.0,36980660048.0,81985121685.0
Z3053MG3,2018-01-12,ST4000DM000,0,0.0,16867.0,0.0,0.0,7372.0,27.0,0.0,0.0,36988604128.0,82158518235.0
Z3053MG3,2018-01-13,ST4000DM000,0,0.0,16891.0,0.0,0.0,7372.0,27.0,0.0,0.0,36993729296.0,82249345388.0
Z3053MG3,2018-01-14,ST4000DM000,0,0.0,16915.0,0.0,0.0,7372.0,27.0,0.0,0.0,37000259272.0,82348248212.0
Z3053MG3,2018-01-15,ST4000DM000,0,0.0,16939.0,0.0,0.0,7372.0,27.0,0.0,0.0,37005308800.0,82460074243.0
