serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305AQLF,2018-01-02,ST4000DM000,0,0.0,17960.0,0.0,0.0,33588.0,25.0,0.0,0.0,39225282792.0,58275984240.0
Z305AQLF,2018-01-03,ST4000DM000,0,0.0,17984.0,0.0,0.0,33588.0,24.0,0.0,0.0,39255882472.0,58440183233.0
Z305AQLF,2018-01-04,ST4000DM000,0,0.0,18000.0,0.0,0.0,33588.0,24.0,0.0,0.0,39270864288.0,58554065512.0
Z305AQLF,2018-01-05,ST4000DM000,0,0.0,18023.0,0.0,0.0,33588.0,24.0,0.0,0.0,39293038672.0,58718059480.0
Z305AQLF,2018-01-06,ST4000DM000,0,0.0,18048.0,0.0,0.0,33588.0,23.0,0.0,0.0,39327623424.0,58903544189.0
Z305AQLF,2018-01-07,ST4000DM000,0,0.0,18072.0,0.0,0.0,33588.0,24.0,0.0,0.0,39358029664.0,59068517273.0
Z305AQLF,2018-01-08,ST4000DM000,0,0.0,18084.0,0.0,0.0,33588.0,23.0,0.0,0.0,39369077048.0,59151419481.0
Z305AQLF,2018-01-09,ST4000DM000,0,0.0,18120.0,0.0,0.0,33588.0,24.0,0.0,0.0,39406861432.0,59381917765.0
Z305AQLF,2018-01-10,ST4000DM000,0,0.0,18146.0,0.0,0.0,33588.0,25.0,0.0,0.0,39416163024.0,59597832007.0
Z305AQLF,2018-01-11,ST4000DM000,0,0.0,18166.0,0.0,0.0,33588.0,24.0,0.0,0.0,39422506776.0,59707225328.0
Z305AQLF,2018-01-12,ST4000DM000,0,0.0,18178.0,0.0,0.0,33591.0,24.0,0.0,0.0,39424857328.0,59780399680.0
Z305AQLF,2018-01-13,ST4000DM000,0,0.0,18214.0,0.0,0.0,33591.0,24.0,0.0,0.0,39435751184.0,60057400297.0
Z305AQLF,2018-01-14,ST4000DM000,0,0.0,18225.0,0.0,0.0,33591.0,24.0,0.0,0.0,39437486992.0,60131486748.0
Z305AQLF,2018-01-15,ST4000DM000,0,0.0,18262.0,0.0,0.0,33591.0,25.0,0.0,0.0,39449956800.0,60364256219.0
Z305AQLF,2018-01-16,ST4000DM000,0,0.0,18286.0,0.0,0.0,33591.0,24.0,0.0,0.0,39454096376.0,60520194563.0
Z305AQLF,2018-01-17,ST4000DM000,0,0.0,18310.0,0.0,0.0,33591.0,24.0,0.0,0.0,39461891560.0,60716926602.0
Z305AQLF,2018-01-18,ST4000DM000,0,0.0,18337.0,0.0,0.0,33591.0,24.0,0.0,0.0,39469955992.0,60911126413.0
Z305AQLF,2018-01-19,ST4000DM000,0,0.0,18361.0,0.0,0.0,33594.0,24.0,0.0,0.0,39479007088.0,61103172987.0
Z305AQLF,2018-01-20,ST4000DM000,0,0.0,18385.0,0.0,0.0,33594.0,24.0,0.0,0.0,39500146920.0,61291682905.0
Z305AQLF,2018-01-21,ST4000DM000,0,0.0,18409.0,0.0,0.0,33594.0,24.0,0.0,0.0,39518421760.0,61456615062.0
Z305AQLF,2018-01-22,ST4000DM000,0,0.0,18433.0,0.0,0.0,33594.0,23.0,0.0,0.0,39527395128.0,61571468536.0
Z305AQLF,2018-01-23,ST4000DM000,0,0.0,18445.0,0.0,0.0,33594.0,23.0,0.0,0.0,39532783608.0,61660527032.0
Z305AQLF,2018-01-24,ST4000DM000,0,0.0,18489.0,0.0,0.0,33594.0,23.0,0.0,0.0,39561506048.0,61953120065.0
Z305AQLF,2018-01-25,ST4000DM000,0,0.0,18505.0,0.0,0.0,33594.0,23.0,0.0,0.0,39565550560.0,62047194459.0
Z305AQLF,2018-01-26,ST4000DM000,0,0.0,18529.0,0.0,0.0,33597.0,23.0,0.0,0.0,39569552696.0,62095443649.0
