serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305AQMK,2018-01-02,ST4000DM000,0,0.0,18095.0,0.0,0.0,34080.0,23.0,0.0,0.0,37612065648.0,60155489293.0
Z305AQMK,2018-01-03,ST4000DM000,0,0.0,18131.0,0.0,0.0,34080.0,23.0,0.0,0.0,37667175648.0,60359480867.0
Z305AQMK,2018-01-04,ST4000DM000,0,0.0,18147.0,0.0,0.0,34080.0,23.0,0.0,0.0,37692043928.0,60458588911.0
Z305AQMK,2018-01-05,ST4000DM000,0,0.0,18159.0,0.0,0.0,34081.0,23.0,0.0,0.0,37706021592.0,60522877315.0
Z305AQMK,2018-01-06,ST4000DM000,0,0.0,18195.0,0.0,0.0,34081.0,24.0,0.0,0.0,37755354168.0,60739392613.0
Z305AQMK,2018-01-07,ST4000DM000,0,0.0,18219.0,0.0,0.0,34081.0,24.0,0.0,0.0,37781498968.0,60870317509.0
Z305AQMK,2018-01-08,ST4000DM000,0,0.0,18243.0,0.0,0.0,34081.0,24.0,0.0,0.0,37820573616.0,61002002331.0
Z305AQMK,2018-01-09,ST4000DM000,0,0.0,18267.0,0.0,0.0,34081.0,23.0,0.0,0.0,37849152304.0,61111692370.0
Z305AQMK,2018-01-10,ST4000DM000,0,0.0,18294.0,0.0,0.0,34081.0,23.0,0.0,0.0,37862392880.0,61274065271.0
Z305AQMK,2018-01-11,ST4000DM000,0,0.0,18325.0,0.0,0.0,34088.0,24.0,0.0,0.0,37873577584.0,61407067350.0
Z305AQMK,2018-01-12,ST4000DM000,0,0.0,18325.0,0.0,0.0,34088.0,24.0,0.0,0.0,37873577584.0,61407067350.0
Z305AQMK,2018-01-13,ST4000DM000,0,0.0,18373.0,0.0,0.0,34088.0,23.0,0.0,0.0,37894426880.0,61657901371.0
