serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305GWGY,2018-01-02,ST4000DM000,0,0.0,16446.0,0.0,0.0,3307.0,28.0,0.0,0.0,39116659264.0,76892741777.0
Z305GWGY,2018-01-03,ST4000DM000,0,0.0,16471.0,0.0,0.0,3307.0,29.0,0.0,0.0,39141233992.0,77060166859.0
Z305GWGY,2018-01-04,ST4000DM000,0,0.0,16498.0,0.0,0.0,3308.0,29.0,0.0,0.0,39158274928.0,77250690456.0
Z305GWGY,2018-01-05,ST4000DM000,0,0.0,16523.0,0.0,0.0,3308.0,29.0,0.0,0.0,39173598608.0,77427498617.0
Z305GWGY,2018-01-06,ST4000DM000,0,0.0,16547.0,0.0,0.0,3308.0,28.0,0.0,0.0,39185228448.0,77594251552.0
Z305GWGY,2018-01-07,ST4000DM000,0,0.0,16571.0,0.0,0.0,3308.0,29.0,0.0,0.0,39188895488.0,77804904395.0
Z305GWGY,2018-01-08,ST4000DM000,0,0.0,16595.0,0.0,0.0,3308.0,28.0,0.0,0.0,39191779000.0,77979890032.0
Z305GWGY,2018-01-09,ST4000DM000,0,0.0,16619.0,0.0,0.0,3308.0,28.0,0.0,0.0,39197782896.0,78144819145.0
Z305GWGY,2018-01-10,ST4000DM000,0,0.0,16643.0,0.0,0.0,3308.0,28.0,0.0,0.0,39200325736.0,78302086988.0
Z305GWGY,2018-01-11,ST4000DM000,0,0.0,16664.0,0.0,0.0,3312.0,28.0,0.0,0.0,39204263000.0,78427457029.0
Z305GWGY,2018-01-12,ST4000DM000,0,0.0,16688.0,0.0,0.0,3312.0,28.0,0.0,0.0,39208090976.0,78597522075.0
Z305GWGY,2018-01-13,ST4000DM000,0,0.0,16712.0,0.0,0.0,3312.0,29.0,0.0,0.0,39213009760.0,78777681457.0
Z305GWGY,2018-01-14,ST4000DM000,0,0.0,16736.0,0.0,0.0,3312.0,28.0,0.0,0.0,39215711144.0,78895457620.0
Z305GWGY,2018-01-15,ST4000DM000,0,0.0,16760.0,0.0,0.0,3312.0,28.0,0.0,0.0,39220250112.0,78915853218.0
Z305GWGY,2018-01-16,ST4000DM000,0,0.0,16784.0,0.0,0.0,3312.0,29.0,0.0,0.0,39226705912.0,78992088705.0
Z305GWGY,2018-01-17,ST4000DM000,0,0.0,16808.0,0.0,0.0,3312.0,28.0,0.0,0.0,39231256760.0,79065933800.0
Z305GWGY,2018-01-18,ST4000DM000,0,0.0,16823.0,0.0,0.0,3312.0,28.0,0.0,0.0,39237641712.0,79155373465.0
Z305GWGY,2018-01-19,ST4000DM000,0,0.0,16847.0,0.0,0.0,3316.0,28.0,0.0,0.0,39272492880.0,79297241411.0
Z305GWGY,2018-01-20,ST4000DM000,0,0.0,16871.0,0.0,0.0,3316.0,27.0,0.0,0.0,39285808208.0,79452850862.0
Z305GWGY,2018-01-21,ST4000DM000,0,0.0,16895.0,0.0,0.0,3316.0,28.0,0.0,0.0,39299270752.0,79585395282.0
Z305GWGY,2018-01-22,ST4000DM000,0,0.0,16919.0,0.0,0.0,3316.0,28.0,0.0,0.0,39311563136.0,79692481253.0
Z305GWGY,2018-01-23,ST4000DM000,0,0.0,16943.0,0.0,0.0,3316.0,27.0,0.0,0.0,39341473312.0,79881964265.0
Z305GWGY,2018-01-24,ST4000DM000,0,0.0,16975.0,0.0,0.0,3316.0,27.0,0.0,0.0,39369232632.0,80082871599.0
Z305GWGY,2018-01-25,ST4000DM000,0,0.0,16992.0,0.0,0.0,3316.0,27.0,0.0,0.0,39384344792.0,80181894625.0
Z305GWGY,2018-01-26,ST4000DM000,0,0.0,17016.0,0.0,0.0,3317.0,26.0,0.0,0.0,39403677832.0,80307141947.0
Z305GWGY,2018-01-27,ST4000DM000,0,0.0,17040.0,0.0,0.0,3317.0,26.0,0.0,0.0,39414413552.0,80467347837.0
Z305GWGY,2018-01-28,ST4000DM000,0,0.0,17064.0,0.0,0.0,3317.0,26.0,0.0,0.0,39430342592.0,80616412065.0
Z305GWGY,2018-01-29,ST4000DM000,0,0.0,17087.0,0.0,0.0,3317.0,26.0,0.0,0.0,39441362792.0,80776159196.0
Z305GWGY,2018-01-30,ST4000DM000,0,0.0,17121.0,0.0,0.0,3319.0,26.0,0.0,0.0,39465374672.0,81015204820.0
Z305GWGY,2018-01-31,ST4000DM000,0,0.0,17144.0,0.0,0.0,3319.0,26.0,0.0,0.0,39488062320.0,81192808353.0
Z305GWGY,2018-02-01,ST4000DM000,0,0.0,17168.0,0.0,0.0,3319.0,26.0,0.0,0.0,39521364800.0,81367898968.0
Z305GWGY,2018-02-02,ST4000DM000,0,0.0,17193.0,0.0,0.0,3319.0,26.0,0.0,0.0,39549581384.0,81563653754.0
Z305GWGY,2018-02-03,ST4000DM000,0,0.0,17216.0,0.0,0.0,3319.0,26.0,0.0,0.0,39568604416.0,81762832191.0
Z305GWGY,2018-02-04,ST4000DM000,0,0.0,17237.0,0.0,0.0,3319.0,26.0,0.0,0.0,39577174736.0,81899245534.0
Z305GWGY,2018-02-05,ST4000DM000,0,0.0,17260.0,0.0,0.0,3319.0,26.0,0.0,0.0,39590741040.0,82105521982.0
Z305GWGY,2018-02-06,ST4000DM000,0,0.0,17284.0,0.0,0.0,3319.0,26.0,0.0,0.0,39619646264.0,82337795832.0
Z305GWGY,2018-02-07,ST4000DM000,0,0.0,17308.0,0.0,0.0,3319.0,25.0,0.0,0.0,39639775520.0,82537620365.0
Z305GWGY,2018-02-08,ST4000DM000,0,0.0,17334.0,0.0,0.0,3320.0,25.0,0.0,0.0,39665020504.0,82742997176.0
Z305GWGY,2018-02-09,ST4000DM000,0,0.0,17357.0,0.0,0.0,3320.0,26.0,0.0,0.0,39674979344.0,82905840933.0
Z305GWGY,2018-02-10,ST4000DM000,0,0.0,17382.0,0.0,0.0,3320.0,26.0,0.0,0.0,39685737072.0,83095870045.0
Z305GWGY,2018-02-11,ST4000DM000,0,0.0,17406.0,0.0,0.0,3320.0,27.0,0.0,0.0,39702202288.0,83273774502.0
