serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305KVGY,2018-01-02,ST4000DM000,0,0.0,15795.0,0.0,0.0,4043.0,20.0,0.0,0.0,35798598752.0,75759462600.0
Z305KVGY,2018-01-03,ST4000DM000,0,0.0,15819.0,0.0,0.0,4043.0,20.0,0.0,0.0,35820583280.0,75931828217.0
Z305KVGY,2018-01-04,ST4000DM000,0,0.0,15836.0,0.0,0.0,4043.0,20.0,0.0,0.0,35833637040.0,76032811293.0
Z305KVGY,2018-01-05,ST4000DM000,0,0.0,15860.0,0.0,0.0,4044.0,20.0,0.0,0.0,35880965240.0,76172592445.0
Z305KVGY,2018-01-06,ST4000DM000,0,0.0,15884.0,0.0,0.0,4044.0,23.0,0.0,0.0,35908288544.0,76325159578.0
Z305KVGY,2018-01-07,ST4000DM000,0,0.0,15908.0,0.0,0.0,4044.0,21.0,0.0,0.0,35931158552.0,76402309478.0
Z305KVGY,2018-01-08,ST4000DM000,0,0.0,15932.0,0.0,0.0,4044.0,23.0,0.0,0.0,35950422648.0,76536057970.0
Z305KVGY,2018-01-09,ST4000DM000,0,0.0,15956.0,0.0,0.0,4044.0,24.0,0.0,0.0,35965738048.0,76649538029.0
Z305KVGY,2018-01-10,ST4000DM000,0,0.0,15984.0,0.0,0.0,4044.0,22.0,0.0,0.0,35983769648.0,76829632236.0
Z305KVGY,2018-01-11,ST4000DM000,0,0.0,16006.0,0.0,0.0,4045.0,26.0,0.0,0.0,35987973672.0,76938900913.0
Z305KVGY,2018-01-12,ST4000DM000,0,0.0,16030.0,0.0,0.0,4047.0,23.0,0.0,0.0,36000473984.0,77117505068.0
Z305KVGY,2018-01-13,ST4000DM000,0,0.0,16042.0,0.0,0.0,4047.0,23.0,0.0,0.0,36005076088.0,77174211139.0
Z305KVGY,2018-01-14,ST4000DM000,0,0.0,16078.0,0.0,0.0,4047.0,23.0,0.0,0.0,36014330304.0,77379364787.0
Z305KVGY,2018-01-15,ST4000DM000,0,0.0,16102.0,0.0,0.0,4047.0,23.0,0.0,0.0,36021099688.0,77516460284.0
Z305KVGY,2018-01-16,ST4000DM000,0,0.0,16126.0,0.0,0.0,4047.0,24.0,0.0,0.0,36027986832.0,77638351616.0
Z305KVGY,2018-01-17,ST4000DM000,0,0.0,16150.0,0.0,0.0,4047.0,24.0,0.0,0.0,36036968744.0,77782754870.0
