serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z307STSY,2018-01-02,ST4000DM000,0,0.0,4590.0,0.0,0.0,68.0,21.0,0.0,0.0,19086211096.0,35846549161.0
Z307STSY,2018-01-03,ST4000DM000,0,0.0,4602.0,0.0,0.0,68.0,21.0,0.0,0.0,19095181144.0,35853123648.0
Z307STSY,2018-01-04,ST4000DM000,0,0.0,4630.0,0.0,0.0,68.0,20.0,0.0,0.0,19132935024.0,35990876351.0
Z307STSY,2018-01-05,ST4000DM000,0,0.0,4654.0,0.0,0.0,70.0,21.0,0.0,0.0,19161932592.0,36154862431.0
Z307STSY,2018-01-06,ST4000DM000,0,0.0,4678.0,0.0,0.0,70.0,22.0,0.0,0.0,19188506832.0,36292870057.0
Z307STSY,2018-01-07,ST4000DM000,0,0.0,4702.0,0.0,0.0,70.0,22.0,0.0,0.0,19214164072.0,36379549137.0
Z307STSY,2018-01-08,ST4000DM000,0,0.0,4726.0,0.0,0.0,70.0,22.0,0.0,0.0,19248026304.0,36480574772.0
Z307STSY,2018-01-09,ST4000DM000,0,0.0,4750.0,0.0,0.0,70.0,22.0,0.0,0.0,19268979440.0,36599789388.0
Z307STSY,2018-01-10,ST4000DM000,0,0.0,4777.0,0.0,0.0,70.0,22.0,0.0,0.0,19285535512.0,36699925502.0
Z307STSY,2018-01-11,ST4000DM000,0,0.0,4808.0,0.0,0.0,76.0,22.0,0.0,0.0,19296648072.0,36855794744.0
Z307STSY,2018-01-12,ST4000DM000,0,0.0,4832.0,0.0,0.0,76.0,22.0,0.0,0.0,19303815240.0,36981794012.0
Z307STSY,2018-01-13,ST4000DM000,0,0.0,4856.0,0.0,0.0,76.0,23.0,0.0,0.0,19309580680.0,37138661109.0
Z307STSY,2018-01-14,ST4000DM000,0,0.0,4880.0,0.0,0.0,76.0,23.0,0.0,0.0,19317759144.0,37188122326.0
Z307STSY,2018-01-15,ST4000DM000,0,0.0,4904.0,0.0,0.0,76.0,23.0,0.0,0.0,19321520952.0,37304829938.0
Z307STSY,2018-01-16,ST4000DM000,0,0.0,4928.0,0.0,0.0,76.0,22.0,0.0,0.0,19325845640.0,37427725186.0
Z307STSY,2018-01-17,ST4000DM000,0,0.0,4952.0,0.0,0.0,76.0,23.0,0.0,0.0,19330741952.0,37576357003.0
Z307STSY,2018-01-18,ST4000DM000,0,0.0,4967.0,0.0,0.0,76.0,22.0,0.0,0.0,19336455096.0,37658418856.0
Z307STSY,2018-01-19,ST4000DM000,0,0.0,4991.0,0.0,0.0,79.0,21.0,0.0,0.0,19354442000.0,37747254854.0
Z307STSY,2018-01-21,ST4000DM000,0,0.0,5039.0,0.0,0.0,79.0,21.0,0.0,0.0,19369103568.0,37943319009.0
Z307STSY,2018-01-22,ST4000DM000,0,0.0,5062.0,0.0,0.0,79.0,20.0,0.0,0.0,19383177904.0,38077915208.0
Z307STSY,2018-01-23,ST4000DM000,0,0.0,5087.0,0.0,0.0,79.0,22.0,0.0,0.0,19390970480.0,38143007844.0
Z307STSY,2018-01-24,ST4000DM000,0,0.0,5119.0,0.0,0.0,79.0,22.0,0.0,0.0,19400732872.0,38231219290.0
Z307STSY,2018-01-25,ST4000DM000,0,0.0,5135.0,0.0,0.0,79.0,22.0,0.0,0.0,19412721640.0,38321816103.0
Z307STSY,2018-01-26,ST4000DM000,0,0.0,5159.0,0.0,0.0,83.0,22.0,0.0,0.0,19421505240.0,38444933360.0
Z307STSY,2018-01-27,ST4000DM000,0,0.0,5183.0,0.0,0.0,83.0,21.0,0.0,0.0,19424307640.0,38527394460.0
Z307STSY,2018-01-28,ST4000DM000,0,0.0,5208.0,0.0,0.0,83.0,21.0,0.0,0.0,19433688160.0,38630481036.0
Z307STSY,2018-01-29,ST4000DM000,0,0.0,5231.0,0.0,0.0,83.0,22.0,0.0,0.0,19440544064.0,38731166084.0
Z307STSY,2018-01-30,ST4000DM000,0,0.0,5264.0,0.0,0.0,86.0,22.0,0.0,0.0,19449158784.0,38933026791.0
Z307STSY,2018-01-31,ST4000DM000,0,0.0,5288.0,0.0,0.0,86.0,22.0,0.0,0.0,19452654280.0,39054502156.0
Z307STSY,2018-02-01,ST4000DM000,0,0.0,5312.0,0.0,0.0,86.0,22.0,0.0,0.0,19457733992.0,39207847226.0
Z307STSY,2018-02-02,ST4000DM000,0,0.0,5336.0,0.0,0.0,86.0,22.0,0.0,0.0,19469056456.0,39395872817.0
Z307STSY,2018-02-03,ST4000DM000,0,0.0,5360.0,0.0,0.0,86.0,22.0,0.0,0.0,19471369800.0,39547743143.0
Z307STSY,2018-02-04,ST4000DM000,0,0.0,5380.0,0.0,0.0,86.0,22.0,0.0,0.0,19478245608.0,39645936831.0
Z307STSY,2018-02-05,ST4000DM000,0,0.0,5403.0,0.0,0.0,86.0,22.0,0.0,0.0,19481496568.0,39793897706.0
Z307STSY,2018-02-06,ST4000DM000,0,0.0,5428.0,0.0,0.0,86.0,22.0,0.0,0.0,19487044680.0,39943200421.0
