serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300ZRQS,2018-09-29,ST4000DM000,1,0.0,25944.0,0.0,0.0,6901.0,23.0,0.0,0.0,48676237535.0,111732895219.0
Z304JMYN,2018-09-28,ST4000DM000,1,0.0,26074.0,0.0,0.0,7939.0,23.0,0.0,0.0,47781215360.0,103912924470.0
S300Z535,2018-09-28,ST4000DM000,1,8.0,28037.0,7.0,0.0,49910.0,27.0,8.0,8.0,49756552712.0,111194825069.0
Z302T6Y1,2018-09-27,ST4000DM000,1,0.0,26451.0,0.0,0.0,10498.0,30.0,0.0,0.0,49155729080.0,99822503468.0
S301DL0V,2018-09-27,ST4000DM000,1,0.0,25531.0,0.0,0.0,8646.0,25.0,40.0,40.0,46578826824.0,100366856627.0
Z305GXQD,2018-09-26,ST4000DM000,1,0.0,22852.0,0.0,0.0,4068.0,33.0,0.0,0.0,41420860920.0,123223709191.0
Z303XY6E,2018-09-25,ST4000DM000,1,0.0,25276.0,0.0,0.0,14579.0,20.0,0.0,0.0,45205773120.0,98772077945.0
Z30250EX,2018-09-24,ST4000DM000,1,0.0,34009.0,0.0,2.0,132153.0,26.0,0.0,0.0,25720923896.0,231543377782.0
Z304MZ1A,2018-09-23,ST4000DM000,1,0.0,22610.0,10.0,0.0,53833.0,27.0,56.0,56.0,35367220744.0,99340442501.0
S301GVRA,2018-09-22,ST4000DM000,1,0.0,26597.0,0.0,0.0,10927.0,36.0,72.0,72.0,49852528088.0,89742150623.0
Z30587VY,2018-09-22,ST4000DM000,1,0.0,23574.0,32.0,0.0,13481.0,24.0,80.0,80.0,41472205288.0,50123276523.0
S301KSKS,2018-09-21,ST4000DM000,1,24.0,25389.0,25.0,0.0,14448.0,24.0,16.0,16.0,45212393272.0,97683453176.0
Z3025M6M,2018-09-20,ST4000DM000,1,8408.0,34459.0,0.0,0.0,28943.0,23.0,24.0,24.0,25129231138.0,186052086173.0
Z305D2EC,2018-09-18,ST4000DM000,1,0.0,22850.0,18.0,0.0,9191.0,25.0,312.0,312.0,39845536560.0,116683291598.0
Z3025LDA,2018-09-17,ST4000DM000,1,0.0,34369.0,0.0,0.0,79919.0,20.0,392.0,392.0,23584348916.0,205708413488.0
Z3025LLH,2018-09-17,ST4000DM000,1,0.0,34391.0,6.0,0.0,27956.0,23.0,536.0,536.0,25158788685.0,170019264581.0
Z305CR3H,2018-09-15,ST4000DM000,1,0.0,24267.0,0.0,0.0,35436.0,23.0,0.0,0.0,42550254632.0,107142566344.0
Z302SQW6,2018-09-15,ST4000DM000,1,0.0,26862.0,0.0,0.0,21227.0,26.0,16.0,16.0,50578417136.0,113418893600.0
Z304EZRX,2018-09-14,ST4000DM000,1,8.0,19016.0,3.0,0.0,89402.0,24.0,272.0,272.0,11502204528.0,54317666750.0
Z305B9YM,2018-09-14,ST4000DM000,1,0.0,23001.0,0.0,0.0,4907.0,23.0,0.0,0.0,43052923240.0,90969053592.0
Z302T6R6,2018-09-14,ST4000DM000,1,0.0,26138.0,0.0,0.0,9955.0,37.0,0.0,0.0,48926373552.0,96466359273.0
Z3026JFT,2018-09-13,ST4000DM000,1,32.0,34273.0,24.0,0.0,98893.0,23.0,104.0,104.0,24709317981.0,213675874125.0
S301GMXY,2018-09-13,ST4000DM000,1,0.0,26568.0,0.0,0.0,12584.0,21.0,0.0,0.0,49250596832.0,91787724118.0
S300WFKQ,2018-09-13,ST4000DM000,1,0.0,27737.0,7.0,0.0,128383.0,19.0,0.0,0.0,44766502528.0,119749891565.0
Z300YV67,2018-09-13,ST4000DM000,1,23456.0,34079.0,0.0,0.0,47449.0,21.0,272.0,272.0,25613634201.0,199519809960.0
S301FREY,2018-09-13,ST4000DM000,1,0.0,16641.0,0.0,0.0,49697.0,20.0,208.0,208.0,10815604660.0,46120769453.0
Z304S2PM,2018-09-12,ST4000DM000,1,0.0,24181.0,0.0,0.0,34586.0,21.0,0.0,0.0,42937046104.0,108633348262.0
Z3025L7R,2018-09-11,ST4000DM000,1,0.0,34540.0,0.0,0.0,101078.0,23.0,0.0,0.0,26326363682.0,310700739993.0
Z304JGA1,2018-09-11,ST4000DM000,1,0.0,24681.0,0.0,0.0,6290.0,22.0,0.0,0.0,43587267720.0,125135895914.0
Z302SY7G,2018-09-10,ST4000DM000,1,0.0,26027.0,72.0,0.0,10381.0,31.0,32.0,32.0,48528885944.0,95735701086.0
Z305DFA7,2018-09-10,ST4000DM000,1,0.0,22301.0,18.0,0.0,55149.0,28.0,8.0,8.0,36663725640.0,100490655611.0
Z305AQXD,2018-09-09,ST4000DM000,1,0.0,24124.0,0.0,0.0,32461.0,18.0,0.0,0.0,43834036448.0,101973892616.0
Z3051Z9A,2018-09-08,ST4000DM000,1,0.0,23241.0,18.0,0.0,9648.0,22.0,8.0,8.0,43916450848.0,109554903684.0
S300XCWM,2018-09-08,ST4000DM000,1,792.0,27631.0,20.0,2.0,131731.0,21.0,0.0,0.0,44372619280.0,102010482489.0
Z302AJXR,2018-09-08,ST4000DM000,1,0.0,28109.0,0.0,0.0,40295.0,21.0,0.0,0.0,53982355080.0,116944195100.0
S300XBV8,2018-09-07,ST4000DM000,1,0.0,23556.0,0.0,0.0,116428.0,22.0,0.0,0.0,35672003768.0,80534209965.0
Z30414HF,2018-09-06,ST4000DM000,1,0.0,26171.0,1.0,3.0,40936.0,21.0,240.0,240.0,23642308930.0,228654643070.0
Z302EQCJ,2018-09-06,ST4000DM000,1,0.0,31373.0,12.0,0.0,46077.0,16.0,24.0,24.0,55766120128.0,105924134365.0
Z305C1VN,2018-09-06,ST4000DM000,1,0.0,14801.0,0.0,0.0,118830.0,23.0,0.0,0.0,14543193680.0,63038393703.0
Z302SX7J,2018-09-06,ST4000DM000,1,0.0,26650.0,36.0,0.0,20152.0,21.0,16.0,16.0,49118447320.0,88957113151.0
Z304JMAM,2018-09-05,ST4000DM000,1,0.0,25542.0,0.0,0.0,6212.0,23.0,0.0,0.0,47364947440.0,132947010345.0
Z304JNRJ,2018-09-04,ST4000DM000,1,0.0,25492.0,0.0,0.0,6540.0,22.0,0.0,0.0,49800725416.0,97242714770.0
Z303Y4MH,2018-09-04,ST4000DM000,1,0.0,25801.0,0.0,0.0,180974.0,21.0,0.0,0.0,21792552590.0,194256850512.0
Z303XYW6,2018-09-04,ST4000DM000,1,1616.0,24510.0,2.0,1.0,5879.0,18.0,1936.0,1936.0,45371710528.0,102452745605.0
Z305Q0NT,2018-09-04,ST4000DM000,1,8.0,22157.0,4.0,0.0,56739.0,26.0,0.0,0.0,35551589024.0,98777194532.0
Z302519N,2018-08-31,ST4000DM000,1,8.0,34011.0,2.0,0.0,4068.0,28.0,40.0,40.0,24406574510.0,178334775053.0
