serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300WFKQ,2018-01-02,ST4000DM000,0,0.0,21643.0,2.0,0.0,128264.0,23.0,0.0,0.0,35824891056.0,67334022557.0
S300WFKQ,2018-01-03,ST4000DM000,0,0.0,21667.0,2.0,0.0,128264.0,23.0,0.0,0.0,35826205008.0,67519129969.0
S300WFKQ,2018-01-04,ST4000DM000,0,0.0,21695.0,2.0,0.0,128267.0,23.0,0.0,0.0,35827581784.0,67699753666.0
S300WFKQ,2018-01-05,ST4000DM000,0,0.0,21719.0,2.0,0.0,128267.0,23.0,0.0,0.0,35830415096.0,67775464465.0
S300WFKQ,2018-01-06,ST4000DM000,0,0.0,21731.0,2.0,0.0,128267.0,22.0,0.0,0.0,35830965688.0,67831319357.0
S300WFKQ,2018-01-07,ST4000DM000,0,0.0,21755.0,2.0,0.0,128267.0,22.0,0.0,0.0,35832112704.0,68009576507.0
S300WFKQ,2018-01-08,ST4000DM000,0,0.0,21792.0,2.0,0.0,128267.0,21.0,0.0,0.0,35835310392.0,68151396727.0
S300WFKQ,2018-01-09,ST4000DM000,0,0.0,21815.0,2.0,0.0,128286.0,21.0,0.0,0.0,35851840296.0,72608846915.0
S300WFKQ,2018-01-10,ST4000DM000,0,0.0,21831.0,2.0,0.0,128286.0,22.0,0.0,0.0,35869551080.0,72716559579.0
S300WFKQ,2018-01-11,ST4000DM000,0,0.0,21860.0,2.0,0.0,128289.0,22.0,0.0,0.0,35877687048.0,72864357723.0
S300WFKQ,2018-01-12,ST4000DM000,0,0.0,21885.0,2.0,0.0,128289.0,23.0,0.0,0.0,35888055816.0,73056967226.0
S300WFKQ,2018-01-13,ST4000DM000,0,0.0,21908.0,2.0,0.0,128289.0,22.0,0.0,0.0,35897210016.0,73219289490.0
S300WFKQ,2018-01-14,ST4000DM000,0,0.0,21932.0,2.0,0.0,128289.0,23.0,0.0,0.0,35908537008.0,73422497185.0
S300WFKQ,2018-01-15,ST4000DM000,0,0.0,21956.0,2.0,0.0,128289.0,22.0,0.0,0.0,35925523952.0,73521382441.0
S300WFKQ,2018-01-16,ST4000DM000,0,0.0,21981.0,2.0,0.0,128289.0,22.0,0.0,0.0,35937225048.0,73709004909.0
S300WFKQ,2018-01-17,ST4000DM000,0,0.0,22004.0,2.0,0.0,128289.0,21.0,0.0,0.0,35950789048.0,73883711225.0
S300WFKQ,2018-01-18,ST4000DM000,0,0.0,22020.0,2.0,0.0,128289.0,21.0,0.0,0.0,35961942680.0,73979837326.0
S300WFKQ,2018-01-19,ST4000DM000,0,0.0,22043.0,2.0,0.0,128291.0,21.0,0.0,0.0,35994704800.0,74136087345.0
S300WFKQ,2018-01-20,ST4000DM000,0,0.0,22068.0,2.0,0.0,128291.0,21.0,0.0,0.0,36034008040.0,74301108045.0
S300WFKQ,2018-01-21,ST4000DM000,0,0.0,22092.0,2.0,0.0,128291.0,22.0,0.0,0.0,36064012448.0,74479152974.0
S300WFKQ,2018-01-22,ST4000DM000,0,0.0,22116.0,2.0,0.0,128291.0,21.0,0.0,0.0,36098183136.0,74579277667.0
S300WFKQ,2018-01-23,ST4000DM000,0,0.0,22139.0,2.0,0.0,128291.0,21.0,0.0,0.0,36135360008.0,74697462357.0
S300WFKQ,2018-01-24,ST4000DM000,0,0.0,22171.0,2.0,0.0,128291.0,21.0,0.0,0.0,36186287528.0,74928081782.0
S300WFKQ,2018-01-25,ST4000DM000,0,0.0,22189.0,2.0,0.0,128291.0,21.0,0.0,0.0,36209200952.0,75034021330.0
S300WFKQ,2018-01-26,ST4000DM000,0,0.0,22212.0,2.0,0.0,128291.0,21.0,0.0,0.0,36254755136.0,75124068272.0
S300WFKQ,2018-01-27,ST4000DM000,0,0.0,22236.0,2.0,0.0,128291.0,21.0,0.0,0.0,36278656208.0,75248703244.0
S300WFKQ,2018-01-28,ST4000DM000,0,0.0,22261.0,2.0,0.0,128291.0,21.0,0.0,0.0,36308658480.0,75364653364.0
S300WFKQ,2018-01-29,ST4000DM000,0,0.0,22284.0,2.0,0.0,128291.0,21.0,0.0,0.0,36340573296.0,75469011710.0
S300WFKQ,2018-01-30,ST4000DM000,0,0.0,22316.0,2.0,0.0,128293.0,21.0,0.0,0.0,36374326560.0,75606535474.0
S300WFKQ,2018-01-31,ST4000DM000,0,0.0,22341.0,2.0,0.0,128293.0,22.0,0.0,0.0,36406964576.0,75758483090.0
S300WFKQ,2018-02-01,ST4000DM000,0,0.0,22365.0,2.0,0.0,128293.0,22.0,0.0,0.0,36440708800.0,75970074200.0
S300WFKQ,2018-02-02,ST4000DM000,0,0.0,22389.0,2.0,0.0,128293.0,22.0,0.0,0.0,36462682200.0,76192731325.0
S300WFKQ,2018-02-03,ST4000DM000,0,0.0,22413.0,2.0,0.0,128293.0,21.0,0.0,0.0,36482444320.0,76387197907.0
S300WFKQ,2018-02-04,ST4000DM000,0,0.0,22433.0,2.0,0.0,128293.0,22.0,0.0,0.0,36499765160.0,76547951466.0
S300WFKQ,2018-02-05,ST4000DM000,0,0.0,22457.0,2.0,0.0,128293.0,21.0,0.0,0.0,36524159080.0,76627797150.0
S300WFKQ,2018-02-06,ST4000DM000,0,0.0,22481.0,2.0,0.0,128293.0,21.0,0.0,0.0,36543906472.0,76796050815.0
S300WFKQ,2018-02-07,ST4000DM000,0,0.0,22504.0,2.0,0.0,128293.0,20.0,0.0,0.0,36565124872.0,76970178885.0
S300WFKQ,2018-02-08,ST4000DM000,0,0.0,22530.0,2.0,0.0,128296.0,21.0,0.0,0.0,36586707224.0,77154942666.0
S300WFKQ,2018-02-09,ST4000DM000,0,0.0,22554.0,2.0,0.0,128296.0,21.0,0.0,0.0,36606086992.0,77234137909.0
S300WFKQ,2018-02-10,ST4000DM000,0,0.0,22577.0,2.0,0.0,128296.0,22.0,0.0,0.0,36628475888.0,77404280512.0
S300WFKQ,2018-02-11,ST4000DM000,0,0.0,22602.0,2.0,0.0,128296.0,22.0,0.0,0.0,36656190880.0,77604009415.0
S300WFKQ,2018-02-12,ST4000DM000,0,0.0,22626.0,2.0,0.0,128296.0,21.0,0.0,0.0,36681098592.0,77675409699.0
S300WFKQ,2018-02-13,ST4000DM000,0,0.0,22650.0,2.0,0.0,128296.0,22.0,0.0,0.0,36710588552.0,77865314729.0
S300WFKQ,2018-02-14,ST4000DM000,0,0.0,22674.0,2.0,0.0,128296.0,21.0,0.0,0.0,36745506472.0,78017250941.0
S300WFKQ,2018-02-15,ST4000DM000,0,0.0,22698.0,2.0,0.0,128296.0,21.0,0.0,0.0,36804246208.0,78192687343.0
S300WFKQ,2018-02-16,ST4000DM000,0,0.0,22722.0,2.0,0.0,128296.0,21.0,0.0,0.0,36847004808.0,78388196131.0
S300WFKQ,2018-02-17,ST4000DM000,0,0.0,22746.0,2.0,0.0,128296.0,22.0,0.0,0.0,36882216024.0,78547260835.0
S300WFKQ,2018-02-18,ST4000DM000,0,0.0,22770.0,2.0,0.0,128296.0,21.0,0.0,0.0,36920800976.0,78717580697.0
