serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300XP6V,2018-01-02,ST4000DM000,0,0.0,21576.0,0.0,0.0,49354.0,27.0,0.0,0.0,46670971008.0,68714790743.0
S300XP6V,2018-01-03,ST4000DM000,0,0.0,21600.0,0.0,0.0,49361.0,27.0,0.0,0.0,46686097368.0,68818174068.0
S300XP6V,2018-01-04,ST4000DM000,0,0.0,21629.0,0.0,0.0,49362.0,26.0,0.0,0.0,46708267728.0,69035960549.0
S300XP6V,2018-01-05,ST4000DM000,0,0.0,21653.0,0.0,0.0,49362.0,25.0,0.0,0.0,46723793416.0,69097329869.0
S300XP6V,2018-01-06,ST4000DM000,0,0.0,21677.0,0.0,0.0,49362.0,22.0,0.0,0.0,46740337320.0,69255459350.0
S300XP6V,2018-01-07,ST4000DM000,0,0.0,21701.0,0.0,0.0,49362.0,23.0,0.0,0.0,46750912160.0,69429926921.0
S300XP6V,2018-01-08,ST4000DM000,0,0.0,21725.0,0.0,0.0,49362.0,23.0,0.0,0.0,46769351856.0,69602993101.0
S300XP6V,2018-01-09,ST4000DM000,0,0.0,21749.0,0.0,0.0,49362.0,23.0,0.0,0.0,46784131264.0,69768358804.0
S300XP6V,2018-01-10,ST4000DM000,0,0.0,21773.0,0.0,0.0,49362.0,22.0,0.0,0.0,46799089224.0,69885937987.0
S300XP6V,2018-01-11,ST4000DM000,0,0.0,21794.0,0.0,0.0,49365.0,23.0,0.0,0.0,46810915032.0,70028912528.0
S300XP6V,2018-01-12,ST4000DM000,0,0.0,21818.0,0.0,0.0,49365.0,24.0,0.0,0.0,46820748240.0,70205861835.0
S300XP6V,2018-01-13,ST4000DM000,0,0.0,21842.0,0.0,0.0,49365.0,23.0,0.0,0.0,46830352200.0,70373897821.0
S300XP6V,2018-01-14,ST4000DM000,0,0.0,21866.0,0.0,0.0,49365.0,23.0,0.0,0.0,46854755416.0,70541024748.0
S300XP6V,2018-01-15,ST4000DM000,0,0.0,21890.0,0.0,0.0,49365.0,24.0,0.0,0.0,46878932760.0,70733917285.0
S300XP6V,2018-01-16,ST4000DM000,0,0.0,21914.0,0.0,0.0,49365.0,24.0,0.0,0.0,46893920680.0,70919100307.0
S300XP6V,2018-01-17,ST4000DM000,0,0.0,21938.0,0.0,0.0,49367.0,22.0,0.0,0.0,46908412080.0,71030280814.0
S300XP6V,2018-01-18,ST4000DM000,0,0.0,21965.0,0.0,0.0,49370.0,23.0,0.0,0.0,46925996120.0,71214370259.0
S300XP6V,2018-01-19,ST4000DM000,0,0.0,21989.0,0.0,0.0,49370.0,23.0,0.0,0.0,46949051344.0,71384696138.0
S300XP6V,2018-01-20,ST4000DM000,0,0.0,22013.0,0.0,0.0,49370.0,22.0,0.0,0.0,46961443304.0,71561190425.0
S300XP6V,2018-01-21,ST4000DM000,0,0.0,22037.0,0.0,0.0,49370.0,22.0,0.0,0.0,46998080576.0,71726684923.0
S300XP6V,2018-01-22,ST4000DM000,0,0.0,22061.0,0.0,0.0,49370.0,23.0,0.0,0.0,47018907616.0,71898996394.0
S300XP6V,2018-01-23,ST4000DM000,0,0.0,22085.0,0.0,0.0,49370.0,23.0,0.0,0.0,47041958968.0,72037959879.0
S300XP6V,2018-01-24,ST4000DM000,0,0.0,22105.0,0.0,0.0,49370.0,22.0,0.0,0.0,47066935928.0,72132841209.0
S300XP6V,2018-01-25,ST4000DM000,0,0.0,22121.0,0.0,0.0,49370.0,22.0,0.0,0.0,47077755456.0,72250630962.0
S300XP6V,2018-01-26,ST4000DM000,0,0.0,22145.0,0.0,0.0,49371.0,22.0,0.0,0.0,47098959784.0,72413274846.0
S300XP6V,2018-01-27,ST4000DM000,0,0.0,22170.0,0.0,0.0,49371.0,22.0,0.0,0.0,47109450728.0,72572154154.0
