serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300XPZ1,2018-01-02,ST4000DM000,0,0.0,26908.0,0.0,0.0,47302.0,22.0,0.0,0.0,23092980274.0,149431596265.0
S300XPZ1,2018-01-03,ST4000DM000,0,0.0,26933.0,0.0,0.0,47302.0,22.0,0.0,0.0,23103198194.0,149459309234.0
S300XPZ1,2018-01-04,ST4000DM000,0,0.0,26956.0,0.0,0.0,47302.0,22.0,0.0,0.0,23109409838.0,149485606841.0
S300XPZ1,2018-01-05,ST4000DM000,0,0.0,26980.0,0.0,0.0,47302.0,22.0,0.0,0.0,23115981969.0,149517276665.0
S300XPZ1,2018-01-06,ST4000DM000,0,0.0,27004.0,0.0,0.0,47302.0,21.0,0.0,0.0,23127092194.0,149549219929.0
S300XPZ1,2018-01-07,ST4000DM000,0,0.0,27029.0,0.0,0.0,47302.0,22.0,0.0,0.0,23137252568.0,149577740873.0
S300XPZ1,2018-01-08,ST4000DM000,0,0.0,27052.0,0.0,0.0,47302.0,22.0,0.0,0.0,23144234047.0,149604863510.0
S300XPZ1,2018-01-09,ST4000DM000,0,0.0,27076.0,0.0,0.0,47302.0,22.0,0.0,0.0,23152446375.0,149639912117.0
S300XPZ1,2018-01-10,ST4000DM000,0,0.0,27097.0,0.0,0.0,47302.0,22.0,0.0,0.0,23157379493.0,149667331794.0
S300XPZ1,2018-01-11,ST4000DM000,0,0.0,27126.0,0.0,0.0,47302.0,21.0,0.0,0.0,23160284018.0,149705666482.0
S300XPZ1,2018-01-12,ST4000DM000,0,0.0,27150.0,0.0,0.0,47302.0,21.0,0.0,0.0,23162294487.0,149742988895.0
S300XPZ1,2018-01-13,ST4000DM000,0,0.0,27167.0,0.0,0.0,47302.0,21.0,0.0,0.0,23163418013.0,149763339493.0
S300XPZ1,2018-01-14,ST4000DM000,0,0.0,27191.0,0.0,0.0,47302.0,21.0,0.0,0.0,23165710522.0,149791960603.0
S300XPZ1,2018-01-15,ST4000DM000,0,0.0,27215.0,0.0,0.0,47302.0,21.0,0.0,0.0,23167016667.0,149822540553.0
S300XPZ1,2018-01-16,ST4000DM000,0,0.0,27239.0,0.0,0.0,47313.0,19.0,0.0,0.0,23168310582.0,149852805169.0
S300XPZ1,2018-01-17,ST4000DM000,0,0.0,27263.0,0.0,0.0,47313.0,20.0,0.0,0.0,23169519457.0,149882797892.0
S300XPZ1,2018-01-18,ST4000DM000,0,0.0,27285.0,0.0,0.0,47313.0,20.0,0.0,0.0,23170688299.0,149912749176.0
S300XPZ1,2018-01-19,ST4000DM000,0,0.0,27310.0,0.0,0.0,47313.0,20.0,0.0,0.0,23172262136.0,149947833340.0
S300XPZ1,2018-01-20,ST4000DM000,0,0.0,27333.0,0.0,0.0,47318.0,20.0,0.0,0.0,23173559957.0,149978239926.0
S300XPZ1,2018-01-21,ST4000DM000,0,0.0,27357.0,0.0,0.0,47318.0,21.0,0.0,0.0,23174779031.0,150014500509.0
S300XPZ1,2018-01-22,ST4000DM000,0,0.0,27381.0,0.0,0.0,47318.0,20.0,0.0,0.0,23175994103.0,150049393932.0
S300XPZ1,2018-01-23,ST4000DM000,0,0.0,27405.0,0.0,0.0,47318.0,18.0,0.0,0.0,23177228128.0,150084267849.0
S300XPZ1,2018-01-24,ST4000DM000,0,0.0,27437.0,0.0,0.0,47318.0,18.0,0.0,0.0,23178860756.0,150123329289.0
S300XPZ1,2018-01-25,ST4000DM000,0,0.0,27461.0,0.0,0.0,47318.0,19.0,0.0,0.0,23180259435.0,150161703672.0
S300XPZ1,2018-01-26,ST4000DM000,0,0.0,27485.0,0.0,0.0,47318.0,19.0,0.0,0.0,23181521193.0,150189556218.0
