serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300YH13,2018-01-02,ST4000DM000,0,0.0,21885.0,0.0,0.0,29256.0,23.0,0.0,0.0,23490933443.0,104607846844.0
S300YH13,2018-01-03,ST4000DM000,0,0.0,21909.0,0.0,0.0,29256.0,23.0,0.0,0.0,23497791452.0,104637701344.0
S300YH13,2018-01-04,ST4000DM000,0,0.0,21933.0,0.0,0.0,29256.0,24.0,0.0,0.0,23504958555.0,104677731058.0
S300YH13,2018-01-05,ST4000DM000,0,0.0,21957.0,0.0,0.0,29258.0,22.0,0.0,0.0,23512024976.0,104708035652.0
S300YH13,2018-01-06,ST4000DM000,0,0.0,21981.0,0.0,0.0,29258.0,23.0,0.0,0.0,23518972488.0,104738787161.0
S300YH13,2018-01-07,ST4000DM000,0,0.0,22005.0,0.0,0.0,29258.0,23.0,0.0,0.0,23526779765.0,104768591225.0
S300YH13,2018-01-08,ST4000DM000,0,0.0,22029.0,0.0,0.0,29258.0,22.0,0.0,0.0,23535784638.0,104798868464.0
S300YH13,2018-01-09,ST4000DM000,0,0.0,22053.0,0.0,0.0,29258.0,22.0,0.0,0.0,23544268591.0,104830545297.0
S300YH13,2018-01-10,ST4000DM000,0,0.0,22053.0,0.0,0.0,29258.0,22.0,0.0,0.0,23544268591.0,104830545297.0
S300YH13,2018-01-11,ST4000DM000,0,0.0,22103.0,0.0,0.0,29258.0,23.0,0.0,0.0,23555119606.0,104900703597.0
S300YH13,2018-01-12,ST4000DM000,0,0.0,22127.0,0.0,0.0,29258.0,22.0,0.0,0.0,23558231910.0,104941044492.0
S300YH13,2018-01-13,ST4000DM000,0,0.0,22143.0,0.0,0.0,29258.0,21.0,0.0,0.0,23560564041.0,104963711152.0
S300YH13,2018-01-14,ST4000DM000,0,0.0,22167.0,0.0,0.0,29258.0,22.0,0.0,0.0,23562863043.0,105016888885.0
S300YH13,2018-01-15,ST4000DM000,0,0.0,22192.0,0.0,0.0,29258.0,21.0,0.0,0.0,23565150398.0,105054540645.0
S300YH13,2018-01-16,ST4000DM000,0,0.0,22216.0,0.0,0.0,29266.0,22.0,0.0,0.0,23568185491.0,105086474884.0
S300YH13,2018-01-17,ST4000DM000,0,0.0,22239.0,0.0,0.0,29277.0,21.0,0.0,0.0,23572434238.0,105119059432.0
S300YH13,2018-01-18,ST4000DM000,0,0.0,22252.0,0.0,0.0,29277.0,21.0,0.0,0.0,23574397330.0,105139843396.0
S300YH13,2018-01-19,ST4000DM000,0,0.0,22286.0,0.0,0.0,29277.0,21.0,0.0,0.0,23579452278.0,105196003662.0
S300YH13,2018-01-21,ST4000DM000,0,0.0,22334.0,0.0,0.0,29290.0,21.0,0.0,0.0,23587205587.0,105266849812.0
S300YH13,2018-01-22,ST4000DM000,0,0.0,22358.0,0.0,0.0,29290.0,21.0,0.0,0.0,23590886453.0,105312596882.0
S300YH13,2018-01-23,ST4000DM000,0,0.0,22370.0,0.0,0.0,29799.0,22.0,0.0,0.0,23591201981.0,105339936927.0
S300YH13,2018-01-24,ST4000DM000,0,0.0,22414.0,0.0,0.0,31088.0,22.0,0.0,0.0,23593784620.0,105438847686.0
S300YH13,2018-01-25,ST4000DM000,0,0.0,22431.0,0.0,0.0,31170.0,21.0,0.0,0.0,23596913957.0,105463674380.0
