serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300YPMQ,2018-01-02,ST4000DM000,0,0.0,22784.0,5.0,0.0,159929.0,27.0,0.0,0.0,35275641744.0,64129177095.0
S300YPMQ,2018-01-03,ST4000DM000,0,0.0,22808.0,5.0,0.0,159929.0,27.0,0.0,0.0,35277649368.0,64303390974.0
S300YPMQ,2018-01-04,ST4000DM000,0,0.0,22836.0,5.0,0.0,159932.0,25.0,0.0,0.0,35280054360.0,64530692346.0
S300YPMQ,2018-01-05,ST4000DM000,0,0.0,22860.0,5.0,0.0,159932.0,26.0,0.0,0.0,35282209520.0,64718170991.0
S300YPMQ,2018-01-06,ST4000DM000,0,0.0,22884.0,5.0,0.0,159932.0,25.0,0.0,0.0,35284210760.0,64861190401.0
S300YPMQ,2018-01-07,ST4000DM000,0,0.0,22908.0,5.0,0.0,159932.0,26.0,0.0,0.0,35287563528.0,65035827521.0
S300YPMQ,2018-01-08,ST4000DM000,0,0.0,22932.0,5.0,0.0,159932.0,26.0,0.0,0.0,35289415208.0,65199388885.0
S300YPMQ,2018-01-09,ST4000DM000,0,0.0,22956.0,5.0,0.0,159932.0,25.0,0.0,0.0,35312615304.0,65308162174.0
S300YPMQ,2018-01-10,ST4000DM000,0,0.0,22972.0,5.0,0.0,159932.0,27.0,0.0,0.0,35326187752.0,65412789209.0
S300YPMQ,2018-01-11,ST4000DM000,0,0.0,23001.0,5.0,0.0,159934.0,26.0,0.0,0.0,35336655104.0,65619284736.0
S300YPMQ,2018-01-12,ST4000DM000,0,0.0,23025.0,5.0,0.0,159934.0,26.0,0.0,0.0,35343568664.0,65789803696.0
S300YPMQ,2018-01-13,ST4000DM000,0,0.0,23049.0,5.0,0.0,159934.0,27.0,0.0,0.0,35350210424.0,65976756980.0
S300YPMQ,2018-01-14,ST4000DM000,0,0.0,23073.0,5.0,0.0,159934.0,26.0,0.0,0.0,35361743896.0,66177480841.0
S300YPMQ,2018-01-15,ST4000DM000,0,0.0,23097.0,5.0,0.0,159934.0,26.0,0.0,0.0,35374417992.0,66350111449.0
S300YPMQ,2018-01-16,ST4000DM000,0,0.0,23121.0,5.0,0.0,159938.0,26.0,0.0,0.0,35385040832.0,66482527897.0
S300YPMQ,2018-01-17,ST4000DM000,0,0.0,23145.0,5.0,0.0,159939.0,25.0,0.0,0.0,35396264928.0,66642375271.0
S300YPMQ,2018-01-18,ST4000DM000,0,0.0,23173.0,5.0,0.0,159943.0,25.0,0.0,0.0,35410427024.0,66864809078.0
S300YPMQ,2018-01-19,ST4000DM000,0,0.0,23196.0,5.0,0.0,159943.0,25.0,0.0,0.0,35432461032.0,67039184816.0
S300YPMQ,2018-01-20,ST4000DM000,0,0.0,23221.0,5.0,0.0,159943.0,26.0,0.0,0.0,35459591952.0,67216423386.0
S300YPMQ,2018-01-21,ST4000DM000,0,0.0,23244.0,5.0,0.0,159943.0,26.0,0.0,0.0,35491874912.0,67370678310.0
S300YPMQ,2018-01-22,ST4000DM000,0,0.0,23268.0,5.0,0.0,159943.0,28.0,0.0,0.0,35512515536.0,67463647530.0
S300YPMQ,2018-01-23,ST4000DM000,0,0.0,23292.0,5.0,0.0,159943.0,25.0,0.0,0.0,35542258496.0,67588068345.0
S300YPMQ,2018-01-24,ST4000DM000,0,0.0,23312.0,5.0,0.0,159943.0,24.0,0.0,0.0,35578991224.0,67732468744.0
S300YPMQ,2018-01-25,ST4000DM000,0,0.0,23324.0,5.0,0.0,159943.0,24.0,0.0,0.0,35612402552.0,67825944965.0
S300YPMQ,2018-01-26,ST4000DM000,0,0.0,23341.0,5.0,0.0,159943.0,26.0,0.0,0.0,35640686232.0,67929810498.0
S300YPMQ,2018-01-27,ST4000DM000,0,0.0,23377.0,5.0,0.0,159943.0,24.0,0.0,0.0,35667268728.0,68168124029.0
S300YPMQ,2018-01-28,ST4000DM000,0,0.0,23401.0,5.0,0.0,159943.0,24.0,0.0,0.0,35682500448.0,68382106312.0
S300YPMQ,2018-01-29,ST4000DM000,0,0.0,23425.0,5.0,0.0,159943.0,24.0,0.0,0.0,35710033920.0,68581189049.0
S300YPMQ,2018-01-30,ST4000DM000,0,0.0,23457.0,5.0,0.0,159943.0,24.0,0.0,0.0,35756935696.0,68782512094.0
S300YPMQ,2018-01-31,ST4000DM000,0,0.0,23482.0,5.0,0.0,159943.0,26.0,0.0,0.0,35774916400.0,68923297365.0
S300YPMQ,2018-02-01,ST4000DM000,0,0.0,23506.0,5.0,0.0,159943.0,25.0,0.0,0.0,35797550664.0,69060206060.0
S300YPMQ,2018-02-02,ST4000DM000,0,0.0,23530.0,5.0,0.0,159943.0,25.0,0.0,0.0,35816860000.0,69209853909.0
S300YPMQ,2018-02-03,ST4000DM000,0,0.0,23554.0,5.0,0.0,159943.0,25.0,0.0,0.0,35831587488.0,69382782531.0
S300YPMQ,2018-02-04,ST4000DM000,0,0.0,23578.0,5.0,0.0,159943.0,25.0,0.0,0.0,35839508560.0,69584653291.0
S300YPMQ,2018-02-05,ST4000DM000,0,0.0,23601.0,5.0,0.0,159943.0,25.0,0.0,0.0,35844772240.0,69775994970.0
S300YPMQ,2018-02-06,ST4000DM000,0,0.0,23625.0,5.0,0.0,159943.0,24.0,0.0,0.0,35854411464.0,69930135632.0
S300YPMQ,2018-02-07,ST4000DM000,0,0.0,23649.0,5.0,0.0,159943.0,25.0,0.0,0.0,35861977288.0,70117820355.0
S300YPMQ,2018-02-08,ST4000DM000,0,0.0,23671.0,5.0,0.0,159946.0,24.0,0.0,0.0,35870077176.0,70262566060.0
S300YPMQ,2018-02-09,ST4000DM000,0,0.0,23695.0,5.0,0.0,159946.0,23.0,0.0,0.0,35878344440.0,70430106889.0
S300YPMQ,2018-02-10,ST4000DM000,0,0.0,23718.0,5.0,0.0,159946.0,26.0,0.0,0.0,35887939624.0,70590486016.0
S300YPMQ,2018-02-11,ST4000DM000,0,0.0,23743.0,5.0,0.0,159946.0,24.0,0.0,0.0,35898947496.0,70696565849.0
S300YPMQ,2018-02-12,ST4000DM000,0,0.0,23767.0,5.0,0.0,159946.0,24.0,0.0,0.0,35912922264.0,70860701664.0
S300YPMQ,2018-02-13,ST4000DM000,0,0.0,23791.0,5.0,0.0,159946.0,24.0,0.0,0.0,35927553448.0,70970200185.0
S300YPMQ,2018-02-14,ST4000DM000,0,0.0,23815.0,5.0,0.0,159946.0,23.0,0.0,0.0,35943940672.0,71117509328.0
S300YPMQ,2018-02-15,ST4000DM000,0,0.0,23839.0,5.0,0.0,159946.0,24.0,0.0,0.0,35958468896.0,71271158709.0
