serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300ZR3S,2018-01-02,ST4000DM000,0,0.0,21966.0,0.0,0.0,36538.0,34.0,0.0,0.0,48558341544.0,63857376097.0
S300ZR3S,2018-01-03,ST4000DM000,0,0.0,21990.0,0.0,0.0,36538.0,34.0,0.0,0.0,48617426752.0,64036587060.0
S300ZR3S,2018-01-04,ST4000DM000,0,0.0,22006.0,0.0,0.0,36538.0,34.0,0.0,0.0,48661444792.0,64165347791.0
S300ZR3S,2018-01-05,ST4000DM000,0,0.0,22030.0,0.0,0.0,36538.0,34.0,0.0,0.0,48695134816.0,64295754955.0
S300ZR3S,2018-01-06,ST4000DM000,0,0.0,22055.0,0.0,0.0,36538.0,28.0,0.0,0.0,48725804448.0,64389816981.0
S300ZR3S,2018-01-07,ST4000DM000,0,0.0,22079.0,0.0,0.0,36538.0,29.0,0.0,0.0,48764219424.0,64464594520.0
S300ZR3S,2018-01-08,ST4000DM000,0,0.0,22103.0,0.0,0.0,36538.0,29.0,0.0,0.0,48789956024.0,64587853890.0
S300ZR3S,2018-01-09,ST4000DM000,0,0.0,22126.0,0.0,0.0,36538.0,30.0,0.0,0.0,48819602664.0,64763733257.0
S300ZR3S,2018-01-10,ST4000DM000,0,0.0,22153.0,0.0,0.0,36538.0,31.0,0.0,0.0,48837252416.0,64988436561.0
S300ZR3S,2018-01-11,ST4000DM000,0,0.0,22185.0,0.0,0.0,36539.0,30.0,0.0,0.0,48844062192.0,65164077586.0
S300ZR3S,2018-01-12,ST4000DM000,0,0.0,22208.0,0.0,0.0,36540.0,31.0,0.0,0.0,48851824472.0,65247188163.0
S300ZR3S,2018-01-13,ST4000DM000,0,0.0,22232.0,0.0,0.0,36540.0,30.0,0.0,0.0,48854121896.0,65398497050.0
S300ZR3S,2018-01-14,ST4000DM000,0,0.0,22256.0,0.0,0.0,36540.0,30.0,0.0,0.0,48856071128.0,65562800918.0
S300ZR3S,2018-01-15,ST4000DM000,0,0.0,22280.0,0.0,0.0,36540.0,30.0,0.0,0.0,48858212952.0,65718857800.0
S300ZR3S,2018-01-16,ST4000DM000,0,0.0,22304.0,0.0,0.0,36540.0,30.0,0.0,0.0,48861095344.0,65863860348.0
S300ZR3S,2018-01-17,ST4000DM000,0,0.0,22328.0,0.0,0.0,36540.0,30.0,0.0,0.0,48867866632.0,66041269653.0
S300ZR3S,2018-01-18,ST4000DM000,0,0.0,22341.0,0.0,0.0,36540.0,30.0,0.0,0.0,48869513216.0,66113816398.0
S300ZR3S,2018-01-19,ST4000DM000,0,0.0,22368.0,0.0,0.0,36541.0,30.0,0.0,0.0,48873320792.0,66221499909.0
S300ZR3S,2018-01-20,ST4000DM000,0,0.0,22392.0,0.0,0.0,36541.0,30.0,0.0,0.0,48878747472.0,66374053466.0
S300ZR3S,2018-01-21,ST4000DM000,0,0.0,22416.0,0.0,0.0,36541.0,30.0,0.0,0.0,48881596056.0,66528374154.0
S300ZR3S,2018-01-22,ST4000DM000,0,0.0,22440.0,0.0,0.0,36541.0,30.0,0.0,0.0,48886286680.0,66705040759.0
S300ZR3S,2018-01-23,ST4000DM000,0,0.0,22464.0,0.0,0.0,36541.0,31.0,0.0,0.0,48891723432.0,66841026830.0
S300ZR3S,2018-01-24,ST4000DM000,0,0.0,22496.0,0.0,0.0,36541.0,28.0,0.0,0.0,48904951136.0,67001674079.0
S300ZR3S,2018-01-25,ST4000DM000,0,0.0,22512.0,0.0,0.0,36541.0,29.0,0.0,0.0,48908910000.0,67074066296.0
S300ZR3S,2018-01-26,ST4000DM000,0,0.0,22536.0,0.0,0.0,36556.0,29.0,0.0,0.0,48914445896.0,67205194798.0
S300ZR3S,2018-01-27,ST4000DM000,0,0.0,22560.0,0.0,0.0,36556.0,30.0,0.0,0.0,48918684128.0,67240888958.0
S300ZR3S,2018-01-28,ST4000DM000,0,0.0,22583.0,0.0,0.0,36556.0,30.0,0.0,0.0,48926562680.0,67395556347.0
S300ZR3S,2018-01-29,ST4000DM000,0,0.0,22608.0,0.0,0.0,36556.0,30.0,0.0,0.0,48930085744.0,67496249130.0
S300ZR3S,2018-01-30,ST4000DM000,0,0.0,22640.0,0.0,0.0,36559.0,29.0,0.0,0.0,48934258848.0,67658538553.0
S300ZR3S,2018-01-31,ST4000DM000,0,0.0,22664.0,0.0,0.0,36559.0,30.0,0.0,0.0,48940931824.0,67761240461.0
S300ZR3S,2018-02-01,ST4000DM000,0,0.0,22688.0,0.0,0.0,36559.0,30.0,0.0,0.0,48943811120.0,67919229639.0
S300ZR3S,2018-02-02,ST4000DM000,0,0.0,22711.0,0.0,0.0,36568.0,30.0,0.0,0.0,48949382176.0,67964795387.0
S300ZR3S,2018-02-03,ST4000DM000,0,0.0,22736.0,0.0,0.0,36568.0,29.0,0.0,0.0,48951542440.0,68060080981.0
S300ZR3S,2018-02-04,ST4000DM000,0,0.0,22756.0,0.0,0.0,36568.0,29.0,0.0,0.0,48953990016.0,68170976200.0
S300ZR3S,2018-02-05,ST4000DM000,0,0.0,22780.0,0.0,0.0,36568.0,29.0,0.0,0.0,48957102736.0,68269367349.0
S300ZR3S,2018-02-06,ST4000DM000,0,0.0,22805.0,0.0,0.0,36568.0,29.0,0.0,0.0,48960334944.0,68310187652.0
S300ZR3S,2018-02-07,ST4000DM000,0,0.0,22829.0,0.0,0.0,36568.0,30.0,0.0,0.0,48967547760.0,68421678652.0
S300ZR3S,2018-02-08,ST4000DM000,0,0.0,22854.0,0.0,0.0,36569.0,30.0,0.0,0.0,48971237080.0,68588938860.0
S300ZR3S,2018-02-09,ST4000DM000,0,0.0,22878.0,0.0,0.0,36583.0,30.0,0.0,0.0,48974985880.0,68682567251.0
