serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S300ZRYS,2018-01-02,ST4000DM000,0,616.0,21944.0,9.0,0.0,35509.0,33.0,0.0,0.0,49326498456.0,59900836047.0
S300ZRYS,2018-01-03,ST4000DM000,0,616.0,21968.0,9.0,0.0,35509.0,33.0,0.0,0.0,49356102744.0,60053294587.0
S300ZRYS,2018-01-04,ST4000DM000,0,616.0,21984.0,9.0,0.0,35509.0,33.0,0.0,0.0,49372940016.0,60148321788.0
S300ZRYS,2018-01-05,ST4000DM000,0,616.0,22017.0,9.0,0.0,35534.0,34.0,0.0,0.0,49430426144.0,60350728344.0
S300ZRYS,2018-01-06,ST4000DM000,0,616.0,22041.0,9.0,0.0,35534.0,28.0,0.0,0.0,49507653944.0,60527447557.0
S300ZRYS,2018-01-07,ST4000DM000,0,616.0,22065.0,9.0,0.0,35534.0,28.0,0.0,0.0,49555673024.0,60697503543.0
S300ZRYS,2018-01-08,ST4000DM000,0,616.0,22089.0,9.0,0.0,35534.0,28.0,0.0,0.0,49579808560.0,60869394892.0
S300ZRYS,2018-01-09,ST4000DM000,0,616.0,22113.0,9.0,0.0,35534.0,28.0,0.0,0.0,49602326808.0,61007948288.0
S300ZRYS,2018-01-10,ST4000DM000,0,616.0,22130.0,9.0,0.0,35534.0,29.0,0.0,0.0,49613826984.0,61132622111.0
S300ZRYS,2018-01-11,ST4000DM000,0,616.0,22150.0,9.0,0.0,35534.0,29.0,0.0,0.0,49623197528.0,61244098196.0
S300ZRYS,2018-01-13,ST4000DM000,0,616.0,22209.0,9.0,0.0,35534.0,29.0,0.0,0.0,49656343816.0,61650625830.0
S300ZRYS,2018-01-14,ST4000DM000,0,616.0,22222.0,9.0,0.0,35534.0,27.0,0.0,0.0,49657308728.0,61741594559.0
S300ZRYS,2018-01-15,ST4000DM000,0,616.0,22258.0,9.0,0.0,35534.0,30.0,0.0,0.0,49660925232.0,62010295201.0
S300ZRYS,2018-01-16,ST4000DM000,0,616.0,22281.0,9.0,0.0,35534.0,29.0,0.0,0.0,49663880760.0,62185232428.0
S300ZRYS,2018-01-17,ST4000DM000,0,616.0,22305.0,9.0,0.0,35534.0,29.0,0.0,0.0,49671658360.0,62390678706.0
S300ZRYS,2018-01-18,ST4000DM000,0,616.0,22320.0,9.0,0.0,35534.0,29.0,0.0,0.0,49674379832.0,62498365783.0
S300ZRYS,2018-01-19,ST4000DM000,0,648.0,22345.0,9.0,0.0,35535.0,28.0,0.0,0.0,49678746680.0,62651021601.0
S300ZRYS,2018-01-20,ST4000DM000,0,648.0,22369.0,9.0,0.0,35535.0,29.0,0.0,0.0,49683655400.0,62812403887.0
S300ZRYS,2018-01-21,ST4000DM000,0,648.0,22392.0,9.0,0.0,35535.0,28.0,0.0,0.0,49687758432.0,62975464541.0
S300ZRYS,2018-01-22,ST4000DM000,0,648.0,22416.0,9.0,0.0,35535.0,28.0,0.0,0.0,49692041144.0,63067400777.0
S300ZRYS,2018-01-23,ST4000DM000,0,648.0,22441.0,9.0,0.0,35535.0,29.0,0.0,0.0,49698908096.0,63215586560.0
S300ZRYS,2018-01-24,ST4000DM000,0,648.0,22473.0,9.0,0.0,35535.0,28.0,0.0,0.0,49721377128.0,63456935748.0
S300ZRYS,2018-01-25,ST4000DM000,0,648.0,22489.0,9.0,0.0,35535.0,28.0,0.0,0.0,49738515408.0,63573994745.0
S300ZRYS,2018-01-26,ST4000DM000,0,648.0,22513.0,9.0,0.0,35537.0,28.0,0.0,0.0,49745254872.0,63680006209.0
S300ZRYS,2018-01-27,ST4000DM000,0,648.0,22537.0,9.0,0.0,35537.0,28.0,0.0,0.0,49751997912.0,63823025637.0
S300ZRYS,2018-01-28,ST4000DM000,0,648.0,22561.0,9.0,0.0,35537.0,29.0,0.0,0.0,49758621048.0,63919761891.0
S300ZRYS,2018-01-29,ST4000DM000,0,648.0,22585.0,9.0,0.0,35537.0,29.0,0.0,0.0,49765077088.0,64096274607.0
S300ZRYS,2018-01-30,ST4000DM000,0,648.0,22618.0,9.0,0.0,35539.0,28.0,0.0,0.0,49773427120.0,64334787213.0
S300ZRYS,2018-01-31,ST4000DM000,0,648.0,22641.0,9.0,0.0,35539.0,29.0,0.0,0.0,49781619712.0,64478285710.0
S300ZRYS,2018-02-01,ST4000DM000,0,648.0,22665.0,9.0,0.0,35539.0,29.0,0.0,0.0,49785675488.0,64629797934.0
S300ZRYS,2018-02-02,ST4000DM000,0,648.0,22689.0,9.0,0.0,35539.0,29.0,0.0,0.0,49793128624.0,64739698830.0
S300ZRYS,2018-02-03,ST4000DM000,0,648.0,22713.0,9.0,0.0,35539.0,29.0,0.0,0.0,49795981264.0,64893968551.0
S300ZRYS,2018-02-04,ST4000DM000,0,648.0,22734.0,9.0,0.0,35539.0,29.0,0.0,0.0,49798810728.0,65017275963.0
S300ZRYS,2018-02-05,ST4000DM000,0,648.0,22757.0,9.0,0.0,35539.0,28.0,0.0,0.0,49802143528.0,65174771965.0
S300ZRYS,2018-02-06,ST4000DM000,0,648.0,22781.0,9.0,0.0,35539.0,28.0,0.0,0.0,49807114176.0,65304137625.0
S300ZRYS,2018-02-07,ST4000DM000,0,648.0,22805.0,9.0,0.0,35539.0,28.0,0.0,0.0,49815968288.0,65471820744.0
S300ZRYS,2018-02-08,ST4000DM000,0,648.0,22831.0,9.0,0.0,35542.0,28.0,0.0,0.0,49819689400.0,65604350785.0
S300ZRYS,2018-02-09,ST4000DM000,0,648.0,22855.0,9.0,0.0,35546.0,29.0,0.0,0.0,49825406816.0,65728975093.0
S300ZRYS,2018-02-10,ST4000DM000,0,648.0,22876.0,9.0,0.0,35550.0,25.0,0.0,0.0,49826883984.0,65807681054.0
S300ZRYS,2018-02-11,ST4000DM000,0,648.0,22900.0,9.0,0.0,35550.0,27.0,0.0,0.0,49832617208.0,65939079206.0
S300ZRYS,2018-02-12,ST4000DM000,0,648.0,22925.0,9.0,0.0,35550.0,27.0,0.0,0.0,49836118376.0,66047730826.0
S300ZRYS,2018-02-13,ST4000DM000,0,648.0,22949.0,9.0,0.0,35550.0,27.0,0.0,0.0,49838531704.0,66185342049.0
S300ZRYS,2018-02-14,ST4000DM000,0,648.0,22973.0,9.0,0.0,35550.0,27.0,0.0,0.0,49843857208.0,66337991094.0
S300ZRYS,2018-02-15,ST4000DM000,0,648.0,22997.0,9.0,0.0,35550.0,27.0,0.0,0.0,49846490152.0,66450690977.0
S300ZRYS,2018-02-16,ST4000DM000,0,648.0,23020.0,9.0,0.0,35552.0,26.0,0.0,0.0,49853481880.0,66576616417.0
S300ZRYS,2018-02-17,ST4000DM000,0,648.0,23045.0,9.0,0.0,35552.0,25.0,0.0,0.0,49857701960.0,66656038772.0
