serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S301G7S7,2018-01-02,ST4000DM000,0,0.0,20926.0,0.0,0.0,57884.0,26.0,32.0,32.0,25583001629.0,268524899635.0
S301G7S7,2018-01-03,ST4000DM000,0,0.0,20951.0,0.0,0.0,57884.0,27.0,40.0,40.0,25588254297.0,268557441181.0
S301G7S7,2018-01-04,ST4000DM000,0,0.0,20974.0,0.0,0.0,57886.0,27.0,40.0,40.0,25593676430.0,268589216250.0
S301G7S7,2018-01-05,ST4000DM000,0,0.0,20998.0,0.0,0.0,58511.0,27.0,40.0,40.0,25595695556.0,268628117061.0
S301G7S7,2018-01-06,ST4000DM000,0,0.0,21022.0,0.0,0.0,59732.0,23.0,40.0,40.0,25595800442.0,268664263854.0
S301G7S7,2018-01-07,ST4000DM000,0,0.0,21046.0,0.0,0.0,61007.0,23.0,40.0,40.0,25595908658.0,268700441742.0
S301G7S7,2018-01-08,ST4000DM000,0,0.0,21070.0,0.0,0.0,62223.0,24.0,40.0,40.0,25596013580.0,268736692151.0
S301G7S7,2018-01-09,ST4000DM000,0,0.0,21094.0,0.0,0.0,63357.0,24.0,40.0,40.0,25596118502.0,268772919833.0
S301G7S7,2018-01-10,ST4000DM000,0,0.0,21119.0,0.0,0.0,63984.0,22.0,40.0,40.0,25597165468.0,268809383531.0
S301G7S7,2018-01-11,ST4000DM000,0,0.0,21144.0,0.0,0.0,63985.0,23.0,40.0,40.0,25600350038.0,268853993701.0
S301G7S7,2018-01-12,ST4000DM000,0,0.0,21156.0,0.0,0.0,63985.0,22.0,40.0,40.0,25602565579.0,268874634384.0
S301G7S7,2018-01-13,ST4000DM000,0,0.0,21185.0,0.0,0.0,63986.0,22.0,40.0,40.0,25606614483.0,268917547340.0
S301G7S7,2018-01-14,ST4000DM000,0,0.0,21208.0,0.0,0.0,63986.0,22.0,40.0,40.0,25609246151.0,268966483735.0
S301G7S7,2018-01-15,ST4000DM000,0,0.0,21232.0,0.0,0.0,63986.0,23.0,40.0,40.0,25611407448.0,269011128039.0
