serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S301GMK8,2018-01-02,ST4000DM000,0,0.0,20011.0,0.0,0.0,14648.0,34.0,0.0,0.0,45952529576.0,76391219835.0
S301GMK8,2018-01-03,ST4000DM000,0,0.0,20047.0,0.0,0.0,14648.0,34.0,0.0,0.0,45993727104.0,76630714800.0
S301GMK8,2018-01-04,ST4000DM000,0,0.0,20062.0,0.0,0.0,14648.0,34.0,0.0,0.0,46012200584.0,76710991347.0
S301GMK8,2018-01-05,ST4000DM000,0,0.0,20087.0,0.0,0.0,14649.0,34.0,0.0,0.0,46050666736.0,76888928705.0
S301GMK8,2018-01-06,ST4000DM000,0,0.0,20110.0,0.0,0.0,14649.0,30.0,0.0,0.0,46076704432.0,77070066800.0
S301GMK8,2018-01-07,ST4000DM000,0,0.0,20135.0,0.0,0.0,14649.0,30.0,0.0,0.0,46113481152.0,77222107967.0
S301GMK8,2018-01-08,ST4000DM000,0,0.0,20159.0,0.0,0.0,14649.0,31.0,0.0,0.0,46157281344.0,77379125172.0
S301GMK8,2018-01-09,ST4000DM000,0,0.0,20183.0,0.0,0.0,14649.0,31.0,0.0,0.0,46193800528.0,77567090411.0
S301GMK8,2018-01-10,ST4000DM000,0,0.0,20209.0,0.0,0.0,14649.0,31.0,0.0,0.0,46217505640.0,77727252078.0
S301GMK8,2018-01-11,ST4000DM000,0,0.0,20228.0,0.0,0.0,14649.0,31.0,0.0,0.0,46224968640.0,77832728365.0
S301GMK8,2018-01-12,ST4000DM000,0,0.0,20240.0,0.0,0.0,14652.0,31.0,0.0,0.0,46229228544.0,77905432198.0
S301GMK8,2018-01-13,ST4000DM000,0,0.0,20277.0,0.0,0.0,14652.0,31.0,0.0,0.0,46248043120.0,78064908965.0
S301GMK8,2018-01-14,ST4000DM000,0,0.0,20300.0,0.0,0.0,14652.0,30.0,0.0,0.0,46253234536.0,78180667050.0
S301GMK8,2018-01-15,ST4000DM000,0,0.0,20325.0,0.0,0.0,14652.0,31.0,0.0,0.0,46257261664.0,78331395929.0
S301GMK8,2018-01-16,ST4000DM000,0,0.0,20349.0,0.0,0.0,14652.0,31.0,0.0,0.0,46265707288.0,78503239703.0
S301GMK8,2018-01-17,ST4000DM000,0,0.0,20373.0,0.0,0.0,14652.0,31.0,0.0,0.0,46271296936.0,78670676355.0
S301GMK8,2018-01-18,ST4000DM000,0,0.0,20399.0,0.0,0.0,14652.0,30.0,0.0,0.0,46285240712.0,78855624423.0
S301GMK8,2018-01-19,ST4000DM000,0,0.0,20423.0,0.0,0.0,14655.0,30.0,0.0,0.0,46295107088.0,78901186704.0
S301GMK8,2018-01-20,ST4000DM000,0,0.0,20448.0,0.0,0.0,14655.0,31.0,0.0,0.0,46306814216.0,79044665572.0
S301GMK8,2018-01-21,ST4000DM000,0,0.0,20471.0,0.0,0.0,14655.0,31.0,0.0,0.0,46336377464.0,79197412620.0
S301GMK8,2018-01-22,ST4000DM000,0,0.0,20471.0,0.0,0.0,14655.0,31.0,0.0,0.0,46336377464.0,79197412620.0
S301GMK8,2018-01-23,ST4000DM000,0,0.0,20507.0,0.0,0.0,14655.0,31.0,0.0,0.0,46385626888.0,79449133697.0
S301GMK8,2018-01-24,ST4000DM000,0,0.0,20552.0,0.0,0.0,14655.0,30.0,0.0,0.0,46414712352.0,79757202785.0
S301GMK8,2018-01-25,ST4000DM000,0,0.0,20568.0,0.0,0.0,14655.0,30.0,0.0,0.0,46422079216.0,79846964718.0
S301GMK8,2018-01-26,ST4000DM000,0,0.0,20592.0,0.0,0.0,14657.0,30.0,0.0,0.0,46426919224.0,79946848884.0
S301GMK8,2018-01-27,ST4000DM000,0,0.0,20616.0,0.0,0.0,14657.0,30.0,0.0,0.0,46429836392.0,80106136336.0
S301GMK8,2018-01-28,ST4000DM000,0,0.0,20639.0,0.0,0.0,14657.0,30.0,0.0,0.0,46431739224.0,80201573948.0
S301GMK8,2018-01-29,ST4000DM000,0,0.0,20664.0,0.0,0.0,14657.0,30.0,0.0,0.0,46437367000.0,80300018799.0
S301GMK8,2018-01-30,ST4000DM000,0,0.0,20696.0,0.0,0.0,14658.0,31.0,0.0,0.0,46452870080.0,80499756866.0
S301GMK8,2018-01-31,ST4000DM000,0,0.0,20720.0,0.0,0.0,14658.0,31.0,0.0,0.0,46459157592.0,80611068607.0
