serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S301GNCK,2018-01-02,ST4000DM000,0,0.0,20475.0,0.0,0.0,14602.0,28.0,0.0,0.0,43438410160.0,57484563264.0
S301GNCK,2018-01-03,ST4000DM000,0,0.0,20498.0,0.0,0.0,14602.0,29.0,0.0,0.0,43461449824.0,57576345795.0
S301GNCK,2018-01-04,ST4000DM000,0,0.0,20527.0,0.0,0.0,14605.0,30.0,0.0,0.0,43495460368.0,57772719606.0
S301GNCK,2018-01-05,ST4000DM000,0,0.0,20551.0,0.0,0.0,14605.0,30.0,0.0,0.0,43527608184.0,57909840753.0
S301GNCK,2018-01-06,ST4000DM000,0,0.0,20575.0,0.0,0.0,14605.0,26.0,0.0,0.0,43555900528.0,58011914750.0
S301GNCK,2018-01-07,ST4000DM000,0,0.0,20599.0,0.0,0.0,14605.0,26.0,0.0,0.0,43592949320.0,58171674372.0
S301GNCK,2018-01-08,ST4000DM000,0,0.0,20622.0,0.0,0.0,14605.0,26.0,0.0,0.0,43633354304.0,58285672650.0
S301GNCK,2018-01-09,ST4000DM000,0,0.0,20646.0,0.0,0.0,14605.0,27.0,0.0,0.0,43662012720.0,58404675201.0
S301GNCK,2018-01-10,ST4000DM000,0,0.0,20663.0,0.0,0.0,14605.0,26.0,0.0,0.0,43674899208.0,58512732749.0
S301GNCK,2018-01-11,ST4000DM000,0,0.0,20692.0,0.0,0.0,14608.0,26.0,0.0,0.0,43690131192.0,58691211953.0
S301GNCK,2018-01-12,ST4000DM000,0,0.0,20716.0,0.0,0.0,14608.0,25.0,0.0,0.0,43707987160.0,58834215711.0
S301GNCK,2018-01-13,ST4000DM000,0,0.0,20740.0,0.0,0.0,14608.0,27.0,0.0,0.0,43718519240.0,58971769712.0
S301GNCK,2018-01-14,ST4000DM000,0,0.0,20764.0,0.0,0.0,14608.0,26.0,0.0,0.0,43723264304.0,59039032670.0
S301GNCK,2018-01-15,ST4000DM000,0,0.0,20776.0,0.0,0.0,14608.0,26.0,0.0,0.0,43726874952.0,59110800967.0
S301GNCK,2018-01-16,ST4000DM000,0,0.0,20812.0,0.0,0.0,14608.0,25.0,0.0,0.0,43736839432.0,59272216825.0
S301GNCK,2018-01-17,ST4000DM000,0,0.0,20836.0,0.0,0.0,14608.0,25.0,0.0,0.0,43747932656.0,59345028019.0
S301GNCK,2018-01-18,ST4000DM000,0,0.0,20863.0,0.0,0.0,14610.0,25.0,0.0,0.0,43760881152.0,59428905619.0
S301GNCK,2018-01-19,ST4000DM000,0,0.0,20887.0,0.0,0.0,14610.0,25.0,0.0,0.0,43765874352.0,59512058505.0
