serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S301GP0H,2018-01-02,ST4000DM000,0,0.0,19108.0,0.0,0.0,8013.0,26.0,0.0,0.0,41636276944.0,61586694705.0
S301GP0H,2018-01-03,ST4000DM000,0,0.0,19131.0,0.0,0.0,8013.0,25.0,0.0,0.0,41664680896.0,61715542859.0
S301GP0H,2018-01-04,ST4000DM000,0,0.0,19147.0,0.0,0.0,8013.0,26.0,0.0,0.0,41677497224.0,61773591520.0
S301GP0H,2018-01-05,ST4000DM000,0,0.0,19171.0,0.0,0.0,8016.0,26.0,0.0,0.0,41702381328.0,61879213259.0
S301GP0H,2018-01-06,ST4000DM000,0,0.0,19184.0,0.0,0.0,8016.0,26.0,0.0,0.0,41714267960.0,61946207666.0
S301GP0H,2018-01-07,ST4000DM000,0,0.0,19220.0,0.0,0.0,8016.0,24.0,0.0,0.0,41756927592.0,62107968232.0
S301GP0H,2018-01-08,ST4000DM000,0,0.0,19244.0,0.0,0.0,8016.0,24.0,0.0,0.0,41778923472.0,62154752721.0
S301GP0H,2018-01-09,ST4000DM000,0,0.0,19268.0,0.0,0.0,8016.0,24.0,0.0,0.0,41801895312.0,62245021559.0
S301GP0H,2018-01-10,ST4000DM000,0,0.0,19295.0,0.0,0.0,8016.0,24.0,0.0,0.0,41819645880.0,62332141476.0
S301GP0H,2018-01-11,ST4000DM000,0,0.0,19325.0,0.0,0.0,8020.0,25.0,0.0,0.0,41828591376.0,62450346849.0
S301GP0H,2018-01-12,ST4000DM000,0,0.0,19350.0,0.0,0.0,8020.0,24.0,0.0,0.0,41836154096.0,62579253232.0
S301GP0H,2018-01-13,ST4000DM000,0,0.0,19373.0,0.0,0.0,8020.0,25.0,0.0,0.0,41841094080.0,62743676568.0
S301GP0H,2018-01-14,ST4000DM000,0,0.0,19397.0,0.0,0.0,8020.0,24.0,0.0,0.0,41846764824.0,62885260924.0
S301GP0H,2018-01-15,ST4000DM000,0,0.0,19421.0,0.0,0.0,8020.0,25.0,0.0,0.0,41854331960.0,63031297558.0
S301GP0H,2018-01-16,ST4000DM000,0,0.0,19445.0,0.0,0.0,8020.0,24.0,0.0,0.0,41860278920.0,63142177481.0
S301GP0H,2018-01-17,ST4000DM000,0,0.0,19469.0,0.0,0.0,8020.0,24.0,0.0,0.0,41865520704.0,63261467648.0
S301GP0H,2018-01-18,ST4000DM000,0,0.0,19469.0,0.0,0.0,8020.0,24.0,0.0,0.0,41865520704.0,63261467648.0
