serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S301GQ1G,2018-01-02,ST4000DM000,0,0.0,19107.0,0.0,0.0,9095.0,27.0,0.0,0.0,42447651944.0,62189806979.0
S301GQ1G,2018-01-03,ST4000DM000,0,0.0,19131.0,0.0,0.0,9095.0,27.0,0.0,0.0,42470314472.0,62305432399.0
S301GQ1G,2018-01-04,ST4000DM000,0,0.0,19147.0,0.0,0.0,9095.0,27.0,0.0,0.0,42483677368.0,62398949383.0
S301GQ1G,2018-01-05,ST4000DM000,0,0.0,19172.0,0.0,0.0,9097.0,28.0,0.0,0.0,42504985664.0,62523901027.0
S301GQ1G,2018-01-06,ST4000DM000,0,0.0,19196.0,0.0,0.0,9097.0,27.0,0.0,0.0,42528201392.0,62686825351.0
S301GQ1G,2018-01-07,ST4000DM000,0,0.0,19218.0,0.0,0.0,9097.0,26.0,0.0,0.0,42541187288.0,62806529694.0
S301GQ1G,2018-01-08,ST4000DM000,0,0.0,19242.0,0.0,0.0,9097.0,27.0,0.0,0.0,42559152072.0,62945700566.0
S301GQ1G,2018-01-09,ST4000DM000,0,0.0,19266.0,0.0,0.0,9097.0,26.0,0.0,0.0,42578758824.0,62998543637.0
S301GQ1G,2018-01-10,ST4000DM000,0,0.0,19295.0,0.0,0.0,9097.0,27.0,0.0,0.0,42602140936.0,63177067797.0
S301GQ1G,2018-01-11,ST4000DM000,0,0.0,19324.0,0.0,0.0,9102.0,27.0,0.0,0.0,42611290248.0,63320137535.0
S301GQ1G,2018-01-12,ST4000DM000,0,0.0,19337.0,0.0,0.0,9102.0,28.0,0.0,0.0,42617230272.0,63393210615.0
S301GQ1G,2018-01-13,ST4000DM000,0,0.0,19372.0,0.0,0.0,9102.0,28.0,0.0,0.0,42628383208.0,63624414231.0
S301GQ1G,2018-01-14,ST4000DM000,0,0.0,19397.0,0.0,0.0,9102.0,27.0,0.0,0.0,42633705520.0,63745909152.0
S301GQ1G,2018-01-15,ST4000DM000,0,0.0,19420.0,0.0,0.0,9102.0,27.0,0.0,0.0,42638065552.0,63898445692.0
S301GQ1G,2018-01-16,ST4000DM000,0,0.0,19445.0,0.0,0.0,9102.0,27.0,0.0,0.0,42647893704.0,64022399536.0
S301GQ1G,2018-01-17,ST4000DM000,0,0.0,19469.0,0.0,0.0,9102.0,26.0,0.0,0.0,42652004896.0,64101557730.0
S301GQ1G,2018-01-18,ST4000DM000,0,0.0,19484.0,0.0,0.0,9102.0,26.0,0.0,0.0,42655971064.0,64176138991.0
S301GQ1G,2018-01-19,ST4000DM000,0,0.0,19508.0,0.0,0.0,9103.0,27.0,0.0,0.0,42665215520.0,64209051817.0
S301GQ1G,2018-01-20,ST4000DM000,0,0.0,19532.0,0.0,0.0,9103.0,26.0,0.0,0.0,42685980512.0,64251420547.0
S301GQ1G,2018-01-21,ST4000DM000,0,0.0,19556.0,0.0,0.0,9103.0,27.0,0.0,0.0,42701327520.0,64381773479.0
S301GQ1G,2018-01-22,ST4000DM000,0,0.0,19580.0,0.0,0.0,9103.0,27.0,0.0,0.0,42716002664.0,64524177751.0
S301GQ1G,2018-01-23,ST4000DM000,0,0.0,19604.0,0.0,0.0,9103.0,26.0,0.0,0.0,42732523168.0,64663711562.0
S301GQ1G,2018-01-24,ST4000DM000,0,0.0,19636.0,0.0,0.0,9103.0,25.0,0.0,0.0,42747015704.0,64857338648.0
