serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S301K6GP,2018-01-02,ST4000DM000,0,0.0,19104.0,0.0,0.0,9489.0,26.0,0.0,0.0,41838412184.0,53536062970.0
S301K6GP,2018-01-03,ST4000DM000,0,0.0,19129.0,0.0,0.0,9489.0,25.0,0.0,0.0,41869420360.0,53648789539.0
S301K6GP,2018-01-04,ST4000DM000,0,0.0,19144.0,0.0,0.0,9489.0,26.0,0.0,0.0,41884465776.0,53739011246.0
S301K6GP,2018-01-05,ST4000DM000,0,0.0,19169.0,0.0,0.0,9491.0,26.0,0.0,0.0,41914708592.0,53890540045.0
S301K6GP,2018-01-06,ST4000DM000,0,0.0,19192.0,0.0,0.0,9491.0,27.0,0.0,0.0,41949881736.0,54020198395.0
S301K6GP,2018-01-07,ST4000DM000,0,0.0,19216.0,0.0,0.0,9491.0,27.0,0.0,0.0,41984434392.0,54194263270.0
S301K6GP,2018-01-08,ST4000DM000,0,0.0,19240.0,0.0,0.0,9491.0,27.0,0.0,0.0,42010414072.0,54330459154.0
S301K6GP,2018-01-09,ST4000DM000,0,0.0,19265.0,0.0,0.0,9491.0,23.0,0.0,0.0,42035875664.0,54506677813.0
S301K6GP,2018-01-10,ST4000DM000,0,0.0,19291.0,0.0,0.0,9491.0,23.0,0.0,0.0,42048603144.0,54685839177.0
S301K6GP,2018-01-11,ST4000DM000,0,0.0,19322.0,0.0,0.0,9498.0,24.0,0.0,0.0,42053819776.0,54851421147.0
S301K6GP,2018-01-12,ST4000DM000,0,0.0,19346.0,0.0,0.0,9498.0,24.0,0.0,0.0,42061141168.0,55001300484.0
S301K6GP,2018-01-13,ST4000DM000,0,0.0,19371.0,0.0,0.0,9498.0,24.0,0.0,0.0,42072565080.0,55147808793.0
S301K6GP,2018-01-14,ST4000DM000,0,0.0,19395.0,0.0,0.0,9498.0,24.0,0.0,0.0,42078326752.0,55305770024.0
S301K6GP,2018-01-15,ST4000DM000,0,0.0,19418.0,0.0,0.0,9498.0,24.0,0.0,0.0,42086212824.0,55458676263.0
S301K6GP,2018-01-16,ST4000DM000,0,0.0,19443.0,0.0,0.0,9498.0,24.0,0.0,0.0,42089993160.0,55642248386.0
S301K6GP,2018-01-17,ST4000DM000,0,0.0,19466.0,0.0,0.0,9499.0,23.0,0.0,0.0,42097129528.0,55726494099.0
S301K6GP,2018-01-18,ST4000DM000,0,0.0,19479.0,0.0,0.0,9499.0,23.0,0.0,0.0,42100365608.0,55795879560.0
S301K6GP,2018-01-19,ST4000DM000,0,0.0,19505.0,0.0,0.0,9502.0,23.0,0.0,0.0,42105431016.0,55940077864.0
S301K6GP,2018-01-20,ST4000DM000,0,0.0,19530.0,0.0,0.0,9502.0,23.0,0.0,0.0,42141858016.0,56066570436.0
