serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S301NKTA,2018-01-02,ST4000DM000,0,16.0,19613.0,5.0,0.0,7925.0,35.0,0.0,0.0,44262011984.0,61540307922.0
S301NKTA,2018-01-03,ST4000DM000,0,16.0,19637.0,5.0,0.0,7925.0,34.0,0.0,0.0,44316060056.0,61654110362.0
S301NKTA,2018-01-04,ST4000DM000,0,16.0,19654.0,5.0,0.0,7925.0,34.0,0.0,0.0,44341002968.0,61733160251.0
S301NKTA,2018-01-05,ST4000DM000,0,16.0,19677.0,5.0,0.0,7927.0,35.0,0.0,0.0,44365928232.0,61870748522.0
S301NKTA,2018-01-06,ST4000DM000,0,16.0,19702.0,5.0,0.0,7927.0,21.0,0.0,0.0,44401169568.0,62012083519.0
S301NKTA,2018-01-07,ST4000DM000,0,16.0,19713.0,5.0,0.0,7927.0,21.0,0.0,0.0,44418397808.0,62079311795.0
S301NKTA,2018-01-08,ST4000DM000,0,16.0,19749.0,5.0,0.0,7927.0,21.0,0.0,0.0,44480489656.0,62285220971.0
S301NKTA,2018-01-09,ST4000DM000,0,16.0,19774.0,5.0,0.0,7927.0,21.0,0.0,0.0,44507673288.0,62419890136.0
S301NKTA,2018-01-10,ST4000DM000,0,16.0,19801.0,5.0,0.0,7927.0,21.0,0.0,0.0,44542168792.0,62525173278.0
S301NKTA,2018-01-11,ST4000DM000,0,16.0,19831.0,5.0,0.0,7932.0,21.0,0.0,0.0,44550625288.0,62698682511.0
S301NKTA,2018-01-12,ST4000DM000,0,16.0,19843.0,5.0,0.0,7932.0,22.0,0.0,0.0,44555979104.0,62764873894.0
S301NKTA,2018-01-13,ST4000DM000,0,16.0,19879.0,5.0,0.0,7932.0,22.0,0.0,0.0,44567669528.0,62936042746.0
S301NKTA,2018-01-14,ST4000DM000,0,16.0,19903.0,5.0,0.0,7932.0,22.0,0.0,0.0,44576115616.0,63034915991.0
S301NKTA,2018-01-15,ST4000DM000,0,16.0,19927.0,5.0,0.0,7932.0,22.0,0.0,0.0,44578287224.0,63131429407.0
S301NKTA,2018-01-16,ST4000DM000,0,16.0,19951.0,5.0,0.0,7950.0,21.0,0.0,0.0,44581297008.0,63239348253.0
S301NKTA,2018-01-17,ST4000DM000,0,16.0,19975.0,5.0,0.0,7950.0,20.0,0.0,0.0,44587674400.0,63339146728.0
S301NKTA,2018-01-18,ST4000DM000,0,16.0,19989.0,5.0,0.0,7950.0,20.0,0.0,0.0,44590203208.0,63424843521.0
S301NKTA,2018-01-19,ST4000DM000,0,16.0,20014.0,5.0,0.0,7951.0,20.0,0.0,0.0,44596968736.0,63569550040.0
S301NKTA,2018-01-20,ST4000DM000,0,16.0,20038.0,5.0,0.0,7951.0,20.0,0.0,0.0,44602965904.0,63748843075.0
S301NKTA,2018-01-21,ST4000DM000,0,16.0,20062.0,5.0,0.0,7951.0,21.0,0.0,0.0,44611160216.0,63894609751.0
S301NKTA,2018-01-22,ST4000DM000,0,16.0,20086.0,5.0,0.0,7951.0,21.0,0.0,0.0,44616040520.0,64033151060.0
S301NKTA,2018-01-23,ST4000DM000,0,16.0,20110.0,5.0,0.0,7953.0,20.0,0.0,0.0,44622841408.0,64168566601.0
S301NKTA,2018-01-24,ST4000DM000,0,16.0,20142.0,5.0,0.0,7953.0,20.0,0.0,0.0,44637745816.0,64372465916.0
S301NKTA,2018-01-25,ST4000DM000,0,16.0,20166.0,5.0,0.0,7953.0,19.0,0.0,0.0,44651327072.0,64536535647.0
S301NKTA,2018-01-26,ST4000DM000,0,16.0,20189.0,5.0,0.0,7955.0,20.0,0.0,0.0,44657579192.0,64638468930.0
S301NKTA,2018-01-27,ST4000DM000,0,16.0,20214.0,5.0,0.0,7955.0,19.0,0.0,0.0,44667053456.0,64831582849.0
S301NKTA,2018-01-28,ST4000DM000,0,16.0,20238.0,5.0,0.0,7955.0,20.0,0.0,0.0,44673849136.0,65008448182.0
S301NKTA,2018-01-29,ST4000DM000,0,16.0,20262.0,5.0,0.0,7955.0,20.0,0.0,0.0,44678625272.0,65184708632.0
S301NKTA,2018-01-30,ST4000DM000,0,16.0,20287.0,5.0,0.0,7962.0,20.0,0.0,0.0,44686295720.0,65329707459.0
S301NKTA,2018-01-31,ST4000DM000,0,16.0,20311.0,5.0,0.0,7962.0,20.0,0.0,0.0,44692859072.0,65506389513.0
S301NKTA,2018-02-01,ST4000DM000,0,16.0,20335.0,5.0,0.0,7962.0,21.0,0.0,0.0,44701828208.0,65694568636.0
S301NKTA,2018-02-02,ST4000DM000,0,16.0,20359.0,5.0,0.0,7962.0,20.0,0.0,0.0,44707288568.0,65867623037.0
S301NKTA,2018-02-03,ST4000DM000,0,16.0,20383.0,5.0,0.0,7962.0,21.0,0.0,0.0,44709991440.0,66049118034.0
S301NKTA,2018-02-04,ST4000DM000,0,16.0,20403.0,5.0,0.0,7962.0,21.0,0.0,0.0,44716066664.0,66212554381.0
S301NKTA,2018-02-05,ST4000DM000,0,16.0,20427.0,5.0,0.0,7962.0,21.0,0.0,0.0,44720410288.0,66359812206.0
S301NKTA,2018-02-06,ST4000DM000,0,16.0,20451.0,5.0,0.0,7962.0,20.0,0.0,0.0,44725199184.0,66515165939.0
