serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
S301NYAD,2018-01-02,ST4000DM000,0,0.0,18269.0,0.0,0.0,235025.0,25.0,0.0,0.0,21697372888.0,60961559031.0
S301NYAD,2018-01-03,ST4000DM000,0,0.0,18293.0,0.0,0.0,235025.0,25.0,0.0,0.0,21699536728.0,61133710152.0
S301NYAD,2018-01-04,ST4000DM000,0,0.0,18328.0,0.0,0.0,235026.0,25.0,0.0,0.0,21724980344.0,61414963430.0
S301NYAD,2018-01-05,ST4000DM000,0,0.0,18353.0,0.0,0.0,235026.0,26.0,0.0,0.0,21738291008.0,61625851266.0
S301NYAD,2018-01-06,ST4000DM000,0,0.0,18377.0,0.0,0.0,235026.0,22.0,0.0,0.0,21763823352.0,61759410232.0
S301NYAD,2018-01-07,ST4000DM000,0,0.0,18400.0,0.0,0.0,235028.0,22.0,0.0,0.0,21777897792.0,61922645234.0
S301NYAD,2018-01-08,ST4000DM000,0,0.0,18425.0,0.0,0.0,235035.0,23.0,0.0,0.0,21785250792.0,62069954981.0
S301NYAD,2018-01-09,ST4000DM000,0,0.0,18449.0,0.0,0.0,235035.0,23.0,0.0,0.0,21794749880.0,62262709071.0
S301NYAD,2018-01-10,ST4000DM000,0,0.0,18472.0,0.0,0.0,235035.0,22.0,0.0,0.0,21801756792.0,62432612046.0
S301NYAD,2018-01-11,ST4000DM000,0,0.0,18494.0,0.0,0.0,235036.0,23.0,0.0,0.0,21832069024.0,62629297096.0
S301NYAD,2018-01-12,ST4000DM000,0,0.0,18518.0,0.0,0.0,235036.0,23.0,0.0,0.0,21847150104.0,62830510505.0
S301NYAD,2018-01-13,ST4000DM000,0,0.0,18542.0,0.0,0.0,235038.0,24.0,0.0,0.0,21878872912.0,67274981504.0
S301NYAD,2018-01-14,ST4000DM000,0,0.0,18565.0,0.0,0.0,235038.0,23.0,0.0,0.0,21893644992.0,67465914512.0
S301NYAD,2018-01-15,ST4000DM000,0,0.0,18590.0,0.0,0.0,235038.0,23.0,0.0,0.0,21905515064.0,67674560145.0
S301NYAD,2018-01-16,ST4000DM000,0,0.0,18614.0,0.0,0.0,235038.0,23.0,0.0,0.0,21918892120.0,67829451453.0
S301NYAD,2018-01-17,ST4000DM000,0,0.0,18638.0,0.0,0.0,235048.0,22.0,0.0,0.0,21935553472.0,68004509283.0
S301NYAD,2018-01-18,ST4000DM000,0,0.0,18664.0,0.0,0.0,235050.0,22.0,0.0,0.0,21990709784.0,68219646799.0
S301NYAD,2018-01-19,ST4000DM000,0,0.0,18689.0,0.0,0.0,235050.0,22.0,0.0,0.0,22035654008.0,68411245925.0
S301NYAD,2018-01-20,ST4000DM000,0,0.0,18713.0,0.0,0.0,235050.0,22.0,0.0,0.0,22093132024.0,68530855322.0
S301NYAD,2018-01-21,ST4000DM000,0,0.0,18737.0,0.0,0.0,235050.0,23.0,0.0,0.0,22129366640.0,68688523590.0
S301NYAD,2018-01-22,ST4000DM000,0,0.0,18761.0,0.0,0.0,235050.0,22.0,0.0,0.0,22153173344.0,68883755711.0
S301NYAD,2018-01-23,ST4000DM000,0,0.0,18784.0,0.0,0.0,235050.0,22.0,0.0,0.0,22179728584.0,69051554665.0
S301NYAD,2018-01-24,ST4000DM000,0,0.0,18804.0,0.0,0.0,235050.0,22.0,0.0,0.0,22237618616.0,69144473463.0
S301NYAD,2018-01-25,ST4000DM000,0,0.0,18822.0,0.0,0.0,235050.0,22.0,0.0,0.0,22286597792.0,69291777354.0
S301NYAD,2018-01-26,ST4000DM000,0,0.0,18845.0,0.0,0.0,235050.0,22.0,0.0,0.0,22332233768.0,69422668788.0
S301NYAD,2018-01-27,ST4000DM000,0,0.0,18869.0,0.0,0.0,235050.0,22.0,0.0,0.0,22376209344.0,69553701258.0
S301NYAD,2018-01-28,ST4000DM000,0,0.0,18893.0,0.0,0.0,235050.0,22.0,0.0,0.0,22424753176.0,69636504405.0
S301NYAD,2018-01-29,ST4000DM000,0,0.0,18917.0,0.0,0.0,235050.0,22.0,0.0,0.0,22454291168.0,69818364480.0
S301NYAD,2018-01-30,ST4000DM000,0,0.0,18950.0,0.0,0.0,235052.0,22.0,0.0,0.0,22523084488.0,70068205336.0
S301NYAD,2018-01-31,ST4000DM000,0,0.0,18974.0,0.0,0.0,235052.0,23.0,0.0,0.0,22578477112.0,70250360953.0
S301NYAD,2018-02-01,ST4000DM000,0,0.0,18998.0,0.0,0.0,235052.0,22.0,0.0,0.0,22644568720.0,70434125308.0
S301NYAD,2018-02-02,ST4000DM000,0,0.0,19022.0,0.0,0.0,235052.0,22.0,0.0,0.0,22682376192.0,70566014527.0
S301NYAD,2018-02-03,ST4000DM000,0,0.0,19046.0,0.0,0.0,235052.0,22.0,0.0,0.0,22731079248.0,70696615360.0
