serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
W300GLSS,2018-01-02,ST4000DM000,0,0.0,37054.0,0.0,0.0,61458.0,23.0,0.0,0.0,29524214382.0,279870756449.0
W300GLSS,2018-01-03,ST4000DM000,0,0.0,37078.0,0.0,0.0,61458.0,24.0,0.0,0.0,29530766540.0,279913389733.0
W300GLSS,2018-01-04,ST4000DM000,0,0.0,37102.0,0.0,0.0,61458.0,24.0,0.0,0.0,29536726268.0,279947532213.0
W300GLSS,2018-01-05,ST4000DM000,0,0.0,37126.0,0.0,0.0,61458.0,23.0,0.0,0.0,29546163878.0,279985964099.0
W300GLSS,2018-01-06,ST4000DM000,0,0.0,37150.0,0.0,0.0,61458.0,22.0,0.0,0.0,29556126556.0,280018445259.0
W300GLSS,2018-01-07,ST4000DM000,0,0.0,37173.0,0.0,0.0,61458.0,22.0,0.0,0.0,29565029090.0,280057893231.0
W300GLSS,2018-01-08,ST4000DM000,0,0.0,37198.0,0.0,0.0,61458.0,22.0,0.0,0.0,29572730978.0,280090696627.0
W300GLSS,2018-01-09,ST4000DM000,0,0.0,37222.0,0.0,0.0,61458.0,22.0,0.0,0.0,29579306106.0,280121745562.0
W300GLSS,2018-01-10,ST4000DM000,0,0.0,37246.0,0.0,0.0,61458.0,23.0,0.0,0.0,29588861536.0,280162272860.0
W300GLSS,2018-01-11,ST4000DM000,0,0.0,37272.0,0.0,0.0,61458.0,24.0,0.0,0.0,29592142172.0,280202084674.0
W300GLSS,2018-01-12,ST4000DM000,0,0.0,37284.0,0.0,0.0,61458.0,22.0,0.0,0.0,29594556010.0,280220256626.0
W300GLSS,2018-01-13,ST4000DM000,0,0.0,37312.0,0.0,0.0,61458.0,22.0,0.0,0.0,29598256776.0,280273444748.0
W300GLSS,2018-01-14,ST4000DM000,0,0.0,37336.0,0.0,0.0,61458.0,22.0,0.0,0.0,29601249934.0,280316670775.0
W300GLSS,2018-01-15,ST4000DM000,0,0.0,37360.0,0.0,0.0,61458.0,23.0,0.0,0.0,29603314910.0,280353122173.0
W300GLSS,2018-01-16,ST4000DM000,0,0.0,37384.0,0.0,0.0,61458.0,22.0,0.0,0.0,29605435578.0,280384791921.0
W300GLSS,2018-01-17,ST4000DM000,0,0.0,37408.0,0.0,0.0,61458.0,22.0,0.0,0.0,29607645346.0,280416119427.0
W300GLSS,2018-01-18,ST4000DM000,0,0.0,37431.0,0.0,0.0,61462.0,22.0,0.0,0.0,29609847926.0,280446396939.0
W300GLSS,2018-01-19,ST4000DM000,0,0.0,37455.0,0.0,0.0,61462.0,22.0,0.0,0.0,29612910944.0,280487615831.0
W300GLSS,2018-01-20,ST4000DM000,0,0.0,37467.0,0.0,0.0,61462.0,22.0,0.0,0.0,29613858924.0,280504098062.0
W300GLSS,2018-01-21,ST4000DM000,0,0.0,37491.0,0.0,0.0,61462.0,22.0,0.0,0.0,29616108306.0,280535160337.0
W300GLSS,2018-01-22,ST4000DM000,0,0.0,37527.0,0.0,0.0,61462.0,21.0,0.0,0.0,29619303194.0,280579557554.0
W300GLSS,2018-01-23,ST4000DM000,0,0.0,37551.0,0.0,0.0,61462.0,21.0,0.0,0.0,29621622068.0,280613220811.0
W300GLSS,2018-01-24,ST4000DM000,0,0.0,37583.0,0.0,0.0,61462.0,21.0,0.0,0.0,29624455086.0,280658717303.0
W300GLSS,2018-01-25,ST4000DM000,0,0.0,37607.0,0.0,0.0,61462.0,22.0,0.0,0.0,29626565490.0,280686983616.0
W300GLSS,2018-01-26,ST4000DM000,0,0.0,37631.0,0.0,0.0,61485.0,22.0,0.0,0.0,29628711930.0,280717655153.0
W300GLSS,2018-01-27,ST4000DM000,0,0.0,37655.0,0.0,0.0,61485.0,22.0,0.0,0.0,29631004172.0,280750285259.0
W300GLSS,2018-01-28,ST4000DM000,0,0.0,37679.0,0.0,0.0,61485.0,22.0,0.0,0.0,29633643790.0,280784305543.0
W300GLSS,2018-01-29,ST4000DM000,0,0.0,37701.0,0.0,0.0,61733.0,22.0,0.0,0.0,29634281944.0,284855773913.0
