serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
W300KW25,2018-01-02,ST4000DM000,0,0.0,36496.0,0.0,0.0,52412.0,18.0,0.0,0.0,31036441748.0,173982913153.0
W300KW25,2018-01-03,ST4000DM000,0,0.0,36520.0,0.0,0.0,52412.0,20.0,0.0,0.0,31038678032.0,174015838151.0
W300KW25,2018-01-04,ST4000DM000,0,0.0,36545.0,0.0,0.0,52412.0,20.0,0.0,0.0,31040800336.0,174050627631.0
W300KW25,2018-01-05,ST4000DM000,0,0.0,36563.0,0.0,0.0,52434.0,19.0,0.0,0.0,31042508554.0,174080321720.0
W300KW25,2018-01-06,ST4000DM000,0,0.0,36587.0,0.0,0.0,53465.0,17.0,0.0,0.0,31042622986.0,174099817283.0
W300KW25,2018-01-07,ST4000DM000,0,0.0,36611.0,0.0,0.0,54531.0,17.0,0.0,0.0,31042739396.0,174125130476.0
W300KW25,2018-01-08,ST4000DM000,0,0.0,36635.0,0.0,0.0,55640.0,17.0,0.0,0.0,31042859706.0,174152362292.0
W300KW25,2018-01-09,ST4000DM000,0,0.0,36659.0,0.0,0.0,56748.0,18.0,0.0,0.0,31042976236.0,174178164749.0
W300KW25,2018-01-10,ST4000DM000,0,0.0,36684.0,0.0,0.0,57711.0,17.0,0.0,0.0,31043096466.0,174204957198.0
W300KW25,2018-01-11,ST4000DM000,0,0.0,36714.0,0.0,0.0,58910.0,19.0,0.0,0.0,31043243296.0,174246106381.0
W300KW25,2018-01-12,ST4000DM000,0,0.0,36738.0,0.0,0.0,59908.0,19.0,0.0,0.0,31043359706.0,174273360004.0
W300KW25,2018-01-13,ST4000DM000,0,0.0,36754.0,0.0,0.0,60657.0,18.0,0.0,0.0,31043442376.0,174293580203.0
W300KW25,2018-01-14,ST4000DM000,0,0.0,36778.0,0.0,0.0,61684.0,18.0,0.0,0.0,31043558976.0,174327109389.0
W300KW25,2018-01-15,ST4000DM000,0,0.0,36803.0,0.0,0.0,62866.0,18.0,0.0,0.0,31043679216.0,174360880854.0
W300KW25,2018-01-16,ST4000DM000,0,0.0,36827.0,0.0,0.0,63976.0,19.0,0.0,0.0,31043795616.0,174394736550.0
W300KW25,2018-01-17,ST4000DM000,0,0.0,36850.0,0.0,0.0,65073.0,19.0,0.0,0.0,31043912176.0,174430187622.0
W300KW25,2018-01-18,ST4000DM000,0,0.0,36873.0,0.0,0.0,66126.0,18.0,0.0,0.0,31044021226.0,174463099058.0
W300KW25,2018-01-19,ST4000DM000,0,0.0,36896.0,0.0,0.0,67153.0,17.0,0.0,0.0,31044137856.0,174496345574.0
W300KW25,2018-01-20,ST4000DM000,0,0.0,36921.0,0.0,0.0,68247.0,18.0,0.0,0.0,31044258126.0,174532486362.0
W300KW25,2018-01-21,ST4000DM000,0,0.0,36945.0,0.0,0.0,69237.0,18.0,0.0,0.0,31044374646.0,174566528822.0
W300KW25,2018-01-22,ST4000DM000,0,0.0,36969.0,0.0,0.0,70312.0,19.0,0.0,0.0,31044491076.0,174599491081.0
