serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300JBBN,2018-01-02,ST4000DM000,0,0.0,37801.0,0.0,0.0,21591.0,22.0,0.0,0.0,30040878152.0,162145402648.0
Z300JBBN,2018-01-03,ST4000DM000,0,0.0,37825.0,0.0,0.0,21591.0,24.0,0.0,0.0,30043202506.0,162179358909.0
Z300JBBN,2018-01-04,ST4000DM000,0,0.0,37850.0,0.0,0.0,21591.0,23.0,0.0,0.0,30045376142.0,162215853685.0
Z300JBBN,2018-01-05,ST4000DM000,0,0.0,37873.0,0.0,0.0,21591.0,23.0,0.0,0.0,30047493828.0,162249666716.0
Z300JBBN,2018-01-06,ST4000DM000,0,0.0,37897.0,0.0,0.0,21591.0,23.0,0.0,0.0,30049614068.0,162289928113.0
Z300JBBN,2018-01-07,ST4000DM000,0,0.0,37922.0,0.0,0.0,21591.0,23.0,0.0,0.0,30051783550.0,162325371024.0
Z300JBBN,2018-01-08,ST4000DM000,0,0.0,37945.0,0.0,0.0,21591.0,23.0,0.0,0.0,30053942582.0,162360049766.0
Z300JBBN,2018-01-09,ST4000DM000,0,0.0,37969.0,0.0,0.0,21596.0,24.0,0.0,0.0,30055985010.0,162395427294.0
Z300JBBN,2018-01-10,ST4000DM000,0,0.0,37991.0,0.0,0.0,21596.0,23.0,0.0,0.0,30057899252.0,162433948817.0
Z300JBBN,2018-01-11,ST4000DM000,0,0.0,38012.0,0.0,0.0,21596.0,23.0,0.0,0.0,30060354172.0,162470122711.0
Z300JBBN,2018-01-12,ST4000DM000,0,0.0,38037.0,0.0,0.0,21596.0,23.0,0.0,0.0,30062634578.0,162511154763.0
Z300JBBN,2018-01-13,ST4000DM000,0,0.0,38061.0,0.0,0.0,21596.0,23.0,0.0,0.0,30064806852.0,162545438395.0
Z300JBBN,2018-01-14,ST4000DM000,0,0.0,38085.0,0.0,0.0,21596.0,23.0,0.0,0.0,30067855660.0,162581388355.0
Z300JBBN,2018-01-15,ST4000DM000,0,0.0,38110.0,0.0,0.0,21596.0,23.0,0.0,0.0,30070044628.0,162615021996.0
Z300JBBN,2018-01-16,ST4000DM000,0,0.0,38133.0,0.0,0.0,21596.0,23.0,0.0,0.0,30072241346.0,162647336080.0
Z300JBBN,2018-01-17,ST4000DM000,0,0.0,38157.0,0.0,0.0,21596.0,22.0,0.0,0.0,30074322366.0,162677159773.0
Z300JBBN,2018-01-18,ST4000DM000,0,0.0,38190.0,0.0,0.0,21596.0,23.0,0.0,0.0,30078692384.0,162728989479.0
Z300JBBN,2018-01-19,ST4000DM000,0,0.0,38214.0,0.0,0.0,21609.0,22.0,0.0,0.0,30081002156.0,162767544578.0
Z300JBBN,2018-01-20,ST4000DM000,0,0.0,38238.0,0.0,0.0,21609.0,22.0,0.0,0.0,30083059762.0,162801883214.0
Z300JBBN,2018-01-21,ST4000DM000,0,0.0,38262.0,0.0,0.0,21609.0,22.0,0.0,0.0,30085230568.0,162836678732.0
Z300JBBN,2018-01-22,ST4000DM000,0,0.0,38286.0,0.0,0.0,21609.0,22.0,0.0,0.0,30087464208.0,162871263680.0
Z300JBBN,2018-01-23,ST4000DM000,0,0.0,38310.0,0.0,0.0,21609.0,23.0,0.0,0.0,30089664796.0,162907785764.0
Z300JBBN,2018-01-24,ST4000DM000,0,0.0,38330.0,0.0,0.0,21609.0,22.0,0.0,0.0,30091523214.0,162939821199.0
Z300JBBN,2018-01-25,ST4000DM000,0,0.0,38354.0,0.0,0.0,21609.0,23.0,0.0,0.0,30093691978.0,162975115624.0
Z300JBBN,2018-01-26,ST4000DM000,0,0.0,38378.0,0.0,0.0,21609.0,24.0,0.0,0.0,30095817148.0,163010655374.0
Z300JBBN,2018-01-27,ST4000DM000,0,0.0,38402.0,0.0,0.0,21609.0,24.0,0.0,0.0,30097751994.0,163082497847.0
Z300JBBN,2018-01-28,ST4000DM000,0,0.0,38426.0,0.0,0.0,21609.0,24.0,0.0,0.0,30099883250.0,163118083861.0
Z300JBBN,2018-01-29,ST4000DM000,0,0.0,38450.0,0.0,0.0,21609.0,24.0,0.0,0.0,30101998970.0,163152598550.0
Z300JBBN,2018-01-30,ST4000DM000,0,0.0,38469.0,0.0,0.0,21609.0,24.0,0.0,0.0,30103634002.0,163179238497.0
Z300JBBN,2018-01-31,ST4000DM000,0,0.0,38492.0,0.0,0.0,21609.0,24.0,0.0,0.0,30106227414.0,163218004722.0
Z300JBBN,2018-02-01,ST4000DM000,0,0.0,38516.0,0.0,0.0,21609.0,24.0,0.0,0.0,30108472272.0,163251682895.0
Z300JBBN,2018-02-02,ST4000DM000,0,0.0,38541.0,0.0,0.0,21609.0,24.0,0.0,0.0,30110673870.0,163284923556.0
Z300JBBN,2018-02-03,ST4000DM000,0,0.0,38565.0,0.0,0.0,21626.0,24.0,0.0,0.0,30112813904.0,163315257654.0
Z300JBBN,2018-02-04,ST4000DM000,0,0.0,38593.0,0.0,0.0,21626.0,24.0,0.0,0.0,30115421486.0,163356282765.0
Z300JBBN,2018-02-05,ST4000DM000,0,0.0,38617.0,0.0,0.0,21626.0,24.0,0.0,0.0,30117492926.0,163386963320.0
Z300JBBN,2018-02-06,ST4000DM000,0,0.0,38640.0,0.0,0.0,21626.0,24.0,0.0,0.0,30119648552.0,163418981470.0
Z300JBBN,2018-02-07,ST4000DM000,0,0.0,38664.0,0.0,0.0,21626.0,24.0,0.0,0.0,30121843206.0,163449256924.0
Z300JBBN,2018-02-08,ST4000DM000,0,0.0,38689.0,0.0,0.0,21626.0,25.0,0.0,0.0,30124473252.0,163483671591.0
Z300JBBN,2018-02-09,ST4000DM000,0,0.0,38712.0,0.0,0.0,21626.0,24.0,0.0,0.0,30126596938.0,163515869307.0
Z300JBBN,2018-02-10,ST4000DM000,0,0.0,38736.0,0.0,0.0,21626.0,24.0,0.0,0.0,30128657894.0,163547553006.0
Z300JBBN,2018-02-11,ST4000DM000,0,0.0,38761.0,0.0,0.0,21626.0,24.0,0.0,0.0,30130883906.0,163581873511.0
Z300JBBN,2018-02-12,ST4000DM000,0,0.0,38785.0,0.0,0.0,21626.0,24.0,0.0,0.0,30133135470.0,163615486502.0
Z300JBBN,2018-02-13,ST4000DM000,0,0.0,38808.0,0.0,0.0,21626.0,24.0,0.0,0.0,30135293114.0,163646172035.0
