serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300LWAC,2018-01-02,ST4000DM000,0,0.0,36728.0,0.0,0.0,38278.0,28.0,0.0,0.0,30398627808.0,282187885918.0
Z300LWAC,2018-01-03,ST4000DM000,0,0.0,36751.0,0.0,0.0,38278.0,28.0,0.0,0.0,30406596684.0,282224333960.0
Z300LWAC,2018-01-04,ST4000DM000,0,0.0,36751.0,0.0,0.0,38278.0,28.0,0.0,0.0,30406596684.0,282224333960.0
Z300LWAC,2018-01-05,ST4000DM000,0,0.0,36800.0,0.0,0.0,38278.0,28.0,0.0,0.0,30422001588.0,282301995377.0
Z300LWAC,2018-01-06,ST4000DM000,0,0.0,36811.0,0.0,0.0,38278.0,28.0,0.0,0.0,30425378864.0,282318013845.0
Z300LWAC,2018-01-07,ST4000DM000,0,0.0,36847.0,0.0,0.0,38278.0,28.0,0.0,0.0,30440695894.0,282369293893.0
Z300LWAC,2018-01-08,ST4000DM000,0,0.0,36872.0,0.0,0.0,38278.0,28.0,0.0,0.0,30451503532.0,282405051557.0
Z300LWAC,2018-01-09,ST4000DM000,0,0.0,36896.0,0.0,0.0,38278.0,28.0,0.0,0.0,30459489998.0,282435740645.0
Z300LWAC,2018-01-10,ST4000DM000,0,0.0,36919.0,0.0,0.0,38278.0,28.0,0.0,0.0,30464582616.0,282470388888.0
Z300LWAC,2018-01-11,ST4000DM000,0,0.0,36933.0,0.0,0.0,38278.0,28.0,0.0,0.0,30466465658.0,282490952019.0
Z300LWAC,2018-01-12,ST4000DM000,0,0.0,36958.0,0.0,0.0,38278.0,28.0,0.0,0.0,30471288482.0,282532047296.0
Z300LWAC,2018-01-13,ST4000DM000,0,0.0,36985.0,0.0,0.0,38278.0,28.0,0.0,0.0,30475652044.0,282573338297.0
Z300LWAC,2018-01-14,ST4000DM000,0,0.0,37009.0,0.0,0.0,38281.0,27.0,0.0,0.0,30478686362.0,282612121883.0
Z300LWAC,2018-01-15,ST4000DM000,0,0.0,37033.0,0.0,0.0,38289.0,28.0,0.0,0.0,30481151024.0,282646614399.0
Z300LWAC,2018-01-16,ST4000DM000,0,0.0,37057.0,0.0,0.0,38289.0,27.0,0.0,0.0,30483494926.0,282680685317.0
Z300LWAC,2018-01-17,ST4000DM000,0,0.0,37069.0,0.0,0.0,38289.0,27.0,0.0,0.0,30484571442.0,282697323571.0
Z300LWAC,2018-01-18,ST4000DM000,0,0.0,37106.0,0.0,0.0,38302.0,28.0,0.0,0.0,30488079946.0,282756101672.0
Z300LWAC,2018-01-19,ST4000DM000,0,0.0,37130.0,0.0,0.0,38302.0,27.0,0.0,0.0,30491182168.0,282797133600.0
Z300LWAC,2018-01-20,ST4000DM000,0,0.0,37153.0,0.0,0.0,38302.0,27.0,0.0,0.0,30493778122.0,282831603038.0
Z300LWAC,2018-01-21,ST4000DM000,0,0.0,37178.0,0.0,0.0,38302.0,26.0,0.0,0.0,30495995406.0,282872418113.0
Z300LWAC,2018-01-22,ST4000DM000,0,0.0,37202.0,0.0,0.0,38302.0,27.0,0.0,0.0,30498178158.0,282910786733.0
Z300LWAC,2018-01-23,ST4000DM000,0,0.0,37214.0,0.0,0.0,38302.0,27.0,0.0,0.0,30499271256.0,282927992224.0
Z300LWAC,2018-01-24,ST4000DM000,0,0.0,37250.0,0.0,0.0,38302.0,28.0,0.0,0.0,30502731064.0,282979522098.0
Z300LWAC,2018-01-25,ST4000DM000,0,0.0,37274.0,0.0,0.0,38302.0,29.0,0.0,0.0,30505028310.0,283013656896.0
Z300LWAC,2018-01-26,ST4000DM000,0,0.0,37297.0,0.0,0.0,38322.0,29.0,0.0,0.0,30507217068.0,283052915919.0
Z300LWAC,2018-01-27,ST4000DM000,0,0.0,37322.0,0.0,0.0,38322.0,29.0,0.0,0.0,30509579402.0,283087799018.0
Z300LWAC,2018-01-28,ST4000DM000,0,0.0,37346.0,0.0,0.0,38322.0,30.0,0.0,0.0,30511821818.0,283119731166.0
Z300LWAC,2018-01-29,ST4000DM000,0,0.0,37370.0,0.0,0.0,38322.0,29.0,0.0,0.0,30514096068.0,283151756999.0
Z300LWAC,2018-01-30,ST4000DM000,0,0.0,37392.0,0.0,0.0,38322.0,30.0,0.0,0.0,30516304782.0,283182601597.0
Z300LWAC,2018-01-31,ST4000DM000,0,0.0,37416.0,0.0,0.0,38322.0,30.0,0.0,0.0,30518945644.0,283223745706.0
Z300LWAC,2018-02-01,ST4000DM000,0,0.0,37440.0,0.0,0.0,38322.0,29.0,0.0,0.0,30521206480.0,283259031146.0
