serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300MW5G,2018-01-02,ST4000DM000,0,2.0,38448.0,0.0,0.0,52048.0,26.0,6.0,6.0,30036458380.0,329680733687.0
Z300MW5G,2018-01-03,ST4000DM000,0,2.0,38471.0,0.0,0.0,52048.0,27.0,6.0,6.0,30042528172.0,329709620912.0
Z300MW5G,2018-01-04,ST4000DM000,0,2.0,38495.0,0.0,0.0,52048.0,28.0,6.0,6.0,30047367344.0,329736808453.0
Z300MW5G,2018-01-05,ST4000DM000,0,2.0,38520.0,0.0,0.0,52048.0,27.0,6.0,6.0,30052725984.0,329763040564.0
Z300MW5G,2018-01-06,ST4000DM000,0,2.0,38543.0,0.0,0.0,52048.0,27.0,6.0,6.0,30057039378.0,329789553941.0
Z300MW5G,2018-01-07,ST4000DM000,0,2.0,38567.0,0.0,0.0,52048.0,27.0,6.0,6.0,30063379382.0,329816777917.0
Z300MW5G,2018-01-08,ST4000DM000,0,2.0,38591.0,0.0,0.0,52048.0,27.0,6.0,6.0,30069520484.0,329843864675.0
Z300MW5G,2018-01-09,ST4000DM000,0,2.0,38615.0,0.0,0.0,52048.0,27.0,6.0,6.0,30077110986.0,329871477738.0
Z300MW5G,2018-01-10,ST4000DM000,0,2.0,38638.0,0.0,0.0,52048.0,27.0,6.0,6.0,30081132600.0,329898194547.0
Z300MW5G,2018-01-11,ST4000DM000,0,2.0,38653.0,0.0,0.0,52048.0,27.0,6.0,6.0,30083151320.0,329920938413.0
Z300MW5G,2018-01-12,ST4000DM000,0,2.0,38682.0,0.0,0.0,52048.0,26.0,6.0,6.0,30087739514.0,329958111050.0
Z300MW5G,2018-01-13,ST4000DM000,0,2.0,38708.0,0.0,0.0,52052.0,29.0,6.0,6.0,30090865952.0,329985678462.0
Z300MW5G,2018-01-14,ST4000DM000,0,2.0,38731.0,0.0,0.0,52052.0,29.0,6.0,6.0,30094241464.0,330017533460.0
Z300MW5G,2018-01-15,ST4000DM000,0,2.0,38755.0,0.0,0.0,52052.0,29.0,6.0,6.0,30096689680.0,330045490585.0
Z300MW5G,2018-01-16,ST4000DM000,0,2.0,38767.0,0.0,0.0,52052.0,29.0,6.0,6.0,30097626074.0,330059733133.0
Z300MW5G,2018-01-17,ST4000DM000,0,2.0,38801.0,0.0,0.0,53380.0,27.0,6.0,6.0,30098431654.0,330089347632.0
Z300MW5G,2018-01-18,ST4000DM000,0,2.0,38836.0,0.0,0.0,54917.0,28.0,6.0,6.0,30098600844.0,330139267426.0
Z300MW5G,2018-01-19,ST4000DM000,0,2.0,38860.0,0.0,0.0,55746.0,28.0,6.0,6.0,30098717174.0,330175745815.0
Z300MW5G,2018-01-20,ST4000DM000,0,2.0,38884.0,0.0,0.0,56946.0,28.0,6.0,6.0,30098833574.0,330213216329.0
Z300MW5G,2018-01-21,ST4000DM000,0,2.0,38908.0,0.0,0.0,58185.0,27.0,6.0,6.0,30098953714.0,330246675042.0
Z300MW5G,2018-01-22,ST4000DM000,0,2.0,38932.0,0.0,0.0,59416.0,28.0,6.0,6.0,30099070074.0,330280737594.0
Z300MW5G,2018-01-23,ST4000DM000,0,2.0,38956.0,0.0,0.0,60567.0,28.0,6.0,6.0,30099186514.0,330314658615.0
Z300MW5G,2018-01-24,ST4000DM000,0,2.0,38978.0,0.0,0.0,61689.0,28.0,6.0,6.0,30099295508.0,330340327224.0
Z300MW5G,2018-01-25,ST4000DM000,0,2.0,39002.0,0.0,0.0,62866.0,28.0,6.0,6.0,30099411928.0,330367540865.0
Z300MW5G,2018-01-26,ST4000DM000,0,2.0,39026.0,0.0,0.0,64020.0,29.0,6.0,6.0,30099528368.0,330408173651.0
Z300MW5G,2018-01-27,ST4000DM000,0,2.0,39050.0,0.0,0.0,65054.0,28.0,6.0,6.0,30099648488.0,330443962818.0
Z300MW5G,2018-01-28,ST4000DM000,0,2.0,39074.0,0.0,0.0,66244.0,29.0,6.0,6.0,30099764998.0,330480268474.0
Z300MW5G,2018-01-29,ST4000DM000,0,2.0,39098.0,0.0,0.0,67444.0,28.0,6.0,6.0,30099881338.0,330512891162.0
Z300MW5G,2018-01-30,ST4000DM000,0,2.0,39115.0,0.0,0.0,68295.0,29.0,6.0,6.0,30099963968.0,330537274955.0
Z300MW5G,2018-01-31,ST4000DM000,0,2.0,39138.0,0.0,0.0,69414.0,28.0,6.0,6.0,30100080378.0,330572140353.0
Z300MW5G,2018-02-01,ST4000DM000,0,2.0,39162.0,0.0,0.0,70397.0,29.0,6.0,6.0,30100196758.0,330607068422.0
Z300MW5G,2018-02-02,ST4000DM000,0,2.0,39187.0,0.0,0.0,71429.0,29.0,6.0,6.0,30100316858.0,330642392679.0
Z300MW5G,2018-02-03,ST4000DM000,0,2.0,39210.0,0.0,0.0,72391.0,29.0,6.0,6.0,30100433048.0,330677202199.0
Z300MW5G,2018-02-04,ST4000DM000,0,2.0,39238.0,0.0,0.0,73816.0,29.0,6.0,6.0,30100568228.0,330717240951.0
Z300MW5G,2018-02-05,ST4000DM000,0,2.0,39262.0,0.0,0.0,75083.0,29.0,6.0,6.0,30100688348.0,330750480592.0
