serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300PB69,2018-01-02,ST4000DM000,0,0.0,36668.0,0.0,0.0,48118.0,24.0,0.0,0.0,31384741086.0,293789249523.0
Z300PB69,2018-01-03,ST4000DM000,0,0.0,36692.0,0.0,0.0,48118.0,25.0,0.0,0.0,31391072150.0,293825275870.0
Z300PB69,2018-01-04,ST4000DM000,0,0.0,36716.0,0.0,0.0,48118.0,25.0,0.0,0.0,31398464362.0,293862718269.0
Z300PB69,2018-01-05,ST4000DM000,0,0.0,36740.0,0.0,0.0,48118.0,26.0,0.0,0.0,31405546304.0,293895520545.0
Z300PB69,2018-01-06,ST4000DM000,0,0.0,36764.0,0.0,0.0,48118.0,25.0,0.0,0.0,31413521730.0,293930425841.0
Z300PB69,2018-01-07,ST4000DM000,0,0.0,36788.0,0.0,0.0,48118.0,25.0,0.0,0.0,31420340876.0,293965620660.0
Z300PB69,2018-01-08,ST4000DM000,0,0.0,36812.0,0.0,0.0,48118.0,25.0,0.0,0.0,31429100618.0,294006038357.0
Z300PB69,2018-01-09,ST4000DM000,0,0.0,36836.0,0.0,0.0,48118.0,25.0,0.0,0.0,31443532734.0,294051807901.0
Z300PB69,2018-01-10,ST4000DM000,0,0.0,36860.0,0.0,0.0,48118.0,25.0,0.0,0.0,31448310898.0,294087948501.0
Z300PB69,2018-01-11,ST4000DM000,0,0.0,36874.0,0.0,0.0,48118.0,25.0,0.0,0.0,31449727690.0,294111493919.0
Z300PB69,2018-01-12,ST4000DM000,0,0.0,36898.0,0.0,0.0,48118.0,25.0,0.0,0.0,31454029626.0,294151710638.0
Z300PB69,2018-01-13,ST4000DM000,0,0.0,36925.0,0.0,0.0,48118.0,25.0,0.0,0.0,31457671062.0,294186162135.0
Z300PB69,2018-01-14,ST4000DM000,0,0.0,36937.0,0.0,0.0,48118.0,25.0,0.0,0.0,31459233602.0,294219896646.0
Z300PB69,2018-01-15,ST4000DM000,0,0.0,36973.0,0.0,0.0,48124.0,25.0,0.0,0.0,31463039712.0,294281117337.0
Z300PB69,2018-01-16,ST4000DM000,0,0.0,36985.0,0.0,0.0,48124.0,27.0,0.0,0.0,31464123232.0,294296431721.0
Z300PB69,2018-01-17,ST4000DM000,0,0.0,37021.0,0.0,0.0,48132.0,25.0,0.0,0.0,31467343064.0,294346467151.0
