serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300WKNW,2018-01-02,ST4000DM000,0,0.0,35503.0,0.0,0.0,135102.0,20.0,0.0,0.0,28769153066.0,170171765893.0
Z300WKNW,2018-01-03,ST4000DM000,0,0.0,35527.0,0.0,0.0,136236.0,20.0,0.0,0.0,28769269486.0,170193259088.0
Z300WKNW,2018-01-04,ST4000DM000,0,0.0,35552.0,0.0,0.0,137359.0,21.0,0.0,0.0,28769389566.0,170213628236.0
Z300WKNW,2018-01-05,ST4000DM000,0,0.0,35575.0,0.0,0.0,138414.0,20.0,0.0,0.0,28769505946.0,170234960885.0
Z300WKNW,2018-01-06,ST4000DM000,0,0.0,35599.0,0.0,0.0,139473.0,20.0,0.0,0.0,28769622276.0,170256286862.0
Z300WKNW,2018-01-07,ST4000DM000,0,0.0,35624.0,0.0,0.0,140658.0,21.0,0.0,0.0,28769742416.0,170276379168.0
Z300WKNW,2018-01-08,ST4000DM000,0,0.0,35647.0,0.0,0.0,141743.0,19.0,0.0,0.0,28769858696.0,170296963584.0
Z300WKNW,2018-01-09,ST4000DM000,0,0.0,35671.0,0.0,0.0,142869.0,20.0,0.0,0.0,28769975096.0,170318361484.0
Z300WKNW,2018-01-10,ST4000DM000,0,0.0,35693.0,0.0,0.0,143849.0,20.0,0.0,0.0,28770083936.0,170338141128.0
Z300WKNW,2018-01-11,ST4000DM000,0,0.0,35714.0,0.0,0.0,144752.0,20.0,0.0,0.0,28770181736.0,170366065734.0
Z300WKNW,2018-01-12,ST4000DM000,0,0.0,35738.0,0.0,0.0,145847.0,20.0,0.0,0.0,28770301946.0,170401572793.0
Z300WKNW,2018-01-13,ST4000DM000,0,0.0,35763.0,0.0,0.0,146976.0,20.0,0.0,0.0,28770425816.0,170437290478.0
Z300WKNW,2018-01-14,ST4000DM000,0,0.0,35787.0,0.0,0.0,148112.0,19.0,0.0,0.0,28770542316.0,170470997745.0
Z300WKNW,2018-01-15,ST4000DM000,0,0.0,35811.0,0.0,0.0,149270.0,21.0,0.0,0.0,28770658666.0,170503315761.0
Z300WKNW,2018-01-16,ST4000DM000,0,0.0,35835.0,0.0,0.0,150434.0,20.0,0.0,0.0,28770774926.0,170537286569.0
Z300WKNW,2018-01-17,ST4000DM000,0,0.0,35859.0,0.0,0.0,151638.0,20.0,0.0,0.0,28770895136.0,170572705487.0
Z300WKNW,2018-01-18,ST4000DM000,0,0.0,35880.0,0.0,0.0,152600.0,19.0,0.0,0.0,28770996476.0,170601018981.0
Z300WKNW,2018-01-19,ST4000DM000,0,0.0,35914.0,0.0,0.0,153550.0,20.0,0.0,0.0,28771240640.0,174548699675.0
Z300WKNW,2018-01-20,ST4000DM000,0,0.0,35938.0,0.0,0.0,154075.0,19.0,0.0,0.0,28771440180.0,178458554334.0
Z300WKNW,2018-01-21,ST4000DM000,0,0.0,35962.0,0.0,0.0,155150.0,20.0,0.0,0.0,28771560300.0,178491937203.0
Z300WKNW,2018-01-22,ST4000DM000,0,0.0,35986.0,0.0,0.0,156372.0,19.0,0.0,0.0,28771676760.0,178523377283.0
Z300WKNW,2018-01-23,ST4000DM000,0,0.0,36010.0,0.0,0.0,157480.0,19.0,0.0,0.0,28771793180.0,178555957852.0
Z300WKNW,2018-01-24,ST4000DM000,0,0.0,36030.0,0.0,0.0,158456.0,19.0,0.0,0.0,28771890710.0,178581497573.0
Z300WKNW,2018-01-25,ST4000DM000,0,0.0,36054.0,0.0,0.0,159665.0,19.0,0.0,0.0,28772010880.0,178615392237.0
Z300WKNW,2018-01-26,ST4000DM000,0,0.0,36078.0,0.0,0.0,160787.0,20.0,0.0,0.0,28772127320.0,178648132950.0
Z300WKNW,2018-01-27,ST4000DM000,0,0.0,36102.0,0.0,0.0,161808.0,19.0,0.0,0.0,28772243760.0,178682279379.0
Z300WKNW,2018-01-28,ST4000DM000,0,0.0,36126.0,0.0,0.0,162921.0,19.0,0.0,0.0,28772363880.0,178716388560.0
Z300WKNW,2018-01-29,ST4000DM000,0,0.0,36150.0,0.0,0.0,164016.0,19.0,0.0,0.0,28772480340.0,178749354008.0
Z300WKNW,2018-01-30,ST4000DM000,0,0.0,36170.0,0.0,0.0,165013.0,19.0,0.0,0.0,28772577960.0,178775798441.0
Z300WKNW,2018-01-31,ST4000DM000,0,0.0,36194.0,0.0,0.0,165899.0,20.0,0.0,0.0,28772694430.0,178796040687.0
Z300WKNW,2018-02-01,ST4000DM000,0,0.0,36218.0,0.0,0.0,167084.0,20.0,0.0,0.0,28772814510.0,178814440714.0
Z300WKNW,2018-02-02,ST4000DM000,0,0.0,36242.0,0.0,0.0,168261.0,20.0,0.0,0.0,28772930900.0,178831964356.0
Z300WKNW,2018-02-03,ST4000DM000,0,0.0,36266.0,0.0,0.0,169089.0,19.0,0.0,0.0,28773082030.0,179722605170.0
Z300WKNW,2018-02-04,ST4000DM000,0,0.0,36294.0,0.0,0.0,169089.0,20.0,0.0,0.0,28773412510.0,184580929994.0
Z300WKNW,2018-02-05,ST4000DM000,0,0.0,36318.0,0.0,0.0,169678.0,19.0,0.0,0.0,28773602010.0,186459287998.0
Z300WKNW,2018-02-06,ST4000DM000,0,0.0,36342.0,0.0,0.0,170830.0,20.0,0.0,0.0,28773718450.0,186476897070.0
Z300WKNW,2018-02-07,ST4000DM000,0,0.0,36366.0,0.0,0.0,171991.0,20.0,0.0,0.0,28773838520.0,186495523270.0
Z300WKNW,2018-02-08,ST4000DM000,0,0.0,36390.0,0.0,0.0,173192.0,19.0,0.0,0.0,28773954930.0,186513706327.0
Z300WKNW,2018-02-09,ST4000DM000,0,0.0,36414.0,0.0,0.0,174342.0,19.0,0.0,0.0,28774071340.0,186530473687.0
Z300WKNW,2018-02-10,ST4000DM000,0,0.0,36438.0,0.0,0.0,175469.0,19.0,0.0,0.0,28774187740.0,186548354744.0
Z300WKNW,2018-02-11,ST4000DM000,0,0.0,36462.0,0.0,0.0,176674.0,19.0,0.0,0.0,28774307840.0,186565746258.0
Z300WKNW,2018-02-12,ST4000DM000,0,0.0,36486.0,0.0,0.0,177801.0,19.0,0.0,0.0,28774424200.0,186583171253.0
Z300WKNW,2018-02-13,ST4000DM000,0,0.0,36510.0,0.0,0.0,178730.0,20.0,0.0,0.0,28774540650.0,186610065860.0
Z300WKNW,2018-02-14,ST4000DM000,0,0.0,36534.0,0.0,0.0,180132.0,19.0,0.0,0.0,28774631530.0,186648967252.0
Z300WKNW,2018-02-15,ST4000DM000,0,0.0,36558.0,0.0,0.0,181511.0,20.0,0.0,0.0,28774719240.0,186669288774.0
Z300WKNW,2018-02-16,ST4000DM000,0,0.0,36582.0,0.0,0.0,182876.0,19.0,0.0,0.0,28774811650.0,186688038791.0
Z300WKNW,2018-02-17,ST4000DM000,0,0.0,36606.0,0.0,0.0,184115.0,19.0,0.0,0.0,28774931290.0,186705045017.0
Z300WKNW,2018-02-18,ST4000DM000,0,0.0,36630.0,0.0,0.0,185286.0,20.0,0.0,0.0,28775047690.0,186722855370.0
Z300WKNW,2018-02-19,ST4000DM000,0,0.0,36654.0,0.0,0.0,186484.0,20.0,0.0,0.0,28775164080.0,186740924516.0
Z300WKNW,2018-02-20,ST4000DM000,0,0.0,36678.0,0.0,0.0,187672.0,20.0,0.0,0.0,28775284170.0,186760084914.0
Z300WKNW,2018-02-21,ST4000DM000,0,0.0,36702.0,0.0,0.0,188882.0,19.0,0.0,0.0,28775400320.0,186777300506.0
Z300WKNW,2018-02-22,ST4000DM000,0,0.0,36726.0,0.0,0.0,190075.0,20.0,0.0,0.0,28775516780.0,186794600219.0
Z300WKNW,2018-02-23,ST4000DM000,0,0.0,36750.0,0.0,0.0,190819.0,20.0,0.0,0.0,28776351782.0,186814459958.0
Z300WKNW,2018-02-24,ST4000DM000,0,0.0,36774.0,0.0,0.0,190819.0,20.0,0.0,0.0,28778437790.0,186837623675.0
Z300WKNW,2018-02-25,ST4000DM000,0,0.0,36798.0,0.0,0.0,190819.0,20.0,0.0,0.0,28780484584.0,186861566881.0
Z300WKNW,2018-02-26,ST4000DM000,0,0.0,36822.0,0.0,0.0,190819.0,20.0,0.0,0.0,28782524048.0,186883548965.0
Z300WKNW,2018-02-27,ST4000DM000,0,0.0,36846.0,0.0,0.0,190819.0,20.0,0.0,0.0,28784619154.0,186905712817.0
Z300WKNW,2018-02-28,ST4000DM000,0,0.0,36870.0,0.0,0.0,190819.0,20.0,0.0,0.0,28786548156.0,186928676910.0
Z300WKNW,2018-03-01,ST4000DM000,0,0.0,36896.0,0.0,0.0,190819.0,20.0,0.0,0.0,28789233620.0,186958907479.0
Z300WKNW,2018-03-02,ST4000DM000,0,0.0,36920.0,0.0,0.0,190819.0,20.0,0.0,0.0,28791527526.0,186989839231.0
Z300WKNW,2018-03-03,ST4000DM000,0,0.0,36945.0,0.0,0.0,190819.0,20.0,0.0,0.0,28793653306.0,187017071986.0
Z300WKNW,2018-03-04,ST4000DM000,0,0.0,36968.0,0.0,0.0,190819.0,20.0,0.0,0.0,28795567082.0,187045537544.0
Z300WKNW,2018-03-05,ST4000DM000,0,0.0,36992.0,0.0,0.0,190819.0,20.0,0.0,0.0,28797536848.0,187070175328.0
Z300WKNW,2018-03-06,ST4000DM000,0,0.0,37017.0,0.0,0.0,190819.0,19.0,0.0,0.0,28800209352.0,187103504985.0
Z300WKNW,2018-03-07,ST4000DM000,0,0.0,37041.0,0.0,0.0,190819.0,19.0,0.0,0.0,28802562190.0,187132806690.0
Z300WKNW,2018-03-08,ST4000DM000,0,0.0,37064.0,0.0,0.0,190819.0,20.0,0.0,0.0,28804645278.0,187156338654.0
Z300WKNW,2018-03-09,ST4000DM000,0,0.0,37087.0,0.0,0.0,190819.0,20.0,0.0,0.0,28806570542.0,187181141967.0
Z300WKNW,2018-03-10,ST4000DM000,0,0.0,37111.0,0.0,0.0,190819.0,19.0,0.0,0.0,28808591774.0,187206788840.0
Z300WKNW,2018-03-11,ST4000DM000,0,0.0,37135.0,0.0,0.0,190819.0,19.0,0.0,0.0,28810398384.0,187230131398.0
Z300WKNW,2018-03-12,ST4000DM000,0,0.0,37159.0,0.0,0.0,190819.0,19.0,0.0,0.0,28812267744.0,187254835766.0
Z300WKNW,2018-03-13,ST4000DM000,0,0.0,37183.0,0.0,0.0,190819.0,20.0,0.0,0.0,28814076614.0,187280165410.0
Z300WKNW,2018-03-14,ST4000DM000,0,0.0,37207.0,0.0,0.0,190819.0,20.0,0.0,0.0,28816143252.0,187308159891.0
Z300WKNW,2018-03-15,ST4000DM000,0,0.0,37232.0,0.0,0.0,190819.0,20.0,0.0,0.0,28818394384.0,187335773254.0
Z300WKNW,2018-03-16,ST4000DM000,0,0.0,37255.0,0.0,0.0,190825.0,20.0,0.0,0.0,28820822226.0,187365175546.0
Z300WKNW,2018-03-17,ST4000DM000,0,0.0,37280.0,0.0,0.0,190827.0,20.0,0.0,0.0,28823126686.0,187391489317.0
Z300WKNW,2018-03-18,ST4000DM000,0,0.0,37304.0,0.0,0.0,190827.0,19.0,0.0,0.0,28825184622.0,187417788578.0
Z300WKNW,2018-03-19,ST4000DM000,0,0.0,37328.0,0.0,0.0,190827.0,20.0,0.0,0.0,28827278244.0,187442838451.0
Z300WKNW,2018-03-20,ST4000DM000,0,0.0,37351.0,0.0,0.0,190827.0,20.0,0.0,0.0,28829603110.0,187471170551.0
Z300WKNW,2018-03-21,ST4000DM000,0,0.0,37376.0,0.0,0.0,190831.0,20.0,0.0,0.0,28831805622.0,187497899457.0
Z300WKNW,2018-03-22,ST4000DM000,0,0.0,37400.0,0.0,0.0,190831.0,20.0,0.0,0.0,28836645092.0,187696337744.0
Z300WKNW,2018-03-23,ST4000DM000,0,0.0,37423.0,0.0,0.0,190831.0,20.0,0.0,0.0,28838137964.0,187719512336.0
Z300WKNW,2018-03-24,ST4000DM000,0,0.0,37448.0,0.0,0.0,190831.0,19.0,0.0,0.0,28840195166.0,187746280054.0
Z300WKNW,2018-03-25,ST4000DM000,0,0.0,37472.0,0.0,0.0,190831.0,20.0,0.0,0.0,28842016014.0,187773108020.0
Z300WKNW,2018-03-26,ST4000DM000,0,0.0,37495.0,0.0,0.0,190831.0,19.0,0.0,0.0,28843795480.0,187800504539.0
