serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300XEFF,2018-01-02,ST4000DM000,0,888.0,36474.0,0.0,0.0,12187.0,23.0,0.0,0.0,33877721992.0,257705025003.0
Z300XEFF,2018-01-03,ST4000DM000,0,888.0,36498.0,0.0,0.0,12187.0,22.0,0.0,0.0,33883866958.0,257740363082.0
Z300XEFF,2018-01-04,ST4000DM000,0,888.0,36522.0,0.0,0.0,12187.0,23.0,0.0,0.0,33889080672.0,257774059782.0
Z300XEFF,2018-01-05,ST4000DM000,0,888.0,36546.0,0.0,0.0,12187.0,23.0,0.0,0.0,33897138360.0,257809459872.0
Z300XEFF,2018-01-06,ST4000DM000,0,888.0,36570.0,0.0,0.0,12187.0,22.0,0.0,0.0,33905732198.0,257846290294.0
Z300XEFF,2018-01-07,ST4000DM000,0,888.0,36594.0,0.0,0.0,12187.0,23.0,0.0,0.0,33913550826.0,257880786008.0
Z300XEFF,2018-01-08,ST4000DM000,0,888.0,36618.0,0.0,0.0,12187.0,23.0,0.0,0.0,33920340408.0,257918975615.0
Z300XEFF,2018-01-09,ST4000DM000,0,888.0,36642.0,0.0,0.0,12187.0,23.0,0.0,0.0,33927150696.0,257953589378.0
Z300XEFF,2018-01-10,ST4000DM000,0,888.0,36642.0,0.0,0.0,12187.0,23.0,0.0,0.0,33927150696.0,257953589378.0
Z300XEFF,2018-01-11,ST4000DM000,0,888.0,36691.0,0.0,0.0,12187.0,22.0,0.0,0.0,33935439602.0,258037726956.0
Z300XEFF,2018-01-12,ST4000DM000,0,888.0,36716.0,0.0,0.0,12187.0,22.0,0.0,0.0,33939529998.0,258075512085.0
Z300XEFF,2018-01-13,ST4000DM000,0,888.0,36732.0,0.0,0.0,12187.0,22.0,0.0,0.0,33941253472.0,258096915619.0
Z300XEFF,2018-01-14,ST4000DM000,0,888.0,36757.0,0.0,0.0,12187.0,22.0,0.0,0.0,33944015348.0,258135094892.0
Z300XEFF,2018-01-15,ST4000DM000,0,888.0,36780.0,0.0,0.0,12190.0,22.0,0.0,0.0,33946141202.0,258168954185.0
Z300XEFF,2018-01-16,ST4000DM000,0,888.0,36804.0,0.0,0.0,12195.0,21.0,0.0,0.0,33948302586.0,258202897324.0
Z300XEFF,2018-01-17,ST4000DM000,0,888.0,36828.0,0.0,0.0,12214.0,20.0,0.0,0.0,33950400876.0,258234402982.0
Z300XEFF,2018-01-18,ST4000DM000,0,888.0,36840.0,0.0,0.0,12222.0,21.0,0.0,0.0,33951613086.0,258250311832.0
Z300XEFF,2018-01-19,ST4000DM000,0,888.0,36875.0,0.0,0.0,12222.0,20.0,0.0,0.0,33955976358.0,258310685378.0
Z300XEFF,2018-01-20,ST4000DM000,0,888.0,36899.0,0.0,0.0,12222.0,21.0,0.0,0.0,33958167136.0,258348758968.0
Z300XEFF,2018-01-21,ST4000DM000,0,888.0,36923.0,0.0,0.0,12222.0,21.0,0.0,0.0,33960356522.0,258380931303.0
Z300XEFF,2018-01-22,ST4000DM000,0,888.0,36947.0,0.0,0.0,12222.0,21.0,0.0,0.0,33962476386.0,258412279832.0
Z300XEFF,2018-01-23,ST4000DM000,0,888.0,36959.0,0.0,0.0,12222.0,20.0,0.0,0.0,33963548592.0,258428666560.0
