serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300YVQS,2018-01-02,ST4000DM000,0,0.0,27991.0,0.0,0.0,812.0,26.0,0.0,0.0,25033668860.0,165354616477.0
Z300YVQS,2018-01-03,ST4000DM000,0,0.0,28015.0,0.0,0.0,812.0,26.0,0.0,0.0,25040231843.0,165381903268.0
Z300YVQS,2018-01-04,ST4000DM000,0,0.0,28039.0,0.0,0.0,812.0,26.0,0.0,0.0,25048881366.0,165416101796.0
Z300YVQS,2018-01-05,ST4000DM000,0,0.0,28063.0,0.0,0.0,812.0,24.0,0.0,0.0,25056166993.0,165448334155.0
Z300YVQS,2018-01-06,ST4000DM000,0,0.0,28087.0,0.0,0.0,812.0,24.0,0.0,0.0,25064752489.0,165482016415.0
Z300YVQS,2018-01-07,ST4000DM000,0,0.0,28110.0,0.0,0.0,812.0,24.0,0.0,0.0,25075832200.0,165519051898.0
Z300YVQS,2018-01-08,ST4000DM000,0,0.0,28123.0,0.0,0.0,812.0,24.0,0.0,0.0,25080486002.0,165537252950.0
Z300YVQS,2018-01-09,ST4000DM000,0,0.0,28146.0,0.0,0.0,812.0,24.0,0.0,0.0,25091017240.0,165573159930.0
Z300YVQS,2018-01-10,ST4000DM000,0,0.0,28183.0,0.0,0.0,812.0,22.0,0.0,0.0,25102822585.0,165623933476.0
Z300YVQS,2018-01-11,ST4000DM000,0,0.0,28196.0,0.0,0.0,812.0,23.0,0.0,0.0,25103901231.0,165644010264.0
Z300YVQS,2018-01-12,ST4000DM000,0,0.0,28221.0,0.0,0.0,812.0,22.0,0.0,0.0,25107430567.0,165682310023.0
Z300YVQS,2018-01-13,ST4000DM000,0,0.0,28248.0,0.0,0.0,815.0,22.0,8.0,8.0,25110135871.0,165717908948.0
Z300YVQS,2018-01-14,ST4000DM000,0,0.0,28272.0,0.0,0.0,820.0,23.0,8.0,8.0,25112376814.0,165750721125.0
Z300YVQS,2018-01-15,ST4000DM000,0,0.0,28296.0,0.0,0.0,822.0,22.0,8.0,8.0,25114320646.0,165783422773.0
Z300YVQS,2018-01-16,ST4000DM000,0,0.0,28308.0,0.0,0.0,822.0,23.0,16.0,16.0,25114933866.0,165801317322.0
Z300YVQS,2018-01-17,ST4000DM000,0,0.0,28344.0,0.0,0.0,822.0,23.0,24.0,24.0,25116765760.0,165852610758.0
Z300YVQS,2018-01-18,ST4000DM000,0,0.0,28369.0,0.0,0.0,822.0,23.0,24.0,24.0,25117965190.0,165887269289.0
Z300YVQS,2018-01-19,ST4000DM000,0,0.0,28394.0,0.0,0.0,822.0,23.0,16.0,16.0,25119777972.0,165928492680.0
Z300YVQS,2018-01-20,ST4000DM000,0,0.0,28417.0,0.0,0.0,822.0,22.0,16.0,16.0,25121036250.0,165965917367.0
Z300YVQS,2018-01-21,ST4000DM000,0,0.0,28441.0,0.0,0.0,822.0,23.0,16.0,16.0,25122195476.0,166002359114.0
Z300YVQS,2018-01-22,ST4000DM000,0,0.0,28466.0,0.0,0.0,822.0,22.0,16.0,16.0,25123439549.0,166037653458.0
Z300YVQS,2018-01-23,ST4000DM000,0,0.0,28489.0,0.0,0.0,822.0,21.0,16.0,16.0,25124594027.0,166071868015.0
Z300YVQS,2018-01-24,ST4000DM000,0,0.0,28513.0,0.0,0.0,822.0,22.0,16.0,16.0,25125747564.0,166108839472.0
Z300YVQS,2018-01-25,ST4000DM000,0,0.0,28538.0,0.0,0.0,822.0,21.0,16.0,16.0,25126983577.0,166148772123.0
Z300YVQS,2018-01-26,ST4000DM000,0,0.0,28562.0,0.0,0.0,845.0,22.0,24.0,24.0,25128133318.0,166184570220.0
Z300YVQS,2018-01-27,ST4000DM000,0,0.0,28585.0,0.0,0.0,845.0,22.0,24.0,24.0,25129364598.0,166220969517.0
Z300YVQS,2018-01-28,ST4000DM000,0,0.0,28609.0,0.0,0.0,845.0,22.0,24.0,24.0,25130619538.0,166252175828.0
Z300YVQS,2018-01-29,ST4000DM000,0,0.0,28634.0,0.0,0.0,845.0,22.0,24.0,24.0,25131983531.0,166292994263.0
Z300YVQS,2018-01-30,ST4000DM000,0,0.0,28655.0,0.0,0.0,845.0,22.0,24.0,24.0,25133087622.0,166327299147.0
