serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300ZKA7,2018-01-02,ST4000DM000,0,0.0,27817.0,0.0,2.0,35892.0,22.0,0.0,0.0,24375976737.0,183851077241.0
Z300ZKA7,2018-01-03,ST4000DM000,0,0.0,27841.0,0.0,2.0,35892.0,22.0,0.0,0.0,24381752038.0,183886429541.0
Z300ZKA7,2018-01-04,ST4000DM000,0,0.0,27865.0,0.0,2.0,35892.0,23.0,0.0,0.0,24389160723.0,183921122133.0
Z300ZKA7,2018-01-05,ST4000DM000,0,0.0,27889.0,0.0,2.0,35892.0,23.0,0.0,0.0,24395682865.0,183954260007.0
Z300ZKA7,2018-01-06,ST4000DM000,0,0.0,27889.0,0.0,2.0,35892.0,23.0,0.0,0.0,24395682865.0,183954260007.0
Z300ZKA7,2018-01-07,ST4000DM000,0,0.0,27937.0,0.0,2.0,35892.0,23.0,0.0,0.0,24412583124.0,184023999634.0
Z300ZKA7,2018-01-08,ST4000DM000,0,0.0,27961.0,0.0,2.0,35892.0,23.0,0.0,0.0,24418704276.0,184057431315.0
Z300ZKA7,2018-01-09,ST4000DM000,0,0.0,27985.0,0.0,2.0,35892.0,23.0,0.0,0.0,24425523184.0,184091136733.0
Z300ZKA7,2018-01-10,ST4000DM000,0,0.0,28007.0,0.0,2.0,35892.0,23.0,0.0,0.0,24436164570.0,184134226311.0
Z300ZKA7,2018-01-11,ST4000DM000,0,0.0,28027.0,0.0,2.0,35892.0,22.0,0.0,0.0,24437633047.0,184165761823.0
Z300ZKA7,2018-01-12,ST4000DM000,0,0.0,28051.0,0.0,2.0,35892.0,22.0,0.0,0.0,24440221230.0,184203237120.0
Z300ZKA7,2018-01-13,ST4000DM000,0,0.0,28078.0,0.0,2.0,35942.0,21.0,0.0,0.0,24442329668.0,184237535953.0
Z300ZKA7,2018-01-14,ST4000DM000,0,0.0,28102.0,0.0,2.0,36099.0,21.0,0.0,0.0,24442466569.0,192054450369.0
Z300ZKA7,2018-01-15,ST4000DM000,0,0.0,28126.0,0.0,2.0,37542.0,21.0,0.0,0.0,24442467244.0,192091334163.0
Z300ZKA7,2018-01-16,ST4000DM000,0,0.0,28138.0,0.0,2.0,38210.0,18.0,0.0,0.0,24442467541.0,192107213771.0
Z300ZKA7,2018-01-17,ST4000DM000,0,0.0,28174.0,0.0,2.0,38420.0,21.0,0.0,0.0,24444126645.0,192160691689.0
Z300ZKA7,2018-01-18,ST4000DM000,0,0.0,28193.0,0.0,2.0,38420.0,21.0,0.0,0.0,24445046293.0,192189338804.0
Z300ZKA7,2018-01-19,ST4000DM000,0,0.0,28218.0,0.0,2.0,38420.0,21.0,0.0,0.0,24446863214.0,192226362698.0
Z300ZKA7,2018-01-20,ST4000DM000,0,0.0,28242.0,0.0,2.0,38420.0,21.0,0.0,0.0,24448186731.0,192268686218.0
Z300ZKA7,2018-01-21,ST4000DM000,0,0.0,28265.0,0.0,2.0,38420.0,21.0,0.0,0.0,24449422167.0,192299802930.0
Z300ZKA7,2018-01-22,ST4000DM000,0,0.0,28290.0,0.0,2.0,38420.0,21.0,0.0,0.0,24450689675.0,192334270703.0
Z300ZKA7,2018-01-23,ST4000DM000,0,0.0,28314.0,0.0,2.0,38420.0,21.0,0.0,0.0,24451829317.0,192364897461.0
Z300ZKA7,2018-01-24,ST4000DM000,0,0.0,28346.0,0.0,2.0,38420.0,21.0,0.0,0.0,24453453302.0,192407977932.0
Z300ZKA7,2018-01-25,ST4000DM000,0,0.0,28370.0,0.0,2.0,38420.0,21.0,0.0,0.0,24454635157.0,192441068416.0
Z300ZKA7,2018-01-26,ST4000DM000,0,0.0,28394.0,0.0,2.0,38420.0,22.0,0.0,0.0,24455922146.0,192473180419.0
Z300ZKA7,2018-01-27,ST4000DM000,0,0.0,28417.0,0.0,2.0,38420.0,22.0,0.0,0.0,24457279313.0,192505328298.0
Z300ZKA7,2018-01-28,ST4000DM000,0,0.0,28442.0,0.0,2.0,38420.0,21.0,0.0,0.0,24458618222.0,192538465266.0
Z300ZKA7,2018-01-29,ST4000DM000,0,0.0,28466.0,0.0,2.0,38420.0,22.0,0.0,0.0,24459940027.0,192568161768.0
Z300ZKA7,2018-01-30,ST4000DM000,0,0.0,28483.0,0.0,2.0,38420.0,22.0,0.0,0.0,24460901579.0,192590149466.0
Z300ZKA7,2018-01-31,ST4000DM000,0,0.0,28508.0,0.0,2.0,38420.0,21.0,0.0,0.0,24462811041.0,192626184167.0
Z300ZKA7,2018-02-01,ST4000DM000,0,0.0,28532.0,0.0,2.0,38420.0,22.0,0.0,0.0,24464095019.0,192660764635.0
Z300ZKA7,2018-02-02,ST4000DM000,0,0.0,28555.0,0.0,2.0,38420.0,22.0,0.0,0.0,24465416685.0,192701856331.0
Z300ZKA7,2018-02-03,ST4000DM000,0,0.0,28580.0,0.0,2.0,38420.0,22.0,0.0,0.0,24467090282.0,192736412994.0
Z300ZKA7,2018-02-04,ST4000DM000,0,0.0,28607.0,0.0,2.0,38420.0,22.0,0.0,0.0,24468611335.0,192771356496.0
Z300ZKA7,2018-02-05,ST4000DM000,0,0.0,28631.0,0.0,2.0,38420.0,22.0,0.0,0.0,24470076371.0,192804181760.0
Z300ZKA7,2018-02-06,ST4000DM000,0,0.0,28656.0,0.0,2.0,38420.0,22.0,0.0,0.0,24471455580.0,192842775670.0
Z300ZKA7,2018-02-07,ST4000DM000,0,0.0,28679.0,0.0,2.0,38420.0,22.0,0.0,0.0,24472798059.0,192875787026.0
Z300ZKA7,2018-02-08,ST4000DM000,0,0.0,28703.0,0.0,2.0,38420.0,23.0,0.0,0.0,24474067520.0,192907235950.0
Z300ZKA7,2018-02-09,ST4000DM000,0,0.0,28728.0,0.0,2.0,38420.0,22.0,0.0,0.0,24475444125.0,192940320207.0
Z300ZKA7,2018-02-10,ST4000DM000,0,0.0,28752.0,0.0,2.0,38420.0,22.0,0.0,0.0,24476698431.0,192972367417.0
Z300ZKA7,2018-02-11,ST4000DM000,0,0.0,28775.0,0.0,2.0,38420.0,22.0,0.0,0.0,24477977157.0,193003467547.0
Z300ZKA7,2018-02-12,ST4000DM000,0,0.0,28800.0,0.0,2.0,38420.0,22.0,0.0,0.0,24479322231.0,193035912971.0
Z300ZKA7,2018-02-13,ST4000DM000,0,0.0,28824.0,0.0,2.0,38420.0,22.0,0.0,0.0,24480597825.0,193077938745.0
Z300ZKA7,2018-02-14,ST4000DM000,0,0.0,28847.0,0.0,2.0,38420.0,21.0,0.0,0.0,24481859749.0,193111951920.0
Z300ZKA7,2018-02-15,ST4000DM000,0,0.0,28872.0,0.0,2.0,38420.0,21.0,0.0,0.0,24483128366.0,193145799944.0
Z300ZKA7,2018-02-16,ST4000DM000,0,0.0,28896.0,0.0,2.0,38420.0,21.0,0.0,0.0,24484433948.0,193179674598.0
Z300ZKA7,2018-02-17,ST4000DM000,0,0.0,28919.0,0.0,2.0,38420.0,22.0,0.0,0.0,24485740543.0,193209965044.0
Z300ZKA7,2018-02-18,ST4000DM000,0,0.0,28943.0,0.0,2.0,38420.0,22.0,0.0,0.0,24487052851.0,193256231462.0
Z300ZKA7,2018-02-19,ST4000DM000,0,0.0,28968.0,0.0,2.0,38420.0,21.0,0.0,0.0,24488607795.0,193291347315.0
Z300ZKA7,2018-02-20,ST4000DM000,0,0.0,28992.0,0.0,2.0,38420.0,21.0,0.0,0.0,24489860193.0,193325016913.0
