serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300ZRRK,2018-01-02,ST4000DM000,0,0.0,34252.0,0.0,0.0,27089.0,20.0,0.0,0.0,27785401692.0,155845284465.0
Z300ZRRK,2018-01-03,ST4000DM000,0,0.0,34276.0,0.0,0.0,27092.0,21.0,0.0,0.0,27787803144.0,155880180346.0
Z300ZRRK,2018-01-04,ST4000DM000,0,0.0,34300.0,0.0,0.0,27092.0,21.0,0.0,0.0,27790128100.0,155921507557.0
Z300ZRRK,2018-01-05,ST4000DM000,0,0.0,34324.0,0.0,0.0,27092.0,20.0,0.0,0.0,27792657392.0,155959452276.0
Z300ZRRK,2018-01-06,ST4000DM000,0,0.0,34348.0,0.0,0.0,27092.0,20.0,0.0,0.0,27794938018.0,155991903518.0
Z300ZRRK,2018-01-07,ST4000DM000,0,0.0,34372.0,0.0,0.0,27092.0,21.0,0.0,0.0,27797485354.0,156029114762.0
Z300ZRRK,2018-01-08,ST4000DM000,0,0.0,34396.0,0.0,0.0,27092.0,20.0,0.0,0.0,27800067974.0,156062141429.0
Z300ZRRK,2018-01-09,ST4000DM000,0,0.0,34420.0,0.0,0.0,27095.0,20.0,0.0,0.0,27802336542.0,156096691029.0
Z300ZRRK,2018-01-10,ST4000DM000,0,0.0,34444.0,0.0,0.0,27095.0,20.0,0.0,0.0,27804665144.0,156134008507.0
Z300ZRRK,2018-01-11,ST4000DM000,0,0.0,34458.0,0.0,0.0,27095.0,20.0,0.0,0.0,27806021782.0,156155070473.0
Z300ZRRK,2018-01-12,ST4000DM000,0,0.0,34482.0,0.0,0.0,27196.0,19.0,0.0,0.0,27808776726.0,156198468920.0
Z300ZRRK,2018-01-13,ST4000DM000,0,0.0,34509.0,0.0,0.0,28486.0,19.0,0.0,0.0,27808908318.0,156236097016.0
Z300ZRRK,2018-01-14,ST4000DM000,0,0.0,34533.0,0.0,0.0,29696.0,21.0,0.0,0.0,27809024938.0,156269494148.0
Z300ZRRK,2018-01-15,ST4000DM000,0,0.0,34558.0,0.0,0.0,30631.0,21.0,0.0,0.0,27809855622.0,156303637455.0
Z300ZRRK,2018-01-16,ST4000DM000,0,0.0,34582.0,0.0,0.0,30635.0,20.0,0.0,0.0,27812423238.0,156337587429.0
Z300ZRRK,2018-01-17,ST4000DM000,0,0.0,34605.0,0.0,0.0,30640.0,19.0,0.0,0.0,27814741072.0,156371363547.0
Z300ZRRK,2018-01-18,ST4000DM000,0,0.0,34631.0,0.0,0.0,30640.0,19.0,0.0,0.0,27817163164.0,156410048611.0
Z300ZRRK,2018-01-19,ST4000DM000,0,0.0,34655.0,0.0,0.0,30660.0,20.0,0.0,0.0,27820213834.0,156445704434.0
Z300ZRRK,2018-01-20,ST4000DM000,0,0.0,34679.0,0.0,0.0,30660.0,20.0,0.0,0.0,27822579080.0,156481311313.0
Z300ZRRK,2018-01-21,ST4000DM000,0,0.0,34703.0,0.0,0.0,30660.0,20.0,0.0,0.0,27824938920.0,156515216060.0
Z300ZRRK,2018-01-22,ST4000DM000,0,0.0,34727.0,0.0,0.0,30660.0,20.0,0.0,0.0,27827376072.0,156548494145.0
Z300ZRRK,2018-01-23,ST4000DM000,0,0.0,34751.0,0.0,0.0,30660.0,20.0,0.0,0.0,27829860548.0,156581873953.0
Z300ZRRK,2018-01-24,ST4000DM000,0,0.0,34775.0,0.0,0.0,30660.0,19.0,0.0,0.0,27832239874.0,156614571332.0
Z300ZRRK,2018-01-25,ST4000DM000,0,0.0,34799.0,0.0,0.0,30666.0,19.0,0.0,0.0,27834646934.0,156646372887.0
Z300ZRRK,2018-01-26,ST4000DM000,0,0.0,34823.0,0.0,0.0,30666.0,20.0,0.0,0.0,27836972064.0,156681717011.0
Z300ZRRK,2018-01-27,ST4000DM000,0,0.0,34847.0,0.0,0.0,30666.0,19.0,0.0,0.0,27839193998.0,156716212898.0
Z300ZRRK,2018-01-28,ST4000DM000,0,0.0,34871.0,0.0,0.0,30666.0,19.0,0.0,0.0,27841480618.0,156748535631.0
Z300ZRRK,2018-01-29,ST4000DM000,0,0.0,34894.0,0.0,0.0,30666.0,19.0,0.0,0.0,27843741318.0,156783883207.0
Z300ZRRK,2018-01-30,ST4000DM000,0,0.0,34916.0,0.0,0.0,30666.0,19.0,0.0,0.0,27846230932.0,156813525233.0
Z300ZRRK,2018-01-31,ST4000DM000,0,0.0,34940.0,0.0,0.0,30666.0,19.0,0.0,0.0,27849162370.0,156851016714.0
Z300ZRRK,2018-02-01,ST4000DM000,0,0.0,34964.0,0.0,0.0,30666.0,20.0,0.0,0.0,27851593324.0,156884004270.0
Z300ZRRK,2018-02-02,ST4000DM000,0,0.0,34988.0,0.0,0.0,30666.0,20.0,0.0,0.0,27854017666.0,156917163300.0
Z300ZRRK,2018-02-03,ST4000DM000,0,0.0,35012.0,0.0,0.0,30671.0,19.0,0.0,0.0,27856332184.0,156953974508.0
Z300ZRRK,2018-02-04,ST4000DM000,0,0.0,35044.0,0.0,0.0,30671.0,20.0,0.0,0.0,27859486708.0,157002303777.0
Z300ZRRK,2018-02-05,ST4000DM000,0,0.0,35068.0,0.0,0.0,30671.0,20.0,0.0,0.0,27861911478.0,157036275767.0
Z300ZRRK,2018-02-06,ST4000DM000,0,0.0,35092.0,0.0,0.0,30671.0,20.0,0.0,0.0,27864407442.0,157070187078.0
