serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z300ZTWC,2018-01-02,ST4000DM000,0,0.0,34252.0,0.0,0.0,54612.0,23.0,0.0,0.0,28163421136.0,246112191411.0
Z300ZTWC,2018-01-03,ST4000DM000,0,0.0,34275.0,0.0,0.0,54612.0,23.0,0.0,0.0,28169650672.0,246139555647.0
Z300ZTWC,2018-01-04,ST4000DM000,0,0.0,34299.0,0.0,0.0,54612.0,23.0,0.0,0.0,28177741922.0,246173703433.0
Z300ZTWC,2018-01-05,ST4000DM000,0,0.0,34324.0,0.0,0.0,54612.0,23.0,0.0,0.0,28185145558.0,246201253173.0
Z300ZTWC,2018-01-06,ST4000DM000,0,0.0,34348.0,0.0,0.0,54612.0,22.0,0.0,0.0,28193083714.0,246230770347.0
Z300ZTWC,2018-01-07,ST4000DM000,0,0.0,34371.0,0.0,0.0,54612.0,23.0,0.0,0.0,28202343482.0,246262361759.0
Z300ZTWC,2018-01-08,ST4000DM000,0,0.0,34395.0,0.0,0.0,54612.0,22.0,0.0,0.0,28210197166.0,246293479862.0
Z300ZTWC,2018-01-09,ST4000DM000,0,0.0,34420.0,0.0,0.0,54612.0,23.0,0.0,0.0,28218217558.0,246326758460.0
Z300ZTWC,2018-01-10,ST4000DM000,0,0.0,34443.0,0.0,0.0,54612.0,23.0,0.0,0.0,28224770088.0,246362259455.0
Z300ZTWC,2018-01-11,ST4000DM000,0,0.0,34457.0,0.0,0.0,54612.0,23.0,0.0,0.0,28226169662.0,246384001032.0
Z300ZTWC,2018-01-12,ST4000DM000,0,0.0,34481.0,0.0,0.0,54612.0,22.0,0.0,0.0,28230082274.0,246423651414.0
Z300ZTWC,2018-01-13,ST4000DM000,0,0.0,34509.0,0.0,0.0,54619.0,22.0,0.0,0.0,28234142840.0,246463561525.0
Z300ZTWC,2018-01-14,ST4000DM000,0,0.0,34533.0,0.0,0.0,54619.0,22.0,0.0,0.0,28237169112.0,246515582267.0
Z300ZTWC,2018-01-15,ST4000DM000,0,0.0,34557.0,0.0,0.0,54619.0,24.0,0.0,0.0,28240257892.0,246555367373.0
Z300ZTWC,2018-01-16,ST4000DM000,0,0.0,34582.0,0.0,0.0,54639.0,23.0,0.0,0.0,28242427726.0,246586247618.0
Z300ZTWC,2018-01-17,ST4000DM000,0,0.0,34605.0,0.0,0.0,54639.0,22.0,0.0,0.0,28244612204.0,246619366210.0
Z300ZTWC,2018-01-18,ST4000DM000,0,0.0,34628.0,0.0,0.0,54639.0,22.0,0.0,0.0,28246799898.0,246652577194.0
Z300ZTWC,2018-01-19,ST4000DM000,0,0.0,34652.0,0.0,0.0,54639.0,22.0,0.0,0.0,28249578638.0,246692077676.0
Z300ZTWC,2018-01-20,ST4000DM000,0,0.0,34677.0,0.0,0.0,54639.0,22.0,0.0,0.0,28252221446.0,246726286267.0
Z300ZTWC,2018-01-21,ST4000DM000,0,0.0,34701.0,0.0,0.0,54639.0,23.0,0.0,0.0,28254374400.0,246757543481.0
Z300ZTWC,2018-01-22,ST4000DM000,0,0.0,34724.0,0.0,0.0,54639.0,22.0,0.0,0.0,28256586596.0,246792300451.0
Z300ZTWC,2018-01-23,ST4000DM000,0,0.0,34749.0,0.0,0.0,54747.0,21.0,0.0,0.0,28258542464.0,246827207864.0
Z300ZTWC,2018-01-24,ST4000DM000,0,0.0,34780.0,0.0,0.0,54747.0,21.0,0.0,0.0,28261610132.0,246879194188.0
Z300ZTWC,2018-01-25,ST4000DM000,0,0.0,34805.0,0.0,0.0,54749.0,22.0,0.0,0.0,28265165916.0,246914264201.0
Z300ZTWC,2018-01-26,ST4000DM000,0,0.0,34827.0,0.0,0.0,55382.0,27.0,0.0,0.0,28266048656.0,246942507887.0
Z300ZTWC,2018-01-27,ST4000DM000,0,0.0,34852.0,0.0,0.0,55685.0,27.0,0.0,0.0,28268284174.0,246985446974.0
Z300ZTWC,2018-01-28,ST4000DM000,0,0.0,34875.0,0.0,0.0,55685.0,27.0,0.0,0.0,28270826564.0,247025183236.0
Z300ZTWC,2018-01-29,ST4000DM000,0,0.0,34899.0,0.0,0.0,55685.0,27.0,0.0,0.0,28273424648.0,247067717764.0
Z300ZTWC,2018-01-30,ST4000DM000,0,0.0,34915.0,0.0,0.0,55685.0,27.0,0.0,0.0,28275038594.0,247087844911.0
Z300ZTWC,2018-01-31,ST4000DM000,0,0.0,34940.0,0.0,0.0,55685.0,27.0,0.0,0.0,28278379834.0,247127512373.0
Z300ZTWC,2018-02-01,ST4000DM000,0,0.0,34964.0,0.0,0.0,55685.0,30.0,0.0,0.0,28280697744.0,247166166529.0
Z300ZTWC,2018-02-02,ST4000DM000,0,0.0,34987.0,0.0,0.0,55685.0,28.0,0.0,0.0,28283775508.0,247202943206.0
Z300ZTWC,2018-02-03,ST4000DM000,0,0.0,35012.0,0.0,0.0,55685.0,29.0,0.0,0.0,28286205418.0,247239288387.0
Z300ZTWC,2018-02-04,ST4000DM000,0,0.0,35043.0,0.0,0.0,55685.0,28.0,0.0,0.0,28289432136.0,247285791532.0
Z300ZTWC,2018-02-05,ST4000DM000,0,0.0,35068.0,0.0,0.0,55685.0,28.0,0.0,0.0,28291631648.0,247319805786.0
Z300ZTWC,2018-02-06,ST4000DM000,0,0.0,35092.0,0.0,0.0,55685.0,29.0,0.0,0.0,28293938964.0,247354012932.0
Z300ZTWC,2018-02-07,ST4000DM000,0,0.0,35115.0,0.0,0.0,55685.0,28.0,0.0,0.0,28296425954.0,247388829179.0
Z300ZTWC,2018-02-08,ST4000DM000,0,0.0,35140.0,0.0,0.0,55685.0,31.0,0.0,0.0,28298622672.0,247421543204.0
Z300ZTWC,2018-02-09,ST4000DM000,0,0.0,35164.0,0.0,0.0,55685.0,28.0,0.0,0.0,28301613640.0,247456168730.0
Z300ZTWC,2018-02-10,ST4000DM000,0,0.0,35187.0,0.0,0.0,55685.0,28.0,0.0,0.0,28304304988.0,247488960445.0
Z300ZTWC,2018-02-11,ST4000DM000,0,0.0,35211.0,0.0,0.0,55685.0,28.0,0.0,0.0,28306979284.0,247521216221.0
Z300ZTWC,2018-02-12,ST4000DM000,0,0.0,35236.0,0.0,0.0,55685.0,28.0,0.0,0.0,28309737146.0,247558113279.0
Z300ZTWC,2018-02-13,ST4000DM000,0,0.0,35260.0,0.0,0.0,55685.0,28.0,0.0,0.0,28311944618.0,247589531222.0
Z300ZTWC,2018-02-14,ST4000DM000,0,0.0,35283.0,0.0,0.0,55685.0,31.0,0.0,0.0,28315059584.0,247626155325.0
Z300ZTWC,2018-02-15,ST4000DM000,0,0.0,35308.0,0.0,0.0,55685.0,28.0,0.0,0.0,28317682536.0,247664003063.0
Z300ZTWC,2018-02-16,ST4000DM000,0,0.0,35332.0,0.0,0.0,55685.0,29.0,0.0,0.0,28319906334.0,247695527897.0
Z300ZTWC,2018-02-17,ST4000DM000,0,0.0,35355.0,0.0,0.0,55685.0,29.0,0.0,0.0,28322064390.0,247733507940.0
Z300ZTWC,2018-02-18,ST4000DM000,0,0.0,35380.0,0.0,0.0,55685.0,29.0,0.0,0.0,28324745598.0,247769831007.0
Z300ZTWC,2018-02-19,ST4000DM000,0,0.0,35404.0,0.0,0.0,55685.0,30.0,0.0,0.0,28327223618.0,247805964086.0
