serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z30149EV,2018-01-02,ST4000DM000,0,0.0,33193.0,0.0,1.0,14451.0,27.0,16.0,16.0,27931795286.0,252568248894.0
Z30149EV,2018-01-03,ST4000DM000,0,0.0,33217.0,0.0,1.0,14451.0,26.0,16.0,16.0,27939367164.0,252601451525.0
Z30149EV,2018-01-04,ST4000DM000,0,0.0,33240.0,0.0,1.0,14451.0,27.0,16.0,16.0,27946388116.0,252635267055.0
Z30149EV,2018-01-05,ST4000DM000,0,0.0,33265.0,0.0,1.0,14451.0,27.0,24.0,24.0,27955192284.0,252669555923.0
Z30149EV,2018-01-06,ST4000DM000,0,0.0,33289.0,0.0,1.0,14451.0,26.0,24.0,24.0,27961834632.0,252700762240.0
Z30149EV,2018-01-07,ST4000DM000,0,0.0,33301.0,0.0,1.0,14451.0,27.0,24.0,24.0,27965411352.0,252717512531.0
Z30149EV,2018-01-08,ST4000DM000,0,0.0,33336.0,0.0,1.0,14451.0,27.0,24.0,24.0,27979292168.0,252770003939.0
Z30149EV,2018-01-09,ST4000DM000,0,0.0,33361.0,0.0,1.0,14451.0,27.0,24.0,24.0,27986300176.0,252804863487.0
Z30149EV,2018-01-10,ST4000DM000,0,0.0,33384.0,0.0,1.0,14451.0,26.0,24.0,24.0,27991877446.0,252838271183.0
Z30149EV,2018-01-11,ST4000DM000,0,0.0,33413.0,0.0,1.0,14451.0,25.0,24.0,24.0,27998686466.0,252892078021.0
Z30149EV,2018-01-12,ST4000DM000,0,0.0,33437.0,0.0,1.0,14451.0,24.0,32.0,32.0,28003874800.0,252929527483.0
Z30149EV,2018-01-13,ST4000DM000,0,0.0,33454.0,0.0,1.0,14453.0,25.0,32.0,32.0,28006521654.0,252954154859.0
Z30149EV,2018-01-14,ST4000DM000,0,0.0,33478.0,0.0,1.0,14453.0,24.0,32.0,32.0,28009681242.0,252996955920.0
Z30149EV,2018-01-15,ST4000DM000,0,0.0,33502.0,0.0,1.0,14453.0,24.0,32.0,32.0,28011954432.0,253030335192.0
Z30149EV,2018-01-16,ST4000DM000,0,0.0,33526.0,0.0,1.0,14456.0,21.0,32.0,32.0,28013968388.0,253064406917.0
Z30149EV,2018-01-17,ST4000DM000,0,0.0,33550.0,0.0,1.0,14456.0,23.0,32.0,32.0,28016134858.0,253099000761.0
Z30149EV,2018-01-18,ST4000DM000,0,0.0,33572.0,0.0,1.0,14456.0,23.0,32.0,32.0,28018073804.0,253131097677.0
Z30149EV,2018-01-19,ST4000DM000,0,0.0,33596.0,0.0,1.0,14456.0,23.0,32.0,32.0,28020537726.0,253172459240.0
Z30149EV,2018-01-20,ST4000DM000,0,0.0,33608.0,0.0,1.0,14456.0,24.0,32.0,32.0,28021624124.0,253192146014.0
Z30149EV,2018-01-21,ST4000DM000,0,0.0,33644.0,0.0,1.0,14474.0,26.0,40.0,40.0,28024882988.0,253244624978.0
Z30149EV,2018-01-22,ST4000DM000,0,0.0,33668.0,0.0,1.0,14474.0,23.0,40.0,40.0,28027140842.0,253279028916.0
Z30149EV,2018-01-23,ST4000DM000,0,0.0,33692.0,0.0,1.0,14474.0,21.0,40.0,40.0,28030043260.0,253322585585.0
Z30149EV,2018-01-24,ST4000DM000,0,0.0,33724.0,0.0,1.0,14474.0,21.0,40.0,40.0,28032739504.0,253365208163.0
Z30149EV,2018-01-25,ST4000DM000,0,0.0,33748.0,0.0,1.0,14474.0,21.0,40.0,40.0,28034890580.0,253401308281.0
Z30149EV,2018-01-26,ST4000DM000,0,0.0,33772.0,0.0,1.0,14496.0,21.0,40.0,40.0,28037018404.0,253434628387.0
Z30149EV,2018-01-27,ST4000DM000,0,0.0,33796.0,0.0,1.0,14496.0,21.0,48.0,48.0,28039368820.0,253468285211.0
Z30149EV,2018-01-28,ST4000DM000,0,0.0,33821.0,0.0,1.0,14496.0,21.0,48.0,48.0,28041542292.0,253501221997.0
Z30149EV,2018-01-29,ST4000DM000,0,0.0,33844.0,0.0,1.0,14496.0,21.0,48.0,48.0,28043651090.0,253536212713.0
Z30149EV,2018-01-30,ST4000DM000,0,0.0,33861.0,0.0,1.0,14496.0,22.0,48.0,48.0,28045185236.0,253561446839.0
Z30149EV,2018-01-31,ST4000DM000,0,0.0,33885.0,0.0,1.0,14496.0,22.0,48.0,48.0,28047666006.0,253599761490.0
Z30149EV,2018-02-01,ST4000DM000,0,0.0,33909.0,0.0,1.0,14496.0,25.0,48.0,48.0,28049917204.0,253634372950.0
Z30149EV,2018-02-02,ST4000DM000,0,0.0,33933.0,0.0,1.0,14496.0,21.0,48.0,48.0,28051985418.0,253668328156.0
Z30149EV,2018-02-03,ST4000DM000,0,0.0,33957.0,0.0,1.0,14496.0,22.0,56.0,56.0,28054320902.0,253704078916.0
Z30149EV,2018-02-04,ST4000DM000,0,0.0,33985.0,0.0,1.0,14496.0,22.0,56.0,56.0,28056733806.0,253744670311.0
Z30149EV,2018-02-05,ST4000DM000,0,0.0,34009.0,0.0,1.0,14496.0,22.0,56.0,56.0,28058872388.0,253780691011.0
Z30149EV,2018-02-06,ST4000DM000,0,0.0,34033.0,0.0,1.0,14496.0,22.0,56.0,56.0,28060890016.0,253813264312.0
Z30149EV,2018-02-07,ST4000DM000,0,0.0,34057.0,0.0,1.0,14496.0,22.0,56.0,56.0,28062970270.0,253845662438.0
Z30149EV,2018-02-08,ST4000DM000,0,0.0,34081.0,0.0,1.0,14496.0,21.0,56.0,56.0,28065101318.0,253894197593.0
Z30149EV,2018-02-09,ST4000DM000,0,0.0,34105.0,0.0,1.0,14496.0,21.0,72.0,72.0,28067224756.0,253930211588.0
Z30149EV,2018-02-10,ST4000DM000,0,0.0,34129.0,0.0,1.0,14496.0,22.0,80.0,80.0,28069456392.0,253961944782.0
Z30149EV,2018-02-11,ST4000DM000,0,0.0,34153.0,0.0,1.0,14496.0,21.0,88.0,88.0,28071552216.0,254000356028.0
Z30149EV,2018-02-12,ST4000DM000,0,0.0,34177.0,0.0,1.0,14496.0,22.0,88.0,88.0,28073634858.0,254031395702.0
Z30149EV,2018-02-13,ST4000DM000,0,0.0,34201.0,0.0,1.0,14496.0,22.0,96.0,96.0,28075674672.0,254065760607.0
Z30149EV,2018-02-14,ST4000DM000,0,0.0,34225.0,0.0,1.0,14496.0,22.0,96.0,96.0,28077896262.0,254100481168.0
Z30149EV,2018-02-15,ST4000DM000,0,0.0,34249.0,0.0,1.0,14496.0,21.0,96.0,96.0,28080254354.0,254134232569.0
Z30149EV,2018-02-16,ST4000DM000,0,0.0,34273.0,0.0,1.0,14496.0,22.0,96.0,96.0,28082224444.0,254168559133.0
Z30149EV,2018-02-17,ST4000DM000,0,0.0,34297.0,0.0,1.0,14496.0,22.0,96.0,96.0,28084302048.0,254201885771.0
