serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z30149QF,2018-01-02,ST4000DM000,0,0.0,32703.0,0.0,0.0,17582.0,21.0,0.0,0.0,26634028116.0,129346623589.0
Z30149QF,2018-01-03,ST4000DM000,0,0.0,32726.0,0.0,0.0,17582.0,23.0,0.0,0.0,26636002094.0,129381766522.0
Z30149QF,2018-01-04,ST4000DM000,0,0.0,32750.0,0.0,0.0,17582.0,22.0,0.0,0.0,26638232146.0,129415558629.0
Z30149QF,2018-01-05,ST4000DM000,0,0.0,32775.0,0.0,0.0,17582.0,22.0,0.0,0.0,26640415728.0,129449709872.0
Z30149QF,2018-01-06,ST4000DM000,0,0.0,32799.0,0.0,0.0,17582.0,22.0,0.0,0.0,26642617748.0,129485480580.0
Z30149QF,2018-01-07,ST4000DM000,0,0.0,32822.0,0.0,0.0,17582.0,22.0,0.0,0.0,26644738996.0,129519398545.0
Z30149QF,2018-01-08,ST4000DM000,0,0.0,32846.0,0.0,0.0,17582.0,22.0,0.0,0.0,26646784108.0,129555617592.0
Z30149QF,2018-01-09,ST4000DM000,0,0.0,32871.0,0.0,0.0,17582.0,22.0,0.0,0.0,26649017680.0,129592989770.0
Z30149QF,2018-01-10,ST4000DM000,0,0.0,32894.0,0.0,0.0,17582.0,21.0,0.0,0.0,26651229950.0,129627574184.0
Z30149QF,2018-01-11,ST4000DM000,0,0.0,32900.0,0.0,0.0,17593.0,22.0,0.0,0.0,26651418514.0,131008602004.0
Z30149QF,2018-01-12,ST4000DM000,0,0.0,32924.0,0.0,0.0,17912.0,22.0,0.0,0.0,26651660552.0,137453579932.0
Z30149QF,2018-01-13,ST4000DM000,0,0.0,32952.0,0.0,0.0,19193.0,21.0,0.0,0.0,26651799632.0,137486236043.0
Z30149QF,2018-01-14,ST4000DM000,0,0.0,32976.0,0.0,0.0,20332.0,23.0,0.0,0.0,26651916212.0,137520925384.0
Z30149QF,2018-01-15,ST4000DM000,0,0.0,33000.0,0.0,0.0,21253.0,22.0,0.0,0.0,26652552962.0,137556083718.0
Z30149QF,2018-01-16,ST4000DM000,0,0.0,33024.0,0.0,0.0,21253.0,22.0,0.0,0.0,26654885716.0,137596021334.0
Z30149QF,2018-01-17,ST4000DM000,0,0.0,33048.0,0.0,0.0,21253.0,21.0,0.0,0.0,26656961558.0,137633438177.0
Z30149QF,2018-01-18,ST4000DM000,0,0.0,33071.0,0.0,0.0,21254.0,21.0,0.0,0.0,26659068852.0,137667789965.0
Z30149QF,2018-01-19,ST4000DM000,0,0.0,33095.0,0.0,0.0,21261.0,21.0,0.0,0.0,26661617472.0,137718102827.0
Z30149QF,2018-01-20,ST4000DM000,0,0.0,33119.0,0.0,0.0,21261.0,22.0,0.0,0.0,26663907986.0,137754213609.0
Z30149QF,2018-01-21,ST4000DM000,0,0.0,33143.0,0.0,0.0,21261.0,22.0,0.0,0.0,26666181998.0,137790873469.0
Z30149QF,2018-01-22,ST4000DM000,0,0.0,33167.0,0.0,0.0,21261.0,22.0,0.0,0.0,26668472358.0,137825756137.0
Z30149QF,2018-01-23,ST4000DM000,0,0.0,33192.0,0.0,0.0,21261.0,23.0,0.0,0.0,26670711766.0,137860682710.0
Z30149QF,2018-01-24,ST4000DM000,0,0.0,33223.0,0.0,0.0,21261.0,22.0,0.0,0.0,26673524616.0,137906239300.0
Z30149QF,2018-01-25,ST4000DM000,0,0.0,33248.0,0.0,0.0,21261.0,21.0,0.0,0.0,26675705748.0,137938849803.0
Z30149QF,2018-01-26,ST4000DM000,0,0.0,33271.0,0.0,0.0,21264.0,21.0,0.0,0.0,26678035606.0,137973067908.0
Z30149QF,2018-01-27,ST4000DM000,0,0.0,33295.0,0.0,0.0,21264.0,21.0,0.0,0.0,26680151376.0,138006850323.0
Z30149QF,2018-01-28,ST4000DM000,0,0.0,33320.0,0.0,0.0,21264.0,21.0,0.0,0.0,26682429316.0,138044913982.0
Z30149QF,2018-01-29,ST4000DM000,0,0.0,33343.0,0.0,0.0,21264.0,21.0,0.0,0.0,26684615172.0,138079100699.0
Z30149QF,2018-01-30,ST4000DM000,0,0.0,33359.0,0.0,0.0,21264.0,21.0,0.0,0.0,26686026568.0,138101948670.0
Z30149QF,2018-01-31,ST4000DM000,0,0.0,33382.0,0.0,0.0,21264.0,21.0,0.0,0.0,26688857414.0,138148556908.0
Z30149QF,2018-02-01,ST4000DM000,0,0.0,33407.0,0.0,0.0,21264.0,21.0,0.0,0.0,26691295614.0,138185655283.0
Z30149QF,2018-02-02,ST4000DM000,0,0.0,33431.0,0.0,0.0,21264.0,21.0,0.0,0.0,26693722080.0,138219330746.0
