serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z30149QK,2018-01-02,ST4000DM000,0,0.0,35076.0,0.0,1.0,31931.0,21.0,0.0,0.0,30235650820.0,276380680661.0
Z30149QK,2018-01-03,ST4000DM000,0,0.0,35099.0,0.0,1.0,31931.0,21.0,0.0,0.0,30243484478.0,276417773151.0
Z30149QK,2018-01-04,ST4000DM000,0,0.0,35099.0,0.0,1.0,31931.0,21.0,0.0,0.0,30243484478.0,276417773151.0
Z30149QK,2018-01-05,ST4000DM000,0,0.0,35148.0,0.0,1.0,31931.0,21.0,0.0,0.0,30256749216.0,276482243488.0
Z30149QK,2018-01-06,ST4000DM000,0,0.0,35159.0,0.0,1.0,31931.0,21.0,0.0,0.0,30262254692.0,276505343006.0
Z30149QK,2018-01-07,ST4000DM000,0,0.0,35195.0,0.0,1.0,31931.0,21.0,0.0,0.0,30272233814.0,276556092833.0
Z30149QK,2018-01-08,ST4000DM000,0,0.0,35220.0,0.0,1.0,31931.0,21.0,0.0,0.0,30279542504.0,276590469894.0
Z30149QK,2018-01-09,ST4000DM000,0,0.0,35244.0,0.0,1.0,31931.0,21.0,0.0,0.0,30286637952.0,276623666574.0
Z30149QK,2018-01-10,ST4000DM000,0,0.0,35267.0,0.0,1.0,31931.0,21.0,0.0,0.0,30291511348.0,276657414266.0
Z30149QK,2018-01-11,ST4000DM000,0,0.0,35281.0,0.0,1.0,31931.0,21.0,0.0,0.0,30292890254.0,276679034379.0
Z30149QK,2018-01-12,ST4000DM000,0,0.0,35306.0,0.0,1.0,31932.0,21.0,0.0,0.0,30296211512.0,276721187802.0
Z30149QK,2018-01-13,ST4000DM000,0,0.0,35333.0,0.0,1.0,31932.0,21.0,0.0,0.0,30299200312.0,276758614115.0
Z30149QK,2018-01-14,ST4000DM000,0,0.0,35357.0,0.0,1.0,31937.0,23.0,0.0,0.0,30302077602.0,276799256398.0
Z30149QK,2018-01-15,ST4000DM000,0,0.0,35381.0,0.0,1.0,31937.0,22.0,0.0,0.0,30304424984.0,276835213471.0
Z30149QK,2018-01-16,ST4000DM000,0,0.0,35405.0,0.0,1.0,31944.0,22.0,0.0,0.0,30306499364.0,276867097961.0
Z30149QK,2018-01-17,ST4000DM000,0,0.0,35429.0,0.0,1.0,31945.0,21.0,0.0,0.0,30309037372.0,276904704403.0
Z30149QK,2018-01-18,ST4000DM000,0,0.0,35454.0,0.0,1.0,31945.0,22.0,0.0,0.0,30311279876.0,276941722851.0
Z30149QK,2018-01-19,ST4000DM000,0,0.0,35478.0,0.0,1.0,31945.0,21.0,0.0,0.0,30314204012.0,276990373108.0
Z30149QK,2018-01-20,ST4000DM000,0,0.0,35501.0,0.0,1.0,31951.0,21.0,0.0,0.0,30316366414.0,277028737696.0
Z30149QK,2018-01-21,ST4000DM000,0,0.0,35526.0,0.0,1.0,31951.0,21.0,0.0,0.0,30320668312.0,277067702939.0
Z30149QK,2018-01-22,ST4000DM000,0,0.0,35550.0,0.0,1.0,31951.0,20.0,0.0,0.0,30322879510.0,277100434071.0
Z30149QK,2018-01-23,ST4000DM000,0,0.0,35562.0,0.0,1.0,31958.0,21.0,0.0,0.0,30323959334.0,277125081476.0
Z30149QK,2018-01-24,ST4000DM000,0,0.0,35598.0,0.0,1.0,31964.0,21.0,0.0,0.0,30327781008.0,277176775462.0
Z30149QK,2018-01-25,ST4000DM000,0,0.0,35622.0,0.0,1.0,31964.0,21.0,0.0,0.0,30330060206.0,277210307480.0
Z30149QK,2018-01-26,ST4000DM000,0,0.0,35645.0,0.0,1.0,31983.0,21.0,0.0,0.0,30332113088.0,277243426616.0
Z30149QK,2018-01-27,ST4000DM000,0,0.0,35670.0,0.0,1.0,31983.0,21.0,0.0,0.0,30334476224.0,277283331720.0
Z30149QK,2018-01-28,ST4000DM000,0,0.0,35694.0,0.0,1.0,31983.0,20.0,0.0,0.0,30336759306.0,277315057969.0
Z30149QK,2018-01-29,ST4000DM000,0,0.0,35718.0,0.0,1.0,31983.0,21.0,0.0,0.0,30339058880.0,277350537950.0
Z30149QK,2018-01-30,ST4000DM000,0,0.0,35740.0,0.0,1.0,31983.0,20.0,0.0,0.0,30341651484.0,277381792305.0
Z30149QK,2018-01-31,ST4000DM000,0,0.0,35764.0,0.0,1.0,31983.0,21.0,0.0,0.0,30344525034.0,277429413729.0
Z30149QK,2018-02-01,ST4000DM000,0,0.0,35787.0,0.0,1.0,31983.0,21.0,0.0,0.0,30347123330.0,277464435139.0
Z30149QK,2018-02-02,ST4000DM000,0,0.0,35812.0,0.0,1.0,31983.0,21.0,0.0,0.0,30349565496.0,277501600114.0
Z30149QK,2018-02-03,ST4000DM000,0,0.0,35836.0,0.0,1.0,31983.0,21.0,0.0,0.0,30351722094.0,277535892384.0
Z30149QK,2018-02-04,ST4000DM000,0,0.0,35868.0,0.0,1.0,31983.0,21.0,0.0,0.0,30354990068.0,277578224297.0
Z30149QK,2018-02-05,ST4000DM000,0,0.0,35892.0,0.0,1.0,31983.0,21.0,0.0,0.0,30357283108.0,277609817175.0
Z30149QK,2018-02-06,ST4000DM000,0,0.0,35915.0,0.0,1.0,31983.0,21.0,0.0,0.0,30359403294.0,277645799960.0
Z30149QK,2018-02-07,ST4000DM000,0,0.0,35940.0,0.0,1.0,31983.0,21.0,0.0,0.0,30361513392.0,277684882231.0
Z30149QK,2018-02-08,ST4000DM000,0,0.0,35964.0,0.0,1.0,31983.0,21.0,0.0,0.0,30366059120.0,277727588525.0
Z30149QK,2018-02-09,ST4000DM000,0,0.0,35987.0,0.0,1.0,31983.0,21.0,0.0,0.0,30368254762.0,277758165147.0
Z30149QK,2018-02-10,ST4000DM000,0,0.0,36012.0,0.0,1.0,31983.0,21.0,0.0,0.0,30371101564.0,277794648338.0
Z30149QK,2018-02-11,ST4000DM000,0,0.0,36036.0,0.0,1.0,31983.0,27.0,0.0,0.0,30373479292.0,277827166437.0
Z30149QK,2018-02-12,ST4000DM000,0,0.0,36060.0,0.0,1.0,31983.0,21.0,0.0,0.0,30375823368.0,277860000587.0
