serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3016L7D,2018-01-02,ST4000DM000,0,56.0,33751.0,0.0,1.0,56659.0,25.0,8.0,8.0,27906209962.0,234542294571.0
Z3016L7D,2018-01-03,ST4000DM000,0,88.0,33775.0,0.0,1.0,56659.0,25.0,8.0,8.0,27912336108.0,234577958488.0
Z3016L7D,2018-01-04,ST4000DM000,0,192.0,33799.0,0.0,1.0,56659.0,25.0,8.0,8.0,27917521686.0,234608890224.0
Z3016L7D,2018-01-05,ST4000DM000,0,352.0,33823.0,0.0,1.0,56659.0,25.0,8.0,8.0,27925558128.0,234645180759.0
Z3016L7D,2018-01-06,ST4000DM000,0,488.0,33847.0,0.0,1.0,56659.0,25.0,8.0,8.0,27931974552.0,234685359347.0
Z3016L7D,2018-01-07,ST4000DM000,0,576.0,33870.0,0.0,1.0,56659.0,25.0,8.0,8.0,27941891064.0,234724245970.0
Z3016L7D,2018-01-08,ST4000DM000,0,632.0,33895.0,0.0,1.0,56659.0,25.0,8.0,8.0,27948403346.0,234759170141.0
Z3016L7D,2018-01-09,ST4000DM000,0,632.0,33919.0,0.0,1.0,56659.0,25.0,8.0,8.0,27954625728.0,234793364328.0
Z3016L7D,2018-01-10,ST4000DM000,0,800.0,33942.0,0.0,1.0,56659.0,26.0,8.0,8.0,27960228400.0,234828219304.0
Z3016L7D,2018-01-11,ST4000DM000,0,808.0,33969.0,0.0,1.0,56659.0,27.0,8.0,8.0,27963054828.0,234874019332.0
Z3016L7D,2018-01-12,ST4000DM000,0,808.0,33992.0,0.0,1.0,56659.0,25.0,8.0,8.0,27965873566.0,234909283166.0
Z3016L7D,2018-01-13,ST4000DM000,0,808.0,34009.0,0.0,1.0,56659.0,25.0,8.0,8.0,27967703948.0,234932702172.0
Z3016L7D,2018-01-14,ST4000DM000,0,824.0,34033.0,0.0,1.0,56659.0,25.0,8.0,8.0,27970599214.0,234978660462.0
Z3016L7D,2018-01-15,ST4000DM000,0,832.0,34057.0,0.0,1.0,56659.0,26.0,8.0,8.0,27973007288.0,235014056226.0
Z3016L7D,2018-01-16,ST4000DM000,0,1000.0,34081.0,0.0,1.0,56668.0,25.0,16.0,16.0,27974965098.0,235049015892.0
Z3016L7D,2018-01-17,ST4000DM000,0,1016.0,34105.0,0.0,1.0,56678.0,25.0,16.0,16.0,27976953642.0,235082994973.0
Z3016L7D,2018-01-18,ST4000DM000,0,1240.0,34127.0,0.0,1.0,56688.0,25.0,16.0,16.0,27978733218.0,235113175200.0
Z3016L7D,2018-01-19,ST4000DM000,0,1632.0,34152.0,0.0,1.0,56696.0,25.0,32.0,32.0,27982056190.0,235168453335.0
Z3016L7D,2018-01-20,ST4000DM000,0,1648.0,34164.0,0.0,1.0,56696.0,25.0,32.0,32.0,27983215978.0,235188546986.0
Z3016L7D,2018-01-21,ST4000DM000,0,2288.0,34188.0,0.0,1.0,56696.0,24.0,32.0,32.0,27985640864.0,235229041799.0
Z3016L7D,2018-01-22,ST4000DM000,0,4192.0,34223.0,0.0,1.0,56696.0,25.0,48.0,48.0,27988546968.0,235281601118.0
Z3016L7D,2018-01-23,ST4000DM000,0,4776.0,34248.0,0.0,1.0,56697.0,25.0,64.0,64.0,27990445528.0,235315193714.0
Z3016L7D,2018-01-24,ST4000DM000,0,7720.0,34280.0,0.0,1.0,56708.0,25.0,72.0,72.0,27993009168.0,235362230088.0
Z3016L7D,2018-01-25,ST4000DM000,0,15432.0,34304.0,0.0,1.0,56708.0,25.0,104.0,104.0,27994911600.0,235392246766.0
Z3016L7D,2018-01-26,ST4000DM000,0,16312.0,34328.0,0.0,1.0,56708.0,24.0,112.0,112.0,27996846272.0,235432063861.0
Z3016L7D,2018-01-27,ST4000DM000,0,19256.0,34352.0,0.0,1.0,56708.0,24.0,144.0,144.0,27998977022.0,235465819163.0
Z3016L7D,2018-01-28,ST4000DM000,0,20920.0,34376.0,0.0,1.0,56708.0,24.0,152.0,152.0,28000996058.0,235499230867.0
Z3016L7D,2018-01-29,ST4000DM000,0,21744.0,34400.0,0.0,1.0,56708.0,24.0,160.0,160.0,28002989016.0,235532837562.0
Z3016L7D,2018-01-30,ST4000DM000,0,22040.0,34416.0,0.0,1.0,56708.0,24.0,160.0,160.0,28004334704.0,235554967971.0
Z3016L7D,2018-01-31,ST4000DM000,0,22992.0,34440.0,0.0,1.0,56708.0,24.0,168.0,168.0,28006979166.0,235589908038.0
Z3016L7D,2018-02-01,ST4000DM000,0,24304.0,34464.0,0.0,1.0,56708.0,24.0,168.0,168.0,28009126872.0,235625847167.0
Z3016L7D,2018-02-02,ST4000DM000,0,26192.0,34488.0,0.0,1.0,56708.0,24.0,200.0,200.0,28011216664.0,235659835397.0
Z3016L7D,2018-02-03,ST4000DM000,0,27048.0,34512.0,0.0,1.0,56708.0,24.0,208.0,208.0,28013321272.0,235693293129.0
Z3016L7D,2018-02-04,ST4000DM000,0,28192.0,34544.0,0.0,1.0,56708.0,25.0,208.0,208.0,28015980980.0,235734976459.0
Z3016L7D,2018-02-05,ST4000DM000,0,32432.0,34568.0,0.0,1.0,56708.0,24.0,256.0,256.0,28017942578.0,235765011506.0
Z3016L7D,2018-02-06,ST4000DM000,0,33472.0,34592.0,0.0,1.0,56708.0,24.0,256.0,256.0,28019914216.0,235796987224.0
