serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3016NYH,2018-01-02,ST4000DM000,0,0.0,33535.0,0.0,0.0,6190.0,22.0,0.0,0.0,27201331322.0,162068854078.0
Z3016NYH,2018-01-03,ST4000DM000,0,0.0,33559.0,0.0,0.0,6190.0,23.0,0.0,0.0,27203358960.0,162103199449.0
Z3016NYH,2018-01-04,ST4000DM000,0,0.0,33582.0,0.0,0.0,6190.0,23.0,0.0,0.0,27205498744.0,162138801482.0
Z3016NYH,2018-01-05,ST4000DM000,0,0.0,33607.0,0.0,0.0,6190.0,23.0,0.0,0.0,27207724260.0,162175323685.0
Z3016NYH,2018-01-06,ST4000DM000,0,0.0,33631.0,0.0,0.0,6190.0,22.0,0.0,0.0,27209856930.0,162212703572.0
Z3016NYH,2018-01-07,ST4000DM000,0,0.0,33654.0,0.0,0.0,6190.0,23.0,0.0,0.0,27211945120.0,162250531678.0
Z3016NYH,2018-01-08,ST4000DM000,0,0.0,33679.0,0.0,0.0,6190.0,23.0,0.0,0.0,27214370776.0,162288455167.0
Z3016NYH,2018-01-09,ST4000DM000,0,0.0,33703.0,0.0,0.0,6190.0,23.0,0.0,0.0,27216486388.0,162321488100.0
Z3016NYH,2018-01-10,ST4000DM000,0,0.0,33725.0,0.0,0.0,6190.0,23.0,0.0,0.0,27218520880.0,162357040258.0
Z3016NYH,2018-01-11,ST4000DM000,0,0.0,33746.0,0.0,0.0,6190.0,22.0,0.0,0.0,27220825068.0,162394826922.0
Z3016NYH,2018-01-12,ST4000DM000,0,0.0,33770.0,0.0,0.0,6190.0,22.0,0.0,0.0,27223164338.0,162431887946.0
Z3016NYH,2018-01-13,ST4000DM000,0,0.0,33795.0,0.0,0.0,6190.0,23.0,0.0,0.0,27225376014.0,162471229979.0
Z3016NYH,2018-01-14,ST4000DM000,0,0.0,33819.0,0.0,0.0,6190.0,22.0,0.0,0.0,27227583424.0,162507487759.0
Z3016NYH,2018-01-15,ST4000DM000,0,0.0,33842.0,0.0,0.0,6190.0,25.0,0.0,0.0,27229744678.0,162541179986.0
Z3016NYH,2018-01-16,ST4000DM000,0,0.0,33867.0,0.0,0.0,6197.0,23.0,0.0,0.0,27232171956.0,162579690108.0
Z3016NYH,2018-01-17,ST4000DM000,0,0.0,33891.0,0.0,0.0,6197.0,23.0,0.0,0.0,27234308868.0,162612849175.0
Z3016NYH,2018-01-18,ST4000DM000,0,0.0,33924.0,0.0,0.0,6197.0,22.0,0.0,0.0,27237291462.0,162663872142.0
Z3016NYH,2018-01-19,ST4000DM000,0,0.0,33948.0,0.0,0.0,6214.0,22.0,0.0,0.0,27239333572.0,162701905090.0
Z3016NYH,2018-01-20,ST4000DM000,0,0.0,33971.0,0.0,0.0,6214.0,23.0,0.0,0.0,27241381418.0,162736168740.0
Z3016NYH,2018-01-21,ST4000DM000,0,0.0,33995.0,0.0,0.0,6214.0,23.0,0.0,0.0,27243473350.0,162771615380.0
Z3016NYH,2018-01-22,ST4000DM000,0,0.0,34020.0,0.0,0.0,6293.0,22.0,0.0,0.0,27245515390.0,162807794191.0
