serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3020W6P,2018-01-02,ST4000DM000,0,0.0,27995.0,0.0,0.0,6472.0,22.0,0.0,0.0,23749142255.0,167172563780.0
Z3020W6P,2018-01-03,ST4000DM000,0,0.0,28018.0,0.0,0.0,6472.0,24.0,0.0,0.0,23756958916.0,167206604555.0
Z3020W6P,2018-01-04,ST4000DM000,0,0.0,28043.0,0.0,0.0,6472.0,25.0,0.0,0.0,23764306188.0,167235982538.0
Z3020W6P,2018-01-05,ST4000DM000,0,0.0,28067.0,0.0,0.0,6472.0,25.0,0.0,0.0,23771594655.0,167268586162.0
Z3020W6P,2018-01-06,ST4000DM000,0,0.0,28090.0,0.0,0.0,6472.0,23.0,0.0,0.0,23777816482.0,167298506486.0
Z3020W6P,2018-01-07,ST4000DM000,0,0.0,28114.0,0.0,0.0,6472.0,22.0,0.0,0.0,23785973227.0,167332898335.0
Z3020W6P,2018-01-08,ST4000DM000,0,0.0,28139.0,0.0,0.0,6472.0,22.0,0.0,0.0,23794808230.0,167364812223.0
Z3020W6P,2018-01-09,ST4000DM000,0,0.0,28162.0,0.0,0.0,6472.0,22.0,0.0,0.0,23800828347.0,167392292349.0
Z3020W6P,2018-01-10,ST4000DM000,0,0.0,28186.0,0.0,0.0,6472.0,23.0,0.0,0.0,23806070271.0,167425402170.0
Z3020W6P,2018-01-11,ST4000DM000,0,0.0,28200.0,0.0,0.0,6472.0,23.0,0.0,0.0,23807159943.0,167443793413.0
Z3020W6P,2018-01-12,ST4000DM000,0,0.0,28225.0,0.0,0.0,6472.0,24.0,0.0,0.0,23809764749.0,167479495644.0
Z3020W6P,2018-01-13,ST4000DM000,0,0.0,28252.0,0.0,0.0,6472.0,24.0,0.0,0.0,23811953385.0,167513603834.0
Z3020W6P,2018-01-14,ST4000DM000,0,0.0,28276.0,0.0,0.0,6472.0,25.0,0.0,0.0,23813960024.0,167545477189.0
Z3020W6P,2018-01-15,ST4000DM000,0,0.0,28300.0,0.0,0.0,6472.0,23.0,0.0,0.0,23815237788.0,167576365104.0
Z3020W6P,2018-01-16,ST4000DM000,0,0.0,28324.0,0.0,0.0,6472.0,23.0,0.0,0.0,23816524302.0,167611018858.0
Z3020W6P,2018-01-17,ST4000DM000,0,0.0,28348.0,0.0,0.0,6480.0,23.0,0.0,0.0,23817703204.0,167644535563.0
Z3020W6P,2018-01-18,ST4000DM000,0,0.0,28373.0,0.0,0.0,6480.0,23.0,0.0,0.0,23818874050.0,167681317688.0
