serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z30242ZQ,2018-01-02,ST4000DM000,0,0.0,28178.0,0.0,0.0,22204.0,25.0,0.0,0.0,23361863045.0,180377449133.0
Z30242ZQ,2018-01-03,ST4000DM000,0,0.0,28202.0,0.0,0.0,22204.0,26.0,0.0,0.0,23367078735.0,180409179164.0
Z30242ZQ,2018-01-04,ST4000DM000,0,0.0,28226.0,0.0,0.0,22204.0,26.0,0.0,0.0,23373576929.0,180436820626.0
Z30242ZQ,2018-01-05,ST4000DM000,0,0.0,28250.0,0.0,0.0,22204.0,26.0,0.0,0.0,23380274771.0,180466757231.0
Z30242ZQ,2018-01-06,ST4000DM000,0,0.0,28274.0,0.0,0.0,22204.0,25.0,0.0,0.0,23388653701.0,180498794395.0
Z30242ZQ,2018-01-07,ST4000DM000,0,0.0,28298.0,0.0,0.0,22204.0,25.0,0.0,0.0,23395916705.0,180526728941.0
Z30242ZQ,2018-01-08,ST4000DM000,0,0.0,28322.0,0.0,0.0,22204.0,25.0,0.0,0.0,23408039767.0,180561192541.0
Z30242ZQ,2018-01-09,ST4000DM000,0,0.0,28334.0,0.0,0.0,22204.0,25.0,0.0,0.0,23418227663.0,180584001820.0
Z30242ZQ,2018-01-10,ST4000DM000,0,0.0,28368.0,0.0,0.0,22204.0,25.0,0.0,0.0,23428589201.0,180633457154.0
Z30242ZQ,2018-01-11,ST4000DM000,0,0.0,28389.0,0.0,0.0,22204.0,25.0,0.0,0.0,23430283443.0,180660351990.0
Z30242ZQ,2018-01-12,ST4000DM000,0,0.0,28413.0,0.0,0.0,22204.0,25.0,0.0,0.0,23434395275.0,180699909470.0
Z30242ZQ,2018-01-13,ST4000DM000,0,0.0,28438.0,0.0,0.0,22208.0,26.0,0.0,0.0,23440065356.0,180731807327.0
Z30242ZQ,2018-01-14,ST4000DM000,0,0.0,28462.0,0.0,0.0,22208.0,25.0,0.0,0.0,23441568490.0,180763715611.0
Z30242ZQ,2018-01-15,ST4000DM000,0,0.0,28486.0,0.0,0.0,22208.0,24.0,0.0,0.0,23442941784.0,180793975239.0
Z30242ZQ,2018-01-16,ST4000DM000,0,0.0,28510.0,0.0,0.0,22208.0,26.0,0.0,0.0,23444209350.0,180825744389.0
Z30242ZQ,2018-01-17,ST4000DM000,0,0.0,28534.0,0.0,0.0,22208.0,25.0,0.0,0.0,23445424752.0,180859866833.0
Z30242ZQ,2018-01-18,ST4000DM000,0,0.0,28554.0,0.0,0.0,22208.0,25.0,0.0,0.0,23446467919.0,180887790505.0
Z30242ZQ,2018-01-19,ST4000DM000,0,0.0,28579.0,0.0,0.0,22210.0,26.0,0.0,0.0,23448485796.0,180924931061.0
Z30242ZQ,2018-01-20,ST4000DM000,0,0.0,28603.0,0.0,0.0,22210.0,26.0,0.0,0.0,23449747947.0,180958923108.0
Z30242ZQ,2018-01-21,ST4000DM000,0,0.0,28627.0,0.0,0.0,22210.0,26.0,0.0,0.0,23450989499.0,180996061425.0
Z30242ZQ,2018-01-22,ST4000DM000,0,0.0,28651.0,0.0,0.0,22210.0,25.0,0.0,0.0,23452228787.0,181030191700.0
Z30242ZQ,2018-01-23,ST4000DM000,0,0.0,28675.0,0.0,0.0,22210.0,25.0,0.0,0.0,23453475358.0,181064562119.0
Z30242ZQ,2018-01-24,ST4000DM000,0,0.0,28707.0,0.0,0.0,22210.0,25.0,0.0,0.0,23455132627.0,181109594028.0
Z30242ZQ,2018-01-25,ST4000DM000,0,0.0,28731.0,0.0,0.0,22210.0,25.0,0.0,0.0,23456381753.0,181143382201.0
Z30242ZQ,2018-01-26,ST4000DM000,0,0.0,28755.0,0.0,0.0,22210.0,25.0,0.0,0.0,23457607096.0,181174782829.0
Z30242ZQ,2018-01-27,ST4000DM000,0,0.0,28779.0,0.0,0.0,22210.0,25.0,0.0,0.0,23459010478.0,181214079873.0
Z30242ZQ,2018-01-28,ST4000DM000,0,0.0,28803.0,0.0,0.0,22210.0,25.0,0.0,0.0,23460316652.0,181246464023.0
Z30242ZQ,2018-01-29,ST4000DM000,0,0.0,28827.0,0.0,0.0,22210.0,25.0,0.0,0.0,23461630667.0,181276970108.0
Z30242ZQ,2018-01-30,ST4000DM000,0,0.0,28845.0,0.0,0.0,22210.0,25.0,0.0,0.0,23462634801.0,181303904913.0
Z30242ZQ,2018-01-31,ST4000DM000,0,0.0,28869.0,0.0,0.0,22210.0,25.0,0.0,0.0,23464298190.0,181336607920.0
Z30242ZQ,2018-02-01,ST4000DM000,0,0.0,28893.0,0.0,0.0,22210.0,25.0,0.0,0.0,23465710026.0,181372613845.0
Z30242ZQ,2018-02-02,ST4000DM000,0,0.0,28917.0,0.0,0.0,22210.0,25.0,0.0,0.0,23466978104.0,181407780540.0
Z30242ZQ,2018-02-03,ST4000DM000,0,0.0,28941.0,0.0,0.0,22210.0,25.0,0.0,0.0,23468303352.0,181444649618.0
Z30242ZQ,2018-02-04,ST4000DM000,0,0.0,28969.0,0.0,0.0,22210.0,25.0,0.0,0.0,23469866298.0,181483057646.0
Z30242ZQ,2018-02-05,ST4000DM000,0,0.0,28993.0,0.0,0.0,22210.0,25.0,0.0,0.0,23471192230.0,181516172276.0
