serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z30250EX,2018-01-02,ST4000DM000,0,0.0,27650.0,0.0,2.0,63989.0,26.0,0.0,0.0,25420648826.0,215041389530.0
Z30250EX,2018-01-03,ST4000DM000,0,0.0,27674.0,0.0,2.0,63989.0,25.0,0.0,0.0,25429060472.0,215077421672.0
Z30250EX,2018-01-04,ST4000DM000,0,0.0,27698.0,0.0,2.0,63989.0,25.0,0.0,0.0,25437214565.0,215113118260.0
Z30250EX,2018-01-05,ST4000DM000,0,0.0,27722.0,0.0,2.0,63990.0,25.0,0.0,0.0,25444681252.0,215149632615.0
Z30250EX,2018-01-06,ST4000DM000,0,0.0,27746.0,0.0,2.0,63990.0,24.0,0.0,0.0,25457144647.0,215182640665.0
Z30250EX,2018-01-07,ST4000DM000,0,0.0,27770.0,0.0,2.0,63990.0,24.0,0.0,0.0,25468367477.0,215216417124.0
Z30250EX,2018-01-08,ST4000DM000,0,0.0,27794.0,0.0,2.0,63990.0,24.0,0.0,0.0,25487089066.0,215253702911.0
Z30250EX,2018-01-09,ST4000DM000,0,0.0,27818.0,0.0,2.0,63990.0,23.0,0.0,0.0,25505100274.0,215301798964.0
Z30250EX,2018-01-10,ST4000DM000,0,0.0,27839.0,0.0,2.0,63990.0,24.0,0.0,0.0,25510110355.0,215332680002.0
Z30250EX,2018-01-11,ST4000DM000,0,0.0,27860.0,0.0,2.0,63990.0,23.0,0.0,0.0,25512304675.0,215364593528.0
Z30250EX,2018-01-12,ST4000DM000,0,0.0,27884.0,0.0,2.0,63992.0,23.0,0.0,0.0,25517595132.0,215401813757.0
Z30250EX,2018-01-13,ST4000DM000,0,0.0,27909.0,0.0,2.0,63996.0,24.0,0.0,0.0,25520091926.0,215435386134.0
Z30250EX,2018-01-14,ST4000DM000,0,0.0,27933.0,0.0,2.0,63996.0,23.0,0.0,0.0,25522205753.0,215470393660.0
Z30250EX,2018-01-15,ST4000DM000,0,0.0,27958.0,0.0,2.0,63996.0,25.0,0.0,0.0,25523718503.0,215501305186.0
Z30250EX,2018-01-16,ST4000DM000,0,0.0,27981.0,0.0,2.0,63996.0,24.0,0.0,0.0,25524958733.0,215534723858.0
Z30250EX,2018-01-17,ST4000DM000,0,0.0,27994.0,0.0,2.0,63996.0,26.0,0.0,0.0,25525572342.0,215550571979.0
Z30250EX,2018-01-18,ST4000DM000,0,0.0,28027.0,0.0,2.0,64002.0,25.0,0.0,0.0,25527434466.0,215596494446.0
Z30250EX,2018-01-19,ST4000DM000,0,0.0,28051.0,0.0,2.0,64002.0,25.0,0.0,0.0,25530144487.0,215647067412.0
Z30250EX,2018-01-20,ST4000DM000,0,0.0,28074.0,0.0,2.0,64002.0,24.0,0.0,0.0,25531944288.0,215687039946.0
Z30250EX,2018-01-21,ST4000DM000,0,0.0,28099.0,0.0,2.0,64002.0,25.0,0.0,0.0,25533213308.0,215718987217.0
Z30250EX,2018-01-22,ST4000DM000,0,0.0,28123.0,0.0,2.0,64002.0,25.0,0.0,0.0,25534469370.0,215751513902.0
Z30250EX,2018-01-23,ST4000DM000,0,0.0,28146.0,0.0,2.0,64005.0,24.0,0.0,0.0,25535722846.0,215783687715.0
Z30250EX,2018-01-24,ST4000DM000,0,0.0,28179.0,0.0,2.0,64005.0,25.0,0.0,0.0,25537509903.0,215830224054.0
Z30250EX,2018-01-25,ST4000DM000,0,0.0,28202.0,0.0,2.0,64005.0,26.0,0.0,0.0,25538667996.0,215859938332.0
Z30250EX,2018-01-26,ST4000DM000,0,0.0,28227.0,0.0,2.0,64018.0,27.0,0.0,0.0,25539907593.0,215893441652.0
Z30250EX,2018-01-27,ST4000DM000,0,0.0,28251.0,0.0,2.0,64018.0,27.0,0.0,0.0,25541348659.0,215927219010.0
Z30250EX,2018-01-28,ST4000DM000,0,0.0,28274.0,0.0,2.0,64018.0,27.0,0.0,0.0,25542662779.0,215961311613.0
Z30250EX,2018-01-29,ST4000DM000,0,0.0,28298.0,0.0,2.0,64018.0,27.0,0.0,0.0,25543919404.0,215994500906.0
Z30250EX,2018-01-30,ST4000DM000,0,0.0,28317.0,0.0,2.0,64018.0,27.0,0.0,0.0,25544938069.0,216018233730.0
Z30250EX,2018-01-31,ST4000DM000,0,0.0,28340.0,0.0,2.0,64018.0,27.0,0.0,0.0,25546934188.0,216054430002.0
Z30250EX,2018-02-01,ST4000DM000,0,0.0,28364.0,0.0,2.0,64018.0,27.0,0.0,0.0,25548391747.0,216092612888.0
Z30250EX,2018-02-02,ST4000DM000,0,0.0,28389.0,0.0,2.0,64018.0,27.0,0.0,0.0,25549754260.0,216130060568.0
Z30250EX,2018-02-03,ST4000DM000,0,0.0,28412.0,0.0,2.0,64018.0,27.0,0.0,0.0,25551069237.0,216163093150.0
Z30250EX,2018-02-04,ST4000DM000,0,0.0,28441.0,0.0,2.0,64018.0,27.0,0.0,0.0,25552732068.0,216201168988.0
Z30250EX,2018-02-05,ST4000DM000,0,0.0,28465.0,0.0,2.0,64018.0,27.0,0.0,0.0,25554019516.0,216232156703.0
Z30250EX,2018-02-06,ST4000DM000,0,0.0,28488.0,0.0,2.0,64018.0,27.0,0.0,0.0,25555274636.0,216262207364.0
Z30250EX,2018-02-07,ST4000DM000,0,0.0,28513.0,0.0,2.0,64018.0,26.0,0.0,0.0,25556590250.0,216294321726.0
Z30250EX,2018-02-08,ST4000DM000,0,0.0,28537.0,0.0,2.0,64018.0,27.0,0.0,0.0,25557896558.0,216326418995.0
Z30250EX,2018-02-09,ST4000DM000,0,0.0,28560.0,0.0,2.0,64018.0,27.0,0.0,0.0,25559148213.0,216358178457.0
Z30250EX,2018-02-10,ST4000DM000,0,0.0,28584.0,0.0,2.0,64018.0,27.0,0.0,0.0,25560377728.0,216390903725.0
Z30250EX,2018-02-11,ST4000DM000,0,0.0,28609.0,0.0,2.0,64018.0,27.0,0.0,0.0,25561697627.0,216421661930.0
Z30250EX,2018-02-12,ST4000DM000,0,0.0,28633.0,0.0,2.0,64018.0,28.0,0.0,0.0,25562996744.0,216451985499.0
Z30250EX,2018-02-13,ST4000DM000,0,0.0,28656.0,0.0,2.0,64018.0,27.0,0.0,0.0,25564288826.0,216485682112.0
Z30250EX,2018-02-14,ST4000DM000,0,0.0,28681.0,0.0,2.0,64018.0,27.0,0.0,0.0,25565648183.0,216516504368.0
Z30250EX,2018-02-15,ST4000DM000,0,0.0,28705.0,0.0,2.0,64018.0,27.0,0.0,0.0,25566982932.0,216547129461.0
Z30250EX,2018-02-16,ST4000DM000,0,0.0,28728.0,0.0,2.0,64018.0,27.0,0.0,0.0,25569477389.0,216582638207.0
Z30250EX,2018-02-17,ST4000DM000,0,0.0,28753.0,0.0,2.0,64018.0,26.0,0.0,0.0,25570798366.0,216613698678.0
Z30250EX,2018-02-18,ST4000DM000,0,0.0,28777.0,0.0,2.0,64018.0,26.0,0.0,0.0,25572109835.0,216645128413.0
Z30250EX,2018-02-19,ST4000DM000,0,0.0,28800.0,0.0,2.0,64018.0,27.0,0.0,0.0,25573378074.0,216677468423.0
Z30250EX,2018-02-20,ST4000DM000,0,0.0,28824.0,0.0,2.0,64018.0,26.0,0.0,0.0,25575226527.0,216709019727.0
Z30250EX,2018-02-21,ST4000DM000,0,0.0,28849.0,0.0,2.0,64018.0,26.0,0.0,0.0,25576619996.0,216742907221.0
Z30250EX,2018-02-22,ST4000DM000,0,0.0,28872.0,0.0,2.0,64018.0,29.0,0.0,0.0,25577850327.0,216776518995.0
Z30250EX,2018-02-23,ST4000DM000,0,0.0,28896.0,0.0,2.0,64018.0,29.0,0.0,0.0,25579105734.0,216806783520.0
Z30250EX,2018-02-24,ST4000DM000,0,0.0,28921.0,0.0,2.0,64018.0,29.0,0.0,0.0,25580488318.0,216844595842.0
Z30250EX,2018-02-25,ST4000DM000,0,0.0,28945.0,0.0,2.0,64018.0,29.0,0.0,0.0,25581771176.0,216879114338.0
Z30250EX,2018-02-26,ST4000DM000,0,0.0,28968.0,0.0,2.0,64018.0,29.0,0.0,0.0,25583078668.0,216908904396.0
Z30250EX,2018-02-27,ST4000DM000,0,0.0,28993.0,0.0,2.0,64018.0,29.0,0.0,0.0,25584404194.0,216941229655.0
Z30250EX,2018-02-28,ST4000DM000,0,0.0,29017.0,0.0,2.0,64018.0,29.0,0.0,0.0,25585738979.0,216973245288.0
Z30250EX,2018-03-01,ST4000DM000,0,0.0,29043.0,0.0,2.0,64018.0,29.0,0.0,0.0,25587586465.0,217008497593.0
Z30250EX,2018-03-02,ST4000DM000,0,0.0,29067.0,0.0,2.0,64018.0,29.0,0.0,0.0,25589783172.0,217042315619.0
Z30250EX,2018-03-03,ST4000DM000,0,0.0,29091.0,0.0,2.0,64018.0,29.0,0.0,0.0,25591139125.0,217073639987.0
Z30250EX,2018-03-04,ST4000DM000,0,0.0,29115.0,0.0,2.0,64018.0,29.0,0.0,0.0,25592420069.0,217106277079.0
Z30250EX,2018-03-05,ST4000DM000,0,0.0,29139.0,0.0,2.0,64018.0,29.0,0.0,0.0,25593674454.0,217138266014.0
Z30250EX,2018-03-06,ST4000DM000,0,0.0,29164.0,0.0,2.0,64018.0,29.0,0.0,0.0,25595888560.0,217171261854.0
Z30250EX,2018-03-07,ST4000DM000,0,0.0,29188.0,0.0,2.0,64018.0,29.0,0.0,0.0,25597066676.0,217204643741.0
Z30250EX,2018-03-08,ST4000DM000,0,0.0,29210.0,0.0,2.0,64018.0,29.0,0.0,0.0,25598697395.0,217235284483.0
Z30250EX,2018-03-09,ST4000DM000,0,0.0,29234.0,0.0,2.0,64018.0,29.0,0.0,0.0,25600147762.0,217268613217.0
Z30250EX,2018-03-10,ST4000DM000,0,0.0,29258.0,0.0,2.0,64018.0,28.0,0.0,0.0,25601594105.0,217303836684.0
Z30250EX,2018-03-11,ST4000DM000,0,0.0,29281.0,0.0,2.0,64018.0,29.0,0.0,0.0,25602847601.0,217336812084.0
Z30250EX,2018-03-12,ST4000DM000,0,0.0,29306.0,0.0,2.0,64018.0,28.0,0.0,0.0,25604100337.0,217370425033.0
Z30250EX,2018-03-13,ST4000DM000,0,0.0,29330.0,0.0,2.0,64018.0,29.0,0.0,0.0,25605358112.0,217402802913.0
Z30250EX,2018-03-14,ST4000DM000,0,0.0,29353.0,0.0,2.0,64018.0,29.0,0.0,0.0,25606620939.0,217434813572.0
Z30250EX,2018-03-15,ST4000DM000,0,0.0,29378.0,0.0,2.0,64018.0,29.0,0.0,0.0,25608188194.0,217466250326.0
Z30250EX,2018-03-16,ST4000DM000,0,0.0,29402.0,0.0,2.0,64018.0,29.0,0.0,0.0,25609435302.0,217497429291.0
Z30250EX,2018-03-17,ST4000DM000,0,0.0,29426.0,0.0,2.0,64018.0,29.0,0.0,0.0,25610966922.0,217532779060.0
Z30250EX,2018-03-18,ST4000DM000,0,0.0,29450.0,0.0,2.0,64018.0,28.0,0.0,0.0,25612250543.0,217569096716.0
Z30250EX,2018-03-19,ST4000DM000,0,0.0,29474.0,0.0,2.0,64018.0,29.0,0.0,0.0,25613473122.0,217602647714.0
Z30250EX,2018-03-20,ST4000DM000,0,0.0,29498.0,0.0,2.0,64018.0,29.0,0.0,0.0,25614827300.0,217634173691.0
Z30250EX,2018-03-21,ST4000DM000,0,0.0,29522.0,0.0,2.0,64018.0,29.0,0.0,0.0,25616079865.0,217671101405.0
Z30250EX,2018-03-22,ST4000DM000,0,0.0,29546.0,0.0,2.0,64018.0,29.0,0.0,0.0,25619292251.0,217763358382.0
Z30250EX,2018-03-23,ST4000DM000,0,0.0,29573.0,0.0,2.0,64461.0,26.0,0.0,0.0,25620022179.0,217798405722.0
Z30250EX,2018-03-24,ST4000DM000,0,0.0,29597.0,0.0,2.0,65307.0,28.0,0.0,0.0,25620422747.0,217832221582.0
Z30250EX,2018-03-25,ST4000DM000,0,0.0,29620.0,0.0,2.0,65307.0,26.0,0.0,0.0,25622242512.0,217867251069.0
Z30250EX,2018-03-26,ST4000DM000,0,0.0,29645.0,0.0,2.0,65307.0,26.0,0.0,0.0,25623734592.0,217903328499.0
Z30250EX,2018-03-27,ST4000DM000,0,0.0,29669.0,0.0,2.0,65307.0,26.0,0.0,0.0,25625153218.0,217935595145.0
Z30250EX,2018-03-28,ST4000DM000,0,0.0,29692.0,0.0,2.0,65307.0,27.0,0.0,0.0,25626561004.0,217970818631.0
Z30250EX,2018-03-29,ST4000DM000,0,0.0,29713.0,0.0,2.0,65307.0,26.0,0.0,0.0,25627964424.0,217998310683.0
Z30250EX,2018-03-30,ST4000DM000,0,0.0,29738.0,0.0,2.0,65307.0,26.0,0.0,0.0,25629572196.0,218033148842.0
Z30250EX,2018-03-31,ST4000DM000,0,0.0,29762.0,0.0,2.0,65307.0,26.0,0.0,0.0,25630992327.0,218063872858.0
Z30250EX,2018-04-01,ST4000DM000,0,0.0,29785.0,0.0,2.0,65307.0,26.0,0.0,0.0,25634183170.0,218096337748.0
Z30250EX,2018-04-02,ST4000DM000,0,0.0,29810.0,0.0,2.0,65307.0,27.0,0.0,0.0,25635487614.0,218130748141.0
Z30250EX,2018-04-03,ST4000DM000,0,0.0,29834.0,0.0,2.0,65307.0,29.0,0.0,0.0,25636735699.0,218161551647.0
Z30250EX,2018-04-04,ST4000DM000,0,0.0,29857.0,0.0,2.0,65307.0,27.0,0.0,0.0,25637973418.0,218196280117.0
Z30250EX,2018-04-05,ST4000DM000,0,0.0,29881.0,0.0,2.0,65307.0,27.0,0.0,0.0,25639234052.0,218227541778.0
Z30250EX,2018-04-06,ST4000DM000,0,0.0,29906.0,0.0,2.0,65307.0,28.0,0.0,0.0,25640593527.0,218260638642.0
Z30250EX,2018-04-07,ST4000DM000,0,0.0,29929.0,0.0,2.0,65307.0,27.0,0.0,0.0,25641835613.0,218293514524.0
