serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z30250F8,2018-01-02,ST4000DM000,0,0.0,27648.0,0.0,1.0,164211.0,23.0,0.0,0.0,24601358665.0,198177309504.0
Z30250F8,2018-01-03,ST4000DM000,0,0.0,27672.0,0.0,1.0,164211.0,24.0,0.0,0.0,24609884481.0,198211549250.0
Z30250F8,2018-01-04,ST4000DM000,0,0.0,27696.0,0.0,1.0,164211.0,23.0,0.0,0.0,24621100488.0,198248289946.0
Z30250F8,2018-01-05,ST4000DM000,0,0.0,27720.0,0.0,1.0,164211.0,25.0,0.0,0.0,24631702170.0,198284555150.0
Z30250F8,2018-01-06,ST4000DM000,0,0.0,27744.0,0.0,1.0,164211.0,21.0,0.0,0.0,24640249297.0,198321016976.0
Z30250F8,2018-01-07,ST4000DM000,0,0.0,27768.0,0.0,1.0,164211.0,21.0,0.0,0.0,24655695530.0,198363708881.0
Z30250F8,2018-01-08,ST4000DM000,0,0.0,27792.0,0.0,1.0,164212.0,21.0,0.0,0.0,24664321192.0,198398020718.0
Z30250F8,2018-01-09,ST4000DM000,0,0.0,27816.0,0.0,1.0,164212.0,22.0,0.0,0.0,24673712837.0,198432712179.0
Z30250F8,2018-01-10,ST4000DM000,0,0.0,27839.0,0.0,1.0,164212.0,21.0,0.0,0.0,24682502440.0,198468354210.0
Z30250F8,2018-01-11,ST4000DM000,0,0.0,27860.0,0.0,1.0,164212.0,22.0,0.0,0.0,24685810451.0,198510636602.0
Z30250F8,2018-01-12,ST4000DM000,0,0.0,27883.0,0.0,1.0,164212.0,21.0,0.0,0.0,24690835334.0,198560742981.0
Z30250F8,2018-01-13,ST4000DM000,0,0.0,27908.0,0.0,1.0,164213.0,24.0,0.0,0.0,24697340748.0,198601800662.0
Z30250F8,2018-01-14,ST4000DM000,0,0.0,27932.0,0.0,1.0,165275.0,22.0,0.0,0.0,24697906426.0,198635689876.0
Z30250F8,2018-01-15,ST4000DM000,0,0.0,27956.0,0.0,1.0,166450.0,24.0,0.0,0.0,24698011330.0,198670101412.0
Z30250F8,2018-01-16,ST4000DM000,0,0.0,27980.0,0.0,1.0,167206.0,23.0,0.0,0.0,24699108058.0,198708056263.0
Z30250F8,2018-01-17,ST4000DM000,0,0.0,28004.0,0.0,1.0,167206.0,23.0,0.0,0.0,24703128164.0,198750833344.0
Z30250F8,2018-01-18,ST4000DM000,0,0.0,28037.0,0.0,1.0,167207.0,22.0,0.0,0.0,24708029484.0,198807403347.0
Z30250F8,2018-01-19,ST4000DM000,0,0.0,28061.0,0.0,1.0,167216.0,22.0,0.0,0.0,24710692790.0,198855516036.0
Z30250F8,2018-01-20,ST4000DM000,0,0.0,28084.0,0.0,1.0,167216.0,22.0,0.0,0.0,24715179589.0,198892105585.0
Z30250F8,2018-01-21,ST4000DM000,0,0.0,28109.0,0.0,1.0,167221.0,23.0,0.0,0.0,24719172940.0,198939241429.0
Z30250F8,2018-01-22,ST4000DM000,0,0.0,28133.0,0.0,1.0,167221.0,22.0,0.0,0.0,24723078267.0,198979620164.0
Z30250F8,2018-01-23,ST4000DM000,0,0.0,28133.0,0.0,1.0,167221.0,22.0,0.0,0.0,24723078267.0,198979620164.0
Z30250F8,2018-01-24,ST4000DM000,0,0.0,28176.0,0.0,1.0,167234.0,21.0,0.0,0.0,24730669062.0,199047901677.0
Z30250F8,2018-01-25,ST4000DM000,0,0.0,28201.0,0.0,1.0,167234.0,21.0,0.0,0.0,24735753492.0,199089905044.0
Z30250F8,2018-01-26,ST4000DM000,0,0.0,28225.0,0.0,1.0,167249.0,21.0,0.0,0.0,24739712169.0,199132241715.0
Z30250F8,2018-01-27,ST4000DM000,0,0.0,28248.0,0.0,1.0,167249.0,21.0,0.0,0.0,24741911694.0,199173967259.0
Z30250F8,2018-01-28,ST4000DM000,0,0.0,28273.0,0.0,1.0,167249.0,22.0,0.0,0.0,24745180258.0,199212139861.0
Z30250F8,2018-01-29,ST4000DM000,0,0.0,28297.0,0.0,1.0,167249.0,21.0,0.0,0.0,24749053644.0,199246004823.0
Z30250F8,2018-01-30,ST4000DM000,0,0.0,28315.0,0.0,1.0,167249.0,22.0,0.0,0.0,24752002017.0,199276046425.0
Z30250F8,2018-01-31,ST4000DM000,0,0.0,28348.0,0.0,1.0,167436.0,22.0,0.0,0.0,24757363028.0,199330575352.0
Z30250F8,2018-02-01,ST4000DM000,0,0.0,28372.0,0.0,1.0,167436.0,22.0,0.0,0.0,24760745218.0,199375115064.0
Z30250F8,2018-02-02,ST4000DM000,0,0.0,28396.0,0.0,1.0,167436.0,20.0,0.0,0.0,24764266015.0,199416397622.0
Z30250F8,2018-02-03,ST4000DM000,0,0.0,28420.0,0.0,1.0,167436.0,22.0,0.0,0.0,24767036204.0,199463459842.0
Z30250F8,2018-02-04,ST4000DM000,0,0.0,28444.0,0.0,1.0,167436.0,22.0,0.0,0.0,24769719544.0,199504780951.0
Z30250F8,2018-02-05,ST4000DM000,0,0.0,28468.0,0.0,1.0,167436.0,22.0,0.0,0.0,24772116780.0,199544727555.0
Z30250F8,2018-02-06,ST4000DM000,0,0.0,28492.0,0.0,1.0,167436.0,21.0,0.0,0.0,24774612093.0,199591520622.0
Z30250F8,2018-02-07,ST4000DM000,0,0.0,28516.0,0.0,1.0,167436.0,22.0,0.0,0.0,24776844378.0,199629063774.0
Z30250F8,2018-02-08,ST4000DM000,0,0.0,28540.0,0.0,1.0,167436.0,21.0,0.0,0.0,24779226749.0,199673133845.0
Z30250F8,2018-02-09,ST4000DM000,0,0.0,28564.0,0.0,1.0,167436.0,20.0,0.0,0.0,24781781632.0,199730552889.0
