serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z30251SV,2018-01-02,ST4000DM000,0,0.0,28203.0,0.0,0.0,7800.0,34.0,0.0,0.0,23405576286.0,156276707858.0
Z30251SV,2018-01-03,ST4000DM000,0,0.0,28227.0,0.0,0.0,7800.0,34.0,0.0,0.0,23410911398.0,156305576865.0
Z30251SV,2018-01-04,ST4000DM000,0,0.0,28239.0,0.0,0.0,7800.0,34.0,0.0,0.0,23413779326.0,156321147317.0
Z30251SV,2018-01-05,ST4000DM000,0,0.0,28275.0,0.0,0.0,7800.0,34.0,0.0,0.0,23426396490.0,156383519704.0
Z30251SV,2018-01-06,ST4000DM000,0,0.0,28299.0,0.0,0.0,7800.0,21.0,0.0,0.0,23435973068.0,156416992701.0
Z30251SV,2018-01-07,ST4000DM000,0,0.0,28322.0,0.0,0.0,7800.0,22.0,0.0,0.0,23444254860.0,156448834255.0
Z30251SV,2018-01-08,ST4000DM000,0,0.0,28347.0,0.0,0.0,7800.0,22.0,0.0,0.0,23451263553.0,156479813829.0
Z30251SV,2018-01-09,ST4000DM000,0,0.0,28371.0,0.0,0.0,7800.0,22.0,0.0,0.0,23461960987.0,156515310257.0
Z30251SV,2018-01-10,ST4000DM000,0,0.0,28391.0,0.0,0.0,7800.0,21.0,0.0,0.0,23471279732.0,156549515110.0
Z30251SV,2018-01-11,ST4000DM000,0,0.0,28412.0,0.0,0.0,7800.0,22.0,0.0,0.0,23473614666.0,156577139568.0
Z30251SV,2018-01-12,ST4000DM000,0,0.0,28436.0,0.0,0.0,7800.0,19.0,0.0,0.0,23476250770.0,156610963790.0
Z30251SV,2018-01-13,ST4000DM000,0,0.0,28461.0,0.0,0.0,7801.0,20.0,0.0,0.0,23478708476.0,156646712016.0
Z30251SV,2018-01-14,ST4000DM000,0,0.0,28486.0,0.0,0.0,7801.0,20.0,0.0,0.0,23480791785.0,156682202010.0
Z30251SV,2018-01-15,ST4000DM000,0,0.0,28510.0,0.0,0.0,7801.0,22.0,0.0,0.0,23481981771.0,156716376517.0
Z30251SV,2018-01-16,ST4000DM000,0,0.0,28533.0,0.0,0.0,7803.0,22.0,0.0,0.0,23483212029.0,156748380665.0
Z30251SV,2018-01-17,ST4000DM000,0,0.0,28558.0,0.0,0.0,7809.0,20.0,0.0,0.0,23484422744.0,156782343229.0
Z30251SV,2018-01-18,ST4000DM000,0,0.0,28569.0,0.0,0.0,7809.0,21.0,0.0,0.0,23484983350.0,156798617996.0
Z30251SV,2018-01-19,ST4000DM000,0,0.0,28592.0,0.0,0.0,7809.0,23.0,0.0,0.0,23486161718.0,156831910098.0
Z30251SV,2018-01-20,ST4000DM000,0,0.0,28628.0,0.0,0.0,7809.0,23.0,0.0,0.0,23488477547.0,156888752568.0
Z30251SV,2018-01-21,ST4000DM000,0,0.0,28639.0,0.0,0.0,7809.0,24.0,0.0,0.0,23489050103.0,156903545651.0
Z30251SV,2018-01-22,ST4000DM000,0,0.0,28675.0,0.0,0.0,7809.0,21.0,0.0,0.0,23490802870.0,156955321155.0
Z30251SV,2018-01-23,ST4000DM000,0,0.0,28700.0,0.0,0.0,7809.0,20.0,0.0,0.0,23492068027.0,156995226235.0
Z30251SV,2018-01-24,ST4000DM000,0,0.0,28731.0,0.0,0.0,7812.0,23.0,0.0,0.0,23493625918.0,157039415046.0
Z30251SV,2018-01-25,ST4000DM000,0,0.0,28756.0,0.0,0.0,7812.0,21.0,0.0,0.0,23494832404.0,157074634394.0
Z30251SV,2018-01-26,ST4000DM000,0,0.0,28780.0,0.0,0.0,7828.0,22.0,0.0,0.0,23496000695.0,157107959843.0
Z30251SV,2018-01-27,ST4000DM000,0,0.0,28803.0,0.0,0.0,7828.0,22.0,0.0,0.0,23497296818.0,157144321938.0
Z30251SV,2018-01-28,ST4000DM000,0,0.0,28828.0,0.0,0.0,7828.0,21.0,0.0,0.0,23498585901.0,157178028676.0
Z30251SV,2018-01-29,ST4000DM000,0,0.0,28852.0,0.0,0.0,7828.0,22.0,0.0,0.0,23499834387.0,157213180347.0
Z30251SV,2018-01-30,ST4000DM000,0,0.0,28869.0,0.0,0.0,7828.0,20.0,0.0,0.0,23500765084.0,157238329368.0
Z30251SV,2018-01-31,ST4000DM000,0,0.0,28892.0,0.0,0.0,7828.0,20.0,0.0,0.0,23502181316.0,157271743234.0
Z30251SV,2018-02-01,ST4000DM000,0,0.0,28916.0,0.0,0.0,7828.0,20.0,0.0,0.0,23503483815.0,157310556830.0
Z30251SV,2018-02-02,ST4000DM000,0,0.0,28941.0,0.0,0.0,7828.0,20.0,0.0,0.0,23504780953.0,157347626395.0
Z30251SV,2018-02-03,ST4000DM000,0,0.0,28964.0,0.0,0.0,7828.0,20.0,0.0,0.0,23506127439.0,157382077054.0
Z30251SV,2018-02-04,ST4000DM000,0,0.0,28993.0,0.0,0.0,7828.0,20.0,0.0,0.0,23507662760.0,157421288134.0
Z30251SV,2018-02-05,ST4000DM000,0,0.0,29017.0,0.0,0.0,7828.0,21.0,0.0,0.0,23508908775.0,157458604732.0
Z30251SV,2018-02-06,ST4000DM000,0,0.0,29040.0,0.0,0.0,7828.0,20.0,0.0,0.0,23510210185.0,157492483426.0
Z30251SV,2018-02-07,ST4000DM000,0,0.0,29065.0,0.0,0.0,7828.0,20.0,0.0,0.0,23511615349.0,157525805346.0
Z30251SV,2018-02-08,ST4000DM000,0,0.0,29089.0,0.0,0.0,7828.0,19.0,0.0,0.0,23512871525.0,157557950875.0
Z30251SV,2018-02-09,ST4000DM000,0,0.0,29112.0,0.0,0.0,7828.0,19.0,0.0,0.0,23514117450.0,157594157650.0
Z30251SV,2018-02-10,ST4000DM000,0,0.0,29136.0,0.0,0.0,7828.0,20.0,0.0,0.0,23515343850.0,157626201769.0
Z30251SV,2018-02-11,ST4000DM000,0,0.0,29161.0,0.0,0.0,7828.0,21.0,0.0,0.0,23516656972.0,157660761646.0
Z30251SV,2018-02-12,ST4000DM000,0,0.0,29185.0,0.0,0.0,7828.0,21.0,0.0,0.0,23518005813.0,157693904604.0
Z30251SV,2018-02-13,ST4000DM000,0,0.0,29208.0,0.0,0.0,7828.0,20.0,0.0,0.0,23519206686.0,157727024870.0
Z30251SV,2018-02-14,ST4000DM000,0,0.0,29233.0,0.0,0.0,7828.0,20.0,0.0,0.0,23520475203.0,157762689105.0
Z30251SV,2018-02-15,ST4000DM000,0,0.0,29257.0,0.0,0.0,7828.0,19.0,0.0,0.0,23521708959.0,157797156962.0
Z30251SV,2018-02-16,ST4000DM000,0,0.0,29280.0,0.0,0.0,7828.0,20.0,0.0,0.0,23522927310.0,157831026983.0
Z30251SV,2018-02-17,ST4000DM000,0,0.0,29305.0,0.0,0.0,7828.0,20.0,0.0,0.0,23524237981.0,157866673822.0
Z30251SV,2018-02-18,ST4000DM000,0,0.0,29329.0,0.0,0.0,7828.0,19.0,0.0,0.0,23525494417.0,157900911935.0
Z30251SV,2018-02-19,ST4000DM000,0,0.0,29352.0,0.0,0.0,7828.0,21.0,0.0,0.0,23526721730.0,157933102534.0
