serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3025KJS,2018-01-02,ST4000DM000,0,0.0,28398.0,0.0,0.0,10153.0,24.0,0.0,0.0,25398595273.0,254375890786.0
Z3025KJS,2018-01-03,ST4000DM000,0,0.0,28421.0,0.0,0.0,10153.0,24.0,0.0,0.0,25404951528.0,254410905952.0
Z3025KJS,2018-01-04,ST4000DM000,0,0.0,28445.0,0.0,0.0,10153.0,25.0,0.0,0.0,25413656397.0,254447309269.0
Z3025KJS,2018-01-05,ST4000DM000,0,0.0,28470.0,0.0,0.0,10153.0,25.0,0.0,0.0,25422240733.0,254483264830.0
Z3025KJS,2018-01-06,ST4000DM000,0,0.0,28493.0,0.0,0.0,10153.0,24.0,0.0,0.0,25431632478.0,254518016821.0
Z3025KJS,2018-01-07,ST4000DM000,0,0.0,28517.0,0.0,0.0,10153.0,24.0,0.0,0.0,25442323466.0,254553233555.0
Z3025KJS,2018-01-08,ST4000DM000,0,0.0,28542.0,0.0,0.0,10153.0,24.0,0.0,0.0,25450990378.0,254591569852.0
Z3025KJS,2018-01-09,ST4000DM000,0,0.0,28565.0,0.0,0.0,10153.0,24.0,0.0,0.0,25459612784.0,254628648924.0
Z3025KJS,2018-01-10,ST4000DM000,0,0.0,28565.0,0.0,0.0,10153.0,24.0,0.0,0.0,25459612784.0,254628648924.0
Z3025KJS,2018-01-11,ST4000DM000,0,0.0,28606.0,0.0,0.0,10153.0,23.0,0.0,0.0,25471680606.0,254692439922.0
Z3025KJS,2018-01-12,ST4000DM000,0,0.0,28631.0,0.0,0.0,10154.0,23.0,0.0,0.0,25474047069.0,254729042908.0
Z3025KJS,2018-01-13,ST4000DM000,0,0.0,28656.0,0.0,0.0,10154.0,23.0,0.0,0.0,25475972491.0,254767039279.0
Z3025KJS,2018-01-14,ST4000DM000,0,0.0,28680.0,0.0,0.0,10154.0,23.0,0.0,0.0,25478385384.0,254801188508.0
Z3025KJS,2018-01-15,ST4000DM000,0,0.0,28704.0,0.0,0.0,10154.0,25.0,0.0,0.0,25479861929.0,254835435943.0
Z3025KJS,2018-01-16,ST4000DM000,0,0.0,28728.0,0.0,0.0,10154.0,24.0,0.0,0.0,25481084141.0,254867892145.0
Z3025KJS,2018-01-17,ST4000DM000,0,0.0,28752.0,0.0,0.0,10154.0,23.0,0.0,0.0,25482264216.0,254899646652.0
Z3025KJS,2018-01-18,ST4000DM000,0,0.0,28764.0,0.0,0.0,10154.0,24.0,0.0,0.0,25482860428.0,254915649774.0
Z3025KJS,2018-01-19,ST4000DM000,0,0.0,28799.0,0.0,0.0,10154.0,23.0,0.0,0.0,25484631403.0,254962891235.0
Z3025KJS,2018-01-20,ST4000DM000,0,0.0,28810.0,0.0,0.0,10154.0,23.0,0.0,0.0,25485277157.0,254981993801.0
Z3025KJS,2018-01-21,ST4000DM000,0,0.0,28846.0,0.0,0.0,10154.0,23.0,0.0,0.0,25487093390.0,255034686493.0
Z3025KJS,2018-01-22,ST4000DM000,0,0.0,28871.0,0.0,0.0,10154.0,22.0,0.0,0.0,25488291189.0,255069257469.0
Z3025KJS,2018-01-23,ST4000DM000,0,0.0,28882.0,0.0,0.0,10154.0,23.0,0.0,0.0,25488860851.0,255086089083.0
Z3025KJS,2018-01-24,ST4000DM000,0,0.0,28927.0,0.0,0.0,10154.0,23.0,0.0,0.0,25491128240.0,255151858445.0
Z3025KJS,2018-01-25,ST4000DM000,0,0.0,28951.0,0.0,0.0,10154.0,23.0,0.0,0.0,25492309498.0,255184090838.0
Z3025KJS,2018-01-26,ST4000DM000,0,0.0,28974.0,0.0,0.0,10164.0,23.0,0.0,0.0,25493526784.0,255221067055.0
Z3025KJS,2018-01-27,ST4000DM000,0,0.0,28999.0,0.0,0.0,10164.0,23.0,0.0,0.0,25494836565.0,255257333612.0
Z3025KJS,2018-01-28,ST4000DM000,0,0.0,29023.0,0.0,0.0,10164.0,23.0,0.0,0.0,25496214391.0,255289024613.0
Z3025KJS,2018-01-29,ST4000DM000,0,0.0,29046.0,0.0,0.0,10164.0,23.0,0.0,0.0,25497452981.0,255321328887.0
Z3025KJS,2018-01-30,ST4000DM000,0,0.0,29063.0,0.0,0.0,10164.0,23.0,0.0,0.0,25498306510.0,255342250106.0
Z3025KJS,2018-01-31,ST4000DM000,0,0.0,29087.0,0.0,0.0,10164.0,23.0,0.0,0.0,25500021576.0,255375613541.0
Z3025KJS,2018-02-01,ST4000DM000,0,0.0,29111.0,0.0,0.0,10164.0,23.0,0.0,0.0,25501290324.0,255409419305.0
Z3025KJS,2018-02-02,ST4000DM000,0,0.0,29135.0,0.0,0.0,10164.0,23.0,0.0,0.0,25502596794.0,255444481579.0
Z3025KJS,2018-02-03,ST4000DM000,0,0.0,29158.0,0.0,0.0,10164.0,23.0,0.0,0.0,25503902424.0,255479312121.0
Z3025KJS,2018-02-04,ST4000DM000,0,0.0,29191.0,0.0,0.0,10164.0,23.0,0.0,0.0,25505620178.0,255525158315.0
Z3025KJS,2018-02-05,ST4000DM000,0,0.0,29215.0,0.0,0.0,10164.0,23.0,0.0,0.0,25506942300.0,255557970612.0
Z3025KJS,2018-02-06,ST4000DM000,0,0.0,29239.0,0.0,0.0,10164.0,23.0,0.0,0.0,25508262308.0,255588772154.0
Z3025KJS,2018-02-07,ST4000DM000,0,0.0,29263.0,0.0,0.0,10164.0,23.0,0.0,0.0,25509509018.0,255619600763.0
Z3025KJS,2018-02-08,ST4000DM000,0,0.0,29286.0,0.0,0.0,10164.0,23.0,0.0,0.0,25511153994.0,255653024358.0
Z3025KJS,2018-02-09,ST4000DM000,0,0.0,29311.0,0.0,0.0,10164.0,23.0,0.0,0.0,25512440424.0,255687988984.0
Z3025KJS,2018-02-10,ST4000DM000,0,0.0,29335.0,0.0,0.0,10164.0,23.0,0.0,0.0,25513713257.0,255719934959.0
Z3025KJS,2018-02-11,ST4000DM000,0,0.0,29358.0,0.0,0.0,10164.0,27.0,0.0,0.0,25514945731.0,255751106055.0
Z3025KJS,2018-02-12,ST4000DM000,0,0.0,29383.0,0.0,0.0,10164.0,24.0,0.0,0.0,25516230600.0,255783287084.0
Z3025KJS,2018-02-13,ST4000DM000,0,0.0,29407.0,0.0,0.0,10164.0,23.0,0.0,0.0,25517512728.0,255815540207.0
Z3025KJS,2018-02-14,ST4000DM000,0,0.0,29431.0,0.0,0.0,10164.0,23.0,0.0,0.0,25518789864.0,255849264516.0
Z3025KJS,2018-02-15,ST4000DM000,0,0.0,29455.0,0.0,0.0,10164.0,24.0,0.0,0.0,25520087481.0,255883215492.0
Z3025KJS,2018-02-16,ST4000DM000,0,0.0,29479.0,0.0,0.0,10164.0,23.0,0.0,0.0,25521341103.0,255919482944.0
Z3025KJS,2018-02-17,ST4000DM000,0,0.0,29503.0,0.0,0.0,10164.0,24.0,0.0,0.0,25522612250.0,255955129910.0
Z3025KJS,2018-02-18,ST4000DM000,0,0.0,29526.0,0.0,0.0,10164.0,23.0,0.0,0.0,25523931387.0,255989136189.0
Z3025KJS,2018-02-19,ST4000DM000,0,0.0,29551.0,0.0,0.0,10164.0,23.0,0.0,0.0,25525210961.0,256027280855.0
Z3025KJS,2018-02-20,ST4000DM000,0,0.0,29575.0,0.0,0.0,10164.0,23.0,0.0,0.0,25526498340.0,256057620865.0
Z3025KJS,2018-02-21,ST4000DM000,0,0.0,29598.0,0.0,0.0,10164.0,24.0,0.0,0.0,25527773156.0,256089476715.0
Z3025KJS,2018-02-22,ST4000DM000,0,0.0,29623.0,0.0,0.0,10164.0,23.0,0.0,0.0,25529081830.0,256122660818.0
Z3025KJS,2018-02-23,ST4000DM000,0,0.0,29647.0,0.0,0.0,10164.0,25.0,0.0,0.0,25530396791.0,256155013624.0
Z3025KJS,2018-02-24,ST4000DM000,0,0.0,29670.0,0.0,0.0,10164.0,24.0,0.0,0.0,25531698483.0,256186978100.0
Z3025KJS,2018-02-25,ST4000DM000,0,0.0,29695.0,0.0,0.0,10164.0,23.0,0.0,0.0,25532972044.0,256218970613.0
Z3025KJS,2018-02-26,ST4000DM000,0,0.0,29719.0,0.0,0.0,10164.0,23.0,0.0,0.0,25534246401.0,256252517928.0
Z3025KJS,2018-02-27,ST4000DM000,0,0.0,29743.0,0.0,0.0,10164.0,25.0,0.0,0.0,25535500108.0,256284665298.0
Z3025KJS,2018-02-28,ST4000DM000,0,0.0,29767.0,0.0,0.0,10164.0,23.0,0.0,0.0,25536872195.0,256318051771.0
Z3025KJS,2018-03-01,ST4000DM000,0,0.0,29791.0,0.0,0.0,10164.0,23.0,0.0,0.0,25538799936.0,256351531929.0
Z3025KJS,2018-03-02,ST4000DM000,0,0.0,29815.0,0.0,0.0,10164.0,24.0,0.0,0.0,25540079327.0,256383471955.0
Z3025KJS,2018-03-03,ST4000DM000,0,0.0,29838.0,0.0,0.0,10164.0,24.0,0.0,0.0,25541345166.0,256417995338.0
Z3025KJS,2018-03-04,ST4000DM000,0,0.0,29862.0,0.0,0.0,10164.0,24.0,0.0,0.0,25542557828.0,256452005115.0
Z3025KJS,2018-03-05,ST4000DM000,0,0.0,29887.0,0.0,0.0,10164.0,24.0,0.0,0.0,25543851069.0,256486994778.0
Z3025KJS,2018-03-06,ST4000DM000,0,0.0,29905.0,0.0,0.0,10164.0,22.0,0.0,0.0,25544753183.0,256512424188.0
Z3025KJS,2018-03-07,ST4000DM000,0,0.0,29929.0,0.0,0.0,10164.0,23.0,0.0,0.0,25546200655.0,256542090522.0
Z3025KJS,2018-03-08,ST4000DM000,0,0.0,29958.0,0.0,0.0,10164.0,23.0,0.0,0.0,25547892570.0,256581697947.0
Z3025KJS,2018-03-09,ST4000DM000,0,0.0,29982.0,0.0,0.0,10164.0,23.0,0.0,0.0,25549142730.0,256614942252.0
Z3025KJS,2018-03-10,ST4000DM000,0,0.0,30006.0,0.0,0.0,10164.0,23.0,0.0,0.0,25550416245.0,256654065976.0
Z3025KJS,2018-03-11,ST4000DM000,0,0.0,30030.0,0.0,0.0,10164.0,23.0,0.0,0.0,25551758288.0,256686513362.0
Z3025KJS,2018-03-12,ST4000DM000,0,0.0,30054.0,0.0,0.0,10164.0,23.0,0.0,0.0,25553003221.0,256718561763.0
Z3025KJS,2018-03-13,ST4000DM000,0,0.0,30078.0,0.0,0.0,10164.0,23.0,0.0,0.0,25554228899.0,256749920397.0
Z3025KJS,2018-03-14,ST4000DM000,0,0.0,30102.0,0.0,0.0,10164.0,24.0,0.0,0.0,25555539606.0,256782849073.0
Z3025KJS,2018-03-15,ST4000DM000,0,0.0,30126.0,0.0,0.0,10164.0,24.0,0.0,0.0,25557075941.0,256816701356.0
Z3025KJS,2018-03-16,ST4000DM000,0,0.0,30150.0,0.0,0.0,10164.0,24.0,0.0,0.0,25558292739.0,256850479013.0
Z3025KJS,2018-03-17,ST4000DM000,0,0.0,30174.0,0.0,0.0,10164.0,24.0,0.0,0.0,25559557480.0,256883191348.0
Z3025KJS,2018-03-18,ST4000DM000,0,0.0,30198.0,0.0,0.0,10164.0,24.0,0.0,0.0,25560879504.0,256915719390.0
Z3025KJS,2018-03-19,ST4000DM000,0,0.0,30222.0,0.0,0.0,10164.0,24.0,0.0,0.0,25562298843.0,256951114056.0
Z3025KJS,2018-03-20,ST4000DM000,0,0.0,30246.0,0.0,0.0,10164.0,23.0,0.0,0.0,25563536512.0,256984674265.0
Z3025KJS,2018-03-21,ST4000DM000,0,0.0,30270.0,0.0,0.0,10164.0,24.0,0.0,0.0,25564717258.0,257016521974.0
Z3025KJS,2018-03-22,ST4000DM000,0,0.0,30294.0,0.0,0.0,10164.0,23.0,0.0,0.0,25567633922.0,257093291539.0
Z3025KJS,2018-03-23,ST4000DM000,0,0.0,30318.0,0.0,0.0,10164.0,24.0,0.0,0.0,25568807284.0,257126386892.0
Z3025KJS,2018-03-24,ST4000DM000,0,0.0,30342.0,0.0,0.0,10164.0,23.0,0.0,0.0,25570114065.0,257157895149.0
Z3025KJS,2018-03-25,ST4000DM000,0,0.0,30366.0,0.0,0.0,10164.0,24.0,0.0,0.0,25571317528.0,257193145303.0
Z3025KJS,2018-03-26,ST4000DM000,0,0.0,30390.0,0.0,0.0,10164.0,23.0,0.0,0.0,25572467858.0,257229088995.0
Z3025KJS,2018-03-27,ST4000DM000,0,0.0,30414.0,0.0,0.0,10164.0,23.0,0.0,0.0,25573617639.0,257260437037.0
Z3025KJS,2018-03-28,ST4000DM000,0,0.0,30438.0,0.0,0.0,10164.0,23.0,0.0,0.0,25574796458.0,257295026037.0
Z3025KJS,2018-03-29,ST4000DM000,0,0.0,30461.0,0.0,0.0,10164.0,23.0,0.0,0.0,25576051867.0,257330486171.0
Z3025KJS,2018-03-30,ST4000DM000,0,0.0,30485.0,0.0,0.0,10164.0,23.0,0.0,0.0,25577259783.0,257365767852.0
Z3025KJS,2018-03-31,ST4000DM000,0,0.0,30510.0,0.0,0.0,10164.0,23.0,0.0,0.0,25578512151.0,257399914758.0
Z3025KJS,2018-04-01,ST4000DM000,0,0.0,30534.0,0.0,0.0,10164.0,23.0,0.0,0.0,25579790569.0,257433034624.0
Z3025KJS,2018-04-02,ST4000DM000,0,0.0,30557.0,0.0,0.0,10164.0,23.0,0.0,0.0,25581056603.0,257466596778.0
