serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3025KMX,2018-01-02,ST4000DM000,0,0.0,28495.0,0.0,0.0,71254.0,24.0,0.0,0.0,25782904693.0,292465076870.0
Z3025KMX,2018-01-03,ST4000DM000,0,0.0,28519.0,0.0,0.0,71254.0,24.0,0.0,0.0,25792372035.0,292500123211.0
Z3025KMX,2018-01-04,ST4000DM000,0,0.0,28543.0,0.0,0.0,71254.0,25.0,0.0,0.0,25799232690.0,292533656841.0
Z3025KMX,2018-01-05,ST4000DM000,0,0.0,28567.0,0.0,0.0,71254.0,25.0,0.0,0.0,25808107717.0,292568903743.0
Z3025KMX,2018-01-06,ST4000DM000,0,0.0,28591.0,0.0,0.0,71254.0,25.0,0.0,0.0,25816184730.0,292605368205.0
Z3025KMX,2018-01-07,ST4000DM000,0,0.0,28615.0,0.0,0.0,71254.0,25.0,0.0,0.0,25824765129.0,292642141880.0
Z3025KMX,2018-01-08,ST4000DM000,0,0.0,28639.0,0.0,0.0,71254.0,25.0,0.0,0.0,25832238285.0,292679657083.0
Z3025KMX,2018-01-09,ST4000DM000,0,0.0,28663.0,0.0,0.0,71254.0,25.0,0.0,0.0,25839803898.0,292715924864.0
Z3025KMX,2018-01-10,ST4000DM000,0,0.0,28663.0,0.0,0.0,71254.0,25.0,0.0,0.0,25839803898.0,292715924864.0
Z3025KMX,2018-01-11,ST4000DM000,0,0.0,28712.0,0.0,0.0,71254.0,24.0,0.0,0.0,25849917826.0,292795643232.0
Z3025KMX,2018-01-12,ST4000DM000,0,0.0,28737.0,0.0,0.0,71254.0,24.0,0.0,0.0,25854559168.0,292838569980.0
Z3025KMX,2018-01-13,ST4000DM000,0,0.0,28753.0,0.0,0.0,71268.0,24.0,0.0,0.0,25856355177.0,292860026285.0
Z3025KMX,2018-01-14,ST4000DM000,0,0.0,28778.0,0.0,0.0,71271.0,23.0,0.0,0.0,25859028558.0,292909963058.0
Z3025KMX,2018-01-15,ST4000DM000,0,0.0,28801.0,0.0,0.0,71271.0,24.0,0.0,0.0,25861338339.0,292950932691.0
Z3025KMX,2018-01-16,ST4000DM000,0,0.0,28825.0,0.0,0.0,71283.0,24.0,0.0,0.0,25863432973.0,292987549486.0
Z3025KMX,2018-01-17,ST4000DM000,0,0.0,28849.0,0.0,0.0,71290.0,23.0,0.0,0.0,25865482423.0,293027474636.0
Z3025KMX,2018-01-18,ST4000DM000,0,0.0,28861.0,0.0,0.0,71290.0,23.0,0.0,0.0,25866529988.0,293042550270.0
Z3025KMX,2018-01-19,ST4000DM000,0,0.0,28903.0,0.0,0.0,71597.0,23.0,0.0,0.0,25869332851.0,293090272825.0
Z3025KMX,2018-01-20,ST4000DM000,0,0.0,28928.0,0.0,0.0,72850.0,22.0,0.0,0.0,25869441130.0,293118537897.0
Z3025KMX,2018-01-21,ST4000DM000,0,0.0,28952.0,0.0,0.0,74072.0,22.0,0.0,0.0,25869546034.0,293152834945.0
Z3025KMX,2018-01-22,ST4000DM000,0,0.0,28975.0,0.0,0.0,75310.0,22.0,0.0,0.0,25869650857.0,293185688931.0
Z3025KMX,2018-01-23,ST4000DM000,0,0.0,29000.0,0.0,0.0,76447.0,22.0,0.0,0.0,25869759154.0,293222406477.0
Z3025KMX,2018-01-24,ST4000DM000,0,0.0,29024.0,0.0,0.0,76912.0,23.0,0.0,0.0,25871379448.0,293261415088.0
Z3025KMX,2018-01-25,ST4000DM000,0,0.0,29047.0,0.0,0.0,76927.0,23.0,0.0,0.0,25873730722.0,293296268998.0
Z3025KMX,2018-01-26,ST4000DM000,0,0.0,29071.0,0.0,0.0,76947.0,23.0,0.0,0.0,25876190007.0,293336676787.0
Z3025KMX,2018-01-27,ST4000DM000,0,0.0,29096.0,0.0,0.0,76947.0,24.0,0.0,0.0,25878753650.0,293377918846.0
Z3025KMX,2018-01-28,ST4000DM000,0,0.0,29120.0,0.0,0.0,76947.0,24.0,0.0,0.0,25880736224.0,293418905616.0
Z3025KMX,2018-01-29,ST4000DM000,0,0.0,29143.0,0.0,0.0,76947.0,24.0,0.0,0.0,25882908938.0,293453287336.0
