serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3025LDA,2018-01-02,ST4000DM000,0,0.0,28178.0,0.0,0.0,20769.0,23.0,0.0,0.0,23263452973.0,196080567233.0
Z3025LDA,2018-01-03,ST4000DM000,0,0.0,28202.0,0.0,0.0,20769.0,24.0,0.0,0.0,23267432102.0,196111299908.0
Z3025LDA,2018-01-04,ST4000DM000,0,0.0,28227.0,0.0,0.0,20769.0,24.0,0.0,0.0,23272654417.0,196145816771.0
Z3025LDA,2018-01-05,ST4000DM000,0,0.0,28250.0,0.0,0.0,20769.0,24.0,0.0,0.0,23278554100.0,196180039230.0
Z3025LDA,2018-01-06,ST4000DM000,0,0.0,28274.0,0.0,0.0,20769.0,22.0,0.0,0.0,23286708005.0,196213526803.0
Z3025LDA,2018-01-07,ST4000DM000,0,0.0,28298.0,0.0,0.0,20769.0,22.0,0.0,0.0,23294048418.0,196243765465.0
Z3025LDA,2018-01-08,ST4000DM000,0,0.0,28322.0,0.0,0.0,20769.0,22.0,0.0,0.0,23301021761.0,196275396893.0
Z3025LDA,2018-01-09,ST4000DM000,0,0.0,28334.0,0.0,0.0,20769.0,22.0,0.0,0.0,23303478028.0,196288891254.0
Z3025LDA,2018-01-10,ST4000DM000,0,0.0,28368.0,0.0,0.0,20769.0,21.0,0.0,0.0,23311687775.0,196337242926.0
Z3025LDA,2018-01-11,ST4000DM000,0,0.0,28389.0,0.0,0.0,20769.0,22.0,0.0,0.0,23313220340.0,196371831832.0
Z3025LDA,2018-01-12,ST4000DM000,0,0.0,28413.0,0.0,0.0,20769.0,22.0,0.0,0.0,23315704072.0,196412718038.0
Z3025LDA,2018-01-13,ST4000DM000,0,0.0,28438.0,0.0,0.0,20774.0,23.0,0.0,0.0,23317692145.0,196445494126.0
Z3025LDA,2018-01-14,ST4000DM000,0,0.0,28462.0,0.0,0.0,20774.0,23.0,0.0,0.0,23319187571.0,196479970932.0
Z3025LDA,2018-01-15,ST4000DM000,0,0.0,28486.0,0.0,0.0,20774.0,22.0,0.0,0.0,23320374189.0,196512994884.0
Z3025LDA,2018-01-16,ST4000DM000,0,0.0,28510.0,0.0,0.0,20774.0,23.0,0.0,0.0,23321574854.0,196546237391.0
Z3025LDA,2018-01-17,ST4000DM000,0,0.0,28534.0,0.0,0.0,20774.0,22.0,0.0,0.0,23322750858.0,196580254768.0
Z3025LDA,2018-01-18,ST4000DM000,0,0.0,28555.0,0.0,0.0,20774.0,23.0,0.0,0.0,23323744004.0,196608360320.0
Z3025LDA,2018-01-19,ST4000DM000,0,0.0,28579.0,0.0,0.0,20775.0,22.0,0.0,0.0,23326061727.0,196647224322.0
Z3025LDA,2018-01-20,ST4000DM000,0,0.0,28603.0,0.0,0.0,20775.0,23.0,0.0,0.0,23327267318.0,196684425607.0
Z3025LDA,2018-01-21,ST4000DM000,0,0.0,28627.0,0.0,0.0,20775.0,23.0,0.0,0.0,23328447008.0,196720435178.0
Z3025LDA,2018-01-22,ST4000DM000,0,0.0,28651.0,0.0,0.0,20775.0,22.0,0.0,0.0,23329546663.0,196753968176.0
Z3025LDA,2018-01-23,ST4000DM000,0,0.0,28675.0,0.0,0.0,20775.0,22.0,0.0,0.0,23330702773.0,196791565519.0
Z3025LDA,2018-01-24,ST4000DM000,0,0.0,28707.0,0.0,0.0,20775.0,22.0,0.0,0.0,23332224987.0,196838351851.0
Z3025LDA,2018-01-25,ST4000DM000,0,0.0,28731.0,0.0,0.0,20776.0,22.0,0.0,0.0,23333384899.0,196876676373.0
Z3025LDA,2018-01-26,ST4000DM000,0,0.0,28755.0,0.0,0.0,20776.0,23.0,0.0,0.0,23334524499.0,196913719241.0
Z3025LDA,2018-01-27,ST4000DM000,0,0.0,28779.0,0.0,0.0,20776.0,22.0,0.0,0.0,23335810349.0,196947220896.0
Z3025LDA,2018-01-28,ST4000DM000,0,0.0,28803.0,0.0,0.0,20776.0,22.0,0.0,0.0,23337062270.0,196982989812.0
Z3025LDA,2018-01-29,ST4000DM000,0,0.0,28827.0,0.0,0.0,20776.0,22.0,0.0,0.0,23338306126.0,197016648344.0
Z3025LDA,2018-01-30,ST4000DM000,0,0.0,28845.0,0.0,0.0,20776.0,22.0,0.0,0.0,23339224281.0,197039537676.0
Z3025LDA,2018-01-31,ST4000DM000,0,0.0,28869.0,0.0,0.0,20776.0,22.0,0.0,0.0,23340831372.0,197073527233.0
Z3025LDA,2018-02-01,ST4000DM000,0,0.0,28893.0,0.0,0.0,20776.0,22.0,0.0,0.0,23342082120.0,197111798229.0
Z3025LDA,2018-02-02,ST4000DM000,0,0.0,28917.0,0.0,0.0,20776.0,22.0,0.0,0.0,23343270757.0,197146891543.0
Z3025LDA,2018-02-03,ST4000DM000,0,0.0,28941.0,0.0,0.0,20776.0,22.0,0.0,0.0,23344580282.0,197184607550.0
Z3025LDA,2018-02-04,ST4000DM000,0,0.0,28969.0,0.0,0.0,20776.0,22.0,0.0,0.0,23346021645.0,197222104229.0
Z3025LDA,2018-02-05,ST4000DM000,0,0.0,28993.0,0.0,0.0,20776.0,23.0,0.0,0.0,23347243242.0,197255258022.0
Z3025LDA,2018-02-06,ST4000DM000,0,0.0,29017.0,0.0,0.0,20776.0,22.0,0.0,0.0,23348500191.0,197286716730.0
Z3025LDA,2018-02-07,ST4000DM000,0,0.0,29041.0,0.0,0.0,20776.0,22.0,0.0,0.0,23349736412.0,197320303923.0
Z3025LDA,2018-02-08,ST4000DM000,0,0.0,29065.0,0.0,0.0,20776.0,21.0,0.0,0.0,23350940973.0,197353579728.0
Z3025LDA,2018-02-09,ST4000DM000,0,0.0,29089.0,0.0,0.0,20776.0,22.0,0.0,0.0,23352256934.0,197389244325.0
Z3025LDA,2018-02-10,ST4000DM000,0,0.0,29113.0,0.0,0.0,20776.0,23.0,0.0,0.0,23353473972.0,197420874207.0
Z3025LDA,2018-02-11,ST4000DM000,0,0.0,29137.0,0.0,0.0,20776.0,22.0,0.0,0.0,23354688365.0,197453716623.0
Z3025LDA,2018-02-12,ST4000DM000,0,0.0,29161.0,0.0,0.0,20776.0,23.0,0.0,0.0,23355939207.0,197487340375.0
Z3025LDA,2018-02-13,ST4000DM000,0,0.0,29185.0,0.0,0.0,20776.0,23.0,0.0,0.0,23357174718.0,197519510458.0
Z3025LDA,2018-02-14,ST4000DM000,0,0.0,29209.0,0.0,0.0,20776.0,23.0,0.0,0.0,23358427068.0,197556004403.0
Z3025LDA,2018-02-15,ST4000DM000,0,0.0,29233.0,0.0,0.0,20776.0,23.0,0.0,0.0,23359614466.0,197586677034.0
Z3025LDA,2018-02-16,ST4000DM000,0,0.0,29257.0,0.0,0.0,20776.0,22.0,0.0,0.0,23360822214.0,197621803465.0
Z3025LDA,2018-02-17,ST4000DM000,0,0.0,29281.0,0.0,0.0,20776.0,23.0,0.0,0.0,23362014133.0,197654989097.0
Z3025LDA,2018-02-18,ST4000DM000,0,0.0,29305.0,0.0,0.0,20776.0,22.0,0.0,0.0,23363335645.0,197699784346.0
Z3025LDA,2018-02-19,ST4000DM000,0,0.0,29329.0,0.0,0.0,20776.0,22.0,0.0,0.0,23364617440.0,197734529402.0
Z3025LDA,2018-02-20,ST4000DM000,0,0.0,29353.0,0.0,0.0,20776.0,23.0,0.0,0.0,23365865405.0,197772623756.0
Z3025LDA,2018-02-21,ST4000DM000,0,0.0,29377.0,0.0,0.0,20776.0,22.0,0.0,0.0,23367086458.0,197808425677.0
Z3025LDA,2018-02-22,ST4000DM000,0,0.0,29401.0,0.0,0.0,20776.0,23.0,0.0,0.0,23368443439.0,197842776902.0
Z3025LDA,2018-02-23,ST4000DM000,0,0.0,29425.0,0.0,0.0,20776.0,23.0,0.0,0.0,23369676929.0,197876012157.0
Z3025LDA,2018-02-24,ST4000DM000,0,0.0,29449.0,0.0,0.0,20776.0,22.0,0.0,0.0,23371150420.0,197909055751.0
Z3025LDA,2018-02-25,ST4000DM000,0,0.0,29474.0,0.0,0.0,20776.0,23.0,0.0,0.0,23372404576.0,197941818779.0
Z3025LDA,2018-02-26,ST4000DM000,0,0.0,29497.0,0.0,0.0,20776.0,23.0,0.0,0.0,23373754416.0,197973625387.0
Z3025LDA,2018-02-27,ST4000DM000,0,0.0,29521.0,0.0,0.0,20776.0,24.0,0.0,0.0,23374973468.0,198004634303.0
